[ 0.  0.  0.]
[   30.          1096.17602539   278.18600464]
[  31.          788.98602295  277.34500122]
[   32.          1550.61804199   276.71499634]
[   33.          1096.44604492   276.26699829]
[  34.          987.33001709  275.99700928]
[  35.          748.19897461  275.87600708]
[   36.          1119.3840332    275.88000488]
[   37.          1521.57702637   276.03100586]
[   38.          1293.95703125   276.30200195]
[   39.          1267.82299805   276.66598511]
[   40.          1726.61303711   277.14099121]
[   41.          1415.72302246   277.70401001]
[   42.          1407.4329834    278.33599854]
[   43.          1257.74902344   279.0289917 ]
[   44.          1411.2869873    279.77801514]
[   45.          1086.26403809   280.61099243]
[   46.          1167.17297363   281.48300171]
[   47.          1945.625        282.36898804]
[   48.          1004.80102539   283.29699707]
[   49.          1719.97497559   284.27801514]
[   50.          1704.52502441   285.27600098]
[   51.         1047.1829834   286.2789917]
[   52.          1592.46496582   287.29998779]
[   53.          1127.52600098   288.3789978 ]
[   54.          1178.97998047   289.47601318]
[   55.          1598.6550293    290.57699585]
[   56.          1540.95300293   291.7170105 ]
[   57.          1707.26599121   292.9039917 ]
[   58.          1731.49597168   294.13000488]
[   59.          1467.2199707    295.38299561]
[   60.          1797.08898926   296.66000366]
[   61.          1352.03601074   298.0039978 ]
[   62.          2212.41308594   299.38598633]
[   63.          1756.35302734   300.84698486]
[   64.          1248.12194824   302.3500061 ]
[   65.          1851.95898438   303.90701294]
[   66.          1625.70300293   305.50799561]
[   67.          1674.6920166    307.15600586]
[   68.          1774.38903809   308.8380127 ]
[   69.          2272.15600586   310.55801392]
[   70.          1877.7130127    312.31698608]
[   71.          1791.54602051   314.10598755]
[   72.          1529.21801758   315.9289856 ]
[   73.          2716.88500977   317.77700806]
[   74.          2019.56298828   319.66000366]
[   75.          1885.36901855   321.56298828]
[   76.          1891.69995117   323.49200439]
[   77.          1928.1739502    325.44900513]
[   78.          1670.87402344   327.43200684]
[   79.          1492.0090332    329.44400024]
[   80.          2311.17993164   331.48498535]
[   81.          2048.10400391   333.54800415]
[   82.          2812.48901367   335.64300537]
