# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881814e-26       4.634785000235e-09       2.157468236843e+22       1.415210830893e+04       1.415210830893e-10       1.415210830893e+18       2.676054550098e-09       2.753580214648e+44       2.880539730117e+33       1.183192069607e+34      -4.279293887093e-12       1.639319904821e+22      -2.703900000000e-01       1.901088978193e+44       4.654669192988e+44       6.863590002268e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124178e-26       4.667526809499e-09       2.127577894997e+22       1.415210830893e+04       1.425117306709e-10       1.405373218364e+18       2.694786931949e-09       2.677810562215e+44       2.820885496949e+33       1.158688878464e+34      -4.279293887093e-12       1.614480173762e+22      -2.703900000000e-01       1.848777136920e+44       4.526587699279e+44       9.575550540208e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275403e-26       4.700268618762e-09       2.098101664709e+22       1.415210830893e+04       1.435093127856e-10       1.395603990431e+18       2.713650440472e-09       2.604125846403e+44       2.762466666820e+33       1.134693133569e+34      -4.279293887093e-12       1.590016825761e+22      -2.703900000000e-01       1.797904748912e+44       4.402030595457e+44       1.915110108041e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295318e-26       4.733010428026e-09       2.069033808731e+22       1.415210830893e+04       1.445138779751e-10       1.385902671729e+18       2.732645993555e-09       2.532468696478e+44       2.705257655281e+33       1.111194326017e+34      -4.279293887093e-12       1.565924157689e+22      -2.703900000000e-01       1.748432205055e+44       4.280900901671e+44       2.872665162061e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438215e-26       4.765752237290e-09       2.040368669296e+22       1.415210830893e+04       1.455254751209e-10       1.376268790198e+18       2.751774515510e-09       2.462783320360e+44       2.649233407720e+33       1.088182164537e+34      -4.279293887093e-12       1.542196552832e+22      -2.703900000000e-01       1.700320986150e+44       4.163104306645e+44       3.830220216081e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256988e-26       4.800313035958e-09       2.012100667025e+22       1.415210830893e+04       1.465441534468e-10       1.366701877058e+18       2.771036937119e-09       2.395015461189e+44       2.594369388395e+33       1.065646570984e+34      -4.279293887093e-12       1.518828479584e+22      -2.703900000000e-01       1.653533632922e+44       4.048549094244e+44       4.787775270100e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607326e-26       4.833054845221e-09       1.984224299837e+22       1.415210830893e+04       1.475699625209e-10       1.357201466791e+18       2.790434195678e-09       2.329112355080e+44       2.540641569681e+33       1.043577675924e+34      -4.279293887093e-12       1.495814490157e+22      -2.703900000000e-01       1.608033716854e+44       3.937146072064e+44       5.745330324120e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651971e-26       4.867615643889e-09       1.956734141878e+22       1.415210830893e+04       1.486029522586e-10       1.347767097111e+18       2.809967235048e-09       2.265022690039e+44       2.488026421552e+33       1.021965814314e+34      -4.279293887093e-12       1.473149219308e+22      -2.703900000000e-01       1.563785811826e+44       3.828808501992e+44       6.702885378140e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865029e-26       4.900357453153e-09       1.929624842467e+22       1.415210830893e+04       1.496431729244e-10       1.338398308948e+18       2.829637005693e-09       2.202696566012e+44       2.436500901273e+33       1.000801521269e+34      -4.279293887093e-12       1.450827383094e+22      -2.703900000000e-01       1.520755466528e+44       3.723452032664e+44       7.660440432159e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036342e-26       4.934918251820e-09       1.902891125051e+22       1.415210830893e+04       1.506906751348e-10       1.329094646424e+18       2.849444464733e-09       2.142085456034e+44       2.386042443311e+33       9.800755279143e+33      -4.279293887093e-12       1.428843777635e+22      -2.703900000000e-01       1.478909177642e+44       3.620994633798e+44       8.617995486178e-07       1.592850683960e+01 
       9.326212236469e+13       8.690422275931e-26       4.969479050487e-09       1.876527786183e+22       1.415210830893e+04       1.517455098608e-10       1.319855656826e+18       2.869390575986e-09       2.083142168447e+44       2.336628949454e+33       9.597787573289e+33      -4.279293887093e-12       1.407193277902e+22      -2.703900000000e-01       1.438214363750e+44       3.521356532317e+44       9.575550540198e-07       1.433565615564e+01 
       9.261382558559e+13       8.812514018485e-26       5.004039849155e-09       1.850529694505e+22       1.415210830893e+04       1.528077284298e-10       1.310680890592e+18       2.889476310018e-09       2.025820810155e+44       2.288238779125e+33       9.399023205694e+33      -4.279293887093e-12       1.385870836523e+22      -2.703900000000e-01       1.398639339974e+44       3.424460150245e+44       1.053310559422e-06       1.303241468694e+01 
       9.197003533823e+13       8.936321027931e-26       5.040419637226e-09       1.824891789751e+22       1.415210830893e+04       1.538773825288e-10       1.301569901283e+18       2.909702644188e-09       1.970076750890e+44       2.240850739917e+33       9.204375127766e+33      -4.279293887093e-12       1.364871482608e+22      -2.703900000000e-01       1.360153293297e+44       3.330230044301e+44       1.149066064824e-06       1.194638012970e+01 
       9.133072029615e+13       9.061867402052e-26       5.074980435893e-09       1.799609081762e+22       1.415210830893e+04       1.549545242065e-10       1.292522245564e+18       2.930070562697e-09       1.915866588467e+44       2.194444078299e+33       9.013758093641e+33      -4.279293887093e-12       1.344190320586e+22      -2.703900000000e-01       1.322726258581e+44       3.238592847159e+44       1.244821570225e-06       1.102742781203e+01 
       9.069584935070e+13       9.189177577183e-26       5.111360223964e-09       1.774676649513e+22       1.415210830893e+04       1.560392058760e-10       1.283537483181e+18       2.950581056636e-09       1.863148114988e+44       2.148998470536e+33       8.827088622842e+33      -4.279293887093e-12       1.323822529066e+22      -2.703900000000e-01       1.286329095228e+44       3.149477210326e+44       1.340577075627e-06       1.023975439688e+01 
       9.006539160943e+13       9.318276332965e-26       5.145921022631e-09       1.750089640159e+22       1.415210830893e+04       1.571314803171e-10       1.274615176943e+18       2.971235124032e-09       1.811880283983e+44       2.104494013785e+33       8.644284963724e+33      -4.279293887093e-12       1.303763359715e+22      -2.703900000000e-01       1.250933464499e+44       3.062813748590e+44       1.436332581029e-06       9.557104103757e+00 
       8.943931639467e+13       9.449188797166e-26       5.182300810702e-09       1.725843268085e+22       1.415210830893e+04       1.582314006793e-10       1.265754892694e+18       2.992033769900e-09       1.762023178446e+44       2.060911217378e+33       8.465267057669e+33      -4.279293887093e-12       1.284008136146e+22      -2.703900000000e-01       1.216511807445e+44       2.978534985996e+44       1.532088086431e-06       8.959785097272e+00 
       8.881759324197e+13       9.581940450578e-26       5.218680598773e-09       1.701932813982e+22       1.415210830893e+04       1.593390204841e-10       1.256956199299e+18       3.012978006289e-09       1.713537979758e+44       2.018230994289e+33       8.289956504024e+33      -4.279293887093e-12       1.264552252834e+22      -2.703900000000e-01       1.183037323447e+44       2.896575303309e+44       1.627843591833e-06       8.432738915080e+00 
       8.820019189868e+13       9.716557131968e-26       5.255060386844e-09       1.678353623920e+22       1.415210830893e+04       1.604543936275e-10       1.248218668618e+18       3.034068852333e-09       1.666386937466e+44       1.976434652770e+33       8.118276525764e+33      -4.279293887093e-12       1.245391174036e+22      -2.703900000000e-01       1.150483949358e+44       2.816870886925e+44       1.723599097235e-06       7.964253419797e+00 
       8.758708232243e+13       9.853065043114e-26       5.291440174915e-09       1.655101108447e+22       1.415210830893e+04       1.615775743828e-10       1.239541875490e+18       3.055307334300e-09       1.620533339885e+44       1.935503888169e+33       7.950151935874e+33      -4.279293887093e-12       1.226520432740e+22      -2.703900000000e-01       1.118826339200e+44       2.739359679184e+44       1.819354602637e-06       7.545082187176e+00 
       8.697823467967e+13       9.991490753905e-26       5.329638952389e-09       1.632170741698e+22       1.415210830893e+04       1.627086174035e-10       1.230925397706e+18       3.076694485640e-09       1.575941485518e+44       1.895420774912e+33       7.785509104414e+33      -4.279293887093e-12       1.207935629616e+22      -2.703900000000e-01       1.088039844439e+44       2.663981330053e+44       1.915110108039e-06       7.167828077817e+00 
