# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.200227495183e+03       5.495177620227e-02       0.000000000000e+00       3.195832401921e+00       4.171727174507e-08       3.392695732957e-03      -1.606849315287e-05 
    3       1.147364675015e+03       7.772328931316e-02       0.000000000000e+00       3.607099797261e+00       5.060692061088e-08       3.591709208795e-03      -1.797775365527e-05 
    4       1.085758682578e+03       7.366177443288e-02       0.000000000000e+00       3.484148571980e+00       5.820768741539e-08       3.650294818549e-03      -1.591130849935e-05 
    5       1.033253016622e+03       5.373089535929e-02       0.000000000000e+00       3.140325291686e+00       6.482815556496e-08       3.637497578797e-03      -1.146284366561e-05 
    6       9.925205192858e+02       3.240304090649e-02       0.000000000000e+00       2.725417651669e+00       7.061958741297e-08       3.584947593584e-03      -6.046720479602e-06 
    7       9.621492526985e+02       1.802185763991e-02       0.000000000000e+00       2.318310639519e+00       7.571542554962e-08       3.510034829195e-03      -8.836378388264e-07 
    8       9.408095010207e+02       1.135034754236e-02       0.000000000000e+00       1.953832120788e+00       8.020078154780e-08       3.424457252315e-03       3.143047279418e-06 
    9       9.269325599910e+02       9.163024423597e-03       0.000000000000e+00       1.648367699801e+00       8.416785589428e-08       3.336675791144e-03       5.563515494707e-06 
   10       9.185497675010e+02       8.173633379270e-03       0.000000000000e+00       1.409314955295e+00       8.771728737891e-08       3.250709466164e-03       6.323657245478e-06 
   11       9.149982875406e+02       6.886849009360e-03       0.000000000000e+00       1.236892028560e+00       8.928070639803e-08       3.180899044894e-03       5.713697110447e-06 
   12       9.148231158951e+02       5.364480233774e-03       0.000000000000e+00       1.125849955156e+00       9.209924100702e-08       3.091983711859e-03       4.225834259761e-06 
   13       9.174211245780e+02       4.158312504434e-03       0.000000000000e+00       1.068509751293e+00       9.461892697063e-08       3.013700945133e-03       2.425127910951e-06 
   14       9.223583721121e+02       3.546425218960e-03       0.000000000000e+00       1.055002768671e+00       9.687326706560e-08       2.932498799766e-03       7.819877118824e-07 
   15       9.293113916407e+02       3.423508877038e-03       0.000000000000e+00       1.074453659898e+00       9.888882760653e-08       2.856547398707e-03      -3.566684391079e-07 
   16       9.374256391912e+02       3.561573330541e-03       0.000000000000e+00       1.116871503245e+00       1.006907026373e-07       2.782583590541e-03      -8.531919790340e-07 
   17       9.469820909384e+02       3.840546651634e-03       0.000000000000e+00       1.172508609450e+00       1.022998796063e-07       2.709667672943e-03      -7.564601289826e-07 
