# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.200230367000e+03       5.495297568735e-02       1.199484762764e-06       3.195832374141e+00       4.171727174507e-08       3.392695732957e-03      -1.606849315287e-05 
    3       1.147370406691e+03       7.772568913306e-02       2.399816817999e-06       3.607099673560e+00       5.060692061088e-08       3.591709208795e-03      -1.797775365527e-05 
    4       1.085768209091e+03       7.366577600118e-02       4.001553125601e-06       3.484148216930e+00       5.820768741539e-08       3.650294818549e-03      -1.591130849935e-05 
    5       1.033267257806e+03       5.373690116750e-02       6.005756247216e-06       3.140324483948e+00       6.482815556496e-08       3.637497578797e-03      -1.146284366561e-05 
    6       9.925403767152e+02       3.241145474686e-02       8.413698630844e-06       2.725416065971e+00       7.061958741297e-08       3.584947593584e-03      -6.046720479602e-06 
    7       9.621756069782e+02       1.803308479826e-02       1.122682847743e-05       2.318307830708e+00       7.571542554962e-08       3.510034829195e-03      -8.836378388264e-07 
    8       9.408432095421e+02       1.136479495620e-02       1.444673166058e-05       1.953827510220e+00       8.020078154780e-08       3.424457252315e-03       3.143047279418e-06 
    9       9.269744551838e+02       9.181100801405e-03       1.807509107908e-05       1.648360564218e+00       8.416785589428e-08       3.336675791144e-03       5.563515494707e-06 
   10       9.186006556015e+02       8.195749277673e-03       2.211364490350e-05       1.409304418270e+00       8.771728737891e-08       3.250709466164e-03       6.323657245478e-06 
   11       9.150589478789e+02       6.913416865584e-03       2.656414520284e-05       1.236877054493e+00       8.928070639803e-08       3.180899044894e-03       5.713697110447e-06 
   12       9.148943006874e+02       5.395914351920e-03       3.142831840352e-05       1.125829345716e+00       9.209924100702e-08       3.091983711859e-03       4.225834259761e-06 
   13       9.175035591931e+02       4.195028995018e-03       3.670782894331e-05       1.068482144148e+00       9.461892697063e-08       3.013700945133e-03       2.425127910951e-06 
   14       9.224527557696e+02       3.588841892244e-03       4.240424734008e-05       1.054966638261e+00       9.687326706560e-08       2.932498799766e-03       7.819877118824e-07 
   15       9.294183984827e+02       3.472045091763e-03       4.851902370565e-05       1.074407319970e+00       9.888882760653e-08       2.856547398707e-03      -3.566684391079e-07 
   16       9.375459196625e+02       3.616649800755e-03       5.505346750632e-05       1.116813110849e+00       1.006907026373e-07       2.782583590541e-03      -8.531919790340e-07 
   17       9.471162733996e+02       3.902585215330e-03       6.200873411306e-05       1.172436170050e+00       1.022998796063e-07       2.709667672943e-03      -7.564601289826e-07 
   18       9.576385360624e+02       4.352393256046e-03       6.938581517528e-05       1.233675553783e+00       1.036944107982e-07       2.639575447338e-03      -2.625436976520e-07 
   19       9.691995483068e+02       4.999557152647e-03       7.718555541060e-05       1.297326890352e+00       1.050095648182e-07       2.574421537142e-03       4.192990236133e-07 
   20       9.816923791491e+02       5.857509919500e-03       8.540862453575e-05       1.360731552516e+00       1.061333162699e-07       2.510426087876e-03       1.011367174923e-06 
   21       9.950408622548e+02       6.890192393900e-03       9.405557872472e-05       1.422882221612e+00       1.071364229772e-07       2.447963351575e-03       1.364440528271e-06 
   22       1.008932532992e+03       8.043987685579e-03       1.031268281817e-04       1.483330886131e+00       1.079979260995e-07       2.386089898203e-03       1.393501110432e-06 
   23       1.023473312287e+03       9.327669500639e-03       1.126227140856e-04       1.542579813039e+00       1.087744842034e-07       2.326962330517e-03       1.121839047429e-06 
   24       1.038701064536e+03       1.077021403586e-02       1.225434758546e-04       1.601171986751e+00       1.094271281710e-07       2.271655420202e-03       6.526488260876e-07 
   25       1.054525682296e+03       1.238724092434e-02       1.328893450186e-04       1.658044704453e+00       1.099998494724e-07       2.219820655266e-03       1.091605773448e-07 
   26       1.070703091000e+03       1.418705452291e-02       1.436605053930e-04       1.711345937608e+00       1.104749644204e-07       2.169001235827e-03      -3.579402187612e-07 
   27       1.087250552578e+03       1.616360749035e-02       1.548571772404e-04       1.759184886578e+00       1.108741106162e-07       2.119491764643e-03      -6.637893291255e-07 
   28       1.104185539961e+03       1.830819142510e-02       1.664795911710e-04       1.799635122814e+00       1.111679276756e-07       2.071581121089e-03      -7.560109926550e-07 
   29       1.121576901898e+03       2.063360988931e-02       1.785280954635e-04       1.831740131385e+00       1.114154480272e-07       2.026082500020e-03      -6.539575357825e-07 
   30       1.139407163383e+03       2.316153927321e-02       1.910030863465e-04       1.854831733331e+00       1.116332411657e-07       1.982773800497e-03      -4.280599343203e-07 
   31       1.157570604695e+03       2.591301430043e-02       2.039050077173e-04       1.868333702247e+00       1.117568110844e-07       1.940271548780e-03      -1.754875634702e-07 
   32       1.176088660228e+03       2.889311360760e-02       2.172344438356e-04       1.872066064311e+00       1.118222144029e-07       1.898831242468e-03       4.365872566401e-08 
   33       1.194953299783e+03       3.210033473848e-02       2.309920776737e-04       1.866069343379e+00       1.118522277702e-07       1.858529184983e-03       1.695518144146e-07 
   34       1.214097826520e+03       3.553349710819e-02       2.451786728523e-04       1.850473718653e+00       1.118174640320e-07       1.818829384039e-03       1.457176656576e-07 
   35       1.233528475674e+03       3.920275756025e-02       2.597950582368e-04       1.825280428429e+00       1.117435285006e-07       1.780297977421e-03      -5.351377620556e-09 
   36       1.253224508599e+03       4.312246879755e-02       2.748421545621e-04       1.790513878459e+00       1.116359051224e-07       1.743458545868e-03      -2.183858894687e-07 
   37       1.273131993624e+03       4.730641966971e-02       2.903209364983e-04       1.746117896623e+00       1.114631645669e-07       1.708398279851e-03      -4.165446513414e-07 
   38       1.293286985597e+03       5.176114464557e-02       3.062322555596e-04       1.691387348244e+00       1.112561480669e-07       1.675310088833e-03      -5.720711714627e-07 
   39       1.313723811934e+03       5.649037416219e-02       3.225769700840e-04       1.625340474581e+00       1.110435742404e-07       1.644011438097e-03      -6.709335205527e-07 
   40       1.334436499124e+03       6.149672997537e-02       3.393559992787e-04       1.546858602322e+00       1.108147933029e-07       1.613670148987e-03      -6.977116852918e-07 
   41       1.355396618373e+03       6.678211558783e-02       3.565702336872e-04       1.454922035834e+00       1.105320526854e-07       1.583166479447e-03      -6.424917851849e-07 
   42       1.376624331878e+03       7.234922088535e-02       3.742202191522e-04       1.349433303947e+00       1.102134692622e-07       1.552702666354e-03      -5.257187588296e-07 
