# Matter power spectrum P(k) at redshift z=0
# for k=1.02929e-05 to 1.08205 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029291330376e-05       5.106967073488e+01 
       2.291222714471e-05       1.106112034000e+02 
       3.557427994718e-05       1.692177657400e+02 
       4.831176744371e-05       2.275198608145e+02 
       6.115790578980e-05       2.858902408829e+02 
       7.414671587723e-05       3.446162728238e+02 
       8.731331640385e-05       4.039481485108e+02 
       1.006942294521e-04       4.641188144804e+02 
       1.143277023589e-04       5.253539694566e+02 
       1.282540496898e-04       5.878780905364e+02 
       1.425160191440e-04       6.519183771161e+02 
       1.571591851773e-04       7.177075862889e+02 
       1.722323740022e-04       7.854863378044e+02 
       1.877881233454e-04       8.555049149030e+02 
       2.038831798441e-04       9.280245956301e+02 
       2.205790361373e-04       1.003318948595e+03 
       2.379425084277e-04       1.081674303557e+03 
       2.560463533858e-04       1.163390555641e+03 
       2.749699205267e-04       1.248781042261e+03 
       2.947998323553e-04       1.338172069638e+03 
       3.156306793452e-04       1.431902022975e+03 
       3.375657098645e-04       1.530319678070e+03 
       3.607174861586e-04       1.633782037024e+03 
       3.852084661884e-04       1.742651298002e+03 
       4.111714574164e-04       1.857291214696e+03 
       4.387498727597e-04       1.978062841728e+03 
       4.680977016925e-04       2.105319779100e+03 
       4.993790924879e-04       2.239403201526e+03 
       5.327674276033e-04       2.380636742209e+03 
       5.684437673551e-04       2.529322162579e+03 
       6.065945428158e-04       2.685735181465e+03 
       6.474084037426e-04       2.850122224611e+03 
       6.910721775833e-04       3.022698114273e+03 
       7.377659751631e-04       3.203643975960e+03 
       7.876575864804e-04       3.393104493803e+03 
       8.408964370155e-04       3.591184450324e+03 
       8.976075022550e-04       3.797942945659e+03 
       9.578856783500e-04       4.013385086156e+03 
       1.021791149351e-03       4.237451348425e+03 
       1.089346251804e-03       4.470006179497e+03 
       1.160534207650e-03       4.710827067013e+03 
       1.235299891845e-03       4.959559055889e+03 
       1.313552559649e-03       5.215816357040e+03 
       1.395170230219e-03       5.479098675367e+03 
       1.480005254382e-03       5.748816988650e+03 
       1.567890513963e-03       6.024315921245e+03 
       1.658645711548e-03       6.304892282376e+03 
       1.752083294831e-03       6.589815087430e+03 
       1.848013687914e-03       6.878344702401e+03 
       1.946249640908e-03       7.169749849582e+03 
       2.046609633858e-03       7.463322570350e+03 
       2.148920367080e-03       7.758388489399e+03 
       2.253018433011e-03       8.054315433417e+03 
       2.358751297804e-03       8.350517447302e+03 
       2.465977730514e-03       8.646456221336e+03 
       2.574567811570e-03       8.941645192868e+03 
       2.684402636912e-03       9.235642344556e+03 
       2.795373814906e-03       9.528055085863e+03 
       2.907382833439e-03       9.818530926497e+03 
       3.020340356379e-03       1.010675955314e+04 
       3.134165493005e-03       1.039246732667e+04 
       3.248785071234e-03       1.067541352282e+04 
       3.364132935445e-03       1.095538732538e+04 
       3.480149282068e-03       1.123220587171e+04 
       3.596780040483e-03       1.150570973812e+04 
       3.713976302730e-03       1.177576766133e+04 
       3.831693802742e-03       1.204225799897e+04 
       3.949892443956e-03       1.230508492841e+04 
       4.068535872939e-03       1.256416389903e+04 
       4.187591096037e-03       1.281942937245e+04 
       4.307028135660e-03       1.307082479721e+04 
       4.426819722738e-03       1.331830547014e+04 
       4.546941021948e-03       1.356183933659e+04 
       4.667369386420e-03       1.380139789385e+04 
       4.788084138896e-03       1.403696982931e+04 
       4.909066376501e-03       1.426854158325e+04 
       5.030298796575e-03       1.449610768608e+04 
       5.151765541232e-03       1.471967362276e+04 
       5.273452058566e-03       1.493924038116e+04 
