# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881805e-26       4.634785000235e-09       2.157468236846e+22       1.419605589211e+04       1.419605589211e-10       1.419605589211e+18       2.676054550095e-09       2.753580214648e+44       2.490778415482e+33       1.326723926838e+34      -4.605207202469e-12       3.820179774603e-14      -1.147000000000e+00       1.901088978193e+44       4.654669192998e+44       5.556677447816e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124169e-26       4.667526809499e-09       2.127577894999e+22       1.419605589211e+04       1.429542828335e-10       1.409737427220e+18       2.694786931946e-09       2.677810562215e+44       2.439195903075e+33       1.299248277864e+34      -4.605207202469e-12       3.831949680325e-14      -1.147000000000e+00       1.848777136920e+44       4.526587699289e+44       7.752247106779e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275394e-26       4.700268618762e-09       2.098101664712e+22       1.419605589211e+04       1.439549628134e-10       1.399937862185e+18       2.713650440469e-09       2.604125846403e+44       2.388681633259e+33       1.272341632939e+34      -4.605207202469e-12       3.843755848917e-14      -1.147000000000e+00       1.797904748912e+44       4.402030595467e+44       1.550449421355e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295309e-26       4.733010428026e-09       2.069033808733e+22       1.419605589211e+04       1.449626475531e-10       1.390206417264e+18       2.732645993552e-09       2.532468696478e+44       2.339213483376e+33       1.245992208334e+34      -4.605207202469e-12       3.855598392104e-14      -1.147000000000e+00       1.748432205055e+44       4.280900901681e+44       2.325674132032e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438206e-26       4.765752237290e-09       2.040368669298e+22       1.419605589211e+04       1.459773860859e-10       1.380542618932e+18       2.751774515507e-09       2.462783320360e+44       2.290769788915e+33       1.220188464354e+34      -4.605207202469e-12       3.867477421955e-14      -1.147000000000e+00       1.700320986150e+44       4.163104306655e+44       3.100898842710e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256978e-26       4.800313035958e-09       2.012100667028e+22       1.419605589211e+04       1.469992277885e-10       1.370945996953e+18       2.771036937116e-09       2.395015461189e+44       2.243329334027e+33       1.194919100283e+34      -4.605207202469e-12       3.879393050885e-14      -1.147000000000e+00       1.653533632922e+44       4.048549094253e+44       3.876123553387e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607317e-26       4.833054845221e-09       1.984224299839e+22       1.419605589211e+04       1.480282223831e-10       1.361416084362e+18       2.790434195675e-09       2.329112355080e+44       2.196871342226e+33       1.170173049437e+34      -4.605207202469e-12       3.891345391655e-14      -1.147000000000e+00       1.608033716854e+44       3.937146072073e+44       4.651348264064e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651962e-26       4.867615643889e-09       1.956734141880e+22       1.419605589211e+04       1.490644199397e-10       1.351952417440e+18       2.809967235045e-09       2.265022690039e+44       2.151375467297e+33       1.145939474317e+34      -4.605207202469e-12       3.903334557373e-14      -1.147000000000e+00       1.563785811826e+44       3.828808502001e+44       5.426572974740e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865019e-26       4.900357453153e-09       1.929624842469e+22       1.419605589211e+04       1.501078708793e-10       1.342554535691e+18       2.829637005690e-09       2.202696566012e+44       2.106821784383e+33       1.122207761859e+34      -4.605207202469e-12       3.915360661498e-14      -1.147000000000e+00       1.520755466528e+44       3.723452032673e+44       6.201797685417e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036333e-26       4.934918251820e-09       1.902891125053e+22       1.419605589211e+04       1.511586259755e-10       1.333221981818e+18       2.849444464730e-09       2.142085456034e+44       2.063190781257e+33       1.098967518793e+34      -4.605207202469e-12       3.927423817834e-14      -1.147000000000e+00       1.478909177642e+44       3.620994633806e+44       6.977022396094e-07       1.592850683960e+01 
