# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.084325816020e+03       4.944610164100e-02       0.000000000000e+00       3.344314087789e+00       5.163211237627e-08       3.259137072830e-03      -1.583309569286e-05 
    3       1.017634086178e+03       7.965783228544e-02       0.000000000000e+00       4.158184212769e+00       6.428393320502e-08       3.248005543929e-03      -1.924776682732e-05 
    4       9.554379095659e+02       8.817451297707e-02       0.000000000000e+00       4.228973158689e+00       7.472827755854e-08       3.165405464992e-03      -1.925451893454e-05 
    5       9.078041875427e+02       7.685534950098e-02       0.000000000000e+00       3.886905594735e+00       8.374339803046e-08       3.057719745705e-03      -1.683235931792e-05 
    6       8.737588101520e+02       5.555985348195e-02       0.000000000000e+00       3.353317102332e+00       9.157363126550e-08       2.941491662634e-03      -1.285911218865e-05 
    7       8.508534572613e+02       3.450548544257e-02       0.000000000000e+00       2.773944958612e+00       9.851197874732e-08       2.824201699942e-03      -8.216739387998e-06 
    8       8.359625657477e+02       1.957509725089e-02       0.000000000000e+00       2.234089662470e+00       1.047471857351e-07       2.708631245921e-03      -3.691785523211e-06 
    9       8.275897958269e+02       1.171052847486e-02       0.000000000000e+00       1.780695540293e+00       1.103471161697e-07       2.596832635980e-03       9.798820714722e-08 
   10       8.242084940992e+02       8.780346662932e-03       0.000000000000e+00       1.435286696192e+00       1.153567347553e-07       2.491131187162e-03       2.759707190860e-06 
   11       8.244080466552e+02       7.986667788109e-03       0.000000000000e+00       1.202053071385e+00       1.166475484887e-07       2.399594058124e-03       4.125920621357e-06 
   12       8.278103039950e+02       7.451334986282e-03       0.000000000000e+00       1.071308524982e+00       1.204945819965e-07       2.306152959813e-03       4.312757577060e-06 
   13       8.332698520050e+02       6.592136539946e-03       0.000000000000e+00       1.023798887874e+00       1.239432522591e-07       2.218415190341e-03       3.535214498601e-06 
   14       8.403016962490e+02       5.659950111238e-03       0.000000000000e+00       1.036884317537e+00       1.270355677630e-07       2.134192143300e-03       2.129450051202e-06 
   15       8.489240908996e+02       5.068474823692e-03       0.000000000000e+00       1.088313450372e+00       1.298104284389e-07       2.058644870462e-03       4.725715961378e-07 
   16       8.587691607193e+02       4.978723910235e-03       0.000000000000e+00       1.158143175703e+00       1.323007464835e-07       1.990201239378e-03      -1.099411746245e-06 
   17       8.694706819330e+02       5.255795388800e-03       0.000000000000e+00       1.231900363672e+00       1.345340847186e-07       1.924474892543e-03      -2.332837020001e-06 
   18       8.810027889250e+02       5.635744811205e-03       0.000000000000e+00       1.299989257533e+00       1.364813701339e-07       1.860206285097e-03      -3.074686951134e-06 
   19       8.933844416693e+02       6.014070957463e-03       0.000000000000e+00       1.359133947073e+00       1.383215854177e-07       1.799059378437e-03      -3.283040880697e-06 
   20       9.062119032607e+02       6.357135096805e-03       0.000000000000e+00       1.408296121154e+00       1.399080435932e-07       1.739214419361e-03      -3.028077745581e-06 
   21       9.195666451619e+02       6.779045371794e-03       0.000000000000e+00       1.449983423861e+00       1.413332549722e-07       1.682897336644e-03      -2.428237821664e-06 
   22       9.334438161808e+02       7.444950181441e-03       0.000000000000e+00       1.488539860538e+00       1.425708513779e-07       1.631328173167e-03      -1.676931491549e-06 
   23       9.477871223587e+02       8.401361518209e-03       0.000000000000e+00       1.527700815736e+00       1.436948642872e-07       1.583756069183e-03      -9.299625367650e-07 
   24       9.623733152816e+02       9.643115338498e-03       0.000000000000e+00       1.570924208635e+00       1.446541618793e-07       1.536814950134e-03      -3.464348811043e-07 
