# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.084329514317e+03       4.944790547041e-02       1.803829105211e-06       3.344314051784e+00       5.163211237627e-08       3.259137072830e-03      -1.583309569286e-05 
    3       1.017641465906e+03       7.966144136164e-02       3.609073231512e-06       4.158184052517e+00       6.428393320502e-08       3.248005543929e-03      -1.924776682732e-05 
    4       9.554501720606e+02       8.818053121201e-02       6.018220359199e-06       4.228972698995e+00       7.472827755854e-08       3.165405464992e-03      -1.925451893454e-05 
    5       9.078225128384e+02       7.686438258119e-02       9.033030381917e-06       3.886904549678e+00       8.374339803046e-08       3.057719745705e-03      -1.683235931792e-05 
    6       8.737843526390e+02       5.557250921572e-02       1.265559815537e-05       3.353315052474e+00       9.157363126550e-08       2.941491662634e-03      -1.285911218865e-05 
    7       8.508873419553e+02       3.452237404679e-02       1.688828954040e-05       2.773941331146e+00       9.851197874732e-08       2.824201699942e-03      -8.216739387998e-06 
    8       8.360058852409e+02       1.959683156972e-02       2.173367038631e-05       2.234083714618e+00       1.047471857351e-07       2.708631245921e-03      -3.691785523211e-06 
    9       8.276436079718e+02       1.173772412402e-02       2.719443119033e-05       1.780686346177e+00       1.103471161697e-07       2.596832635980e-03       9.798820714722e-08 
   10       8.242738204534e+02       8.813622095705e-03       3.327331032280e-05       1.435273137222e+00       1.153567347553e-07       2.491131187162e-03       2.759707190860e-06 
   11       8.244858716882e+02       8.026644281480e-03       3.997301874473e-05       1.202033830098e+00       1.166475484887e-07       2.399594058124e-03       4.125920621357e-06 
   12       8.279015750342e+02       7.498636547778e-03       4.729616906421e-05       1.071282082150e+00       1.204945819965e-07       2.306152959813e-03       4.312757577060e-06 
   13       8.333754798761e+02       6.647389738188e-03       5.524521158341e-05       1.023763522567e+00       1.239432522591e-07       2.218415190341e-03       3.535214498601e-06 
   14       8.404225565419e+02       5.723783835285e-03       6.382237968687e-05       1.036838109763e+00       1.270355677630e-07       2.134192143300e-03       2.129450051202e-06 
   15       8.490610257745e+02       5.141519978309e-03       7.302964652700e-05       1.088254285819e+00       1.298104284389e-07       2.058644870462e-03       4.725715961378e-07 
   16       8.589229811525e+02       5.061613055956e-03       8.286869448947e-05       1.158068752090e+00       1.323007464835e-07       1.990201239378e-03      -1.099411746245e-06 
   17       8.696421702892e+02       5.349162337120e-03       9.334089838985e-05       1.231808198196e+00       1.345340847186e-07       1.924474892543e-03      -2.332837020001e-06 
   18       8.811927017908e+02       5.740224181852e-03       1.044473161143e-04       1.299876695147e+00       1.364813701339e-07       1.860206285097e-03      -3.074686951134e-06 
   19       8.935935125154e+02       6.130297736761e-03       1.161887331926e-04       1.358998167620e+00       1.383215854177e-07       1.799059378437e-03      -3.283040880697e-06 
   20       9.064408456436e+02       6.485744137154e-03       1.285656142031e-04       1.408134148991e+00       1.399080435932e-07       1.739214419361e-03      -3.028077745581e-06 
   21       9.198161550021e+02       6.920670964755e-03       1.415782369824e-04       1.449792133314e+00       1.413332549722e-07       1.682897336644e-03      -2.428237821664e-06 
   22       9.337145746507e+02       7.600225565496e-03       1.552266352062e-04       1.488315984221e+00       1.425708513779e-07       1.631328173167e-03      -1.676931491549e-06 
   23       9.480797975303e+02       8.570918500202e-03       1.695107600701e-04       1.527440948461e+00       1.436948642872e-07       1.583756069183e-03      -9.299625367650e-07 
   24       9.626885643905e+02       9.827583847972e-03       1.844304225059e-04       1.570624814248e+00       1.446541618793e-07       1.536814950134e-03      -3.464348811043e-07 
   25       9.775547513852e+02       1.132922492016e-02       1.999854839339e-04       1.618847329803e+00       1.455064733721e-07       1.490403471642e-03      -1.517562857588e-08 
   26       9.926655396481e+02       1.302121188002e-02       2.161757857574e-04       1.671803317965e+00       1.462292383195e-07       1.444815757975e-03       1.932963811912e-08 
   27       1.008077478107e+03       1.489900256895e-02       2.330013174673e-04       1.727832500994e+00       1.468511240654e-07       1.402058308089e-03      -2.034900337459e-07 
   28       1.023791959615e+03       1.696991261288e-02       2.504621711322e-04       1.784312440230e+00       1.473340073637e-07       1.363869221485e-03      -5.906776790832e-07 
   29       1.039841800993e+03       1.922821679757e-02       2.685587405175e-04       1.838248883506e+00       1.477551666218e-07       1.330051167188e-03      -1.067930430715e-06 
   30       1.056170167249e+03       2.166038162312e-02       2.872916040816e-04       1.885871496889e+00       1.481360120934e-07       1.298252117764e-03      -1.540673626578e-06 
   31       1.072645029548e+03       2.425202614984e-02       3.066615240786e-04       1.923201868909e+00       1.483917030835e-07       1.265048157400e-03      -1.897021469438e-06 
   32       1.089306846485e+03       2.700527032395e-02       3.266695904546e-04       1.948729297645e+00       1.485696108169e-07       1.230979698084e-03      -2.095237718511e-06 
   33       1.106194733956e+03       2.992788624097e-02       3.473171729603e-04       1.961724536534e+00       1.486999149765e-07       1.197812898113e-03      -2.119947114564e-06 
   34       1.123293597387e+03       3.303166703399e-02       3.686058859606e-04       1.961786404171e+00       1.487444611113e-07       1.167006586264e-03      -1.970683226866e-06 
   35       1.140605631361e+03       3.634189679750e-02       3.905375052271e-04       1.949628665723e+00       1.487369457225e-07       1.138681708730e-03      -1.690990256264e-06 
   36       1.158090627760e+03       3.989173789801e-02       4.131140622118e-04       1.926615275605e+00       1.486844808607e-07       1.111962345409e-03      -1.358594022668e-06 
   37       1.175680742871e+03       4.371295088708e-02       4.363377629953e-04       1.894252808782e+00       1.485456757116e-07       1.085581118110e-03      -1.063494289402e-06 
   38       1.193420568562e+03       4.781127717628e-02       4.602105562733e-04       1.853046276248e+00       1.483610641370e-07       1.059727014854e-03      -8.387425156283e-07 
   39       1.211364970838e+03       5.218290379896e-02       4.847344495529e-04       1.803289846826e+00       1.481684134070e-07       1.034902126833e-03      -7.003808449040e-07 
   40       1.229536829478e+03       5.682076908913e-02       5.099116403265e-04       1.745379090999e+00       1.479537308731e-07       1.011405063683e-03      -6.643405482584e-07 
   41       1.247932869342e+03       6.171740481693e-02       5.357443131974e-04       1.679530315738e+00       1.476673843449e-07       9.893271385305e-04      -7.394040970094e-07 
   42       1.266552399370e+03       6.687510990787e-02       5.622339228556e-04       1.604817924439e+00       1.473332193331e-07       9.686667777653e-04      -9.025933820288e-07 
   43       1.285371654150e+03       7.229871432218e-02       5.893816979741e-04       1.519831218685e+00       1.469780684292e-07       9.491847484420e-04      -1.111503774894e-06 
   44       1.304332027031e+03       7.799278890920e-02       6.171888333167e-04       1.422917640893e+00       1.465941913225e-07       9.303134563869e-04      -1.308331933850e-06 
   45       1.323368304251e+03       8.396157085192e-02       6.456562928213e-04       1.312505440763e+00       1.461522287727e-07       9.113684495971e-04      -1.433415379400e-06 
   46       1.342510672237e+03       9.020874037153e-02       6.747841553341e-04       1.188222279827e+00       1.456777493216e-07       8.924289976693e-04      -1.477885463905e-06 
   47       1.361807980808e+03       9.673755781225e-02       7.045720684483e-04       1.050085367439e+00       1.452005843986e-07       8.737563876558e-04      -1.451079641873e-06 
   48       1.381297848410e+03       1.035509062841e-01       7.350194119504e-04       8.981969750084e-01       1.447291314165e-07       8.555491906574e-04      -1.367690463742e-06 
   49       1.401005393025e+03       1.106512765912e-01       7.661252838057e-04       7.327487925103e-01       1.442438463576e-07       8.379289544907e-04      -1.248434949010e-06 
   50       1.420943527474e+03       1.180405966872e-01       7.978884711504e-04       5.540086256747e-01       1.437099553923e-07       8.209563782063e-04      -1.116936338479e-06 
   51       1.441116884089e+03       1.257197004330e-01       8.303073865042e-04       3.622661235808e-01       1.431423012093e-07       8.047244071316e-04      -9.871502355851e-07 
   52       1.461516761658e+03       1.336886885871e-01       8.633800900175e-04       1.578798499171e-01       1.425622098858e-07       7.892762706805e-04      -8.720898331665e-07 
