# Matter power spectrum P(k) at redshift z=0
# for k=1.02446e-05 to 1.06395 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.024464867026e-05       5.226715694768e+01 
       2.289502820531e-05       1.140071610792e+02 
       3.558827310968e-05       1.748614254585e+02 
       4.835732106573e-05       2.353919493097e+02 
       6.123563498062e-05       2.959269341808e+02 
       7.425749081822e-05       3.567174177883e+02 
       8.745827431691e-05       4.179813927525e+02 
       1.008747904106e-04       4.799219196545e+02 
       1.145455891999e-04       5.427365445343e+02 
       1.285113123531e-04       6.066230691734e+02 
       1.428150638274e-04       6.717836829382e+02 
       1.575028087610e-04       7.384281775465e+02 
       1.726238042542e-04       8.067768087440e+02 
       1.882310654693e-04       8.770629679742e+02 
       2.043818699646e-04       9.495357503334e+02 
       2.211383023282e-04       1.024462601403e+03 
       2.385678398580e-04       1.102131957546e+03 
       2.567439780730e-04       1.182856037590e+03 
       2.757468920173e-04       1.266973615381e+03 
       2.956641253692e-04       1.354852868263e+03 
       3.165912939830e-04       1.446894173481e+03 
       3.386327833303e-04       1.543532724542e+03 
       3.619024100487e-04       1.645240866055e+03 
       3.865240061719e-04       1.752529853349e+03 
       4.126318705427e-04       1.865950820552e+03 
       4.403710156492e-04       1.986094542878e+03 
       4.698971205206e-04       2.113589553700e+03 
       5.013760830868e-04       2.249098124778e+03 
       5.349830514219e-04       2.393309581030e+03 
       5.709008068671e-04       2.546930276333e+03 
       6.093173788777e-04       2.710670003530e+03 
       6.504227981897e-04       2.885224333982e+03 
       6.944049478920e-04       3.071253098065e+03 
       7.414445550576e-04       3.269355507820e+03 
       7.917094771721e-04       3.480042910788e+03 
       8.453485677523e-04       3.703710932424e+03 
       9.024855342812e-04       3.940613139992e+03 
       9.632133003808e-04       4.190838820750e+03 
       1.027589421767e-03       4.454297382950e+03 
       1.095633057848e-03       4.730711155076e+03 
       1.167323861404e-03       5.019618498564e+03 
       1.242602935448e-03       5.320386243663e+03 
       1.321375759448e-03       5.632228982843e+03 
       1.403516758005e-03       5.954203778186e+03 
       1.488875020480e-03       6.285354550644e+03 
       1.577280606939e-03       6.624630401110e+03 
       1.668550895780e-03       6.970954956628e+03 
       1.762496521044e-03       7.323253770862e+03 
       1.858926580617e-03       7.680477632901e+03 
       1.957652937638e-03       8.041619963372e+03 
       2.058493561975e-03       8.405730762800e+03 
       2.161274952925e-03       8.771924670902e+03 
       2.265833745016e-03       9.139386577236e+03 
       2.372017629437e-03       9.507372536429e+03 
       2.479685731241e-03       9.875208941114e+03 
       2.588708574763e-03       1.024229025317e+04 
       2.698967753375e-03       1.060807734045e+04 
       2.810355399848e-03       1.097208980876e+04 
       2.922773533582e-03       1.133390213885e+04 
       3.036133342724e-03       1.169314123692e+04 
       3.150354443661e-03       1.204947927569e+04 
       3.265364147732e-03       1.240263026211e+04 
       3.381096755119e-03       1.275234523139e+04 
       3.497492888431e-03       1.309840793848e+04 
       3.614498872974e-03       1.344063187679e+04 
       3.732066166795e-03       1.377885625428e+04 
       3.850150840919e-03       1.411294430649e+04 
       3.968713108350e-03       1.444278176754e+04 
       4.087716899367e-03       1.476826584790e+04 
       4.207129479936e-03       1.508932088716e+04 
       4.326921109801e-03       1.540587430250e+04 
       4.447064736728e-03       1.571787512133e+04 
       4.567535723437e-03       1.602528246675e+04 
       4.688311603938e-03       1.632805914519e+04 
       4.809371866206e-03       1.662619325924e+04 
       4.930697758365e-03       1.691965975368e+04 
       5.052272115817e-03       1.720845384917e+04 
       5.174079206989e-03       1.749257737984e+04 
       5.296104595626e-03       1.777203978371e+04 
       5.418335017769e-03       1.804682790140e+04 
       5.540758271756e-03       1.831699215748e+04 
       5.663363119783e-03       1.858253912890e+04 
       5.786139199727e-03       1.884346515411e+04 
       5.909076946074e-03       1.909981103479e+04 
       6.032167518935e-03       1.935152836877e+04 
       6.155402740251e-03       1.959877175265e+04 
       6.278775036397e-03       1.984158955080e+04 
       6.402277386479e-03       2.007978381694e+04 
       6.525903275697e-03       2.031360562843e+04 
       6.649646653248e-03       2.054323052686e+04 
       6.773501894262e-03       2.076832717484e+04 
       6.897463765346e-03       2.098911168077e+04 
       7.021527393373e-03       2.120561384307e+04 
       7.145688237160e-03       2.141785434259e+04 
       7.269942061743e-03       2.162589631990e+04 
       7.394284914989e-03       2.182976358001e+04 
       7.518713106303e-03       2.202950257876e+04 
       7.643223187223e-03       2.222516019453e+04 
       7.767811933716e-03       2.241677615491e+04 
       7.892476330010e-03       2.260436982139e+04 
       8.017213553809e-03       2.278804880724e+04 
       8.142020962767e-03       2.296775018329e+04 
       8.266896082086e-03       2.314358019483e+04 
       8.391836593156e-03       2.331555608828e+04 
       8.516840323118e-03       2.348372428062e+04 
       8.641905235277e-03       2.364808724803e+04 
       8.767029420288e-03       2.380881856884e+04 
       8.892211088041e-03       2.396574240703e+04 
       9.017448560184e-03       2.411910162377e+04 
       9.142740263235e-03       2.426889410658e+04 
       9.268084722222e-03       2.441506834323e+04 
       9.393480554806e-03       2.455766014836e+04 
       9.518926465862e-03       2.469681883761e+04 
       9.644421242454e-03       2.483256842840e+04 
       9.769963749197e-03       2.496486869562e+04 
       9.895552923951e-03       2.509378540529e+04 
       1.002118777384e-02       2.521931925367e+04 
       1.014686737155e-02       2.534166460138e+04 
       1.027259085192e-02       2.546063545257e+04 
       1.039835740873e-02       2.557646361931e+04 
       1.052416629180e-02       2.568904179487e+04 
       1.065001680418e-02       2.579855989931e+04 
       1.077590829965e-02       2.590489124959e+04 
       1.090184018032e-02       2.600814985466e+04 
       1.102781189447e-02       2.610830629342e+04 
       1.115382293443e-02       2.620555653504e+04 
       1.127987283474e-02       2.629972767820e+04 
       1.140596117034e-02       2.639105817004e+04 
       1.153208755490e-02       2.647942685863e+04 
       1.165825163935e-02       2.656486340110e+04 
       1.178445311038e-02       2.664750879314e+04 
       1.191069168914e-02       2.672740652345e+04 
       1.203696713001e-02       2.680447131312e+04 
       1.216327921942e-02       2.687873865147e+04 
       1.228962777481e-02       2.695041471993e+04 
       1.241601264364e-02       2.701929276412e+04 
       1.254243370242e-02       2.708561062401e+04 
       1.266889085589e-02       2.714929937902e+04 
       1.279538403625e-02       2.721036425066e+04 
       1.292191320237e-02       2.726892460647e+04 
       1.304847833913e-02       2.732486695150e+04 
       1.317507945682e-02       2.737844494635e+04 
       1.330171659053e-02       2.742942732619e+04 
       1.342838979963e-02       2.747811953892e+04 
       1.355509916729e-02       2.752432232534e+04 
       1.368184479999e-02       2.756809185300e+04 
       1.380862682719e-02       2.760958300256e+04 
       1.393544540089e-02       2.764874829661e+04 
       1.406230069532e-02       2.768563838491e+04 
       1.418919290665e-02       2.772030132905e+04 
       1.431612225272e-02       2.775265260938e+04 
       1.444308897277e-02       2.778284658344e+04 
       1.457009332728e-02       2.781086919502e+04 
       1.469713559774e-02       2.783674462147e+04 
       1.482421608654e-02       2.786051078712e+04 
       1.495133511682e-02       2.788220514739e+04 
       1.507849303234e-02       2.790178636598e+04 
       1.520569019747e-02       2.791934781999e+04 
       1.533292699708e-02       2.793488345004e+04 
       1.546020383649e-02       2.794845684857e+04 
       1.558752114153e-02       2.796007858050e+04 
       1.571487935847e-02       2.796975884768e+04 
       1.584227895410e-02       2.797744860465e+04 
       1.596972041576e-02       2.798331558831e+04 
       1.609720425140e-02       2.798731785872e+04 
       1.622473098968e-02       2.798948733123e+04 
       1.635230118008e-02       2.798985039483e+04 
       1.647991539300e-02       2.798842976874e+04 
       1.660757421993e-02       2.798526619945e+04 
       1.673527827357e-02       2.798035374016e+04 
       1.686302818805e-02       2.797374083689e+04 
       1.699082461910e-02       2.796542818881e+04 
       1.711866824425e-02       2.795543781854e+04 
       1.724655976308e-02       2.794383510941e+04 
       1.737449989745e-02       2.793060616837e+04 
       1.750248939175e-02       2.791578769052e+04 
       1.763052901320e-02       2.789938116542e+04 
       1.775861955213e-02       2.788151068246e+04 
       1.788676182228e-02       2.786199199359e+04 
       1.801495666114e-02       2.784104106052e+04 
       1.814320493030e-02       2.781861234537e+04 
       1.827150751577e-02       2.779474253064e+04 
       1.839986532841e-02       2.776938738563e+04 
       1.852827930428e-02       2.774269313591e+04 
       1.865675040508e-02       2.771455128505e+04 
       1.878527961854e-02       2.768505914462e+04 
       1.891386795891e-02       2.765421416925e+04 
       1.904251646738e-02       2.762206801011e+04 
       1.917122621260e-02       2.758859133004e+04 
       1.929999829114e-02       2.755384992725e+04 
       1.942883382804e-02       2.751781253426e+04 
       1.955773397730e-02       2.748056895243e+04 
       1.968669992251e-02       2.744206635444e+04 
       1.981573287735e-02       2.740246518448e+04 
       1.994483408621e-02       2.736155459369e+04 
       2.007400482482e-02       2.731953802840e+04 
       2.020324640087e-02       2.727630041518e+04 
       2.033256015468e-02       2.723210643861e+04 
       2.046194745984e-02       2.718665570722e+04 
       2.059140972396e-02       2.714018911527e+04 
       2.072094838936e-02       2.709264419960e+04 
       2.085056493385e-02       2.704410908152e+04 
       2.098026087144e-02       2.699451173915e+04 
       2.111003775321e-02       2.694385325101e+04 
       2.123989716807e-02       2.689227507582e+04 
       2.136984074365e-02       2.683969682755e+04 
       2.149987014713e-02       2.678620251667e+04 
       2.162998708619e-02       2.673180325073e+04 
       2.176019330989e-02       2.667638272959e+04 
       2.189049060967e-02       2.662008273044e+04 
       2.202088082032e-02       2.656300903197e+04 
       2.215136582098e-02       2.650498014144e+04 
       2.228194753625e-02       2.644611840986e+04 
       2.241262793718e-02       2.638651184785e+04 
       2.254340904249e-02       2.632603176988e+04 
       2.267429291966e-02       2.626468047717e+04 
       2.280528168614e-02       2.620263496111e+04 
       2.293637751057e-02       2.613984248101e+04 
       2.306758261404e-02       2.607620427364e+04 
       2.319889927143e-02       2.601203610481e+04 
       2.333032981271e-02       2.594702488550e+04 
       2.346187662437e-02       2.588127575560e+04 
       2.359354215082e-02       2.581486080170e+04 
       2.372532889592e-02       2.574783569000e+04 
       2.385723942443e-02       2.568013436826e+04 
       2.398927636368e-02       2.561181146578e+04 
       2.412144240513e-02       2.554297995488e+04 
       2.425374030608e-02       2.547328702533e+04 
       2.438617289141e-02       2.540321784472e+04 
       2.451874305534e-02       2.533247614865e+04 
       2.465145376333e-02       2.526123936995e+04 
