# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.078079672555e+03       4.520997626616e-02       0.000000000000e+00       3.219418056156e+00       5.078541492240e-08       3.160256503328e-03      -1.518268026432e-05 
    3       1.018147608075e+03       7.018758626078e-02       0.000000000000e+00       3.900253006501e+00       6.372954505798e-08       3.191271379572e-03      -1.810830589980e-05 
    4       9.596622535156e+02       7.466231769664e-02       0.000000000000e+00       3.903553644299e+00       7.417040803622e-08       3.129798449120e-03      -1.766487556949e-05 
    5       9.142786413977e+02       6.225063135842e-02       0.000000000000e+00       3.542885384760e+00       8.317405562962e-08       3.035404348829e-03      -1.492331209760e-05 
    6       8.817156284811e+02       4.290395463895e-02       0.000000000000e+00       3.024102137089e+00       9.103295459745e-08       2.928710059946e-03      -1.082568005509e-05 
    7       8.598155466644e+02       2.553695269480e-02       0.000000000000e+00       2.481160001607e+00       9.791194155052e-08       2.818166475697e-03      -6.285661035607e-06 
    8       8.455990065428e+02       1.432739706970e-02       0.000000000000e+00       1.990439330784e+00       1.039747208922e-07       2.707655593304e-03      -2.080669251362e-06 
    9       8.376655447571e+02       9.042408847884e-03       0.000000000000e+00       1.591499462943e+00       1.094016176858e-07       2.600234788056e-03       1.219893324864e-06 
   10       8.345468458623e+02       7.283216809534e-03       0.000000000000e+00       1.299665985808e+00       1.143327126961e-07       2.498946796110e-03       3.301197242882e-06 
   11       8.348774999255e+02       6.690567987744e-03       0.000000000000e+00       1.113765771026e+00       1.154149565542e-07       2.411523109471e-03       4.095046064478e-06 
   12       8.383312041961e+02       6.040977518518e-03       0.000000000000e+00       1.019974017751e+00       1.191984731419e-07       2.321895988854e-03       3.796903931165e-06 
   13       8.437690840822e+02       5.199915977749e-03       0.000000000000e+00       9.976455331561e-01       1.225896807544e-07       2.237471458499e-03       2.699437642190e-06 
   14       8.507190816225e+02       4.509837519723e-03       0.000000000000e+00       1.024637590813e+00       1.256300700588e-07       2.155817309139e-03       1.180693089303e-06 
   15       8.592299466830e+02       4.233135758621e-03       0.000000000000e+00       1.080280013308e+00       1.283579794914e-07       2.082251133493e-03      -3.792113343652e-07 
   16       8.689666835513e+02       4.350120922522e-03       0.000000000000e+00       1.148021633276e+00       1.308059085814e-07       2.015235337726e-03      -1.678995308834e-06 
   17       8.795299361768e+02       4.664675487047e-03       0.000000000000e+00       1.216890276987e+00       1.330009982806e-07       1.950410091969e-03      -2.529681660068e-06 
   18       8.909147089500e+02       4.995184217167e-03       0.000000000000e+00       1.279858928799e+00       1.349142192389e-07       1.886503232865e-03      -2.861612258948e-06 
   19       9.031491930962e+02       5.341290505448e-03       0.000000000000e+00       1.335730436028e+00       1.367231567284e-07       1.825400363199e-03      -2.704459667420e-06 
   20       9.158227769612e+02       5.770820747107e-03       0.000000000000e+00       1.385496834152e+00       1.382820321037e-07       1.765662104692e-03      -2.201151148814e-06 
   21       9.290211086899e+02       6.376540460279e-03       0.000000000000e+00       1.431914817740e+00       1.396823033834e-07       1.709626643281e-03      -1.505535803429e-06 
   22       9.427437878929e+02       7.251176257846e-03       0.000000000000e+00       1.478679841287e+00       1.408980048126e-07       1.658492816332e-03      -8.179205655625e-07 
   23       9.569367343359e+02       8.385766077536e-03       0.000000000000e+00       1.528383736236e+00       1.420023424975e-07       1.611500414074e-03      -2.716552948793e-07 
   24       9.713766036991e+02       9.730833729151e-03       0.000000000000e+00       1.582942438702e+00       1.429445698882e-07       1.565244341342e-03       2.592005806499e-08 
   25       9.860831312684e+02       1.126286815810e-02       0.000000000000e+00       1.641982115728e+00       1.437817397861e-07       1.519556052287e-03       4.441210658330e-08 
   26       1.001048986794e+03       1.296534626336e-02       0.000000000000e+00       1.703796853097e+00       1.444915099051e-07       1.474625724319e-03      -1.900955995747e-07 
   27       1.016331257384e+03       1.484248912405e-02       0.000000000000e+00       1.765621719149e+00       1.451021884320e-07       1.432379393753e-03      -5.917127148569e-07 
   28       1.031928775192e+03       1.690181181340e-02       0.000000000000e+00       1.824014485086e+00       1.455760032948e-07       1.394476974962e-03      -1.033371078744e-06 
   29       1.047873617287e+03       1.913706489942e-02       0.000000000000e+00       1.876343987713e+00       1.459893389937e-07       1.360701100445e-03      -1.442112820403e-06 
   30       1.064106731118e+03       2.153417158260e-02       0.000000000000e+00       1.919823610039e+00       1.463633385875e-07       1.328703070057e-03      -1.749079507602e-06 
   31       1.080492049557e+03       2.408118752413e-02       0.000000000000e+00       1.951720412757e+00       1.466140660738e-07       1.295081820137e-03      -1.883662684464e-06 
   32       1.097068154898e+03       2.679512782245e-02       0.000000000000e+00       1.971551386221e+00       1.467883221486e-07       1.260466642453e-03      -1.843273913354e-06 
