# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.078083340145e+03       4.521177168549e-02       1.795419020952e-06       3.219418021474e+00       5.078541492240e-08       3.160256503328e-03      -1.518268026432e-05 
    3       1.018154926178e+03       7.019117832350e-02       3.592059691901e-06       3.900252852079e+00       6.372954505798e-08       3.191271379572e-03      -1.810830589980e-05 
    4       9.596744128516e+02       7.466830715499e-02       5.989443499671e-06       3.903553201126e+00       7.417040803622e-08       3.129798449120e-03      -1.766487556949e-05 
    5       9.142968111424e+02       6.225962050571e-02       8.989096511817e-06       3.542884376695e+00       8.317405562962e-08       3.035404348829e-03      -1.492331209760e-05 
    6       8.817409519004e+02       4.291654761826e-02       1.259284110048e-05       3.024100158474e+00       9.103295459745e-08       2.928710059946e-03      -1.082568005509e-05 
    7       8.598491373758e+02       2.555375575956e-02       1.680274394020e-05       2.481156497512e+00       9.791194155052e-08       2.818166475697e-03      -6.285661035607e-06 
    8       8.456419454804e+02       1.434901878924e-02       2.162105815990e-05       1.990433580214e+00       1.039747208922e-07       2.707655593304e-03      -2.080669251362e-06 
    9       8.377188778916e+02       9.069460252582e-03       2.705016182561e-05       1.591490565183e+00       1.094016176858e-07       2.600234788056e-03       1.219893324864e-06 
   10       8.346115827035e+02       7.316311471682e-03       3.309249505477e-05       1.299652849994e+00       1.143327126961e-07       2.498946796110e-03       3.301197242882e-06 
   11       8.349546128067e+02       6.730322035923e-03       3.975049809575e-05       1.113747108901e+00       1.154149565542e-07       2.411523109471e-03       4.095046064478e-06 
   12       8.384216283160e+02       6.088009585010e-03       4.702655264547e-05       1.019948339472e+00       1.191984731419e-07       2.321895988854e-03       3.796903931165e-06 
   13       8.438737182539e+02       5.254847080251e-03       5.492292852780e-05       9.976111458980e-01       1.225896807544e-07       2.237471458499e-03       2.699437642190e-06 
   14       8.508387896587e+02       4.573290880340e-03       6.344173762038e-05       1.024592599873e+00       1.256300700588e-07       2.155817309139e-03       1.180693089303e-06 
   15       8.593655593257e+02       4.305736564702e-03       7.258489660845e-05       1.080222325323e+00       1.283579794914e-07       2.082251133493e-03      -3.792113343652e-07 
   16       8.691190008408e+02       4.432496035429e-03       8.235409977308e-05       1.147948961132e+00       1.308059085814e-07       2.015235337726e-03      -1.678995308834e-06 
   17       8.796997301414e+02       4.757453106185e-03       9.275080260331e-05       1.216800146001e+00       1.330009982806e-07       1.950410091969e-03      -2.529681660068e-06 
   18       8.911027265482e+02       5.098993504699e-03       1.037762113560e-04       1.279748683951e+00       1.349142192389e-07       1.886503232865e-03      -2.861612258948e-06 
   19       9.033561589564e+02       5.456761198833e-03       1.154313149722e-04       1.335597248613e+00       1.367231567284e-07       1.825400363199e-03      -2.704459667420e-06 
   20       9.160493966714e+02       5.898582720452e-03       1.277168442500e-04       1.385337710809e+00       1.382820321037e-07       1.765662104692e-03      -2.201151148814e-06 
   21       9.292680710982e+02       6.517223326689e-03       1.406333745667e-04       1.431726606388e+00       1.396823033834e-07       1.709626643281e-03      -1.505535803429e-06 
   22       9.430117680310e+02       7.405408916063e-03       1.541812780911e-04       1.478459239767e+00       1.408980048126e-07       1.658492816332e-03      -8.179205655625e-07 
   23       9.572263950326e+02       8.554176334743e-03       1.683608491613e-04       1.528127297598e+00       1.420023424975e-07       1.611500414074e-03      -2.716552948793e-07 
   24       9.716885978220e+02       9.914047866284e-03       1.831722561270e-04       1.582646579259e+00       1.429445698882e-07       1.565244341342e-03       2.592005806499e-08 
   25       9.864181022814e+02       1.146151061321e-02       1.986156909423e-04       1.641643119907e+00       1.437817397861e-07       1.519556052287e-03       4.441210658330e-08 
   26       1.001407570091e+03       1.318003924199e-02       2.146913105680e-04       1.703410881149e+00       1.444915099051e-07       1.474625724319e-03      -1.900955995747e-07 
   27       1.016714080058e+03       1.507385232900e-02       2.313993694767e-04       1.765184812952e+00       1.451021884320e-07       1.432379393753e-03      -5.917127148569e-07 
   28       1.032336456294e+03       1.715046212640e-02       2.487401814444e-04       1.823522576653e+00       1.455760032948e-07       1.394476974962e-03      -1.033371078744e-06 
   29       1.048306765858e+03       1.940361626670e-02       2.667142804706e-04       1.875792908192e+00       1.459893389937e-07       1.360701100445e-03      -1.442112820403e-06 
   30       1.064565945743e+03       2.181923473925e-02       2.853223220248e-04       1.919209100080e+00       1.463633385875e-07       1.328703070057e-03      -1.749079507602e-06 
