# Matter power spectrum P(k) at redshift z=0
# for k=1.04666e-05 to 1.08446 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046662173771e-05       5.021385335630e+01 
       2.339010436998e-05       1.091430937982e+02 
       3.635928705527e-05       1.670942206079e+02 
       4.940929570637e-05       2.246712135638e+02 
       6.257584060516e-05       2.822213548132e+02 
       7.589553691918e-05       3.400071510268e+02 
       8.940623552601e-05       3.982545838280e+02 
       1.031473685724e-04       4.571729093656e+02 
       1.171603142289e-04       5.169648503204e+02 
       1.314887851346e-04       5.778328112880e+02 
       1.461792450317e-04       6.399832162889e+02 
       1.612813580243e-04       7.036299271084e+02 
       1.768484747118e-04       7.689971707540e+02 
       1.929381590541e-04       8.363222409598e+02 
       2.096127591434e-04       9.058580917998e+02 
       2.269400239269e-04       9.778759222222e+02 
       2.449937661899e-04       1.052667755005e+03 
       2.638545695239e-04       1.130549072036e+03 
       2.836105333001e-04       1.211861420804e+03 
       3.043580444912e-04       1.296975002815e+03 
       3.262025581462e-04       1.386291128353e+03 
       3.492593590032e-04       1.480244420171e+03 
       3.736542647466e-04       1.579304601313e+03 
       3.995242165109e-04       1.683977598174e+03 
       4.270176844750e-04       1.794805730133e+03 
       4.562947963497e-04       1.912366499167e+03 
       4.875270757334e-04       2.037269660004e+03 
       5.208966584194e-04       2.170151945239e+03 
       5.565948421736e-04       2.311669041808e+03 
       5.948198254612e-04       2.462484250691e+03 
       6.357735108027e-04       2.623253462094e+03 
       6.796572970577e-04       2.794606442317e+03 
       7.266668683152e-04       2.977124494234e+03 
       7.769861063954e-04       3.171315420851e+03 
       8.307804013074e-04       3.377587027697e+03 
       8.881897893367e-04       3.596221045989e+03 
       9.493224799035e-04       3.827349940721e+03 
       1.014249401693e-03       4.070939047944e+03 
       1.083000372326e-03       4.326776359605e+03 
       1.155562358967e-03       4.594471680810e+03 
       1.231880063651e-03       4.873465566769e+03 
       1.311858780219e-03       5.163047770680e+03 
       1.395369191244e-03       5.462361775120e+03 
       1.482253562822e-03       5.770476113498e+03 
       1.572332690983e-03       6.086416711477e+03 
       1.665412962760e-03       6.409159206718e+03 
       1.761292995691e-03       6.737675923258e+03 
       1.859769473441e-03       7.070959692050e+03 
       1.960641961941e-03       7.408042401400e+03 
