# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450655647821e-10       6.127839996471e-15       4.347613720044e-13       0.000000000000e+00       8.623223774851e-09       4.730795203715e-10      -2.282790330613e-12 
    3       1.370126325281e-10       9.516271285833e-15       5.267632719026e-13       0.000000000000e+00       5.310760179788e-09       3.373624423061e-10      -1.925113358395e-12 
    4       1.291369800284e-10       1.012632253246e-14       5.272638005879e-13       0.000000000000e+00       3.700484643487e-09       2.564304663174e-10      -1.455185346399e-12 
    5       1.230215275281e-10       8.444669012529e-15       4.785849371449e-13       0.000000000000e+00       2.765143108471e-09       2.031293891535e-10      -1.003866216499e-12 
    6       1.186329875332e-10       5.820349982985e-15       4.084858961213e-13       0.000000000000e+00       2.161434625463e-09       1.656772246035e-10      -6.155691581980e-13 
    7       1.156801604307e-10       3.463672208613e-15       3.350770484602e-13       0.000000000000e+00       1.744177758354e-09       1.380920142763e-10      -3.096252066664e-13 
    8       1.137627464888e-10       1.942210293211e-15       2.686919936745e-13       0.000000000000e+00       1.441079537247e-09       1.170239902343e-10      -9.052602828052e-14 
    9       1.126917582329e-10       1.224721047433e-15       2.146970235924e-13       0.000000000000e+00       1.212790734235e-09       1.005159050231e-10       4.717438808720e-14 
   10       1.122697346033e-10       9.858169952107e-16       1.751796966835e-13       0.000000000000e+00       1.036118326106e-09       8.736651041336e-11       1.157646842400e-13 
   11       1.123122065215e-10       9.053708111337e-16       1.499898191183e-13       0.000000000000e+00       8.743203877863e-10       7.699296342679e-11       1.311338038229e-13 
   12       1.127747735729e-10       8.173136750115e-16       1.372656788900e-13       0.000000000000e+00       7.640610539036e-10       6.819163609846e-11       1.118373563973e-13 
   13       1.135054158247e-10       7.032971757222e-16       1.342065090339e-13       0.000000000000e+00       6.735410905877e-10       6.084296689173e-11       7.357393329865e-14 
   14       1.144401964282e-10       6.096880691397e-16       1.378189529308e-13       0.000000000000e+00       5.982123518217e-10       5.458092614426e-11       2.988571543273e-14 
   15       1.155848442431e-10       5.719922688391e-16       1.453079353100e-13       0.000000000000e+00       5.348010686548e-10       4.931598906450e-11      -9.131990335192e-15 
