# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450660580958e-10       6.128081123380e-15       4.347613673389e-13       2.411268676396e-19       8.623223774851e-09       4.730795203715e-10      -2.282790330613e-12 
    3       1.370136168608e-10       9.516753704698e-15       5.267632511302e-13       4.824184540694e-19       5.310760179788e-09       3.373624423061e-10      -1.925113358395e-12 
    4       1.291386155433e-10       1.012712692622e-14       5.272637409745e-13       8.043917451327e-19       3.700484643487e-09       2.564304663174e-10      -1.455185346399e-12 
    5       1.230239714931e-10       8.445876271913e-15       4.785848015473e-13       1.207252487487e-18       2.765143108471e-09       2.031293891535e-10      -1.003866216499e-12 
    6       1.186363937343e-10       5.822041248119e-15       4.084856299776e-13       1.691246360341e-18       2.161434625463e-09       1.656772246035e-10      -6.155691581980e-13 
    7       1.156846786691e-10       3.465928904147e-15       3.350765771351e-13       2.256651954858e-18       1.744177758354e-09       1.380920142763e-10      -3.096252066664e-13 
    8       1.137685221732e-10       1.945114156020e-15       2.686912202033e-13       2.903772964320e-18       1.441079537247e-09       1.170239902343e-10      -9.052602828052e-14 
    9       1.126989320723e-10       1.228354146161e-15       2.146958268482e-13       3.632929878908e-18       1.212790734235e-09       1.005159050231e-10       4.717438808720e-14 
   10       1.122784424059e-10       9.902617411427e-16       1.751779299797e-13       4.444451495749e-18       1.036118326106e-09       8.736651041336e-11       1.157646842400e-13 
   11       1.123225790977e-10       9.107099600866e-16       1.499873092389e-13       5.338666559293e-18       8.743203877863e-10       7.699296342679e-11       1.311338038229e-13 
   12       1.127869367407e-10       8.236303201890e-16       1.372622255313e-13       6.315895838941e-18       7.640610539036e-10       6.819163609846e-11       1.118373563973e-13 
   13       1.135194905098e-10       7.106747316957e-16       1.342018846234e-13       7.376444930551e-18       6.735410905877e-10       6.084296689173e-11       7.357393329865e-14 
   14       1.144562988496e-10       6.182102473583e-16       1.378129027813e-13       8.520598036743e-18       5.982123518217e-10       5.458092614426e-11       2.988571543273e-14 
   15       1.156030861720e-10       5.817430452865e-16       1.453001780578e-13       9.748612939235e-18       5.348010686548e-10       4.931598906450e-11      -9.131990335192e-15 
   16       1.169132680468e-10       5.985536238030e-16       1.544090293298e-13       1.106071732632e-17       4.808821395970e-10       4.483146597760e-11      -3.759963622513e-14 
   17       1.183370801110e-10       6.420306128421e-16       1.636617831921e-13       1.245710658223e-17       4.346235649821e-10       4.090554458129e-11      -5.335191148176e-14 
   18       1.198708613644e-10       6.874993815031e-16       1.721120329204e-13       1.393794237988e-17       3.944682652212e-10       3.742544473771e-11      -5.706447650193e-14 
   19       1.215181054510e-10       7.349561122678e-16       1.795966433305e-13       1.550335699447e-17       3.597803175332e-10       3.435728386061e-11      -5.114803402998e-14 
   20       1.232249855592e-10       7.936780029470e-16       1.862494700368e-13       1.715344779300e-17       3.292263435536e-10       3.161276593449e-11      -3.957910798293e-14 
   21       1.250029257739e-10       8.762096262080e-16       1.924509177402e-13       1.888829111227e-17       3.023274814593e-10       2.918627606263e-11      -2.579513379520e-14 
   22       1.268513108748e-10       9.950651715131e-16       1.987091981835e-13       2.070793580853e-17       2.784404521981e-10       2.705527101548e-11      -1.338834255169e-14 
   23       1.287630089020e-10       1.149080179845e-15       2.053662227034e-13       2.261242019876e-17       2.572372625904e-10       2.516983110648e-11      -4.271376532112e-15 
   24       1.307082912334e-10       1.331626327699e-15       2.126699458646e-13       2.460176556050e-17       2.382283590323e-10       2.344846503152e-11       3.567134481619e-16 
   25       1.326896023389e-10       1.539495910777e-15       2.205835475517e-13       2.667599634926e-17       2.211908642260e-10       2.186997121848e-11       5.994607380162e-16 
   26       1.347056202327e-10       1.770390185078e-15       2.288950367281e-13       2.883513228664e-17       2.058172314512e-10       2.042164551974e-11      -2.671570685710e-15 
   27       1.367641441412e-10       2.024828111529e-15       2.372211558276e-13       3.107920627295e-17       1.919235768242e-10       1.911484509394e-11      -7.936469341310e-15 
   28       1.388652676168e-10       2.303780068157e-15       2.450790630964e-13       3.340825923232e-17       1.792708138563e-10       1.795557049035e-11      -1.336550944015e-14 
   29       1.410133333139e-10       2.606393020296e-15       2.521113158693e-13       3.582236188043e-17       1.677943833098e-10       1.692607647188e-11      -1.803072469965e-14 
   30       1.432003464838e-10       2.930770539936e-15       2.579450088495e-13       3.832160137384e-17       1.573709674113e-10       1.598547533038e-11      -2.116513286141e-14 
   31       1.454079552329e-10       3.275306473730e-15       2.622151585459e-13       4.090608117390e-17       1.477879240710e-10       1.508583880655e-11      -2.207683687301e-14 
   32       1.476413819805e-10       3.642299160480e-15       2.648591891142e-13       4.357593784717e-17       1.389959989827e-10       1.423052944482e-11      -2.094021897871e-14 
   33       1.499056060899e-10       4.035756087174e-15       2.659361040824e-13       4.633133463190e-17       1.309333936289e-10       1.343643097339e-11      -1.831947050221e-14 
   34       1.521981852122e-10       4.459802079443e-15       2.655472234399e-13       4.917245759684e-17       1.234876814962e-10       1.271527993363e-11      -1.491913998258e-14 
   35       1.545192794300e-10       4.916173761413e-15       2.638110949253e-13       5.209950858731e-17       1.166208570981e-10       1.206240849948e-11      -1.137081197108e-14 
   36       1.568633298905e-10       5.405864086523e-15       2.608856136432e-13       5.511271376754e-17       1.102778505119e-10       1.146306295561e-11      -8.391362412403e-15 
   37       1.592210535641e-10       5.929717558412e-15       2.569279105636e-13       5.821231512996e-17       1.043761439047e-10       1.090003622620e-11      -6.658406636474e-15 
   38       1.615987266137e-10       6.488238625709e-15       2.519229516952e-13       6.139852720778e-17       9.890054369453e-11       1.037197389064e-11      -6.155915945422e-15 
   39       1.640041359394e-10       7.081699941750e-15       2.457990741670e-13       6.467156870448e-17       9.383374744500e-11       9.880491273844e-12      -6.611322704604e-15 
   40       1.664407732628e-10       7.710176471464e-15       2.384725664252e-13       6.803167559731e-17       8.912751665461e-11       9.425003165034e-12      -7.662714070013e-15 
   41       1.689085471611e-10       8.373696711396e-15       2.298432564129e-13       7.147908036844e-17       8.471949684468e-11       9.003083174158e-12      -8.912542872372e-15 
   42       1.714074092218e-10       9.072787780807e-15       2.197820266520e-13       7.501393873994e-17       8.059675140037e-11       8.612189158679e-12      -1.012482867830e-14 
   43       1.739340602230e-10       9.808085212503e-15       2.081374999901e-13       7.863638106819e-17       7.674836727210e-11       8.248144731078e-12      -1.108162197326e-14 
   44       1.764804234769e-10       1.058018159260e-14       1.947378297079e-13       8.234653190378e-17       7.314638855065e-11       7.904449170545e-12      -1.152648279583e-14 
   45       1.790374991012e-10       1.138961082329e-14       1.794306972814e-13       8.614448976068e-17       6.975581045655e-11       7.574279959096e-12      -1.124548766480e-14 
   46       1.816092917064e-10       1.223680021439e-14       1.622205178701e-13       9.003026002329e-17       6.657132182497e-11       7.257618349055e-12      -1.034408743089e-14 
   47       1.842023313280e-10       1.312210052213e-14       1.431701224122e-13       9.400380139502e-17       6.358923899221e-11       6.955962401293e-12      -9.049440348937e-15 
