# Matter power spectrum P(k) at redshift z=0
# for k=1.04666e-05 to 1.68105 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046662882289e-05       5.021388608659e+01 
       2.339155695453e-05       1.091496178060e+02 
       3.636219732641e-05       1.671071191453e+02 
       4.941368766761e-05       2.246904768131e+02 
       6.258175037478e-05       2.822470609538e+02 
       7.590301320887e-05       3.400394503544e+02 
       8.941534030736e-05       3.982936895476e+02 
       1.031581779422e-04       4.572190968907e+02 
       1.171729194880e-04       5.170184610512e+02 
       1.315032940979e-04       5.778942524570e+02 
       1.461957835912e-04       6.400529719160e+02 
       1.613000719895e-04       7.037085584411e+02 
       1.768695319555e-04       7.690853279486e+02 
       1.929617519933e-04       8.364206645199e+02 
       2.096391075870e-04       9.059676356442e+02 
       2.269693783213e-04       9.779975485962e+02 
       2.450264112910e-04       1.052802563751e+03 
       2.638908285178e-04       1.130698301757e+03 
       2.836507723838e-04       1.212026470923e+03 
       3.044026779038e-04       1.297157450452e+03 
       3.262520536162e-04       1.386492744493e+03 
       3.493142435334e-04       1.480467191192e+03 
       3.737151306031e-04       1.579550738129e+03 
       3.995917272067e-04       1.684249565360e+03 
       4.270925804408e-04       1.795106246307e+03 
       4.563778998692e-04       1.912698560880e+03 
       4.876192945830e-04       2.037636527701e+03 
       5.209989875120e-04       2.170557158105e+03 
       5.567083623801e-04       2.312116381423e+03 
       5.949456986949e-04       2.462977695886e+03 
       6.359129704583e-04       2.623797159871e+03 
       6.798116330316e-04       2.795204610475e+03 
       7.268374061537e-04       2.977781327354e+03 
       7.771741806454e-04       3.172034963350e+03 
       8.309873238600e-04       3.378373047075e+03 
       8.884168143858e-04       3.597076887056e+03 
       9.495707679312e-04       3.828278371054e+03 
       1.014519985463e-03       4.071942132077e+03 
       1.083294128012e-03       4.327855372380e+03 
       1.155879985178e-03       4.595627037090e+03 
       1.232222070212e-03       4.874696814693e+03 
       1.312225487383e-03       5.164353588270e+03 
       1.395760738681e-03       5.463737931912e+03 
       1.482669926661e-03       5.771921584093e+03 
       1.572773706504e-03       6.087928162951e+03 
       1.665878350114e-03       6.410732805707e+03 
       1.761782386230e-03       6.739307527917e+03 
       1.860282434741e-03       7.072644979150e+03 
       1.961178020191e-03       7.409776959743e+03 
       2.064275297848e-03       7.749788453433e+03 
       2.169389738171e-03       8.091826564943e+03 
       2.276347887530e-03       8.435106453133e+03 
       2.384988358915e-03       8.778912391173e+03 
       2.495162214634e-03       9.122597703576e+03 
       2.606732893220e-03       9.465582034240e+03 
       2.719575812995e-03       9.807348087740e+03 
       2.833577761160e-03       1.014743782492e+04 
       2.948636153795e-03       1.048544580680e+04 
       3.064658231006e-03       1.082101794734e+04 
       3.181560233650e-03       1.115384276529e+04 
       3.299266593730e-03       1.148364975013e+04 
       3.417709159512e-03       1.181020449482e+04 
       3.536826468144e-03       1.213330382357e+04 
       3.656563072561e-03       1.245277184498e+04 
       3.776868925255e-03       1.276845967429e+04 
       3.897698818663e-03       1.308023883379e+04 
       4.019011880053e-03       1.338800285786e+04 
       4.140771117708e-03       1.369166096895e+04 
       4.262943014585e-03       1.399113737872e+04 
       4.385497165398e-03       1.428637170720e+04 
       4.508405953049e-03       1.457731695273e+04 
       4.631644260483e-03       1.486393553830e+04 
       4.755189214250e-03       1.514618212503e+04 
       4.879019956379e-03       1.542404637473e+04 
       5.003117441405e-03       1.569754714441e+04 
       5.127464255741e-03       1.596663514648e+04 
       5.252044456862e-03       1.623133273463e+04 
       5.376843430013e-03       1.649171893093e+04 
       5.501847760456e-03       1.674771178537e+04 
       5.627045119440e-03       1.699932562030e+04 
       5.752424162345e-03       1.724605341069e+04 
       5.877974437583e-03       1.748898043844e+04 
       6.003686305036e-03       1.772759636889e+04 
       6.129550862949e-03       1.796189774699e+04 
       6.255559882326e-03       1.819198577257e+04 
       6.381705747970e-03       1.841786246766e+04 
       6.507981405457e-03       1.863938034565e+04 
       6.634380313360e-03       1.885691304248e+04 
       6.760896400166e-03       1.907025630749e+04 
       6.887524025375e-03       1.928015851664e+04 
       7.014257944328e-03       1.948531485283e+04 
       7.141093276362e-03       1.968686351774e+04 
       7.268025475960e-03       1.988444239391e+04 
       7.395050306564e-03       2.007793704449e+04 
       7.522163816789e-03       2.026755044799e+04 
       7.649362318788e-03       2.045324077788e+04 
       7.776642368547e-03       2.063517680162e+04 
       7.904000747933e-03       2.081313436811e+04 
       8.031434448298e-03       2.098753445620e+04 
       8.158940655512e-03       2.115811170122e+04 
       8.286516736263e-03       2.132593385336e+04 
       8.414160225525e-03       2.148929461645e+04 
       8.541868815066e-03       2.164911402165e+04 
       8.669640342915e-03       2.180533141863e+04 
       8.797472783677e-03       2.195808888222e+04 
       8.925364239645e-03       2.210743925777e+04 
       9.053312932621e-03       2.225323831802e+04 
       9.181317196377e-03       2.239558916665e+04 
       9.309375469723e-03       2.253466928849e+04 
       9.437486290100e-03       2.267049412861e+04 
       9.565648287676e-03       2.280289963721e+04 
       9.693860179892e-03       2.293210585650e+04 
       9.822120766412e-03       2.305812628550e+04 
       9.950428924465e-03       2.318093614425e+04 
       1.007878360453e-02       2.330060526459e+04 
       1.020718382632e-02       2.341719838783e+04 
       1.033562867510e-02       2.352992528437e+04 
       1.046411729824e-02       2.364115710169e+04 
       1.059264890202e-02       2.374868973280e+04 
       1.072122274869e-02       2.385240468650e+04 
       1.084983815372e-02       2.395391226182e+04 
       1.097849448321e-02       2.405350376764e+04 
