# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.543184461070e-10       7.384695045068e-15       4.712030745000e-13       0.000000000000e+00       8.465298774349e-09       5.091661116735e-10      -2.514311466607e-12 
    3       1.455450289602e-10       1.246917681707e-14       5.953713275968e-13       0.000000000000e+00       5.272766852226e-09       3.667577633716e-10      -2.208229624537e-12 
    4       1.365191467224e-10       1.445960944731e-14       6.177321853954e-13       0.000000000000e+00       3.675423641842e-09       2.803896070219e-10      -1.755092592472e-12 
    5       1.292743601058e-10       1.325615842262e-14       5.797370562427e-13       0.000000000000e+00       2.745545789669e-09       2.230548906856e-10      -1.294900325651e-12 
    6       1.238584449397e-10       1.012494685482e-14       5.107676332245e-13       0.000000000000e+00       2.144176081141e-09       1.824332723787e-10      -8.763860789798e-13 
    7       1.199742811579e-10       6.638602937204e-15       4.312741369419e-13       0.000000000000e+00       1.728741378663e-09       1.523677463432e-10      -5.244225295752e-13 
    8       1.173629656411e-10       3.891381680347e-15       3.535779279497e-13       0.000000000000e+00       1.428550437610e-09       1.293837665699e-10      -2.498009907664e-13 
    9       1.156778917396e-10       2.256067494706e-15       2.850491407239e-13       0.000000000000e+00       1.203631781528e-09       1.113432769094e-10      -5.373803457203e-14 
   10       1.147518135917e-10       1.545882287977e-15       2.297718079924e-13       0.000000000000e+00       1.029660729856e-09       9.690106417999e-11       6.975699170630e-14 
   11       1.144219629398e-10       1.343588006179e-15       1.893682890270e-13       0.000000000000e+00       8.673328020345e-10       8.542333096958e-11       1.310822741875e-13 
   12       1.144984626237e-10       1.284310003580e-15       1.636570022359e-13       0.000000000000e+00       7.580608155199e-10       7.559538898562e-11       1.454985203144e-13 
   13       1.149681346764e-10       1.186081372945e-15       1.509345195423e-13       0.000000000000e+00       6.683244459358e-10       6.740986804591e-11       1.271212027232e-13 
   14       1.157032694681e-10       1.034701138987e-15       1.484383519489e-13       0.000000000000e+00       5.936502052099e-10       6.063144584810e-11       8.986583683401e-14 
   15       1.166507630529e-10       8.947799332656e-16       1.530513904883e-13       0.000000000000e+00       5.307865980265e-10       5.475777590199e-11       4.515466068538e-14 
   16       1.177945954785e-10       8.238943220736e-16       1.617878550650e-13       0.000000000000e+00       4.773225814756e-10       4.971888303042e-11       2.430711471056e-15 
   17       1.190578767844e-10       8.324298359448e-16       1.722264465760e-13       0.000000000000e+00       4.314480696130e-10       4.535826361714e-11      -3.206649837539e-14 
   18       1.204560808337e-10       8.880795587121e-16       1.825424386066e-13       0.000000000000e+00       3.916227566087e-10       4.153204036264e-11      -5.507345478370e-14 
   19       1.219920342954e-10       9.591097766431e-16       1.918119259259e-13       0.000000000000e+00       3.572186822526e-10       3.819860305692e-11      -6.606190619697e-14 
   20       1.235950457155e-10       1.015503896365e-15       1.993666635666e-13       0.000000000000e+00       3.269117800909e-10       3.524926759211e-11      -6.632390292467e-14 
   21       1.252732465394e-10       1.063752725015e-15       2.053428424441e-13       0.000000000000e+00       3.002275875591e-10       3.261519229118e-11      -5.828295395871e-14 
   22       1.270259529559e-10       1.125285134589e-15       2.102417928598e-13       0.000000000000e+00       2.765292814277e-10       3.020550463175e-11      -4.549441569159e-14 
   23       1.288443210314e-10       1.218517204580e-15       2.145205403374e-13       0.000000000000e+00       2.554921246706e-10       2.802791296336e-11      -3.090558567744e-14 
   24       1.306983585890e-10       1.359324802945e-15       2.186857591227e-13       0.000000000000e+00       2.366308081523e-10       2.609430973178e-11      -1.751346232875e-14 
   25       1.326039156075e-10       1.546109058725e-15       2.231933249917e-13       0.000000000000e+00       2.197239714199e-10       2.438533300411e-11      -7.039673894879e-15 
   26       1.345717287862e-10       1.770286206561e-15       2.284364941135e-13       0.000000000000e+00       2.044661782375e-10       2.285071267309e-11      -6.854866348496e-16 
   27       1.365860659984e-10       2.026136153568e-15       2.344019246846e-13       0.000000000000e+00       1.906756268802e-10       2.144764141158e-11       1.391064635083e-15 
   28       1.386153369181e-10       2.308613944787e-15       2.408743010279e-13       0.000000000000e+00       1.781159959530e-10       2.012996110256e-11      -3.846320335444e-16 
   29       1.406690640957e-10       2.617361374937e-15       2.475201245968e-13       0.000000000000e+00       1.667233999360e-10       1.890366858835e-11      -5.033628295045e-15 
   30       1.427593020795e-10       2.953337571114e-15       2.538712237623e-13       0.000000000000e+00       1.563753795512e-10       1.778440582843e-11      -1.107463009309e-14 
   31       1.448874818164e-10       3.316892279614e-15       2.593867210933e-13       0.000000000000e+00       1.468608360950e-10       1.677790155967e-11      -1.683317011533e-14 
   32       1.470567172615e-10       3.705922292324e-15       2.637090134130e-13       0.000000000000e+00       1.381310365366e-10       1.587455942318e-11      -2.150009011043e-14 
   33       1.492613410231e-10       4.116927592558e-15       2.664941040738e-13       0.000000000000e+00       1.301248842458e-10       1.505069918758e-11      -2.444754344853e-14 
   34       1.514888202320e-10       4.547009182540e-15       2.674142883206e-13       0.000000000000e+00       1.227310148637e-10       1.427724957121e-11      -2.514413205164e-14 
   35       1.537428330090e-10       4.999393731212e-15       2.664104591086e-13       0.000000000000e+00       1.159117018593e-10       1.354960488618e-11      -2.382897386410e-14 
   36       1.560265126538e-10       5.479924344056e-15       2.635307090275e-13       0.000000000000e+00       1.096121866457e-10       1.286711586072e-11      -2.108837045325e-14 
   37       1.583379661171e-10       5.994535076146e-15       2.588684296025e-13       0.000000000000e+00       1.037504681455e-10       1.222657001194e-11      -1.760289656480e-14 
   38       1.606787031379e-10       6.545275084637e-15       2.525664307125e-13       0.000000000000e+00       9.831151848888e-11       1.162827370808e-11      -1.384216677249e-14 
   39       1.630467681979e-10       7.133010714249e-15       2.448199409421e-13       0.000000000000e+00       9.327826486559e-11       1.107142035186e-11      -1.028375738290e-14 
   40       1.654336552773e-10       7.758476214016e-15       2.358798846660e-13       0.000000000000e+00       8.860293705124e-11       1.055210797103e-11      -7.502511345548e-15 
   41       1.678291632619e-10       8.422198782764e-15       2.259769615725e-13       0.000000000000e+00       8.422373958553e-11       1.006494770142e-11      -6.017110216277e-15 
   42       1.702394188481e-10       9.124270454777e-15       2.150559994857e-13       0.000000000000e+00       8.012783561719e-11       9.609184337498e-12      -5.755622752062e-15 
   43       1.726736314390e-10       9.864483684213e-15       2.029608389638e-13       0.000000000000e+00       7.630435741773e-11       9.184102366585e-12      -6.425845149275e-15 
   44       1.751388329951e-10       1.064237405126e-14       1.895041649699e-13       0.000000000000e+00       7.272550093802e-11       8.787168183903e-12      -7.654583379150e-15 
   45       1.776393399409e-10       1.145743840674e-14       1.744923527150e-13       0.000000000000e+00       6.935646537011e-11       8.414940206642e-12      -9.048315688956e-15 
   46       1.801755825079e-10       1.230990300927e-14       1.578137303614e-13       0.000000000000e+00       6.619199276934e-11       8.066470661087e-12      -1.040883029492e-14 
   47       1.827444667085e-10       1.320015909231e-14       1.393731898002e-13       0.000000000000e+00       6.322845871983e-11       7.740670325850e-12      -1.157337560278e-14 
