# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.543189228087e-10       7.384931047777e-15       4.712030693772e-13       2.360026797804e-19       8.465298774349e-09       5.091661116735e-10      -2.514311466607e-12 
    3       1.455459803194e-10       1.246964905031e-14       5.953713048094e-13       4.722329431436e-19       5.272766852226e-09       3.667577633716e-10      -2.208229624537e-12 
    4       1.365207278277e-10       1.446039700137e-14       6.177321200803e-13       7.875526293478e-19       3.675423641842e-09       2.803896070219e-10      -1.755092592472e-12 
    5       1.292767234554e-10       1.325734067064e-14       5.797369079050e-13       1.182243179623e-18       2.745545789669e-09       2.230548906856e-10      -1.294900325651e-12 
    6       1.238617399070e-10       1.012660350615e-14       5.107673426100e-13       1.656638193217e-18       2.144176081141e-09       1.824332723787e-10      -8.763860789798e-13 
    7       1.199786535261e-10       6.640814079911e-15       4.312736233757e-13       2.211112367931e-18       1.728741378663e-09       1.523677463432e-10      -5.244225295752e-13 
    8       1.173685572164e-10       3.894227811756e-15       3.535770871901e-13       2.846069246854e-18       1.428550437610e-09       1.293837665699e-10      -2.498009907664e-13 
    9       1.156848400494e-10       2.259629538922e-15       2.850478433608e-13       3.561928256550e-18       1.203631781528e-09       1.113432769094e-10      -5.373803457203e-14 
   10       1.147602516701e-10       1.550241599941e-15       2.297698983937e-13       4.359111548528e-18       1.029660729856e-09       9.690106417999e-11       6.975699170630e-14 
   11       1.144320192019e-10       1.348826362210e-15       1.893655848165e-13       5.238031161609e-18       8.673328020345e-10       8.542333096958e-11       1.310822741875e-13 
   12       1.145102608269e-10       1.290509578794e-15       1.636532942666e-13       6.199077007465e-18       7.580608155199e-10       7.559538898562e-11       1.454985203144e-13 
   13       1.149817939627e-10       1.193324706381e-15       1.509295723079e-13       7.242606145889e-18       6.683244459358e-10       6.740986804591e-11       1.271212027232e-13 
   14       1.157189044819e-10       1.043071087648e-15       1.484319043641e-13       8.368933761612e-18       5.936502052099e-10       6.063144584810e-11       8.986583683401e-14 
   15       1.166684841239e-10       9.043596166363e-16       1.530431569557e-13       9.578326182968e-18       5.307865980265e-10       5.475777590199e-11       4.515466068538e-14 
   16       1.178145088586e-10       8.347670589528e-16       1.617775267401e-13       1.087099619744e-17       4.773225814756e-10       4.971888303042e-11       2.430711471056e-15 
   17       1.190800849277e-10       8.446790756488e-16       1.722136927396e-13       1.224710082338e-17       4.314480696130e-10       4.535826361714e-11      -3.206649837539e-14 
   18       1.204806827102e-10       9.017888078938e-16       1.825269081023e-13       1.370674039198e-17       3.916227566087e-10       4.153204036264e-11      -5.507345478370e-14 
   19       1.220191256932e-10       9.743625296433e-16       1.917932483100e-13       1.524996731472e-17       3.572186822526e-10       3.819860305692e-11      -6.606190619697e-14 
   20       1.236247196061e-10       1.032383556129e-15       1.993444506216e-13       1.687677800347e-17       3.269117800909e-10       3.524926759211e-11      -6.632390292467e-14 
   21       1.253055933486e-10       1.082342541420e-15       2.053166888712e-13       1.858713762187e-17       3.002275875591e-10       3.261519229118e-11      -5.828295395871e-14 
