# Matter power spectrum P(k) at redshift z=0
# for k=1.05168e-05 to 1.71445 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051681017876e-05       5.105316783249e+01 
       2.339722925360e-05       1.101771182489e+02 
       3.632312077682e-05       1.682157887766e+02 
       4.932926060723e-05       2.258254096641e+02 
       6.245100133387e-05       2.833790992114e+02 
       7.572458747932e-05       3.411559983842e+02 
       8.918748080211e-05       3.993942917362e+02 
       1.028787000236e-04       4.583129221381e+02 
       1.168391793379e-04       5.181226404767e+02 
       1.311121500973e-04       5.790326242329e+02 
       1.457435500705e-04       6.412550593118e+02 
       1.607824646125e-04       7.050085681606e+02 
       1.762816039042e-04       7.705211199482e+02 
       1.922978200491e-04       8.380326296482e+02 
       2.088926671554e-04       9.077973462717e+02 
       2.261330064484e-04       9.800862165092e+02 
       2.440916567925e-04       1.055189143218e+03 
       2.628480885193e-04       1.133417252237e+03 
       2.824891549015e-04       1.215105074536e+03 
       3.031098506372e-04       1.300612650174e+03 
       3.248140799486e-04       1.390327470635e+03 
       3.477154079411e-04       1.484666151429e+03 
       3.719377573386e-04       1.584075685620e+03 
       3.976159983590e-04       1.689034131829e+03 
       4.248963623360e-04       1.800050441156e+03 
       4.539365902771e-04       1.917663194757e+03 
       4.849057072213e-04       2.042437820535e+03 
       5.179832945946e-04       2.174961953094e+03 
       5.533581198693e-04       2.315838490452e+03 
       5.912259815962e-04       2.465675904727e+03 
       6.317866456901e-04       2.625075503687e+03 
       6.752397936487e-04       2.794615411852e+03 
       7.217799815895e-04       2.974831398268e+03 
       7.715907223309e-04       3.166195056430e+03 
       8.248379444701e-04       3.369090211567e+03 
       8.816632342768e-04       3.583789256686e+03 
       9.421773983152e-04       3.810431166839e+03 
       1.006454960185e-03       4.049003738796e+03 
       1.074530190115e-03       4.299331957677e+03 
       1.146395144284e-03       4.561074763032e+03 
       1.221999971888e-03       4.833730646002e+03 
       1.301255471390e-03       5.116651948885e+03 
       1.384037601659e-03       5.409051662706e+03 
       1.470193438013e-03       5.710049205163e+03 
       1.559547947799e-03       6.018732427822e+03 
       1.651910955894e-03       6.334127527663e+03 
       1.747083758979e-03       6.655250338436e+03 
       1.844864992960e-03       6.981129950578e+03 
       1.945055520744e-03       7.310827749089e+03 
       2.047462255993e-03       7.643451743945e+03 
       2.151900953743e-03       7.978166774735e+03 
       2.258198074713e-03       8.314200411322e+03 
       2.366191870012e-03       8.650846990593e+03 
       2.475732844624e-03       8.987464956645e+03 
       2.586683750751e-03       9.323478552165e+03 
       2.698919244008e-03       9.658372021766e+03 
       2.812325312781e-03       9.991689186097e+03 
       2.926798568003e-03       1.032302350656e+04 
       3.042245459511e-03       1.065202427529e+04 
       3.158581467208e-03       1.097837011460e+04 
       3.275730300699e-03       1.130180006332e+04 
       3.393623129747e-03       1.162207380018e+04 
       3.512197859384e-03       1.193898927081e+04 
       3.631398457289e-03       1.225236987579e+04 
       3.751174336637e-03       1.256206596473e+04 
       3.871479794656e-03       1.286794922889e+04 
       3.992273505105e-03       1.316991018771e+04 
       4.113518061753e-03       1.346786086274e+04 
       4.235179569193e-03       1.376172182130e+04 
       4.357227277065e-03       1.405143395881e+04 
       4.479633253719e-03       1.433694630187e+04 
       4.602372095409e-03       1.461822173741e+04 
       4.725420667370e-03       1.489522942956e+04 
       4.848757873370e-03       1.516794576969e+04 
       4.972364450603e-03       1.543636738056e+04 
       5.096222787101e-03       1.570047921844e+04 
       5.220316759131e-03       1.596028726650e+04 
       5.344631586281e-03       1.621579225299e+04 
       5.469153702234e-03       1.646700691858e+04 
       5.593870639413e-03       1.671394925917e+04 
       5.718770925919e-03       1.695662786175e+04 
       5.843843993349e-03       1.719506988507e+04 
       5.969080094260e-03       1.742929977979e+04 
       6.094470228184e-03       1.765933485271e+04 
       6.220006075223e-03       1.788521306349e+04 
       6.345679936386e-03       1.810695841676e+04 
       6.471484679913e-03       1.832459865304e+04 
       6.597413692917e-03       1.853817154085e+04 
       6.723460837786e-03       1.874771654392e+04 
       6.849620412804e-03       1.895326751082e+04 
       6.975887116549e-03       1.915483404136e+04 
       7.102256015674e-03       1.935246181496e+04 
       7.228722515698e-03       1.954615819363e+04 
       7.355282334508e-03       1.973604284111e+04 
       7.481931478286e-03       1.992210189802e+04 
       7.608666219616e-03       2.010437377693e+04 
       7.735483077543e-03       2.028287528475e+04 
       7.862378799407e-03       2.045765118804e+04 
       7.989350344253e-03       2.062875523598e+04 
       8.116394867686e-03       2.079624848081e+04 
       8.243509708011e-03       2.096015897825e+04 
       8.370692373556e-03       2.112049915877e+04 
       8.497940531040e-03       2.127733731626e+04 
       8.625251994921e-03       2.143071116661e+04 
       8.752624717599e-03       2.158061960588e+04 
       8.880056780427e-03       2.172712161421e+04 
       9.007546385429e-03       2.187025201624e+04 
       9.135091847688e-03       2.201000101198e+04 
       9.262691588321e-03       2.214651645722e+04 
       9.390344128011e-03       2.227975788568e+04 
       9.518048081026e-03       2.240977662843e+04 
       9.645802149709e-03       2.253661322878e+04 
       9.773605119369e-03       2.266029360158e+04 
       9.901455853572e-03       2.278086688161e+04 
       1.002935328977e-02       2.289834593346e+04 
       1.015729643526e-02       2.301278666560e+04 
       1.028528436343e-02       2.312421083473e+04 
       1.041331621030e-02       2.323266756190e+04 
       1.054139117127e-02       2.333818731332e+04 
       1.066950849819e-02       2.344078264426e+04 
       1.079766749648e-02       2.354052484460e+04 
       1.092586752266e-02       2.363741343070e+04 
       1.105410798189e-02       2.373150008406e+04 
       1.118238832573e-02       2.382280614886e+04 
       1.131070805012e-02       2.391136632060e+04 
       1.143906669340e-02       2.399722592051e+04 
       1.156746383458e-02       2.408039033742e+04 
       1.169589909158e-02       2.416091216613e+04 
       1.182437211978e-02       2.423882662620e+04 
       1.195288261051e-02       2.431413520613e+04 
       1.208143028972e-02       2.438689617004e+04 
       1.221001491676e-02       2.445713406878e+04 
       1.233863628319e-02       2.452487135135e+04 
       1.246729421173e-02       2.459013561978e+04 
       1.259598855521e-02       2.465296563735e+04 
       1.272471919570e-02       2.471339096501e+04 
       1.285348604363e-02       2.477143769070e+04 
       1.298228903695e-02       2.482713499357e+04 
       1.311112814046e-02       2.488051025959e+04 
       1.324000334508e-02       2.493159114397e+04 
       1.336891466723e-02       2.498040146444e+04 
       1.349786214825e-02       2.502698561983e+04 
       1.362684585388e-02       2.507135348556e+04 
       1.375586587375e-02       2.511353915385e+04 
       1.388492232094e-02       2.515356769148e+04 
       1.401401533159e-02       2.519145462991e+04 
       1.414314506449e-02       2.522724117314e+04 
       1.427231170079e-02       2.526095409949e+04 
       1.440151544367e-02       2.529261122129e+04 
       1.453075651807e-02       2.532224082492e+04 
       1.466003517047e-02       2.534986365052e+04 
       1.478935166870e-02       2.537551659544e+04 
       1.491870630171e-02       2.539921583122e+04 
       1.504809937943e-02       2.542100100664e+04 
       1.517753123270e-02       2.544087683466e+04 
       1.530700221309e-02       2.545888289420e+04 
       1.543651269287e-02       2.547504311896e+04 
       1.556606306494e-02       2.548937439381e+04 
       1.569565374282e-02       2.550191985864e+04 
       1.582528516060e-02       2.551268290951e+04 
       1.595495777299e-02       2.552168790561e+04 
       1.608467205531e-02       2.552895112976e+04 
       1.621442850360e-02       2.553451780416e+04 
       1.634422763463e-02       2.553838009879e+04 
       1.647406998603e-02       2.554058686268e+04 
       1.660395611637e-02       2.554115184243e+04 
       1.673388660532e-02       2.554009873980e+04 
       1.686386205377e-02       2.553746919982e+04 
       1.699388308398e-02       2.553325174428e+04 
       1.712395033980e-02       2.552747655608e+04 
       1.725406448684e-02       2.552018561156e+04 
       1.738422621267e-02       2.551137941864e+04 
       1.751443622709e-02       2.550108009459e+04 
       1.764469526234e-02       2.548933305982e+04 
       1.777500407339e-02       2.547615323698e+04 
       1.790536343819e-02       2.546152028784e+04 
       1.803577415801e-02       2.544550022698e+04 
       1.816623705772e-02       2.542808964311e+04 
       1.829675298613e-02       2.540935003002e+04 
       1.842732281634e-02       2.538923768718e+04 
       1.855794744609e-02       2.536782794117e+04 
       1.868862779819e-02       2.534510382926e+04 
       1.881936482083e-02       2.532110284692e+04 
       1.895015948808e-02       2.529584613564e+04 
       1.908101280027e-02       2.526935621580e+04 
       1.921192578448e-02       2.524163691185e+04 
       1.934289949496e-02       2.521271651542e+04 
       1.947393501365e-02       2.518264336166e+04 
       1.960503345067e-02       2.515134434822e+04 
       1.973619594487e-02       2.511893737315e+04 
       1.986742366433e-02       2.508544932651e+04 
       1.999871780693e-02       2.505077002215e+04 
       2.013007960096e-02       2.501505971063e+04 
       2.026151030569e-02       2.497828801415e+04 
       2.039301121201e-02       2.494040882654e+04 
       2.052458364306e-02       2.490155465362e+04 
       2.065622895489e-02       2.486164092830e+04 
       2.078794853715e-02       2.482077080483e+04 
       2.091974381382e-02       2.477887676234e+04 
       2.105161624389e-02       2.473604879495e+04 
       2.118356732217e-02       2.469227080953e+04 
       2.131559858002e-02       2.464755166110e+04 
       2.144771158619e-02       2.460192588084e+04 
       2.157990794763e-02       2.455538317493e+04 
       2.171218931033e-02       2.450802607871e+04 
       2.184455736024e-02       2.445974053419e+04 
       2.197701382415e-02       2.441065175619e+04 
       2.210956047064e-02       2.436073319618e+04 
       2.224219911102e-02       2.430995781443e+04 
       2.237493160039e-02       2.425840102237e+04 
       2.250775983859e-02       2.420608128840e+04 
       2.264068577131e-02       2.415301275893e+04 
       2.277371139119e-02       2.409918274165e+04 
       2.290683873891e-02       2.404459652473e+04 
       2.304006990437e-02       2.398929851024e+04 
       2.317340702792e-02       2.393333860500e+04 
       2.330685230154e-02       2.387660006455e+04 
       2.344040797017e-02       2.381924461494e+04 
       2.357407633299e-02       2.376124754011e+04 
       2.370785974480e-02       2.370254698769e+04 
       2.384176061742e-02       2.364327496042e+04 
       2.397578142111e-02       2.358333370421e+04 
       2.410992468610e-02       2.352281716614e+04 
       2.424419300411e-02       2.346170180955e+04 
       2.437858902996e-02       2.339999056622e+04 
       2.451311548315e-02       2.333776125376e+04 
       2.464777514965e-02       2.327496881344e+04 
       2.478257088356e-02       2.321167265889e+04 
       2.491750560900e-02       2.314779301908e+04 
       2.505258232188e-02       2.308340629948e+04 
       2.518780409193e-02       2.301855229012e+04 
       2.532317406462e-02       2.295321536379e+04 
       2.545869546324e-02       2.288742811299e+04 
       2.559437159106e-02       2.282111851368e+04 
       2.573020583347e-02       2.275440505574e+04 
       2.586620166032e-02       2.268728760761e+04 
       2.600236262820e-02       2.261970568171e+04 
       2.613869238296e-02       2.255170751227e+04 
       2.627519466215e-02       2.248335109059e+04 
       2.641187329768e-02       2.241454750028e+04 
       2.654873221847e-02       2.234541166072e+04 
       2.668577545330e-02       2.227589584502e+04 
       2.682300713365e-02       2.220606295716e+04 
       2.696043149669e-02       2.213583507873e+04 
       2.709805288845e-02       2.206529791807e+04 
       2.723587576695e-02       2.199439843265e+04 
       2.737390470558e-02       2.192327447776e+04 
       2.751214439655e-02       2.185183257822e+04 
       2.765059965444e-02       2.178003337175e+04 
       2.778927541995e-02       2.170802664385e+04 
       2.792817676374e-02       2.163568321768e+04 
       2.806730889042e-02       2.156318298382e+04 
       2.820667714270e-02       2.149028926654e+04 
       2.834628700572e-02       2.141727342081e+04 
       2.848614411148e-02       2.134397951832e+04 
       2.862625424357e-02       2.127043346274e+04 
       2.876662334190e-02       2.119671212936e+04 
       2.890725750779e-02       2.112273300333e+04 
       2.904816300919e-02       2.104865600346e+04 
       2.918934628607e-02       2.097430050326e+04 
       2.933081395612e-02       2.089979555586e+04 
       2.947257282060e-02       2.082512050830e+04 
       2.961462987045e-02       2.075027858263e+04 
       2.975699229271e-02       2.067530267768e+04 
       2.989966747714e-02       2.060016481814e+04 
       3.004266302312e-02       2.052485584137e+04 
       3.018598674692e-02       2.044944231762e+04 
       3.032964668917e-02       2.037393708509e+04 
       3.047365112273e-02       2.029828153996e+04 
       3.061800856091e-02       2.022251713063e+04 
       3.076272776599e-02       2.014662963286e+04 
       3.090781775816e-02       2.007069992701e+04 
       3.105328782485e-02       1.999461160685e+04 
       3.119914753049e-02       1.991845002224e+04 
       3.134540672674e-02       1.984225844444e+04 
       3.149207556307e-02       1.976592048942e+04 
       3.163916449801e-02       1.968958053427e+04 
       3.178668431079e-02       1.961311850732e+04 
       3.193464611360e-02       1.953666820157e+04 
       3.208306136437e-02       1.946015930413e+04 
       3.223194188028e-02       1.938355004871e+04 
       3.238129985179e-02       1.930693315907e+04 
       3.253114785743e-02       1.923028134502e+04 
       3.268149887938e-02       1.915364628041e+04 
       3.283236631969e-02       1.907688370394e+04 
       3.298376401746e-02       1.900020758645e+04 
       3.313570626679e-02       1.892343048210e+04 
       3.328820783577e-02       1.884669559661e+04 
       3.344128398632e-02       1.876992033874e+04 
       3.359495049521e-02       1.869312955199e+04 
       3.374922367613e-02       1.861641318700e+04 
       3.390412040296e-02       1.853962563913e+04 
       3.405965813428e-02       1.846285510834e+04 
       3.421585493932e-02       1.838613941479e+04 
       3.437272952522e-02       1.830938230720e+04 
       3.453030126595e-02       1.823269801144e+04 
       3.468859023278e-02       1.815590289837e+04 
       3.484761722657e-02       1.807926330007e+04 
       3.500740381188e-02       1.800263881115e+04 
       3.516797235314e-02       1.792598982223e+04 
       3.532934605292e-02       1.784938449379e+04 
       3.549154899256e-02       1.777276563810e+04 
       3.565460617525e-02       1.769621705331e+04 
       3.581854357172e-02       1.761969954207e+04 
       3.598338816888e-02       1.754321207023e+04 
       3.614916802146e-02       1.746676392231e+04 
       3.631591230694e-02       1.739032278312e+04 
       3.648365138413e-02       1.731393812246e+04 
       3.665241685549e-02       1.723756777110e+04 
