# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.694010505656e-10       1.010497641090e-14       4.767249523553e-13       0.000000000000e+00       6.239949464829e-09       5.157813340840e-10      -2.772712453231e-12 
    3       1.625776181476e-10       1.518517418926e-14       5.416905549202e-13       0.000000000000e+00       3.771833916067e-09       3.899935583262e-10      -2.261247363975e-12 
    4       1.538379022061e-10       1.530478214308e-14       5.296107431949e-13       0.000000000000e+00       2.586927496404e-09       3.091387484082e-10      -1.610136560049e-12 
    5       1.460262729799e-10       1.190258293853e-14       4.876209353074e-13       0.000000000000e+00       1.911369180608e-09       2.528692643232e-10      -1.001852661695e-12 
    6       1.396970071293e-10       7.614990300656e-15       4.367600451114e-13       0.000000000000e+00       1.481480062774e-09       2.115480980936e-10      -4.980617032101e-13 
    7       1.348431566363e-10       4.353017240403e-15       3.861934960380e-13       0.000000000000e+00       1.187211931764e-09       1.800318006261e-10      -1.223038392626e-13 
    8       1.312089892223e-10       2.655208095576e-15       3.388399636736e-13       0.000000000000e+00       9.752622568373e-10       1.553495110630e-10       1.247976873687e-13 
    9       1.286600438388e-10       2.083321268877e-15       2.957156909141e-13       0.000000000000e+00       8.171049259493e-10       1.356792438648e-10       2.575362481807e-13 
   10       1.270412284256e-10       1.936268573038e-15       2.575433004261e-13       0.000000000000e+00       6.957686836977e-10       1.197584970141e-10       2.994802513350e-13 
   11       1.260976889141e-10       1.751796508786e-15       2.252527896864e-13       0.000000000000e+00       5.905467003727e-10       1.070531177469e-10       2.778721200805e-13 
   12       1.257324156149e-10       1.424246261002e-15       1.995633977631e-13       0.000000000000e+00       5.147365974444e-10       9.608138616283e-11       2.211876737747e-13 
   13       1.258346042882e-10       1.059839886771e-15       1.805751858758e-13       0.000000000000e+00       4.526878026356e-10       8.666452369760e-11       1.512204979305e-13 
   14       1.263184531259e-10       7.838669852847e-16       1.680289521586e-13       0.000000000000e+00       4.011893902025e-10       7.872565397632e-11       8.564494493846e-14 
   15       1.270865297968e-10       6.400618296691e-16       1.614054637113e-13       0.000000000000e+00       3.579451023369e-10       7.194326155924e-11       3.507747614028e-14 
   16       1.280769407995e-10       5.983581950784e-16       1.598483337431e-13       0.000000000000e+00       3.212552797342e-10       6.596860799867e-11       3.772763346883e-15 
   17       1.293056934996e-10       6.103265648265e-16       1.622068182287e-13       0.000000000000e+00       2.898379602480e-10       6.062790155608e-11      -8.988688437767e-15 
   18       1.306664712260e-10       6.491008000079e-16       1.672324597671e-13       0.000000000000e+00       2.626158576564e-10       5.590535713640e-11      -7.362914039546e-15 
   19       1.321777128695e-10       7.162938687011e-16       1.740064674917e-13       0.000000000000e+00       2.391381631098e-10       5.177047495858e-11       3.522230438700e-15 
   20       1.338410556142e-10       8.184390585606e-16       1.814377534565e-13       0.000000000000e+00       2.184907834241e-10       4.806984843859e-11       1.699802240746e-14 
   21       1.356317502113e-10       9.523248879374e-16       1.889867575270e-13       0.000000000000e+00       2.003407246509e-10       4.474985790977e-11       2.882036866227e-14 
   22       1.374854833834e-10       1.109574529318e-15       1.962417401332e-13       0.000000000000e+00       1.842444241277e-10       4.174173568671e-11       3.551343522975e-14 
   23       1.394326229278e-10       1.283020628755e-15       2.030508553650e-13       0.000000000000e+00       1.699750739719e-10       3.904152112564e-11       3.628829227523e-14 
   24       1.415035309243e-10       1.467009243592e-15       2.093432459948e-13       0.000000000000e+00       1.571979352669e-10       3.662699816447e-11       3.166108974552e-14 
   25       1.436777001251e-10       1.667815286925e-15       2.151172425850e-13       0.000000000000e+00       1.457591351455e-10       3.444660668837e-11       2.324868149930e-14 
   26       1.459035415261e-10       1.895052882706e-15       2.203858910623e-13       0.000000000000e+00       1.354482673126e-10       3.242345663251e-11       1.337777474782e-14 
   27       1.481827580052e-10       2.149846981067e-15       2.251171510710e-13       0.000000000000e+00       1.261397975428e-10       3.055391653295e-11       4.144680693661e-15 
   28       1.505217067963e-10       2.430603482068e-15       2.292385072122e-13       0.000000000000e+00       1.176716056271e-10       2.884286633774e-11      -2.481854146385e-15 
   29       1.529275767543e-10       2.737385232250e-15       2.325878752520e-13       0.000000000000e+00       1.099987960482e-10       2.728387724458e-11      -6.064686286126e-15 
   30       1.553930439008e-10       3.070565563496e-15       2.349417437879e-13       0.000000000000e+00       1.030369931655e-10       2.585015703134e-11      -6.742001702423e-15 
