# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881806e-26       4.634785000235e-09       2.157468236846e+22       1.417573577256e+04       1.417573577256e-10       1.417573577256e+18       2.676054550095e-09       2.753580214648e+44       2.490333355459e+33       1.324943686749e+34      -4.793239646449e-12       8.953380853919e-12      -1.089400000000e+00       1.901088978193e+44       4.654669192998e+44       5.598746332086e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124169e-26       4.667526809499e-09       2.127577894999e+22       1.417573577256e+04       1.427496592297e-10       1.407719540473e+18       2.694786931946e-09       2.677810562215e+44       2.438760059976e+33       1.297504905469e+34      -4.793239646449e-12       8.970147051189e-12      -1.089400000000e+00       1.848777136920e+44       4.526587699289e+44       7.810938364177e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275395e-26       4.700268618762e-09       2.098101664712e+22       1.417573577256e+04       1.437489068443e-10       1.397934002456e+18       2.713650440469e-09       2.604125846403e+44       2.388254816206e+33       1.270634364730e+34      -4.793239646449e-12       8.986944645020e-12      -1.089400000000e+00       1.797904748912e+44       4.402030595466e+44       1.562187672835e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295310e-26       4.733010428026e-09       2.069033808733e+22       1.417573577256e+04       1.447551491922e-10       1.388216487047e+18       2.732645993552e-09       2.532468696478e+44       2.338795505446e+33       1.244320296616e+34      -4.793239646449e-12       9.003773694206e-12      -1.089400000000e+00       1.748432205055e+44       4.280900901681e+44       2.343281509252e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438206e-26       4.765752237290e-09       2.040368669298e+22       1.417573577256e+04       1.457684352366e-10       1.378566521397e+18       2.751774515507e-09       2.462783320360e+44       2.290360467055e+33       1.218551176914e+34      -4.793239646449e-12       9.020634257651e-12      -1.089400000000e+00       1.700320986150e+44       4.163104306655e+44       3.124375345669e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256979e-26       4.800313035958e-09       2.012100667028e+22       1.417573577256e+04       1.467888142832e-10       1.368983635945e+18       2.771036937116e-09       2.395015461189e+44       2.242928488975e+33       1.193315720075e+34      -4.793239646449e-12       9.037526394368e-12      -1.089400000000e+00       1.653533632922e+44       4.048549094253e+44       3.905469182085e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607317e-26       4.833054845221e-09       1.984224299839e+22       1.417573577256e+04       1.478163359832e-10       1.359467364394e+18       2.790434195675e-09       2.329112355080e+44       2.196478798432e+33       1.168602874262e+34      -4.793239646449e-12       9.054450163482e-12      -1.089400000000e+00       1.608033716854e+44       3.937146072073e+44       4.686563018502e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651962e-26       4.867615643889e-09       1.956734141880e+22       1.417573577256e+04       1.488510503351e-10       1.350017243689e+18       2.809967235045e-09       2.265022690039e+44       2.150991052847e+33       1.144401816518e+34      -4.793239646449e-12       9.071405624228e-12      -1.089400000000e+00       1.563785811826e+44       3.828808502000e+44       5.467656854919e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865019e-26       4.900357453153e-09       1.929624842469e+22       1.417573577256e+04       1.498930076875e-10       1.340632813991e+18       2.829637005690e-09       2.202696566012e+44       2.106445330924e+33       1.120701948022e+34      -4.793239646449e-12       9.088392835953e-12      -1.089400000000e+00       1.520755466528e+44       3.723452032673e+44       6.248750691335e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036333e-26       4.934918251820e-09       1.902891125053e+22       1.417573577256e+04       1.509422587413e-10       1.331313618660e+18       2.849444464730e-09       2.142085456034e+44       2.062822123921e+33       1.097492889449e+34      -4.793239646449e-12       9.105411858112e-12      -1.089400000000e+00       1.478909177642e+44       3.620994633806e+44       7.029844527752e-07       1.592850683960e+01 
       9.326212236469e+13       8.690422275921e-26       4.969479050487e-09       1.876527786185e+22       1.417573577256e+04       1.519988545525e-10       1.322059204230e+18       2.869390575983e-09       2.083142168447e+44       2.020102327115e+33       1.074764476422e+34      -4.793239646449e-12       9.122462750276e-12      -1.089400000000e+00       1.438214363750e+44       3.521356532325e+44       7.810938364168e-07       1.433565615564e+01 
       9.261382558559e+13       8.812514018475e-26       5.004039849155e-09       1.850529694507e+22       1.417573577256e+04       1.530628465343e-10       1.312869120388e+18       2.889476310015e-09       2.025820810155e+44       1.978267231426e+33       1.052506755063e+34      -4.793239646449e-12       9.139545572123e-12      -1.089400000000e+00       1.398639339974e+44       3.424460150254e+44       8.592032200584e-07       1.303241468694e+01 
       9.197003533823e+13       8.936321027921e-26       5.040419637226e-09       1.824891789753e+22       1.417573577256e+04       1.541342864601e-10       1.303742919948e+18       2.909702644185e-09       1.970076750890e+44       1.937298515231e+33       1.030709977632e+34      -4.793239646449e-12       9.156660383446e-12      -1.089400000000e+00       1.360153293297e+44       3.330230044309e+44       9.373126037000e-07       1.194638012970e+01 
