# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.103872532996e+03       5.155191765509e-02       0.000000000000e+00       3.407944735606e+00       5.091720258680e-08       3.315406579346e-03      -1.616650953436e-05 
    3       1.037094677918e+03       8.420717712772e-02       0.000000000000e+00       4.253884228578e+00       6.396417869857e-08       3.331448611849e-03      -1.981531557406e-05 
    4       9.733462039155e+02       9.456046825318e-02       0.000000000000e+00       4.354729804138e+00       7.450947855414e-08       3.259082151681e-03      -1.998397610946e-05 
    5       9.238228334940e+02       8.371495963203e-02       0.000000000000e+00       4.029076848994e+00       8.360919090942e-08       3.156075634647e-03      -1.765549946251e-05 
    6       8.879638691553e+02       6.154015680228e-02       0.000000000000e+00       3.498824531451e+00       9.155299516421e-08       3.041338684998e-03      -1.369219196206e-05 
    7       8.634226644987e+02       3.883478308856e-02       0.000000000000e+00       2.912225574503e+00       9.850713837658e-08       2.923912919352e-03      -8.973693793956e-06 
    8       8.473453371135e+02       2.220698462104e-02       0.000000000000e+00       2.357114835410e+00       1.046414145297e-07       2.807638634101e-03      -4.296286970771e-06 
    9       8.379183327232e+02       1.311325976578e-02       0.000000000000e+00       1.883393515617e+00       1.101387466865e-07       2.694007045022e-03      -2.985119852614e-07 
   10       8.335539135041e+02       9.569299579802e-03       0.000000000000e+00       1.515862662674e+00       1.151363868499e-07       2.585688674072e-03       2.597590227024e-06 
   11       8.330926706219e+02       8.621943339391e-03       0.000000000000e+00       1.261519267973e+00       1.163400542658e-07       2.491983770805e-03       4.191259945290e-06 
   12       8.359896735962e+02       8.120814621681e-03       0.000000000000e+00       1.112760600656e+00       1.201801794903e-07       2.395850247199e-03       4.564351415549e-06 
   13       8.410653088284e+02       7.270786586430e-03       0.000000000000e+00       1.051726389984e+00       1.236230815088e-07       2.308761702100e-03       3.918510281121e-06 
   14       8.476938790806e+02       6.250459098059e-03       0.000000000000e+00       1.056341817361e+00       1.267112361767e-07       2.220634885675e-03       2.563277105168e-06 
   15       8.559494148978e+02       5.517881058193e-03       0.000000000000e+00       1.104042015093e+00       1.294824959345e-07       2.141933643155e-03       8.804740270348e-07 
   16       8.657800648364e+02       5.314954671287e-03       0.000000000000e+00       1.173605766714e+00       1.319698032068e-07       2.071967417191e-03      -7.849910946774e-07 
   17       8.761626970364e+02       5.553249675721e-03       0.000000000000e+00       1.249039031747e+00       1.342009103698e-07       2.007419755748e-03      -2.155291561511e-06 
   18       8.874718536726e+02       5.954858583284e-03       0.000000000000e+00       1.319979882986e+00       1.361468872874e-07       1.941514634999e-03      -3.056844565531e-06 
   19       8.997761940471e+02       6.370821895692e-03       0.000000000000e+00       1.382046677323e+00       1.379863389144e-07       1.876916113491e-03      -3.421869514316e-06 
   20       9.124732131654e+02       6.713839281414e-03       0.000000000000e+00       1.432809355572e+00       1.395724471680e-07       1.816313475322e-03      -3.287037198464e-06 
   21       9.256742248806e+02       7.091782830846e-03       0.000000000000e+00       1.474454690046e+00       1.409974028693e-07       1.760674253835e-03      -2.752902380409e-06 
   22       9.394641224105e+02       7.684906843515e-03       0.000000000000e+00       1.511413226832e+00       1.422351152647e-07       1.707389488531e-03      -2.005923649105e-06 
   23       9.537280169158e+02       8.567965552091e-03       0.000000000000e+00       1.547477793574e+00       1.433594908139e-07       1.655863435054e-03      -1.209418221605e-06 
   24       9.681624798838e+02       9.767090418802e-03       0.000000000000e+00       1.586357726985e+00       1.443195612638e-07       1.604761213380e-03      -5.410153429602e-07 
   25       9.829155220640e+02       1.124144449158e-02       0.000000000000e+00       1.630000776950e+00       1.451729030155e-07       1.555883708258e-03      -1.017012346016e-07 
   26       9.981336044747e+02       1.292495171017e-02       0.000000000000e+00       1.679272188814e+00       1.458969826934e-07       1.510950076990e-03       4.933857609149e-08 
   27       1.013707517178e+03       1.480395856942e-02       0.000000000000e+00       1.732721304662e+00       1.465202648159e-07       1.469722217880e-03      -7.058835878281e-08 
   28       1.029392691848e+03       1.687778094085e-02       0.000000000000e+00       1.787631675395e+00       1.470045627711e-07       1.430381234424e-03      -3.939005594348e-07 
   29       1.045250013782e+03       1.914188519207e-02       0.000000000000e+00       1.841070144247e+00       1.474269892114e-07       1.393021738464e-03      -8.541525988653e-07 
   30       1.061359416063e+03       2.158740435924e-02       0.000000000000e+00       1.889354877916e+00       1.478090757538e-07       1.357453301442e-03      -1.356094990639e-06 
   31       1.077723497379e+03       2.420344413391e-02       0.000000000000e+00       1.928477725451e+00       1.480664277989e-07       1.322639921145e-03      -1.781981906391e-06 
   32       1.094363230538e+03       2.698631694336e-02       0.000000000000e+00       1.956458345350e+00       1.482462814412e-07       1.288861883078e-03      -2.076768508386e-06 
   33       1.111237971562e+03       2.993355042947e-02       0.000000000000e+00       1.971838893676e+00       1.483785853306e-07       1.256335758834e-03      -2.203643499100e-06 
   34       1.128261021949e+03       3.304723755581e-02       0.000000000000e+00       1.973468723590e+00       1.484250901149e-07       1.224806839510e-03      -2.136791217785e-06 
   35       1.145478534282e+03       3.635416353121e-02       0.000000000000e+00       1.961878591997e+00       1.484193935221e-07       1.194542339598e-03      -1.908739060752e-06 
   36       1.162940916939e+03       3.989334071386e-02       0.000000000000e+00       1.938431587273e+00       1.483686644936e-07       1.165618052718e-03      -1.590520052892e-06 
   37       1.180658975291e+03       4.370286528606e-02       0.000000000000e+00       1.904691133985e+00       1.482317135201e-07       1.137786143986e-03      -1.267882915809e-06 
   38       1.198635349663e+03       4.779125867907e-02       0.000000000000e+00       1.861371181363e+00       1.480489895849e-07       1.111259259793e-03      -9.810965778150e-07 
   39       1.216834344265e+03       5.215673196284e-02       0.000000000000e+00       1.809070944232e+00       1.478581490085e-07       1.086151434230e-03      -7.607937111293e-07 
   40       1.235166991262e+03       5.679459949002e-02       0.000000000000e+00       1.748568346603e+00       1.476452053957e-07       1.062196621018e-03      -6.435920482613e-07 
   41       1.253532934872e+03       6.169936623494e-02       0.000000000000e+00       1.680460407191e+00       1.473606188816e-07       1.038912816024e-03      -6.604483111594e-07 
   42       1.271974719103e+03       6.687229364723e-02       0.000000000000e+00       1.603920747947e+00       1.470281849863e-07       1.016383749848e-03      -7.933755812843e-07 
   43       1.290565157809e+03       7.231595602977e-02       0.000000000000e+00       1.517553613694e+00       1.466746978153e-07       9.947257427738e-04      -9.988527196325e-07 
   44       1.309362867894e+03       7.803211916452e-02       0.000000000000e+00       1.419712502799e+00       1.462924743554e-07       9.738436470634e-04      -1.216311738801e-06 
   45       1.328407793126e+03       8.402233806494e-02       0.000000000000e+00       1.308792410744e+00       1.458522682549e-07       9.535259984420e-04      -1.381547743819e-06 
   46       1.347710576787e+03       9.029006869493e-02       0.000000000000e+00       1.184248128941e+00       1.453795937340e-07       9.338794044254e-04      -1.479520804900e-06 
   47       1.367256837911e+03       9.683911151706e-02       0.000000000000e+00       1.045853393289e+00       1.449042018163e-07       9.150190927910e-04      -1.511273232778e-06 
   48       1.387007541851e+03       1.036730163289e-01       0.000000000000e+00       8.934210391017e-01       1.444344525392e-07       8.969299334824e-04      -1.480718382837e-06 
   49       1.406896984063e+03       1.107950745532e-01       0.000000000000e+00       7.268048821408e-01       1.439508211722e-07       8.794437919629e-04      -1.395038532189e-06 
   50       1.426858818220e+03       1.182079332749e-01       0.000000000000e+00       5.459873888409e-01       1.434185868717e-07       8.623268781448e-04      -1.265333893429e-06 
   51       1.446917147199e+03       1.259123317327e-01       0.000000000000e+00       3.513663774546e-01       1.428525565335e-07       8.456421405816e-04      -1.107868287212e-06 
   52       1.467116672549e+03       1.339080085349e-01       0.000000000000e+00       1.435493901775e-01       1.422740157649e-07       8.294911410065e-04      -9.440366593652e-07 
   53       1.487496131227e+03       1.421940250329e-01       0.000000000000e+00      -7.671951658883e-02       1.416903524281e-07       8.139045886606e-04      -8.006646760114e-07 
   54       1.508087599110e+03       1.507687398100e-01       0.000000000000e+00      -3.085538540637e-01       1.410912406725e-07       7.988307993359e-04      -7.105341857113e-07 
   55       1.528914942071e+03       1.596303464348e-01       0.000000000000e+00      -5.511796517793e-01       1.404575085940e-07       7.841781695961e-04      -7.037688836336e-07 
   56       1.549990314207e+03       1.687787015986e-01       0.000000000000e+00      -8.047880351306e-01       1.398034765773e-07       7.699902492503e-04      -7.768876515082e-07 
   57       1.571315569743e+03       1.782139064431e-01       0.000000000000e+00      -1.069884080246e+00       1.391477376330e-07       7.563138482174e-04      -9.133195537695e-07 
   58       1.592882325431e+03       1.879357796006e-01       0.000000000000e+00      -1.347048654765e+00       1.384997365028e-07       7.431430525611e-04      -1.091103472533e-06 
   59       1.614671230855e+03       1.979438536291e-01       0.000000000000e+00      -1.636942663385e+00       1.378574210322e-07       7.304117966936e-04      -1.282364403118e-06 
   60       1.636651238724e+03       2.082373714475e-01       0.000000000000e+00      -1.940311293412e+00       1.372046790829e-07       7.179861206225e-04      -1.452770894784e-06 
   61       1.658791803325e+03       2.188148994526e-01       0.000000000000e+00      -2.257815372341e+00       1.365199113740e-07       7.057167855531e-04      -1.569700782706e-06 
   62       1.681104326244e+03       2.296730734580e-01       0.000000000000e+00      -2.589471601853e+00       1.358131465415e-07       6.936369872373e-04      -1.631303981019e-06 
   63       1.703608761052e+03       2.408075636607e-01       0.000000000000e+00      -2.935093640322e+00       1.351003190876e-07       6.818164053045e-04      -1.646159676504e-06 
   64       1.726321192900e+03       2.522134177051e-01       0.000000000000e+00      -3.294452688086e+00       1.343921283736e-07       6.703032200430e-04      -1.625613058780e-06 
   65       1.749253519016e+03       2.638850449551e-01       0.000000000000e+00      -3.667276247396e+00       1.336927430052e-07       6.591209460522e-04      -1.584023263962e-06 
   66       1.772413129207e+03       2.758162007680e-01       0.000000000000e+00      -4.053246882353e+00       1.329983962962e-07       6.482651387596e-04      -1.539019479625e-06 
   67       1.795802586360e+03       2.879999707662e-01       0.000000000000e+00      -4.452000978860e+00       1.322958693430e-07       6.376999738037e-04      -1.511765211066e-06 
   68       1.819422482417e+03       3.004292050345e-01       0.000000000000e+00      -4.863182280776e+00       1.315690478496e-07       6.273804975890e-04      -1.522022111405e-06 
   69       1.843281392472e+03       3.130979580281e-01       0.000000000000e+00      -5.286617867039e+00       1.308256494568e-07       6.173355192300e-04      -1.570952997973e-06 
   70       1.867387372939e+03       3.260003135154e-01       0.000000000000e+00      -5.722175768288e+00       1.300782057660e-07       6.076033682164e-04      -1.653613312984e-06 
   71       1.891744730529e+03       3.391299563246e-01       0.000000000000e+00      -6.169713503596e+00       1.293361182862e-07       5.982063986930e-04      -1.763602256750e-06 
   72       1.916353783957e+03       3.524801681239e-01       0.000000000000e+00      -6.629078241342e+00       1.286049349071e-07       5.891490282221e-04      -1.892944876091e-06 
   73       1.941210625666e+03       3.660438232010e-01       0.000000000000e+00      -7.100106960082e+00       1.278855711114e-07       5.804157072041e-04      -2.031970645518e-06 
   74       1.966306883535e+03       3.798133842430e-01       0.000000000000e+00      -7.582626609417e+00       1.271734743341e-07       5.719688189589e-04      -2.169188541178e-06 
   75       1.991629482598e+03       3.937808981166e-01       0.000000000000e+00      -8.076454270866e+00       1.264577298742e-07       5.637465104671e-04      -2.291158607568e-06 
   76       2.017165836123e+03       4.079375513478e-01       0.000000000000e+00      -8.581384941132e+00       1.257258947105e-07       5.556842931751e-04      -2.385490229927e-06 
   77       2.042921038467e+03       4.222722523087e-01       0.000000000000e+00      -9.097151954355e+00       1.249828146709e-07       5.477918308137e-04      -2.451092288482e-06 
   78       2.068903389073e+03       4.367727816178e-01       0.000000000000e+00      -9.623459601405e+00       1.242368314242e-07       5.400929731955e-04      -2.490472538202e-06 
   79       2.095119116337e+03       4.514261964678e-01       0.000000000000e+00      -1.015999477578e+01       1.234941825967e-07       5.326027964808e-04      -2.506901689290e-06 
   80       2.121572250660e+03       4.662188173773e-01       0.000000000000e+00      -1.070642688066e+01       1.227585798967e-07       5.253266304724e-04      -2.504470073339e-06 
   81       2.148264497496e+03       4.811362149415e-01       0.000000000000e+00      -1.126240773597e+01       1.220307585349e-07       5.182590549115e-04      -2.488145836688e-06 
