# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.103876223828e+03       5.155371976363e-02       1.802108258050e-06       3.407944698833e+00       5.091720258680e-08       3.315406579346e-03      -1.616650953436e-05 
    3       1.037102043050e+03       8.421078285386e-02       3.605723348158e-06       4.253884064932e+00       6.396417869857e-08       3.331448611849e-03      -1.981531557406e-05 
    4       9.733584428108e+02       9.456648110386e-02       6.012836981724e-06       4.354729334807e+00       7.450947855414e-08       3.259082151681e-03      -1.998397610946e-05 
    5       9.238411247187e+02       8.372398499861e-02       9.025319780082e-06       4.029075782311e+00       8.360919090942e-08       3.156075634647e-03      -1.765549946251e-05 
    6       8.879893661040e+02       6.155280232494e-02       1.264539537358e-05       3.498822439837e+00       9.155299516421e-08       3.041338684998e-03      -1.369219196206e-05 
    7       8.634564917114e+02       3.885165895433e-02       1.687557063422e-05       2.912221874501e+00       9.850713837658e-08       2.923912919352e-03      -8.973693793956e-06 
    8       8.473885872509e+02       2.222870378689e-02       2.171855826570e-05       2.357108771144e+00       1.046414145297e-07       2.807638634101e-03      -4.296286970771e-06 
    9       8.379720642526e+02       1.314043810048e-02       2.717719476174e-05       1.883384145889e+00       1.101387466865e-07       2.694007045022e-03      -2.985119852614e-07 
   10       8.336191491213e+02       9.602555920502e-03       3.325435691115e-05       1.515848851748e+00       1.151363868499e-07       2.585688674072e-03       2.597590227024e-06 
   11       8.331703964119e+02       8.661899461842e-03       3.995288006724e-05       1.261499679960e+00       1.163400542658e-07       2.491983770805e-03       4.191259945290e-06 
   12       8.360808389129e+02       8.168095125287e-03       4.727548130850e-05       1.112733697290e+00       1.201801794903e-07       2.395850247199e-03       4.564351415549e-06 
   13       8.411708268478e+02       7.326018698059e-03       5.522469040066e-05       1.051690431462e+00       1.236230815088e-07       2.308761702100e-03       3.918510281121e-06 
   14       8.478146279654e+02       6.314272400878e-03       6.380279113595e-05       1.056294865802e+00       1.267112361767e-07       2.220634885675e-03       2.563277105168e-06 
   15       8.560862394901e+02       5.590907153994e-03       7.301177518771e-05       1.103981940133e+00       1.294824959345e-07       2.141933643155e-03       8.804740270348e-07 
   16       8.659337787831e+02       5.397826786640e-03       8.285331009496e-05       1.173530252684e+00       1.319698032068e-07       2.071967417191e-03      -7.849910946774e-07 
   17       8.763340852389e+02       5.646602223798e-03       9.332872240326e-05       1.248945585869e+00       1.342009103698e-07       2.007419755748e-03      -2.155291561511e-06 
   18       8.876616749976e+02       6.059326689016e-03       1.044389889760e-04       1.319865844321e+00       1.361468872874e-07       1.941514634999e-03      -3.056844565531e-06 
   19       8.999851838867e+02       6.487040929337e-03       1.161847879192e-04       1.381909224314e+00       1.379863389144e-07       1.876916113491e-03      -3.421869514316e-06 
   20       9.127020865213e+02       6.842444329561e-03       1.285664462728e-04       1.432645516143e+00       1.395724471680e-07       1.816313475322e-03      -3.287037198464e-06 
   21       9.259236785777e+02       7.233408257797e-03       1.415840897681e-04       1.474261347006e+00       1.409974028693e-07       1.760674253835e-03      -2.752902380409e-06 
   22       9.397348379023e+02       7.840185782673e-03       1.552375807790e-04       1.511187126252e+00       1.422351152647e-07       1.707389488531e-03      -2.005923649105e-06 
   23       9.540206619105e+02       8.737529529359e-03       1.695266977897e-04       1.547215548215e+00       1.433594908139e-07       1.655863435054e-03      -1.209418221605e-06 
   24       9.684777105699e+02       9.951568904232e-03       1.844510729879e-04       1.586055822758e+00       1.443195612638e-07       1.604761213380e-03      -5.410153429602e-07 
   25       9.832539837955e+02       1.144146463096e-02       2.000104030087e-04       1.629655574695e+00       1.451729030155e-07       1.555883708258e-03      -1.017012346016e-07 
   26       9.984959331960e+02       1.314113796633e-02       2.162043727408e-04       1.678879929190e+00       1.458969826934e-07       1.510950076990e-03       4.933857609149e-08 
   27       1.014094339407e+03       1.503693253534e-02       2.330328406006e-04       1.732278110100e+00       1.465202648159e-07       1.469722217880e-03      -7.058835878281e-08 
   28       1.029804625127e+03       1.712816109378e-02       2.504957894961e-04       1.787133554980e+00       1.470045627711e-07       1.430381234424e-03      -3.939005594348e-07 
   29       1.045687665024e+03       1.941028690354e-02       2.685935438589e-04       1.840512998936e+00       1.474269892114e-07       1.393021738464e-03      -8.541525988653e-07 
   30       1.061823381367e+03       2.187443972072e-02       2.873266443137e-04       1.888734506790e+00       1.478090757538e-07       1.357453301442e-03      -1.356094990639e-06 
   31       1.078214361759e+03       2.450972178382e-02       3.066958466987e-04       1.927789835076e+00       1.480664277989e-07       1.322639921145e-03      -1.781981906391e-06 
