# Matter power spectrum P(k) at redshift z=0
# for k=1.03017e-05 to 1.06968 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030171817976e-05       5.189028177666e+01 
       2.300171362806e-05       1.130247658510e+02 
       3.574512393247e-05       1.732661400561e+02 
       4.856527756048e-05       2.331841354131e+02 
       6.149603895309e-05       2.931118153227e+02 
       7.457210209151e-05       3.533040973561e+02 
       8.782929319968e-05       4.139823501262e+02 
       1.013048865052e-04       4.753527684458e+02 
       1.150379370116e-04       5.376158636748e+02 
       1.290696342668e-04       6.009723077588e+02 
       1.434436811245e-04       6.656270309110e+02 
       1.582067014504e-04       7.317924706441e+02 
       1.734086805816e-04       7.996913992473e+02 
       1.891034420471e-04       8.695595300880e+02 
       2.053491635114e-04       9.416480505401e+02 
       2.222089340069e-04       1.016226164171e+03 
       2.397513531355e-04       1.093583639613e+03 
       2.580511708529e-04       1.174033455651e+03 
       2.771899634822e-04       1.257914436372e+03 
       2.972568374503e-04       1.345593904153e+03 
       3.183491465807e-04       1.437470272007e+03 
       3.405732012625e-04       1.533975431877e+03 
       3.640449380967e-04       1.635576812528e+03 
       3.888905064475e-04       1.742778933311e+03 
       4.152467136203e-04       1.856124043565e+03 
       4.432612534799e-04       1.976191689499e+03 
       4.730926251288e-04       2.103596639884e+03 
       5.049096306784e-04       2.238984712357e+03 
       5.388903272658e-04       2.383026061299e+03 
       5.752203029307e-04       2.536405277972e+03 
       6.140901548111e-04       2.699808015618e+03 
       6.556920782817e-04       2.873903762397e+03 
       7.002155335532e-04       3.059324896356e+03 
       7.478420454001e-04       3.256642542752e+03 
       7.987393096257e-04       3.466340185801e+03 
       8.530549150773e-04       3.688786768460e+03 
       9.109101205355e-04       3.924211295124e+03 
       9.723942212184e-04       4.172681551445e+03 
       1.037560067908e-03       4.434089239137e+03 
       1.106421239596e-03       4.708143579779e+03 
       1.178951214580e-03       4.994374705906e+03 
       1.255084657222e-03       5.292146595620e+03 
       1.334720682482e-03       5.600671759600e+03 
       1.417727731643e-03       5.919022981831e+03 
       1.503949536356e-03       6.246251452858e+03 
       1.593211588548e-03       6.581321419291e+03 
       1.685327568269e-03       6.923174654112e+03 
       1.780105286382e-03       7.270757061771e+03 
       1.877351839794e-03       7.623040865800e+03 
       1.976877820931e-03       7.979042025369e+03 
       2.078500546673e-03       8.337832759115e+03 
       2.182046362916e-03       8.698549883189e+03 
       2.287352137367e-03       9.060399300920e+03 
       2.394266079727e-03       9.422657141473e+03 
       2.502648032634e-03       9.784668713648e+03 
       2.612369366560e-03       1.014584635632e+04 
       2.723312593978e-03       1.050566669335e+04 
       2.835370797353e-03       1.086366226536e+04 
       2.948446945183e-03       1.121942471102e+04 
       3.062453152020e-03       1.157258936946e+04 
       3.177309923034e-03       1.192284252621e+04 
       3.292945411308e-03       1.226990580033e+04 
       3.409294706441e-03       1.261354006499e+04 
       3.526299165844e-03       1.295353691743e+04 
       3.643905794867e-03       1.328971655736e+04 
       3.762066678164e-03       1.362192585516e+04 
       3.880738462202e-03       1.395003010927e+04 
       3.999881887136e-03       1.427392499920e+04 
       4.119461365285e-03       1.459350928285e+04 
       4.239444602851e-03       1.490871078899e+04 
       4.359802261315e-03       1.521946105501e+04 
       4.480507654886e-03       1.552571148548e+04 
       4.601536480481e-03       1.582742200789e+04 
       4.722866576937e-03       1.612456645748e+04 
       4.844477710348e-03       1.641712061386e+04 
       4.966351382710e-03       1.670507380782e+04 
       5.088470661301e-03       1.698841494110e+04 
       5.210820026490e-03       1.726715270399e+04 
       5.333385235897e-03       1.754128205921e+04 
       5.456153203070e-03       1.781082503581e+04 
       5.579111889016e-03       1.807579727700e+04 
       5.702250205157e-03       1.833619559790e+04 
       5.825557926398e-03       1.859206827178e+04 
       5.949025613189e-03       1.884343516412e+04 
       6.072644541558e-03       1.909031001916e+04 
       6.196406640235e-03       1.933272749809e+04 
       6.320304434086e-03       1.957071482958e+04 
       6.444330993150e-03       1.980428103422e+04 
       6.568479886689e-03       2.003350334116e+04 
       6.692745141684e-03       2.025840119035e+04 
       6.817121205332e-03       2.047901324477e+04 
       6.941602911080e-03       2.069538282076e+04 
       7.066185447869e-03       2.090752070369e+04 
       7.190864332208e-03       2.111543710444e+04 
       7.315635382831e-03       2.131925181498e+04 
       7.440494697632e-03       2.151895814127e+04 
       7.565438632678e-03       2.171460167766e+04 
       7.690463783081e-03       2.190623917165e+04 
       7.815566965544e-03       2.209393127011e+04 
       7.940745202415e-03       2.227763028908e+04 
       8.065995707117e-03       2.245743139664e+04 
       8.191315870805e-03       2.263337417311e+04 
       8.316703250141e-03       2.280550536254e+04 
       8.442155556087e-03       2.297384532628e+04 
       8.567670643615e-03       2.313844454728e+04 
       8.693246502252e-03       2.329933645822e+04 
       8.818881247384e-03       2.345656982738e+04 
       8.944573112253e-03       2.361015667457e+04 
       9.070320440585e-03       2.376019567349e+04 
       9.196121679789e-03       2.390669388021e+04 
       9.321975374688e-03       2.404966733835e+04 
       9.447880161720e-03       2.418917345496e+04 
       9.573834763589e-03       2.432524826341e+04 
       9.699837984311e-03       2.445793309234e+04 
       9.825888704635e-03       2.458726753204e+04 
       9.951985877795e-03       2.471328194089e+04 
       1.007812852558e-02       2.483603789755e+04 
       1.020431573470e-02       2.495553850177e+04 
       1.033054665338e-02       2.507182004060e+04 
       1.045682048825e-02       2.518495364598e+04 
       1.058313650140e-02       2.529493214259e+04 
       1.070949400770e-02       2.540184069676e+04 
       1.083589237228e-02       2.550564094682e+04 
       1.096233100817e-02       2.560647364371e+04 
       1.108880937414e-02       2.570425030058e+04 
       1.121532697269e-02       2.579912560279e+04 
       1.134188334816e-02       2.589105855647e+04 
       1.146847808494e-02       2.598009265132e+04 
       1.159511080590e-02       2.606624373621e+04 
       1.172178117086e-02       2.614960844335e+04 
       1.184848887515e-02       2.623015950395e+04 
       1.197523364831e-02       2.630795198244e+04 
       1.210201525290e-02       2.638305873642e+04 
       1.222883348331e-02       2.645543178702e+04 
       1.235568816477e-02       2.652515043672e+04 
       1.248257915230e-02       2.659222094806e+04 
