# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.227495482113e-10       1.935810326136e-15       2.785970514893e-13       0.000000000000e+00       9.970146961389e-09       3.170693790489e-10      -1.320750566217e-12 
    3       1.186667324882e-10       3.110042104129e-15       3.351544759009e-13       0.000000000000e+00       6.351631319774e-09       2.168028430527e-10      -1.124212703237e-12 
    4       1.147111626431e-10       3.478956058983e-15       3.344120424532e-13       0.000000000000e+00       4.476271661596e-09       1.610736357536e-10      -8.715251524577e-13 
    5       1.118535001136e-10       3.089293336553e-15       3.054126561749e-13       0.000000000000e+00       3.367493360752e-09       1.259558473610e-10      -6.263594090057e-13 
    6       1.100200139713e-10       2.299614261877e-15       2.656384275703e-13       0.000000000000e+00       2.645716639972e-09       1.019297088721e-10      -4.103968542513e-13 
    7       1.089920949732e-10       1.498586115239e-15       2.257569864262e-13       0.000000000000e+00       2.143970842516e-09       8.455994541897e-11      -2.342077039674e-13 
    8       1.085492698586e-10       9.190371672920e-16       1.912237818493e-13       0.000000000000e+00       1.778845062743e-09       7.147416075779e-11      -1.013145716777e-13 
    9       1.085979560266e-10       6.077326790051e-16       1.644272049504e-13       0.000000000000e+00       1.504003514447e-09       6.127117755305e-11      -1.057180794434e-14 
   10       1.089655126893e-10       4.907205644681e-16       1.459790718611e-13       0.000000000000e+00       1.291214517391e-09       5.314833630712e-11       4.258092965156e-14 
   11       1.095772432531e-10       4.630856823807e-16       1.354992790409e-13       0.000000000000e+00       1.066432721314e-09       4.651147867754e-11       6.489765631227e-14 
   12       1.104538584536e-10       4.512967576672e-16       1.319521907724e-13       0.000000000000e+00       9.337822963000e-10       4.099182149206e-11       6.474573724689e-14 
   13       1.114573508350e-10       4.310834801977e-16       1.339414538946e-13       0.000000000000e+00       8.247543350804e-10       3.642571068639e-11       5.029477973622e-14 
   14       1.125924827613e-10       4.123453824785e-16       1.400169761515e-13       0.000000000000e+00       7.339434987836e-10       3.264225943049e-11       2.899584547241e-14 
   15       1.138243357242e-10       4.138838319963e-16       1.488288631555e-13       0.000000000000e+00       6.574275113813e-10       2.944866305835e-11       6.685890677114e-15 
   16       1.151305744007e-10       4.459535956853e-16       1.593009830975e-13       0.000000000000e+00       5.922981224483e-10       2.664514928248e-11      -1.266914275296e-14 
   17       1.165320549380e-10       5.067199965585e-16       1.705745673567e-13       0.000000000000e+00       5.363624587009e-10       2.427056871375e-11      -2.644254521330e-14 
   18       1.179713033993e-10       5.877168046250e-16       1.820000268558e-13       0.000000000000e+00       4.877490321791e-10       2.218610341029e-11      -3.377900075866e-14 
   19       1.194592971241e-10       6.849162809464e-16       1.933336746255e-13       0.000000000000e+00       4.457279667840e-10       2.034111715725e-11      -3.512876115305e-14 
   20       1.209840921137e-10       7.960179711986e-16       2.044226786630e-13       0.000000000000e+00       4.086713476725e-10       1.869564492665e-11      -3.185601489255e-14 
   21       1.225488827730e-10       9.248715115423e-16       2.152269483433e-13       0.000000000000e+00       3.760075032995e-10       1.725975202827e-11      -2.555625629315e-14 
   22       1.241326389253e-10       1.077329637354e-15       2.257630301686e-13       0.000000000000e+00       3.469712507430e-10       1.602540164828e-11      -1.823407885818e-14 
   23       1.257435860366e-10       1.255709298738e-15       2.361334586789e-13       0.000000000000e+00       3.211711089284e-10       1.492007084448e-11      -1.140081244397e-14 
