# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.227501686489e-10       1.936304412501e-15       2.785970454518e-13       4.940863461160e-19       9.970146961389e-09       3.170693790489e-10      -1.320750566217e-12 
    3       1.186679697583e-10       3.111030436362e-15       3.351544490053e-13       9.883320530901e-19       6.351631319774e-09       2.168028430527e-10      -1.124212703237e-12 
    4       1.147132168562e-10       3.480603630603e-15       3.344119652121e-13       1.647570753762e-18       4.476271661596e-09       1.610736357536e-10      -8.715251524577e-13 
    5       1.118565668683e-10       3.091765344825e-15       3.054124803254e-13       2.472005384635e-18       3.367493360752e-09       1.259558473610e-10      -6.263594090057e-13 
    6       1.100242834716e-10       2.303076151155e-15       2.656380820588e-13       3.461881666275e-18       2.645716639972e-09       1.019297088721e-10      -4.103968542513e-13 
    7       1.089977512955e-10       1.503203615403e-15       2.257563738029e-13       4.617483200918e-18       2.143970842516e-09       8.455994541897e-11      -2.342077039674e-13 
    8       1.085564903860e-10       9.249763264764e-16       1.912227751264e-13       5.939125967378e-18       1.778845062743e-09       7.147416075779e-11      -1.013145716777e-13 
    9       1.086069110621e-10       6.151598898829e-16       1.644256449580e-13       7.427152394922e-18       1.504003514447e-09       6.127117755305e-11      -1.057180794434e-14 
   10       1.089763652520e-10       4.998025834619e-16       1.459767651210e-13       9.081925209186e-18       1.291214517391e-09       5.314833630712e-11       4.258092965156e-14 
   11       1.095901490567e-10       4.739896412857e-16       1.354959961609e-13       1.090382124725e-17       1.066432721314e-09       4.651147867754e-11       6.489765631227e-14 
   12       1.104689660585e-10       4.641901672873e-16       1.319476653497e-13       1.289322543563e-17       9.337822963000e-10       4.099182149206e-11       6.474573724689e-14 
   13       1.114748019603e-10       4.461342257234e-16       1.339353819013e-13       1.505052511437e-17       8.247543350804e-10       3.642571068639e-11       5.029477973622e-14 
   14       1.126124127359e-10       4.297217104694e-16       1.400090157674e-13       1.737610487297e-17       7.339434987836e-10       3.264225943049e-11       2.899584547241e-14 
   15       1.138468740552e-10       4.337543289643e-16       1.488186350000e-13       1.987034204047e-17       6.574275113813e-10       2.944866305835e-11       6.685890677114e-15 
   16       1.151558454289e-10       4.684871584097e-16       1.592880708107e-13       2.253360294357e-17       5.922981224483e-10       2.664514928248e-11      -1.266914275296e-14 
   17       1.165601785523e-10       5.320857943908e-16       1.705585184742e-13       2.536624001381e-17       5.363624587009e-10       2.427056871375e-11      -2.644254521330e-14 
   18       1.180023957910e-10       6.160842341425e-16       1.819803539474e-13       2.836858940077e-17       4.877490321791e-10       2.218610341029e-11      -3.377900075866e-14 
   19       1.194934714650e-10       7.164549135838e-16       1.933098564995e-13       3.154097182735e-17       4.457279667840e-10       2.034111715725e-11      -3.512876115305e-14 
   20       1.210214593560e-10       8.308974939376e-16       2.043941619878e-13       3.488368808703e-17       4.086713476725e-10       1.869564492665e-11      -3.185601489255e-14 
   21       1.225895521726e-10       9.632616627423e-16       2.151931490212e-13       3.839702551644e-17       3.760075032995e-10       1.725975202827e-11      -2.555625629315e-14 
   22       1.241767187059e-10       1.119400135459e-15       2.257233351708e-13       4.208125294211e-17       3.469712507430e-10       1.602540164828e-11      -1.823407885818e-14 
   23       1.257911837049e-10       1.301629769384e-15       2.360872275870e-13       4.593662940930e-17       3.211711089284e-10       1.492007084448e-11      -1.140081244397e-14 
   24       1.274287977189e-10       1.510594428082e-15       2.464020332600e-13       4.996339905653e-17       2.980159428799e-10       1.384965233469e-11      -6.410243259570e-15 
   25       1.290870827799e-10       1.745519794257e-15       2.566325404320e-13       5.416180235403e-17       2.772391805111e-10       1.285900905448e-11      -3.662981136809e-15 
   26       1.307509513955e-10       2.005151812443e-15       2.666732889587e-13       5.853206996527e-17       2.584708326965e-10       1.201887841573e-11      -3.126448673528e-15 
   27       1.324275445584e-10       2.290447667921e-15       2.763969299313e-13       6.307443300602e-17       2.414900507255e-10       1.129611806351e-11      -4.408171279350e-15 
   28       1.341206959246e-10       2.602956986024e-15       2.856478073197e-13       6.778911882611e-17       2.260080458883e-10       1.062314323403e-11      -6.888024468121e-15 
   29       1.358369743124e-10       2.943717966796e-15       2.942623761475e-13       7.267636536186e-17       2.119488399360e-10       9.994100105866e-12      -9.979372935664e-15 
   30       1.375706953099e-10       3.313522462284e-15       3.020487577326e-13       7.773641020082e-17       1.991645390586e-10       9.418704623689e-12      -1.296596319660e-14 
   31       1.393059233176e-10       3.713089741507e-15       3.088040231316e-13       8.296949019804e-17       1.873979207702e-10       8.901605638394e-12      -1.509676728981e-14 
   32       1.410480787245e-10       4.143304684891e-15       3.144084050340e-13       8.837585607306e-17       1.765905716581e-10       8.437848701567e-12      -1.617568438776e-14 
   33       1.428015705850e-10       4.605057905850e-15       3.187652126377e-13       9.395576396911e-17       1.666682155305e-10       8.014604653152e-12      -1.619206681914e-14 
   34       1.445634349290e-10       5.099295016098e-15       3.217943198907e-13       9.970947275573e-17       1.574944010660e-10       7.616134588632e-12      -1.521627856078e-14 
   35       1.463341741467e-10       5.627417820312e-15       3.234941416023e-13       1.056372459851e-16       1.490237241463e-10       7.239343842093e-12      -1.355299774383e-14 
   36       1.481089045402e-10       6.191029972405e-15       3.239035223862e-13       1.117393515384e-16       1.411896670204e-10       6.883085814146e-12      -1.165326187714e-14 
   37       1.498792815736e-10       6.791668953696e-15       3.230684973250e-13       1.180160571763e-16       1.338919222163e-10       6.545254487877e-12      -9.985884346340e-15 
   38       1.516532637220e-10       7.430225896767e-15       3.209783230512e-13       1.244676151406e-16       1.271128053940e-10       6.227654895087e-12      -8.707407087297e-15 
   39       1.534407641595e-10       8.107329512173e-15       3.176094715538e-13       1.310942729765e-16       1.208319305407e-10       5.932485209649e-12      -7.887528663906e-15 
   40       1.552477379538e-10       8.823491604659e-15       3.129429261632e-13       1.378962778704e-16       1.149907723498e-10       5.660893179860e-12      -7.597170272654e-15 
   41       1.570762898783e-10       9.579170872102e-15       3.069528102733e-13       1.448738677773e-16       1.095133367979e-10       5.412774932468e-12      -7.869404903448e-15 
   42       1.589262110851e-10       1.037500771831e-14       2.995675178026e-13       1.520272409337e-16       1.043842880922e-10       5.186355949067e-12      -8.567566986545e-15 
   43       1.607931227521e-10       1.121165297023e-14       2.906961420064e-13       1.593565766970e-16       9.959063768049e-11       4.978289303721e-12      -9.473774558633e-15 
   44       1.626674862115e-10       1.208970030033e-14       2.802382289590e-13       1.668620432765e-16       9.509827560747e-11       4.783621806868e-12      -1.032116437676e-14 
   45       1.645387274748e-10       1.300967612202e-14       2.681002878555e-13       1.745437896162e-16       9.086434091007e-11       4.597192284889e-12      -1.085563403283e-14 
   46       1.664101333502e-10       1.397201218867e-14       2.542527671730e-13       1.824019192405e-16       8.688271718406e-11       4.418597806134e-12      -1.104995649620e-14 
   47       1.682876492037e-10       1.497706009975e-14       2.386889866033e-13       1.904365078008e-16       8.314926958320e-11       4.248515173694e-12      -1.094871338771e-14 
   48       1.701755161061e-10       1.602509482461e-14       2.214097626475e-13       1.986476091709e-16       7.964811453586e-11       4.087287873910e-12      -1.060997662060e-14 
   49       1.720760876059e-10       1.711631151502e-14       2.024237358938e-13       2.070352545422e-16       7.635074278910e-11       3.934897470070e-12      -1.010611404356e-14 
   50       1.739905747815e-10       1.825082146174e-14       1.817421821431e-13       2.155994545294e-16       7.322471752588e-11       3.791073286200e-12      -9.516544479967e-15 
   51       1.759219449027e-10       1.942864606541e-14       1.593610260595e-13       2.243402082585e-16       7.026458665206e-11       3.655722923898e-12      -8.901815366273e-15 
   52       1.778724928580e-10       2.064971571931e-14       1.352745110482e-13       2.332574951828e-16       6.746784542819e-11       3.528569156674e-12      -8.323881384938e-15 
   53       1.798428454092e-10       2.191386737102e-14       1.094803547896e-13       2.423512715442e-16       6.482567850829e-11       3.409000279116e-12      -7.853956753620e-15 
   54       1.818318216470e-10       2.322084129458e-14       8.197981693409e-14       2.516214696110e-16       6.232253357563e-11       3.296048008357e-12      -7.572942016265e-15 
   55       1.838375727006e-10       2.457032359853e-14       5.277383044024e-14       2.610680187174e-16       5.994093926895e-11       3.188652207775e-12      -7.547571730269e-15 
   56       1.858616520991e-10       2.596209351040e-14       2.185011508206e-14       2.706909162493e-16       5.767833730151e-11       3.086582694398e-12      -7.750940933784e-15 
