# Matter power spectrum P(k) at redshift z=0
# for k=1.10911e-05 to 1.01532 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.109105244555e-05       4.349276239867e+01 
       2.421628128660e-05       9.242209759370e+01 
       3.739065843539e-05       1.405372083012e+02 
       5.065099487231e-05       1.883134217018e+02 
       6.403474475518e-05       2.360226320249e+02 
       7.758035212412e-05       2.838688771319e+02 
       9.132760925188e-05       3.320264753854e+02 
       1.053180315668e-04       3.806565663896e+02 
       1.195952541129e-04       4.299152207171e+02 
       1.342054545445e-04       4.799588009232e+02 
       1.491978076508e-04       5.309476614156e+02 
       1.646249763107e-04       5.830494857796e+02 
       1.805436435395e-04       6.364416597321e+02 
       1.970150897901e-04       6.913147100506e+02 
       2.141058188176e-04       7.478743607783e+02 
       2.318882340100e-04       8.063450715511e+02 
       2.504413649396e-04       8.669730070872e+02 
       2.698516407016e-04       9.300294215786e+02 
       2.902137020413e-04       9.958142460301e+02 
       3.116312379150e-04       1.064659920022e+03 
       3.342178235095e-04       1.136935055798e+03 
       3.580977253886e-04       1.213048303689e+03 
       3.834066249208e-04       1.293451567803e+03 
       4.102921932755e-04       1.378642658393e+03 
       4.389144302833e-04       1.469166704410e+03 
       4.694456563403e-04       1.565615706599e+03 
       5.020700234929e-04       1.668625689996e+03 
       5.369823927070e-04       1.778870455128e+03 
       5.743864150161e-04       1.897051313244e+03 
       6.144916627191e-04       2.023882268094e+03 
       6.575096924460e-04       2.160069894568e+03 
       7.036489936385e-04       2.306288853400e+03 
       7.531088889782e-04       2.463153130785e+03 
       8.060726045137e-04       2.631185298667e+03 
       8.626999010251e-04       2.810785873077e+03 
       9.231198242195e-04       3.002205789052e+03 
       9.874242478384e-04       3.205525531665e+03 
       1.055662907469e-03       3.420642524180e+03 
       1.127840524681e-03       3.647269956385e+03 
       1.203916401257e-03       3.884946337264e+03 
       1.283806558096e-03       4.133055267790e+03 
       1.367388167675e-03       4.390852862879e+03 
       1.454505755659e-03       4.657500128582e+03 
       1.544978482491e-03       4.932095868624e+03 
       1.638607781600e-03       5.213709500853e+03 
       1.735184712947e-03       5.501408348038e+03 
       1.834496549178e-03       5.794280179411e+03 
       1.936332299116e-03       6.091422586448e+03 
       2.040487049326e-03       6.392040847960e+03 
       2.146765143841e-03       6.695370161346e+03 
       2.254982315554e-03       7.000707955305e+03 
       2.364966933027e-03       7.307414888228e+03 
       2.476560542389e-03       7.614913462035e+03 
       2.589617876845e-03       7.922685602441e+03 
       2.704006485819e-03       8.230268637622e+03 
       2.819606109677e-03       8.537250966152e+03 
       2.936307899240e-03       8.843268547560e+03 
       3.054013554970e-03       9.147999373226e+03 
       3.172634439997e-03       9.451160049083e+03 
       3.292090704518e-03       9.752502788566e+03 
       3.412310446175e-03       1.005180864018e+04 
       3.533228921414e-03       1.034888750595e+04 
       3.654787815841e-03       1.064357310847e+04 
       3.776934576729e-03       1.093572067558e+04 
       3.899621807510e-03       1.122520446738e+04 
       4.022806722011e-03       1.151191710903e+04 
       4.146450654858e-03       1.179576486319e+04 
       4.270518623842e-03       1.207666640098e+04 
       4.394978939725e-03       1.235455478214e+04 
       4.519802858976e-03       1.262937065482e+04 
       4.644964275069e-03       1.290106820155e+04 
       4.770439444265e-03       1.316960540079e+04 
       4.896206742072e-03       1.343494978366e+04 
       5.022246446962e-03       1.369707615240e+04 
       5.148540548223e-03       1.395596270060e+04 
       5.275072575166e-03       1.421159893838e+04 
       5.401827445209e-03       1.446397389348e+04 
       5.528791328635e-03       1.471307535637e+04 
       5.655951528082e-03       1.495892361017e+04 
       5.783296371051e-03       1.520163474215e+04 
       5.910815113908e-03       1.544087486896e+04 
       6.038497856066e-03       1.567686619245e+04 
       6.166335463161e-03       1.590960572042e+04 
       6.294319498207e-03       1.613912991410e+04 
       6.422442159806e-03       1.636543981024e+04 
       6.550696226642e-03       1.658859158383e+04 
       6.679075007536e-03       1.680843681984e+04 
       6.807572296456e-03       1.702512859220e+04 
       6.936182331940e-03       1.723868004923e+04 
       7.064899760451e-03       1.744909920864e+04 
       7.193719603236e-03       1.765643588224e+04 
       7.322637226324e-03       1.786062246144e+04 
       7.451648313332e-03       1.806175970792e+04 
       7.580748840775e-03       1.825981266561e+04 
       7.709935055644e-03       1.845478404658e+04 
       7.839203454993e-03       1.864675912292e+04 
       7.968550767355e-03       1.883576845719e+04 
       8.097973935798e-03       1.902180749005e+04 
       8.227470102455e-03       1.920490058308e+04 
       8.357036594382e-03       1.938509565979e+04 
       8.486670910633e-03       1.956241709747e+04 
       8.616370710411e-03       1.973683574080e+04 
       8.746133802219e-03       1.990842631137e+04 
       8.875958133895e-03       2.007717010754e+04 
       9.005841783465e-03       2.024314260556e+04 
       9.135782950734e-03       2.040630417570e+04 
       9.265779949550e-03       2.056674760847e+04 
       9.395831200677e-03       2.072447759377e+04 
       9.525935225229e-03       2.087951095588e+04 
       9.656090638610e-03       2.103179875830e+04 
       9.786296144927e-03       2.118151610508e+04 
       9.916550531820e-03       2.132861312376e+04 
       1.004685266569e-02       2.147313414950e+04 
       1.017720148727e-02       2.161509495631e+04 
       1.030759600757e-02       2.175436953877e+04 
       1.043803530402e-02       2.189131741095e+04 
       1.056851851706e-02       2.202563310347e+04 
       1.069904484678e-02       2.215746275554e+04 
       1.082961354998e-02       2.228684950084e+04 
       1.096022393732e-02       2.241389528983e+04 
       1.109087537074e-02       2.253845584181e+04 
       1.122156726103e-02       2.266064781173e+04 
       1.135229906560e-02       2.278043575399e+04 
       1.148307028638e-02       2.289794614534e+04 
       1.161388046787e-02       2.301319419565e+04 
       1.174472919537e-02       2.312606439821e+04 
       1.187561609327e-02       2.323665116083e+04 
       1.200654082348e-02       2.334503677412e+04 
       1.213750308403e-02       2.345125846151e+04 
       1.226850260768e-02       2.355526791503e+04 
       1.239953916068e-02       2.365695303359e+04 
       1.253061254161e-02       2.375662527905e+04 
       1.266172258028e-02       2.385415305501e+04 
       1.279286913674e-02       2.394956168979e+04 
       1.292405210035e-02       2.404284544506e+04 
       1.305527138894e-02       2.413405359352e+04 
       1.318652694793e-02       2.422316515319e+04 
       1.331781874970e-02       2.431038127560e+04 
       1.344914679282e-02       2.439550710883e+04 
       1.358051110146e-02       2.447862375368e+04 
       1.371191172480e-02       2.455976672891e+04 
       1.384334873649e-02       2.463910595492e+04 
       1.397482223420e-02       2.471632299857e+04 
       1.410633233910e-02       2.479183130507e+04 
       1.423787919554e-02       2.486532070822e+04 
