# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632192e-26       4.634785000235e-09       2.157545946657e+22       1.294251882443e+04       1.294251882443e-10       1.294251882443e+18       2.675958164803e-09       2.751560535470e+44       1.586153864508e+33       1.817091059542e+34       3.236176255929e-08       1.903443976270e+44       4.655004511938e+44       4.291623665359e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049721e-26       4.667526809499e-09       2.127654528191e+22       1.294251882443e+04       1.303311645620e-10       1.285255096765e+18       2.694689871957e-09       2.675846458098e+44       1.553305578652e+33       1.779460204248e+34       3.236176255929e-08       1.851067333040e+44       4.526913791332e+44       5.987341798334e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322376e-26       4.700268618762e-09       2.098177236200e+22       1.294251882443e+04       1.312434827139e-10       1.276320850810e+18       2.713552701061e-09       2.602215788102e+44       1.521137560902e+33       1.742608661176e+34       3.236176255929e-08       1.800131926217e+44       4.402347714508e+44       1.197468359666e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409231e-26       4.733010428026e-09       2.069108333227e+22       1.294251882443e+04       1.321621870929e-10       1.267448709841e+18       2.732547569968e-09       2.530611196824e+44       1.489635723316e+33       1.706520291240e+34       3.236176255929e-08       1.750598097619e+44       4.281209294629e+44       1.796202539499e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563813e-26       4.765752237290e-09       2.040442161303e+22       1.294251882443e+04       1.330873224026e-10       1.258638242146e+18       2.751675402958e-09       2.460976933110e+44       1.458786269707e+33       1.671179289589e+34       3.236176255929e-08       1.702427280332e+44       4.163404213623e+44       2.394936719332e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338237e-26       4.800313035958e-09       2.012173140848e+22       1.294251882443e+04       1.340189336594e-10       1.249889019013e+18       2.770937130778e-09       2.393258779894e+44       1.428575689597e+33       1.636570178677e+34       3.236176255929e-08       1.655581968676e+44       4.048840748748e+44       2.993670899164e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587409e-26       4.833054845221e-09       1.984295769581e+22       1.294251882443e+04       1.349570661950e-10       1.241200614710e+18       2.790333690694e-09       2.327404011992e+44       1.398990752304e+33       1.602677801490e+34       3.236176255929e-08       1.610025689010e+44       3.937429701177e+44       3.592405078997e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473271e-26       4.867615643889e-09       1.956804621455e+22       1.294251882443e+04       1.359017656584e-10       1.232572606464e+18       2.809866026529e-09       2.263361355047e+44       1.370018501144e+33       1.569487314908e+34       3.236176255929e-08       1.565722971328e+44       3.829084326546e+44       4.191139258829e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469118e-26       4.900357453153e-09       1.929694345594e+22       1.294251882443e+04       1.368530780180e-10       1.224004574443e+18       2.829535088714e-09       2.201080945604e+44       1.341646247758e+33       1.536984183200e+34       3.236176255929e-08       1.522639321645e+44       3.723720267416e+44       4.789873438662e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713363973e-26       4.934918251820e-09       1.902959665257e+22       1.294251882443e+04       1.378110495641e-10       1.215496101731e+18       2.849341834335e-09       2.140514292293e+44       1.313861566556e+33       1.505154171664e+34       3.236176255929e-08       1.480741195137e+44       3.621255487594e+44       5.388607618494e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267023e-26       4.969479050487e-09       1.876595376808e+22       1.294251882443e+04       1.387757269110e-10       1.207046774311e+18       2.869287227175e-09       2.081614238068e+44       1.286652289273e+33       1.473983340388e+34       3.236176255929e-08       1.439995970030e+44       3.521610208258e+44       5.987341798326e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612116e-26       5.004039849155e-09       1.850596348706e+22       1.294251882443e+04       1.397471569994e-10       1.198656181044e+18       2.889372237766e-09       2.024334923495e+44       1.260006499643e+33       1.443458038150e+34       3.236176255929e-08       1.400371922191e+44       3.424706845842e+44       6.586075978158e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162319e-26       5.040419637226e-09       1.824957520500e+22       1.294251882443e+04       1.407253870984e-10       1.190323913648e+18       2.909597843430e-09       1.968631751041e+44       1.233912528177e+33       1.413564896432e+34       3.236176255929e-08       1.361838200436e+44       3.330469951631e+44       7.184810157990e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014550e-26       5.074980435893e-09       1.799673901853e+22       1.294251882443e+04       1.417104648081e-10       1.182049566681e+18       2.929965028334e-09       1.914461350357e+44       1.208358947057e+33       1.384290823574e+34       3.236176255929e-08       1.324364802505e+44       3.238826153013e+44       7.783544337822e-07       1.102742781203e+01 
