# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.307949833084e-10       2.000506802189e-15       2.619644943338e-13       0.000000000000e+00       9.377693038725e-09       3.867159482104e-10      -1.313255440230e-12 
    3       1.267425005006e-10       3.191031711456e-15       3.154153538257e-13       0.000000000000e+00       5.861962850828e-09       2.804549032360e-10      -1.116015988774e-12 
    4       1.220743850095e-10       3.504025882681e-15       3.175337525152e-13       0.000000000000e+00       4.105361729593e-09       2.156360154841e-10      -8.556529119163e-13 
    5       1.183918860272e-10       3.036057707826e-15       2.927569601421e-13       0.000000000000e+00       3.080188004818e-09       1.724611189571e-10      -6.026708546847e-13 
    6       1.157947327250e-10       2.199015407983e-15       2.568671011060e-13       0.000000000000e+00       2.417843623522e-09       1.418319752367e-10      -3.816522132609e-13 
    7       1.140780962676e-10       1.399245023977e-15       2.201144210001e-13       0.000000000000e+00       1.960079292114e-09       1.190919317400e-10      -2.041239881400e-13 
    8       1.130929267655e-10       8.540304271044e-16       1.879764185633e-13       0.000000000000e+00       1.627398364381e-09       1.016607073280e-10      -7.352718286745e-14 
    9       1.126832125232e-10       5.818572087325e-16       1.629703930304e-13       0.000000000000e+00       1.376429460690e-09       8.797500523600e-11       1.208170249319e-14 
   10       1.126800672550e-10       4.884923302016e-16       1.458913370824e-13       0.000000000000e+00       1.181584516862e-09       7.699446364987e-11       5.847886252928e-14 
   11       1.129924288343e-10       4.654388381052e-16       1.364679218694e-13       0.000000000000e+00       9.829348748038e-10       6.804551278634e-11       7.378862167949e-14 
   12       1.135883956348e-10       4.480872596796e-16       1.337304715845e-13       0.000000000000e+00       8.612240248856e-10       6.043298333396e-11       6.741061826550e-14 
   13       1.144002821892e-10       4.234930280247e-16       1.362975820941e-13       0.000000000000e+00       7.611337050326e-10       5.405461254993e-11       4.819799160130e-14 
   14       1.153368008268e-10       4.075082487510e-16       1.427467203773e-13       0.000000000000e+00       6.777220602275e-10       4.876947120559e-11       2.406437039776e-14 
   15       1.164187644452e-10       4.178883249721e-16       1.518501781612e-13       0.000000000000e+00       6.074037322901e-10       4.427694577079e-11       8.597782202386e-16 
   16       1.176379540622e-10       4.602431619883e-16       1.624961220371e-13       0.000000000000e+00       5.475205745106e-10       4.038559259430e-11      -1.754785408051e-14 
   17       1.188928001350e-10       5.291007668933e-16       1.738511187405e-13       0.000000000000e+00       4.960661899283e-10       3.691200662079e-11      -2.939521587685e-14 
   18       1.202279975623e-10       6.157002982118e-16       1.853849580046e-13       0.000000000000e+00       4.513281756061e-10       3.387501017359e-11      -3.428933742092e-14 
   19       1.216584896653e-10       7.181608104711e-16       1.968453327773e-13       0.000000000000e+00       4.126336463226e-10       3.125152439407e-11      -3.314048907002e-14 
   20       1.231177445310e-10       8.370919497303e-16       2.080327563849e-13       0.000000000000e+00       3.784961486682e-10       2.891209818991e-11      -2.790349045001e-14 
   21       1.246175813496e-10       9.769436705338e-16       2.189680852663e-13       0.000000000000e+00       3.483933590912e-10       2.680972558200e-11      -2.053618500326e-14 
   22       1.261623554831e-10       1.143118148606e-15       2.297474123913e-13       0.000000000000e+00       3.216221147469e-10       2.489504626552e-11      -1.324870630974e-14 
   23       1.277481780269e-10       1.336588123352e-15       2.403976097137e-13       0.000000000000e+00       2.978243078624e-10       2.316831314183e-11      -7.306829009422e-15 
   24       1.293470421095e-10       1.556451998791e-15       2.509149302231e-13       0.000000000000e+00       2.764579997961e-10       2.162382933537e-11      -3.617362516979e-15 
   25       1.309580185635e-10       1.802168016108e-15       2.612688277333e-13       0.000000000000e+00       2.572786337164e-10       2.024365950688e-11      -2.315427076945e-15 
   26       1.325761965841e-10       2.073337808181e-15       2.713888087478e-13       0.000000000000e+00       2.399458370274e-10       1.899295372063e-11      -3.136306662990e-15 
   27       1.342169228984e-10       2.371404290224e-15       2.811025563748e-13       0.000000000000e+00       2.242575175428e-10       1.785837469990e-11      -5.519387865928e-15 
   28       1.358902376415e-10       2.698245195930e-15       2.901894271911e-13       0.000000000000e+00       2.099490522688e-10       1.682444625195e-11      -8.702643017054e-15 
   29       1.375997496903e-10       3.054778682801e-15       2.984792250769e-13       0.000000000000e+00       1.969510978889e-10       1.588224584562e-11      -1.205122343086e-14 
   30       1.393321293653e-10       3.441475314819e-15       3.057969989009e-13       0.000000000000e+00       1.851275301605e-10       1.501432525422e-11      -1.484058054473e-14 
   31       1.410634739074e-10       3.858783554972e-15       3.119649392169e-13       0.000000000000e+00       1.742412739422e-10       1.419719132690e-11      -1.635448525098e-14 
   32       1.428000015932e-10       4.307901310518e-15       3.168923135037e-13       0.000000000000e+00       1.642389270217e-10       1.343384377672e-11      -1.656219758678e-14 
   33       1.445499728841e-10       4.790292988309e-15       3.205192726733e-13       0.000000000000e+00       1.550524619618e-10       1.273219346324e-11      -1.570153205615e-14 
   34       1.463140375799e-10       5.307439044828e-15       3.228009424499e-13       0.000000000000e+00       1.465563928662e-10       1.209486671466e-11      -1.409909156860e-14 
   35       1.480926370894e-10       5.860640650128e-15       3.237305534052e-13       0.000000000000e+00       1.387091307469e-10       1.151473758405e-11      -1.212355273235e-14 
   36       1.498793398406e-10       6.451148173731e-15       3.233263332652e-13       0.000000000000e+00       1.314494811206e-10       1.097683373597e-11      -1.022868513651e-14 
   37       1.516638208654e-10       7.080143465405e-15       3.216125003579e-13       0.000000000000e+00       1.246849803400e-10       1.046434720471e-11      -8.863898651250e-15 
   38       1.534523157752e-10       7.748504264254e-15       3.185704920005e-13       0.000000000000e+00       1.183994545061e-10       9.977341485336e-12      -8.100736783679e-15 
   39       1.552527415158e-10       8.456954648410e-15       3.141724788820e-13       0.000000000000e+00       1.125741708428e-10       9.519694329438e-12      -7.884732960711e-15 
   40       1.570685545832e-10       9.206120021755e-15       3.083945311553e-13       0.000000000000e+00       1.071550853089e-10       9.093895451190e-12      -8.132622434325e-15 
   41       1.589000570976e-10       9.996562732418e-15       3.012058613237e-13       0.000000000000e+00       1.020719844577e-10       8.700693728546e-12      -8.729397349792e-15 
   42       1.607500792218e-10       1.082891808353e-14       2.925321517155e-13       0.000000000000e+00       9.731083640293e-11       8.338266140554e-12      -9.523586832450e-15 
   43       1.626192693563e-10       1.170379194896e-14       2.822804216166e-13       0.000000000000e+00       9.285978954735e-11       8.002522407121e-12      -1.032675200858e-14 
   44       1.645040382118e-10       1.262171926831e-14       2.703481789351e-13       0.000000000000e+00       8.868743805917e-11       7.687119602870e-12      -1.091190465271e-14 
   45       1.663990353560e-10       1.358315598217e-14       2.566410494238e-13       0.000000000000e+00       8.475425678298e-11       7.385334047853e-12      -1.107386836781e-14 
   46       1.683063951612e-10       1.458846010991e-14       2.411335119250e-13       0.000000000000e+00       8.105466477698e-11       7.096735099721e-12      -1.083713350418e-14 
   47       1.702285812549e-10       1.563789913392e-14       2.238251925698e-13       0.000000000000e+00       7.758487913169e-11       6.822224478358e-12      -1.030635132597e-14 
   48       1.721655291788e-10       1.673165048979e-14       2.047245290011e-13       0.000000000000e+00       7.433021633290e-11       6.562124541870e-12      -9.610478836929e-15 
   49       1.741144157301e-10       1.786979784370e-14       1.838491607245e-13       0.000000000000e+00       7.126427823508e-11       6.316129810656e-12      -8.904154564744e-15 
   50       1.760716583961e-10       1.905235230138e-14       1.612190467444e-13       0.000000000000e+00       6.835702297809e-11       6.083514363438e-12      -8.335739454869e-15 
   51       1.780400886005e-10       2.027933145826e-14       1.368327105024e-13       0.000000000000e+00       6.560344897222e-11       5.863932856303e-12      -7.938020818465e-15 
   52       1.800233268472e-10       2.155069537176e-14       1.106852216407e-13       0.000000000000e+00       6.300128976178e-11       5.656753137592e-12      -7.710219334125e-15 
   53       1.820236000754e-10       2.286632101611e-14       8.277495211683e-14       0.000000000000e+00       6.054242305987e-11       5.460783808726e-12      -7.648542665718e-15 
   54       1.840416159473e-10       2.422599973296e-14       5.310362430832e-14       0.000000000000e+00       5.821247483677e-11       5.274237789297e-12      -7.745992545965e-15 
   55       1.860773807081e-10       2.562944672311e-14       2.167197294068e-14       0.000000000000e+00       5.599528477239e-11       5.095259102363e-12      -7.988749945124e-15 
   56       1.881331786838e-10       2.707633812354e-14      -1.153464131880e-14       0.000000000000e+00       5.388850865179e-11       4.923739946028e-12      -8.344720943732e-15 
   57       1.902111127593e-10       2.856627867563e-14      -4.653533508727e-14       0.000000000000e+00       5.189119846934e-11       4.759891202850e-12      -8.771807500483e-15 
   58       1.923121386410e-10       3.009878845598e-14      -8.334974932399e-14       0.000000000000e+00       4.999907864042e-11       4.603704592673e-12      -9.220760928875e-15 
   59       1.944359759068e-10       3.167330079614e-14      -1.219981721153e-13       0.000000000000e+00       4.820433949358e-11       4.454938181359e-12      -9.634855659424e-15 
   60       1.965810190566e-10       3.328916020233e-14      -1.625016614596e-13       0.000000000000e+00       4.649543076273e-11       4.313101889533e-12      -9.949563001880e-15 
   61       1.987454563142e-10       3.494563882920e-14      -2.048761887462e-13       0.000000000000e+00       4.486031739782e-11       4.177623002479e-12      -1.010944232954e-14 
   62       2.009311207236e-10       3.664199492831e-14      -2.491132552793e-13       0.000000000000e+00       4.329756816176e-11       4.048418895786e-12      -1.012398315286e-14 
   63       2.031403495632e-10       3.837742388727e-14      -2.951951230085e-13       0.000000000000e+00       4.180740086347e-11       3.925427734170e-12      -1.002377552753e-14 
   64       2.053748032454e-10       4.015103937135e-14      -3.431003443010e-13       0.000000000000e+00       4.038834493273e-11       3.808431208141e-12      -9.844614386833e-15 
   65       2.076354146877e-10       4.196187183191e-14      -3.928036950076e-13       0.000000000000e+00       3.903714476911e-11       3.697045754044e-12      -9.627719599684e-15 
   66       2.099223386833e-10       4.380886701486e-14      -4.442761075293e-13       0.000000000000e+00       3.774866309087e-11       3.590713774099e-12      -9.419956028597e-15 
   67       2.122349012727e-10       4.569088446905e-14      -4.974846038826e-13       0.000000000000e+00       3.651578428389e-11       3.488694856439e-12      -9.274053587705e-15 
   68       2.145722754185e-10       4.760669057105e-14      -5.523938413586e-13       0.000000000000e+00       3.533134427999e-11       3.390262264151e-12      -9.235845492409e-15 
   69       2.169357801847e-10       4.955493929226e-14      -6.089712627992e-13       0.000000000000e+00       3.419459032437e-11       3.295358260917e-12      -9.302488349212e-15 
   70       2.193269586200e-10       5.153418483730e-14      -6.671828744541e-13       0.000000000000e+00       3.310586251294e-11       3.204056409006e-12      -9.456132781251e-15 
   71       2.217468611957e-10       5.354288518027e-14      -7.269917004935e-13       0.000000000000e+00       3.206463905739e-11       3.116364582308e-12      -9.676046244075e-15 
   72       2.241960137521e-10       5.557940043298e-14      -7.883577573173e-13       0.000000000000e+00       3.106949146353e-11       3.032221436225e-12      -9.938501068082e-15 
   73       2.266743854453e-10       5.764199121312e-14      -8.512380278635e-13       0.000000000000e+00       3.011803970958e-11       2.951492877553e-12      -1.021666250096e-14 
   74       2.291813566936e-10       5.972881701245e-14      -9.155864359173e-13       0.000000000000e+00       2.920690742448e-11       2.873968534373e-12      -1.048047675015e-14 
   75       2.317156871244e-10       6.183793456497e-14      -9.813538204199e-13       0.000000000000e+00       2.833167706627e-11       2.799358225932e-12      -1.069655902523e-14 
   76       2.342761774823e-10       6.396736462739e-14      -1.048490782581e-12       0.000000000000e+00       2.748800335027e-11       2.727369260814e-12      -1.083579171794e-14 
   77       2.368638655579e-10       6.611530998667e-14      -1.116956883402e-12       0.000000000000e+00       2.667528701940e-11       2.657962408148e-12      -1.089796604393e-14 
   78       2.394801743235e-10       6.827997442726e-14      -1.186713084481e-12       0.000000000000e+00       2.589359268418e-11       2.591136407343e-12      -1.089145139588e-14 
   79       2.421262359607e-10       7.045949762032e-14      -1.257719056684e-12       0.000000000000e+00       2.514252927493e-11       2.526849438391e-12      -1.082592924256e-14 
   80       2.448028740373e-10       7.265195489475e-14      -1.329933213360e-12       0.000000000000e+00       2.442122897093e-11       2.465017249204e-12      -1.071243927397e-14 
   81       2.475105856843e-10       7.485535700827e-14      -1.403312743562e-12       0.000000000000e+00       2.372832612964e-11       2.405511282946e-12      -1.056342554633e-14 
   82       2.502495237726e-10       7.706764991840e-14      -1.477813645264e-12       0.000000000000e+00       2.306193621580e-11       2.348156805372e-12      -1.039278262715e-14 
   83       2.530194790902e-10       7.928671455354e-14      -1.553390758579e-12       0.000000000000e+00       2.241963473066e-11       2.292731032160e-12      -1.021590174032e-14 
   84       2.558201588791e-10       8.151039082320e-14      -1.629995378152e-12       0.000000000000e+00       2.179905711591e-11       2.239018818125e-12      -1.004657036548e-14 
   85       2.586521145420e-10       8.373655472374e-14      -1.707567562794e-12       0.000000000000e+00       2.119985888822e-11       2.186994434344e-12      -9.886979404239e-15 
   86       2.615159357676e-10       8.596305365478e-14      -1.786042605925e-12       0.000000000000e+00       2.062204333202e-11       2.136666632500e-12      -9.736136316125e-15 
   87       2.644119551905e-10       8.818768349225e-14      -1.865353335686e-12       0.000000000000e+00       2.006535893881e-11       2.088022870437e-12      -9.592857734799e-15 
   88       2.673402355493e-10       9.040818876681e-14      -1.945430107472e-12       0.000000000000e+00       1.952928877293e-11       2.041028406930e-12      -9.455762729997e-15 
   89       2.703005568445e-10       9.262226284228e-14      -2.026200796466e-12       0.000000000000e+00       1.901303983722e-11       1.995625396438e-12      -9.323266069463e-15 
   90       2.732924034958e-10       9.482754809404e-14      -2.107590790165e-12       0.000000000000e+00       1.851553243878e-11       1.951731983873e-12      -9.193571480887e-15 
   91       2.763149515002e-10       9.702163608744e-14      -2.189522980919e-12       0.000000000000e+00       1.803538955470e-11       1.909241399358e-12      -9.064664913837e-15 
   92       2.793670555894e-10       9.920206775623e-14      -2.271917758457e-12       0.000000000000e+00       1.757092619776e-11       1.868021052990e-12      -8.934307801701e-15 
