# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.307955626736e-10       2.000979309345e-15       2.619644885156e-13       4.725071347522e-19       9.377693038725e-09       3.867159482104e-10      -1.313255440230e-12 
    3       1.267436560889e-10       3.191976872346e-15       3.154153279063e-13       9.451606852527e-19       5.861962850828e-09       2.804549032360e-10      -1.116015988774e-12 
    4       1.220763040977e-10       3.505601473876e-15       3.175336780743e-13       1.575590210604e-18       4.105361729593e-09       2.156360154841e-10      -8.556529119163e-13 
    5       1.183947519505e-10       3.038421693876e-15       2.927567906588e-13       2.363982766433e-18       3.080188004818e-09       1.724611189571e-10      -6.026708546847e-13 
    6       1.157987240971e-10       2.202325982002e-15       2.568667680834e-13       3.310565356676e-18       2.417843623522e-09       1.418319752367e-10      -3.816522132609e-13 
    7       1.140833863272e-10       1.403660644019e-15       2.201138304830e-13       4.415600711938e-18       1.960079292114e-09       1.190919317400e-10      -2.041239881400e-13 
    8       1.130996828639e-10       8.597098475575e-16       1.879754481027e-13       5.679382530083e-18       1.627398364381e-09       1.016607073280e-10      -7.352718286745e-14 
    9       1.126915957625e-10       5.889595059992e-16       1.629688891282e-13       7.102230327235e-18       1.376429460690e-09       8.797500523600e-11       1.208170249319e-14 
   10       1.126902322812e-10       4.971769219998e-16       1.458891131384e-13       8.684484057228e-18       1.181584516862e-09       7.699446364987e-11       5.847886252928e-14 
   11       1.130045237849e-10       4.758654957812e-16       1.364647566351e-13       1.042649866171e-17       9.829348748038e-10       6.804551278634e-11       7.378862167949e-14 
   12       1.136025622340e-10       4.604161130152e-16       1.337261081156e-13       1.232863871138e-17       8.612240248856e-10       6.043298333396e-11       6.741061826550e-14 
   13       1.144166559799e-10       4.378845621163e-16       1.362917271804e-13       1.439127329128e-17       7.611337050326e-10       5.405461254993e-11       4.819799160130e-14 
   14       1.153555115231e-10       4.241232926465e-16       1.427390444167e-13       1.661477127035e-17       6.777220602275e-10       4.876947120559e-11       2.406437039776e-14 
   15       1.164399363855e-10       4.368880318773e-16       1.518403154389e-13       1.899949707746e-17       6.074037322901e-10       4.427694577079e-11       8.597782202386e-16 
   16       1.176617067408e-10       4.817889809835e-16       1.624836713610e-13       2.154580708426e-17       5.475205745106e-10       4.038559259430e-11      -1.754785408051e-14 
   17       1.189192487868e-10       5.533544062420e-16       1.738356443855e-13       2.425404667011e-17       4.960661899283e-10       3.691200662079e-11      -2.939521587685e-14 
   18       1.202572537864e-10       6.428236805605e-16       1.853659909358e-13       2.712454771223e-17       4.513281756061e-10       3.387501017359e-11      -3.428933742092e-14 
   19       1.216906619907e-10       7.483160198454e-16       1.968223719747e-13       3.015762865042e-17       4.126336463226e-10       3.125152439407e-11      -3.314048907002e-14 
   20       1.231529390872e-10       8.704411718800e-16       2.080052705800e-13       3.335359040350e-17       3.784961486682e-10       2.891209818991e-11      -2.790349045001e-14 
