# Matter power spectrum P(k) at redshift z=0
# for k=1.12887e-05 to 1.59672 h/Mpc,
# number of wavenumbers equal to 617
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.128869609770e-05       4.020916259544e+01 
       2.441301252321e-05       8.467251097430e+01 
       3.758701660717e-05       1.284360104673e+02 
       5.084751483279e-05       1.719421633318e+02 
       6.423196171367e-05       2.154523103507e+02 
       7.777880645424e-05       2.591668886292e+02 
       9.152785132164e-05       3.032600454739e+02 
       1.055206266529e-04       3.478941343134e+02 
       1.198007874592e-04       3.932272963684e+02 
       1.344145366210e-04       4.394181335343e+02 
       1.494110796653e-04       4.866290615505e+02 
       1.648431160204e-04       5.350289612623e+02 
       1.807673713995e-04       5.847955206773e+02 
       1.972451754668e-04       6.361174025513e+02 
       2.143430880733e-04       6.891963642486e+02 
       2.321335759426e-04       7.442493593018e+02 
       2.506957395246e-04       8.015107055361e+02 
       2.701160865320e-04       8.612342350880e+02 
       2.904893440969e-04       9.236954923662e+02 
       3.119192950990e-04       9.891938779728e+02 
       3.345196155764e-04       1.058054691904e+03 
       3.584146787401e-04       1.130630957827e+03 
       3.837402765663e-04       1.207304858920e+03 
       4.106441920479e-04       1.288488591349e+03 
       4.392865341700e-04       1.374624374494e+03 
       4.698397245685e-04       1.466183229591e+03 
       5.024880018190e-04       1.563662233544e+03 
       5.374262902771e-04       1.667579716543e+03 
       5.748582712544e-04       1.778468037120e+03 
       6.149935030669e-04       1.896863525058e+03 
       6.580434725079e-04       2.023293331815e+03 
       7.042165324566e-04       2.158259239767e+03 
       7.537117937380e-04       2.302218767736e+03 
       8.067121908383e-04       2.455564337536e+03 
       8.633771148523e-04       2.618601976595e+03 
       9.238351726246e-04       2.791531069131e+03 
       9.881777465887e-04       2.974427497730e+03 
       1.056454052195e-03       3.167231922609e+03 
       1.128668290242e-03       3.369744930441e+03 
       1.204779270485e-03       3.581630060371e+03 
       1.284702577326e-03       3.802424392176e+03 
       1.368315023117e-03       4.031556027112e+03 
       1.455460862544e-03       4.268366232840e+03 
       1.545959078291e-03       4.512134340800e+03 
