# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881843e-26       4.634785000235e-09       2.157468236835e+22       1.591230362966e+04       1.591230362966e-10       1.591230362966e+18       2.676054550108e-09       2.753580214648e+44       4.390517121188e+33       6.685914186826e+33      -4.486344988895e-12      5.179659077334e-151      -4.628900000000e+00       1.901088978193e+44       4.654669192951e+44       8.950266356352e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124207e-26       4.667526809499e-09       2.127577894988e+22       1.591230362966e+04       1.602368975506e-10       1.580169178715e+18       2.694786931959e-09       2.677810562215e+44       4.299592170792e+33       6.547452953443e+33      -4.486344988895e-12      5.588330884019e-151      -4.628900000000e+00       1.848777136920e+44       4.526587699243e+44       1.248672018801e-07       1.433565615564e+02 
       9.861456399050e+13       7.772654275433e-26       4.700268618762e-09       2.098101664701e+22       1.591230362966e+04       1.613585558335e-10       1.569184884523e+18       2.713650440483e-09       2.604125846403e+44       4.210550221048e+33       6.411859168343e+33      -4.486344988895e-12      6.029246636317e-151      -4.628900000000e+00       1.797904748912e+44       4.402030595422e+44       2.497344037602e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295349e-26       4.733010428026e-09       2.069033808723e+22       1.591230362966e+04       1.624880657243e-10       1.558276945902e+18       2.732645993566e-09       2.532468696478e+44       4.123352276155e+33       6.279073448407e+33      -4.486344988895e-12      6.504950361027e-151      -4.628900000000e+00       1.748432205055e+44       4.280900901637e+44       3.746016056402e-07       4.778552051881e+01 
       9.724832231036e+13       7.992584438246e-26       4.765752237290e-09       2.040368669288e+22       1.591230362966e+04       1.636254821844e-10       1.547444832077e+18       2.751774515521e-09       2.462783320360e+44       4.037960147887e+33       6.149037640308e+33      -4.486344988895e-12      7.018186807047e-151      -4.628900000000e+00       1.700320986150e+44       4.163104306612e+44       4.994688075203e-07       3.583914038911e+01 
       9.657231609767e+13       8.104872257019e-26       4.800313035958e-09       2.012100667017e+22       1.591230362966e+04       1.647708605597e-10       1.536688015965e+18       2.771036937129e-09       2.395015461189e+44       3.954336438877e+33       6.021694795036e+33      -4.486344988895e-12      7.571917282213e-151      -4.628900000000e+00       1.653533632922e+44       4.048549094211e+44       6.243360094003e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607358e-26       4.833054845221e-09       1.984224299829e+22       1.591230362966e+04       1.659242565836e-10       1.526005974146e+18       2.790434195689e-09       2.329112355080e+44       3.872444526232e+33       5.896989142962e+33      -4.486344988895e-12      8.169336739671e-151      -4.628900000000e+00       1.608033716854e+44       3.937146072032e+44       7.492032112803e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202652004e-26       4.867615643889e-09       1.956734141870e+22       1.591230362966e+04       1.670857263797e-10       1.515398186838e+18       2.809967235059e-09       2.265022690039e+44       3.792248545499e+33       5.774866069413e+33      -4.486344988895e-12      8.813892212334e-151      -4.628900000000e+00       1.563785811826e+44       3.828808501960e+44       8.740704131603e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865062e-26       4.900357453153e-09       1.929624842459e+22       1.591230362966e+04       1.682553264644e-10       1.504864137873e+18       2.829637005704e-09       2.202696566012e+44       3.713713374955e+33       5.655272090752e+33      -4.486344988895e-12      9.509302701821e-151      -4.628900000000e+00       1.520755466528e+44       3.723452032633e+44       9.989376150403e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036376e-26       4.934918251820e-09       1.902891125043e+22       1.591230362966e+04       1.694331137496e-10       1.494403314671e+18       2.849444464744e-09       2.142085456034e+44       3.636804620227e+33       5.538154830954e+33      -4.486344988895e-12      1.025958063661e-150      -4.628900000000e+00       1.478909177642e+44       3.620994633767e+44       1.123804816920e-06       1.592850683960e+01 
       9.326212236469e+13       8.690422275965e-26       4.969479050487e-09       1.876527786175e+22       1.591230362966e+04       1.706191455458e-10       1.484015208213e+18       2.869390575997e-09       2.083142168447e+44       3.561488599229e+33       5.423462998674e+33      -4.486344988895e-12      1.106905502325e-150      -4.628900000000e+00       1.438214363750e+44       3.521356532288e+44       1.248672018800e-06       1.433565615564e+01 
       9.261382558559e+13       8.812514018520e-26       5.004039849155e-09       1.850529694497e+22       1.591230362966e+04       1.718134795647e-10       1.473699313022e+18       2.889476310029e-09       2.025820810155e+44       3.487732327409e+33       5.311146364775e+33      -4.486344988895e-12      1.194239642412e-150      -4.628900000000e+00       1.398639339974e+44       3.424460150217e+44       1.373539220680e-06       1.303241468695e+01 
       9.197003533823e+13       8.936321027966e-26       5.040419637226e-09       1.824891789743e+22       1.591230362966e+04       1.730161739216e-10       1.463455127132e+18       2.909702644199e-09       1.970076750890e+44       3.415503503307e+33       5.201155740337e+33      -4.486344988895e-12      1.288464390604e-150      -4.628900000000e+00       1.360153293297e+44       3.330230044273e+44       1.498406422560e-06       1.194638012970e+01 
       9.133072029615e+13       9.061867402088e-26       5.074980435893e-09       1.799609081754e+22       1.591230362966e+04       1.742272871391e-10       1.453282152068e+18       2.930070562708e-09       1.915866588467e+44       3.344770494405e+33       5.093442955114e+33      -4.486344988895e-12      1.390123411496e-150      -4.628900000000e+00       1.322726258581e+44       3.238592847132e+44       1.623273624440e-06       1.102742781203e+01 
       9.069584935070e+13       9.189177577219e-26       5.111360223964e-09       1.774676649505e+22       1.591230362966e+04       1.754468781490e-10       1.443179892818e+18       2.950581056647e-09       1.863148114988e+44       3.275502323278e+33       4.987960836436e+33      -4.486344988895e-12      1.499803264477e-150      -4.628900000000e+00       1.286329095228e+44       3.149477210299e+44       1.748140826320e-06       1.023975439689e+01 
       9.006539160943e+13       9.318276333002e-26       5.145921022631e-09       1.750089640151e+22       1.591230362966e+04       1.766750062961e-10       1.433147857813e+18       2.971235124043e-09       1.811880283983e+44       3.207668654021e+33       4.884663188548e+33      -4.486344988895e-12      1.618136788096e-150      -4.628900000000e+00       1.250933464499e+44       3.062813748564e+44       1.873008028200e-06       9.557104103759e+00 
       8.943931639467e+13       9.449188797204e-26       5.182300810702e-09       1.725843268078e+22       1.591230362966e+04       1.779117313402e-10       1.423185558901e+18       2.992033769911e-09       1.762023178446e+44       3.141239778970e+33       4.783504772384e+33      -4.486344988895e-12      1.745806751463e-150      -4.628900000000e+00       1.216511807445e+44       2.978534985970e+44       1.997875230080e-06       8.959785097274e+00 
       8.881759324197e+13       9.581940450616e-26       5.218680598773e-09       1.701932813975e+22       1.591230362966e+04       1.791571134595e-10       1.413292511322e+18       3.012978006301e-09       1.713537979758e+44       3.076186605687e+33       4.684441285751e+33      -4.486344988895e-12      1.883549793735e-150      -4.628900000000e+00       1.183037323447e+44       2.896575303283e+44       2.122742431960e-06       8.432738915081e+00 
       8.820019189868e+13       9.716557132006e-26       5.255060386844e-09       1.678353623912e+22       1.591230362966e+04       1.804112132538e-10       1.403468233686e+18       3.034068852345e-09       1.666386937466e+44       3.012480644223e+33       4.587429343927e+33      -4.486344988895e-12      2.032160674431e-150      -4.628900000000e+00       1.150483949358e+44       2.816870886900e+44       2.247609633840e-06       7.964253419799e+00 
       8.758708232243e+13       9.853065043153e-26       5.291440174915e-09       1.655101108440e+22       1.591230362966e+04       1.816740917465e-10       1.393712247950e+18       3.055307334311e-09       1.620533339885e+44       2.950093994636e+33       4.492426460661e+33      -4.486344988895e-12      2.192496859091e-150      -4.628900000000e+00       1.118826339200e+44       2.739359679159e+44       2.372476835720e-06       7.545082187178e+00 
       8.697823467967e+13       9.991490753944e-26       5.329638952389e-09       1.632170741690e+22       1.591230362966e+04       1.829458103888e-10       1.384024079394e+18       3.076694485651e-09       1.575941485518e+44       2.888999334777e+33       4.399391029568e+33      -4.486344988895e-12      2.365483466738e-150      -4.628900000000e+00       1.088039844439e+44       2.663981330030e+44       2.497344037599e-06       7.167828077819e+00 
       8.637361934426e+13       1.013186120755e-25       5.366018740460e-09       1.609558060498e+22       1.591230362966e+04       1.842264310615e-10       1.374403256598e+18       3.098231347050e-09       1.532576655259e+44       2.829169908320e+33       4.308282305904e+33      -4.486344988895e-12      2.552118607701e-150      -4.628900000000e+00       1.058100494785e+44       2.590677150115e+44       2.622211239479e-06       6.826502931256e+00 
