# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       8.034244638267e+02       2.796881455286e-02       0.000000000000e+00       3.473405816235e+00       9.534352344799e-08      -1.635199573425e-03      -1.254881556842e-05 
    3       7.750759783519e+02       5.168065835011e-02       0.000000000000e+00       4.018444304078e+00       1.171101687218e-07      -1.223852102603e-03      -1.586234034693e-05 
    4       7.589656847910e+02       6.774380787544e-02       0.000000000000e+00       4.130535534933e+00       1.379613438770e-07      -9.855119929479e-04      -1.721654670391e-05 
    5       7.474935086779e+02       7.160038340314e-02       0.000000000000e+00       3.956650153194e+00       1.576292168438e-07      -8.305530596006e-04      -1.693572004321e-05 
    6       7.397818982439e+02       6.435311676699e-02       0.000000000000e+00       3.607354763328e+00       1.759442654594e-07      -7.200488106844e-04      -1.532465168105e-05 
    7       7.351246145543e+02       5.055689136455e-02       0.000000000000e+00       3.178615719334e+00       1.930659670753e-07      -6.379091341604e-04      -1.277523309380e-05 
    8       7.339669994017e+02       3.534646555801e-02       0.000000000000e+00       2.734754447062e+00       2.092757465830e-07      -5.752092737832e-04      -9.688981801486e-06 
    9       7.353907000586e+02       2.252719589179e-02       0.000000000000e+00       2.316710154561e+00       2.243295018985e-07      -5.242495352303e-04      -6.449982499992e-06 
   10       7.390430501851e+02       1.382844381652e-02       0.000000000000e+00       1.950737849054e+00       2.378937165604e-07      -4.805197627175e-04      -3.398940683167e-06 
   11       7.445582534706e+02       9.140116826021e-03       0.000000000000e+00       1.652048214151e+00       2.188531933951e-07      -3.744005203928e-04      -8.047874688405e-07 
   12       7.515061943644e+02       7.283847220871e-03       0.000000000000e+00       1.427192198904e+00       2.281815169649e-07      -3.469441969558e-04       1.127963337674e-06 
   13       7.596781946553e+02       6.850788052708e-03       0.000000000000e+00       1.276063991427e+00       2.368702442271e-07      -3.232068758998e-04       2.337258353916e-06 
   14       7.685193940255e+02       6.784349232250e-03       0.000000000000e+00       1.193699268376e+00       2.449855883847e-07      -3.015084274204e-04       2.826505621534e-06 
   15       7.784429431792e+02       6.594080616162e-03       0.000000000000e+00       1.171090587935e+00       2.525828778914e-07      -2.798071890497e-04       2.677935244501e-06 
   16       7.886467393079e+02       6.264783589587e-03       0.000000000000e+00       1.196373069734e+00       2.597086064780e-07      -2.551543615235e-04       2.030964331822e-06 
   17       7.993580154132e+02       6.016106772499e-03       0.000000000000e+00       1.257007338837e+00       2.664018936937e-07      -2.266922283671e-04       1.058449641504e-06 
   18       8.102887404124e+02       6.077320894242e-03       0.000000000000e+00       1.340202838192e+00       2.725830625067e-07      -2.075348812828e-04      -8.003315963369e-08 
   19       8.215445814071e+02       6.503220930096e-03       0.000000000000e+00       1.436881441163e+00       2.786312323301e-07      -1.943461550716e-04      -1.225728836414e-06 
   20       8.330909092089e+02       7.257269194800e-03       0.000000000000e+00       1.536978906451e+00       2.842207829766e-07      -1.741646813044e-04      -2.195034905619e-06 
   21       8.449183065869e+02       8.220845936987e-03       0.000000000000e+00       1.634911538324e+00       2.895097549287e-07      -1.517277781678e-04      -2.904757110903e-06 
   22       8.568236760408e+02       9.238765913548e-03       0.000000000000e+00       1.726415074371e+00       2.944662791493e-07      -1.385387117206e-04      -3.329429144393e-06 
   23       8.688229418922e+02       1.027957466436e-02       0.000000000000e+00       1.810185644631e+00       2.992223135353e-07      -1.318885166214e-04      -3.449093761852e-06 
   24       8.808655641126e+02       1.136573339063e-02       0.000000000000e+00       1.886192506515e+00       3.036709560932e-07      -1.228140553712e-04      -3.274050809429e-06 
   25       8.929713513902e+02       1.258032661990e-02       0.000000000000e+00       1.955234648123e+00       3.079148736354e-07      -1.103258603904e-04      -2.860169232018e-06 
   26       9.050907110072e+02       1.402832111943e-02       0.000000000000e+00       2.018798394883e+00       3.119124623433e-07      -9.657845316357e-05      -2.307328386243e-06 
   27       9.172615735674e+02       1.576043135357e-02       0.000000000000e+00       2.078913628195e+00       3.157139808774e-07      -8.355985701728e-05      -1.709590948221e-06 
   28       9.294795840009e+02       1.780352571524e-02       0.000000000000e+00       2.137813813458e+00       3.192441326399e-07      -7.309281437470e-05      -1.169214004136e-06 
   29       9.417717323738e+02       2.014787420693e-02       0.000000000000e+00       2.196329284863e+00       3.226453826237e-07      -6.502569686932e-05      -7.409163889279e-07 
   30       9.540849419719e+02       2.276262103946e-02       0.000000000000e+00       2.254866781712e+00       3.259557617834e-07      -5.802100664912e-05      -4.646341312980e-07 
   31       9.663018991300e+02       2.561318528650e-02       0.000000000000e+00       2.313559930533e+00       3.290139104344e-07      -5.037257711469e-05      -3.727096420108e-07 
   32       9.784776341250e+02       2.870132426820e-02       0.000000000000e+00       2.371378683604e+00       3.319081977787e-07      -4.186875444784e-05      -4.598798979987e-07 
   33       9.906748486140e+02       3.203964801218e-02       0.000000000000e+00       2.426630153991e+00       3.346935816897e-07      -3.282435096029e-05      -6.932163469028e-07 
   34       1.002908318468e+03       3.563876208263e-02       0.000000000000e+00       2.477311994215e+00       3.372950064037e-07      -2.364459510113e-05      -1.022362447365e-06 
   35       1.015192681749e+03       3.949847652118e-02       0.000000000000e+00       2.521677427000e+00       3.397757217136e-07      -1.481894201744e-05      -1.405476358650e-06 
   36       1.027499362092e+03       4.361324513332e-02       0.000000000000e+00       2.557822625741e+00       3.421479064998e-07      -6.939634658775e-06      -1.791259861745e-06 
   37       1.039770754002e+03       4.797711807935e-02       0.000000000000e+00       2.583818237492e+00       3.443306173990e-07      -5.461573923129e-07      -2.121247369716e-06 
   38       1.052035037693e+03       5.259356457543e-02       0.000000000000e+00       2.598748577694e+00       3.464019045223e-07       4.484441981009e-06      -2.369637624354e-06 
   39       1.064321140179e+03       5.746878443376e-02       0.000000000000e+00       2.602006186114e+00       3.484343364851e-07       8.632837382624e-06      -2.520469358378e-06 
   40       1.076623117681e+03       6.260910260489e-02       0.000000000000e+00       2.593017809988e+00       3.503995216942e-07       1.262782782501e-05      -2.558031572644e-06 
   41       1.088916541010e+03       6.802259788321e-02       0.000000000000e+00       2.571403747911e+00       3.521995221558e-07       1.724456761138e-05      -2.473069435043e-06 
   42       1.101223240678e+03       7.372457841349e-02       0.000000000000e+00       2.537510106894e+00       3.538808512022e-07       2.248775671318e-05      -2.284392740935e-06 
   43       1.113561215281e+03       7.973392244666e-02       0.000000000000e+00       2.492055526562e+00       3.554956399246e-07       2.807596852482e-05      -2.028109815739e-06 
   44       1.125923865895e+03       8.607175184969e-02       0.000000000000e+00       2.436004043111e+00       3.570274052194e-07       3.363666156492e-05      -1.754142525899e-06 
   45       1.138293452953e+03       9.275757074748e-02       0.000000000000e+00       2.370314218861e+00       3.584168564464e-07       3.878469194703e-05      -1.516360610724e-06 
   46       1.150691991663e+03       9.979599881026e-02       0.000000000000e+00       2.295063880558e+00       3.597149897343e-07       4.342680203257e-05      -1.333400148488e-06 
   47       1.163141438050e+03       1.071862926580e-01       0.000000000000e+00       2.210087687497e+00       3.609814439301e-07       4.757372542888e-05      -1.213412923033e-06 
   48       1.175647646475e+03       1.149258953660e-01       0.000000000000e+00       2.115218244498e+00       3.622328061804e-07       5.126633440433e-05      -1.164029497543e-06 
