# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.564977879482e+03       1.018233551131e-01       5.008957393023e-07       4.238434859093e+00       4.124864608044e-08       4.818993433869e-03      -2.131895005651e-05 
    3       1.417063185787e+03       9.137996282306e-02       1.002173977792e-06       4.749890396894e+00       5.066984918433e-08       4.801577747235e-03      -1.798536256586e-05 
    4       1.273692918725e+03       5.301223168664e-02       1.671137145612e-06       4.091009392797e+00       5.858615440105e-08       4.601391921495e-03      -1.017485740525e-05 
    5       1.165733259663e+03       2.422621414195e-02       2.508287315701e-06       3.013393451941e+00       6.538039020006e-08       4.356751900539e-03      -2.652343205421e-06 
    6       1.089937112423e+03       1.116562546325e-02       3.514245014656e-06       2.027157789234e+00       7.125183830771e-08       4.115386123217e-03       2.032242745376e-06 
    7       1.037774331892e+03       6.636313696298e-03       4.689744261439e-06       1.351933849908e+00       7.637295006807e-08       3.893602247029e-03       3.405220709482e-06 
    8       1.002453848547e+03       4.801421263001e-03       6.035626394808e-06       9.869307975044e-01       8.085539822695e-08       3.691951078183e-03       2.416829162482e-06 
    9       9.788664561848e+02       3.723591313407e-03       7.552832609249e-06       8.367839202966e-01       8.479010193472e-08       3.505293934708e-03       5.405894503705e-07 
   10       9.636881077225e+02       3.014719282498e-03       9.242395135218e-06       7.977884470048e-01       8.823763598891e-08       3.330803446148e-03      -1.003347676656e-06 
   11       9.558358447246e+02       2.479723010076e-03       1.110542702592e-05       7.963748132801e-01       9.046917357362e-08       3.192280224948e-03      -1.617568380487e-06 
   12       9.528732533321e+02       2.052881268218e-03       1.314311054892e-05       7.973487789753e-01       9.313439907080e-08       3.035437259961e-03      -1.479212840766e-06 
   13       9.539271141341e+02       1.813521284759e-03       1.535668422539e-05       7.984969865344e-01       9.546455306004e-08       2.894667199605e-03      -9.824712512139e-07 
