# Matter power spectrum P(k) at redshift z=0
# for k=1.92995e-05 to 1.39423 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.929954219578e-05       8.344250739820e+00 
       4.078154995199e-05       1.718455760134e+01 
       6.248679355291e-05       2.595047356976e+01 
       8.457846692272e-05       3.476881809969e+01 
       1.072274911098e-04       4.373450916050e+01 
       1.306167186456e-04       5.293458725608e+01 
       1.549454934955e-04       6.245655880589e+01 
       1.804347081604e-04       7.239285606743e+01 
       2.073324911114e-04       8.284438765209e+01 
       2.359206365824e-04       9.392361068953e+01 
       2.665218422372e-04       1.057575933126e+02 
       2.995077289313e-04       1.184911098411e+02 
       3.353074521080e-04       1.322897019420e+02 
       3.744164373515e-04       1.473423701866e+02 
       4.174043370136e-04       1.638635609827e+02 
       4.649206704657e-04       1.820935435345e+02 
       5.176957771329e-04       2.022962362078e+02 
       5.765337842079e-04       2.247533621423e+02 
       6.422935780666e-04       2.497535888393e+02 
       7.158538705499e-04       2.775764357912e+02 
       7.980602201514e-04       3.084714009347e+02 
       8.896560326820e-04       3.426351666336e+02 
       9.912059129764e-04       3.801904522318e+02 
       1.103026218699e-03       4.211716799526e+02 
       1.225140511300e-03       4.655196074533e+02 
       1.357273458348e-03       5.130873276465e+02 
       1.498885902554e-03       5.636548637298e+02 
       1.649241250678e-03       6.169497822408e+02 
       1.807485507441e-03       6.726701116966e+02 
       1.972723294077e-03       7.305053444187e+02 
       2.144078147874e-03       7.900726882282e+02 
       2.320732928932e-03       8.511550926421e+02 
       2.501951856215e-03       9.135012966406e+02 
       2.687088478576e-03       9.768839566136e+02 
       2.875584350002e-03       1.041105508409e+03 
       3.066962407994e-03       1.105995591087e+03 
       3.260817913113e-03       1.171408991297e+03 
       3.456808762134e-03       1.237222248594e+03 
       3.654646200430e-03       1.303330505039e+03 
       3.854086434129e-03       1.369644884487e+03 
       4.054923323103e-03       1.436090220454e+03 
       4.256982157822e-03       1.502602459312e+03 
       4.460114434486e-03       1.569127262440e+03 
       4.664193506880e-03       1.635618042601e+03 
       4.869110986320e-03       1.702035285944e+03 
       5.074773768550e-03       1.768344753278e+03 
       5.281101580166e-03       1.834516999109e+03 
       5.488024952594e-03       1.900526870606e+03 
       5.695483546593e-03       1.966352142931e+03 
       5.903424763615e-03       2.031973908536e+03 
       6.111802591881e-03       2.097375150239e+03 
       6.320576644656e-03       2.162541528232e+03 
       6.529711356168e-03       2.227460272379e+03 
       6.739175307098e-03       2.292119809504e+03 
       6.948940656872e-03       2.356510610333e+03 
       7.158982664183e-03       2.420623570988e+03 
       7.369279280681e-03       2.484450890851e+03 
       7.579810805486e-03       2.547985861118e+03 
       7.790559590451e-03       2.611222375183e+03 
       8.001509787895e-03       2.674154510472e+03 
       8.212647134000e-03       2.736777834152e+03 
       8.423958762249e-03       2.799087608233e+03 
       8.635433042251e-03       2.861079756126e+03 
       8.847059440092e-03       2.922751279317e+03 
       9.058828396983e-03       2.984101916231e+03 
       9.270731223520e-03       3.045130683114e+03 
       9.482760007306e-03       3.105818524833e+03 
       9.694907532021e-03       3.166177032216e+03 
       9.907167206356e-03       3.226201395710e+03 
       1.011953300145e-02       3.285891945882e+03 
       1.033199939570e-02       3.345246645070e+03 
       1.054456132589e-02       3.404263785734e+03 
       1.075721414400e-02       3.462940870085e+03 
       1.096995357867e-02       3.521272555619e+03 
       1.118277570107e-02       3.579260251995e+03 
       1.139567689432e-02       3.636928965342e+03 
       1.160865382628e-02       3.694233209782e+03 
       1.182170342512e-02       3.751171598175e+03 
       1.203482285740e-02       3.807786699807e+03 
       1.224800950848e-02       3.864059481508e+03 
       1.246126096474e-02       3.919991908072e+03 
       1.267457499770e-02       3.975563366260e+03 
       1.288794954960e-02       4.030801004073e+03 
       1.310138272036e-02       4.085687763304e+03 
       1.331487275585e-02       4.140226090117e+03 
       1.352841803717e-02       4.194421201225e+03 
       1.374201707097e-02       4.248268063801e+03 
       1.395566848065e-02       4.301765199904e+03 
       1.416937099831e-02       4.354924076904e+03 
       1.438312345749e-02       4.407730235279e+03 
       1.459692478647e-02       4.460185700073e+03 
       1.481077400221e-02       4.512292052594e+03 
       1.502467020478e-02       4.564083390294e+03 
       1.523861257230e-02       4.615509375870e+03 
       1.545260035627e-02       4.666590080249e+03 
       1.566663287729e-02       4.717329797951e+03 
       1.588070952120e-02       4.767724530900e+03 
       1.609482973545e-02       4.817770046080e+03 
       1.630899302583e-02       4.867474182729e+03 
       1.652319895346e-02       4.916840359868e+03 
       1.673744713197e-02       4.965859893885e+03 
       1.695173722499e-02       5.014526596707e+03 
       1.716606894378e-02       5.062869469384e+03 
       1.738044204508e-02       5.110870640078e+03 
       1.759485632913e-02       5.158513952708e+03 
       1.780931163782e-02       5.205832437252e+03 
       1.802380785304e-02       5.252807477146e+03 
       1.823834489511e-02       5.299448133443e+03 
       1.845292272141e-02       5.345749962656e+03 
       1.866754132500e-02       5.391710935259e+03 
       1.888220073348e-02       5.437336147365e+03 
       1.909690100791e-02       5.482628256016e+03 
       1.931164224173e-02       5.527581712995e+03 
       1.952642455991e-02       5.572204576890e+03 
       1.974124811809e-02       5.616492116725e+03 
       1.995611310181e-02       5.660450698072e+03 
       2.017101972580e-02       5.704067037190e+03 
       2.038596823340e-02       5.747361306616e+03 
       2.060095889594e-02       5.790315059513e+03 
       2.081599201223e-02       5.832943956169e+03 
       2.103106790814e-02       5.875251020473e+03 
       2.124618693615e-02       5.917232762049e+03 
       2.146134947502e-02       5.958876157132e+03 
       2.167655592944e-02       6.000206377483e+03 
       2.189180672979e-02       6.041202621558e+03 
       2.210710233189e-02       6.081877174591e+03 
       2.232244321680e-02       6.122227473343e+03 
       2.253782989065e-02       6.162253655578e+03 
       2.275326288456e-02       6.201966263778e+03 
       2.296874275448e-02       6.241347034060e+03 
       2.318427008120e-02       6.280411589432e+03 
       2.339984547025e-02       6.319166520581e+03 
       2.361546955197e-02       6.357591320141e+03 
       2.383114298147e-02       6.395707993462e+03 
       2.404686643871e-02       6.433507781104e+03 
       2.426264062859e-02       6.470991600261e+03 
       2.447846628104e-02       6.508159572972e+03 
       2.469434415116e-02       6.545014864149e+03 
       2.491027501934e-02       6.581563345346e+03 
       2.512625969147e-02       6.617795990361e+03 
       2.534229899912e-02       6.653728576572e+03 
       2.555839379977e-02       6.689345522772e+03 
       2.577454497704e-02       6.724659244415e+03 
       2.599075344095e-02       6.759663458329e+03 
       2.620702012822e-02       6.794366136793e+03 
       2.642334600256e-02       6.828767148459e+03 
       2.663973205498e-02       6.862859785083e+03 
       2.685617930417e-02       6.896654526398e+03 
       2.707268879685e-02       6.930150278644e+03 
       2.728926160814e-02       6.963350723059e+03 
       2.750589884197e-02       6.996237727774e+03 
       2.772260163152e-02       7.028845668438e+03 
       2.793937113964e-02       7.061146560191e+03 
       2.815620855934e-02       7.093175562473e+03 
       2.837311511426e-02       7.124876556331e+03 
       2.859009205917e-02       7.156303830344e+03 
       2.880714068050e-02       7.187436392708e+03 
       2.902426229689e-02       7.218279260079e+03 
       2.924145825974e-02       7.248833548370e+03 
       2.945872995382e-02       7.279104727110e+03 
       2.967607879785e-02       7.309090604520e+03 
       2.989350624514e-02       7.338793033403e+03 
       3.011101378426e-02       7.368222423140e+03 
       3.032860293967e-02       7.397339149268e+03 
       3.054627527245e-02       7.426190049997e+03 
       3.076403238101e-02       7.454760055284e+03 
       3.098187590181e-02       7.483061761556e+03 
       3.119980751013e-02       7.511082490575e+03 
       3.141782892089e-02       7.538832320158e+03 
       3.163594188942e-02       7.566299256878e+03 
       3.185414821231e-02       7.593495767322e+03 
       3.207244972828e-02       7.620422726733e+03 
       3.229084831906e-02       7.647070717994e+03 
       3.250934591030e-02       7.673460540202e+03 
       3.272794447254e-02       7.699593546136e+03 
       3.294664602213e-02       7.725426178101e+03 
       3.316545262229e-02       7.751018561647e+03 
       3.338436638408e-02       7.776341347443e+03 
       3.360338946750e-02       7.801399476113e+03 
       3.382252408257e-02       7.826209971345e+03 
       3.404177249042e-02       7.850742106808e+03 
       3.426113700450e-02       7.875029991920e+03 
       3.448061999172e-02       7.899056592190e+03 
       3.470022387370e-02       7.922826703169e+03 
       3.491995112800e-02       7.946333385104e+03 
       3.513980428947e-02       7.969591919614e+03 
       3.535978595151e-02       7.992619044654e+03 
       3.557989876749e-02       8.015372690930e+03 
       3.580014545214e-02       8.037890811904e+03 
