# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881806e-26       4.634785000235e-09       2.157468236846e+22       1.420449951064e+04       1.420449951064e-10       1.420449951064e+18       2.676054550095e-09       2.753580214648e+44       2.499123290902e+33       1.320604351530e+34      -4.903676059780e-12      3.195163230127e-104      -3.428800000000e+00       1.901088978193e+44       4.654669192998e+44       5.574853382707e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124169e-26       4.667526809499e-09       2.127577894999e+22       1.420449951064e+04       1.430393100721e-10       1.410575919626e+18       2.694786931946e-09       2.677810562215e+44       2.447367961180e+33       1.293255435254e+34      -4.903676059780e-12      3.361762156013e-104      -3.428800000000e+00       1.848777136920e+44       4.526587699288e+44       7.777604766999e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275395e-26       4.700268618762e-09       2.098101664712e+22       1.420449951064e+04       1.440405852426e-10       1.400770525945e+18       2.713650440469e-09       2.604125846403e+44       2.396684452990e+33       1.266472898470e+34      -4.903676059780e-12      3.537047712319e-104      -3.428800000000e+00       1.797904748912e+44       4.402030595466e+44       1.555520953399e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295310e-26       4.733010428026e-09       2.069033808733e+22       1.420449951064e+04       1.450488693393e-10       1.391033292894e+18       2.732645993552e-09       2.532468696478e+44       2.347050569557e+33       1.240245011801e+34      -4.903676059780e-12      3.721472828421e-104      -3.428800000000e+00       1.748432205055e+44       4.280900901681e+44       2.333281430098e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438207e-26       4.765752237290e-09       2.040368669298e+22       1.420449951064e+04       1.460642114247e-10       1.381363746668e+18       2.751774515507e-09       2.462783320360e+44       2.298444573788e+33       1.214560288780e+34      -4.903676059780e-12      3.915514049879e-104      -3.428800000000e+00       1.700320986150e+44       4.163104306654e+44       3.111041906797e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256979e-26       4.800313035958e-09       2.012100667028e+22       1.420449951064e+04       1.470866609047e-10       1.371761416750e+18       2.771036937116e-09       2.395015461189e+44       2.250845178753e+33       1.189407480817e+34      -4.903676059780e-12      4.119672769801e-104      -3.428800000000e+00       1.653533632922e+44       4.048549094253e+44       3.888802383496e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607317e-26       4.833054845221e-09       1.984224299839e+22       1.420449951064e+04       1.481162675310e-10       1.362225835899e+18       2.790434195675e-09       2.329112355080e+44       2.204231538360e+33       1.164775572272e+34      -4.903676059780e-12      4.334476524421e-104      -3.428800000000e+00       1.608033716854e+44       3.937146072073e+44       4.666562860195e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651962e-26       4.867615643889e-09       1.956734141880e+22       1.420449951064e+04       1.491530814037e-10       1.352756540118e+18       2.809967235045e-09       2.265022690039e+44       2.158583238227e+33       1.140653775634e+34      -4.903676059780e-12      4.560480356226e-104      -3.428800000000e+00       1.563785811826e+44       3.828808502000e+44       5.444323336894e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865020e-26       4.900357453153e-09       1.929624842469e+22       1.420449951064e+04       1.501971529735e-10       1.343353068638e+18       2.829637005690e-09       2.202696566012e+44       2.113880286743e+33       1.117031526795e+34      -4.903676059780e-12      4.798268248159e-104      -3.428800000000e+00       1.520755466528e+44       3.723452032672e+44       6.222083813593e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036333e-26       4.934918251820e-09       1.902891125053e+22       1.420449951064e+04       1.512485330443e-10       1.334014963891e+18       2.849444464730e-09       2.142085456034e+44       2.070103106308e+33       1.093898480423e+34      -4.903676059780e-12      5.048454632605e-104      -3.428800000000e+00       1.478909177642e+44       3.620994633806e+44       6.999844290291e-07       1.592850683960e+01 
       9.326212236469e+13       8.690422275921e-26       4.969479050487e-09       1.876527786185e+22       1.420449951064e+04       1.523072727756e-10       1.324741771490e+18       2.869390575983e-09       2.083142168447e+44       2.027232524766e+33       1.071244505429e+34      -4.903676059780e-12      5.311685979051e-104      -3.428800000000e+00       1.438214363750e+44       3.521356532325e+44       7.777604766990e-07       1.433565615564e+01 
       9.261382558559e+13       8.812514018476e-26       5.004039849155e-09       1.850529694507e+22       1.420449951064e+04       1.533734236851e-10       1.315533040209e+18       2.889476310015e-09       2.025820810155e+44       1.985249767003e+33       1.049059680538e+34      -4.903676059780e-12      5.588642464533e-104      -3.428800000000e+00       1.398639339974e+44       3.424460150253e+44       8.555365243688e-07       1.303241468694e+01 
       9.197003533823e+13       8.936321027921e-26       5.040419637226e-09       1.824891789753e+22       1.420449951064e+04       1.544470376509e-10       1.306388321955e+18       2.909702644185e-09       1.970076750890e+44       1.944136446725e+33       1.027334289933e+34      -4.903676059780e-12      5.880039731182e-104      -3.428800000000e+00       1.360153293297e+44       3.330230044309e+44       9.333125720387e-07       1.194638012970e+01 
       9.133072029615e+13       9.061867402042e-26       5.074980435893e-09       1.799609081764e+22       1.420449951064e+04       1.555281669144e-10       1.297307171753e+18       2.930070562694e-09       1.915866588467e+44       1.903874558409e+33       1.006058819009e+34      -4.903676059780e-12      6.186630735406e-104      -3.428800000000e+00       1.322726258581e+44       3.238592847167e+44       1.011088619709e-06       1.102742781203e+01 
       9.069584935070e+13       9.189177577173e-26       5.111360223964e-09       1.774676649515e+22       1.420449951064e+04       1.566168640828e-10       1.288289147719e+18       2.950581056633e-09       1.863148114988e+44       1.864446469416e+33       9.852239502023e+33      -4.903676059780e-12      6.509207693497e-104      -3.428800000000e+00       1.286329095228e+44       3.149477210334e+44       1.088864667378e-06       1.023975439688e+01 
       9.006539160943e+13       9.318276332955e-26       5.145921022631e-09       1.750089640161e+22       1.420449951064e+04       1.577131821314e-10       1.279333811041e+18       2.971235124029e-09       1.811880283983e+44       1.825834912265e+33       9.648205589096e+33      -4.903676059780e-12      6.848604128673e-104      -3.428800000000e+00       1.250933464499e+44       3.062813748598e+44       1.166640715048e-06       9.557104103757e+00 
       8.943931639467e+13       9.449188797156e-26       5.182300810702e-09       1.725843268087e+22       1.420449951064e+04       1.588171744063e-10       1.270440725960e+18       2.992033769897e-09       1.762023178446e+44       1.788022977076e+33       9.448397094929e+33      -4.903676059780e-12      7.205697024868e-104      -3.428800000000e+00       1.216511807445e+44       2.978534986003e+44       1.244416762718e-06       8.959785097272e+00 
       8.881759324197e+13       9.581940450567e-26       5.218680598773e-09       1.701932813984e+22       1.420449951064e+04       1.599288946272e-10       1.261609459741e+18       3.012978006286e-09       1.713537979758e+44       1.750994104165e+33       9.252726513660e+33      -4.903676059780e-12      7.581409092811e-104      -3.428800000000e+00       1.183037323447e+44       2.896575303316e+44       1.322192810388e-06       8.432738915079e+00 
       8.820019189868e+13       9.716557131957e-26       5.255060386844e-09       1.678353623922e+22       1.420449951064e+04       1.610483968896e-10       1.252839582663e+18       3.034068852330e-09       1.666386937466e+44       1.714732076784e+33       9.061108151617e+33      -4.903676059780e-12      7.976711154272e-104      -3.428800000000e+00       1.150483949358e+44       2.816870886931e+44       1.399968858058e-06       7.964253419797e+00 
       8.758708232243e+13       9.853065043104e-26       5.291440174915e-09       1.655101108449e+22       1.420449951064e+04       1.621757356678e-10       1.244130667987e+18       3.055307334297e-09       1.620533339885e+44       1.679221014027e+33       8.873458089796e+33      -4.903676059780e-12      8.392624650609e-104      -3.428800000000e+00       1.118826339200e+44       2.739359679191e+44       1.477744905727e-06       7.545082187176e+00 
       8.697823467967e+13       9.991490753894e-26       5.329638952389e-09       1.632170741700e+22       1.420449951063e+04       1.633109658175e-10       1.235482291943e+18       3.076694485636e-09       1.575941485518e+44       1.644445363873e+33       8.689694147102e+33      -4.903676059780e-12      8.830224282133e-104      -3.428800000000e+00       1.088039844439e+44       2.663981330060e+44       1.555520953397e-06       7.167828077817e+00 
       8.637361934426e+13       1.013186120750e-25       5.366018740460e-09       1.609558060508e+22       1.420449951063e+04       1.644541425782e-10       1.226894033707e+18       3.098231347036e-09       1.532576655259e+44       1.610389896371e+33       8.509735844362e+33      -4.903676059780e-12      9.290640785075e-104      -3.428800000000e+00       1.058100494785e+44       2.590677150145e+44       1.633297001067e-06       6.826502931254e+00 
       8.577320689599e+13       1.027420372560e-25       5.404217517935e-09       1.587258663544e+22       1.420449951063e+04       1.656053215762e-10       1.218365475380e+18       3.119918966465e-09       1.490405085360e+44       1.577039696974e+33       8.333504369077e+33      -4.903676059780e-12      9.775063853355e-104      -3.428800000000e+00       1.028984979536e+44       2.519390064995e+44       1.711073048737e-06       6.516207343469e+00 
       8.517696811915e+13       1.041854601374e-25       5.442416295409e-09       1.565268210455e+22       1.420449951063e+04       1.667645588273e-10       1.209896201966e+18       3.141758399230e-09       1.449393941140e+44       1.544380160008e+33       8.160922540908e+33      -4.903676059780e-12      1.028474521269e-103      -3.428800000000e+00       1.000670629424e+44       2.450064570662e+44       1.788849096407e-06       6.232893980709e+00 
       8.458487400115e+13       1.056491616669e-25       5.480615072884e-09       1.543582421023e+22       1.420449951063e+04       1.679319107391e-10       1.201485801356e+18       3.163750708025e-09       1.409511291427e+44       1.512396982272e+33       7.991914777874e+33      -4.903676059780e-12      1.082100185502e-103      -3.428800000000e+00       9.731353989678e+43       2.382646690490e+44       1.866625144076e-06       5.973190064846e+00 
       8.399689573103e+13       1.071334267391e-25       5.518813850358e-09       1.522197074326e+22       1.420449951063e+04       1.691074341142e-10       1.193133864306e+18       3.185896962981e-09       1.370726083688e+44       1.481076156775e+33       7.826407063250e+33      -4.903676059780e-12      1.138521944148e-103      -3.428800000000e+00       9.463578493044e+43       2.317083933085e+44       1.944401191746e-06       5.734262462252e+00 
       8.341300469814e+13       1.086385442514e-25       5.557012627833e-09       1.501108007922e+22       1.420449951063e+04       1.702911861530e-10       1.184839984415e+18       3.208198241721e-09       1.333008119857e+44       1.450403966605e+33       7.664326913153e+33      -4.903676059780e-12      1.197885588298e-103      -3.428800000000e+00       9.203171315009e+43       2.253325251449e+44       2.022177239416e-06       5.513713906012e+00 
       8.283317249071e+13       1.101648071596e-25       5.595211405307e-09       1.480311117039e+22       1.420449951063e+04       1.714832244561e-10       1.176603758109e+18       3.230655629413e-09       1.296328032822e+44       1.420366978916e+33       7.505603344799e+33      -4.903676059780e-12      1.260344510729e-103      -3.428800000000e+00       8.949929703194e+43       2.191321003230e+44       2.099953287086e-06       5.309502279863e+00 
       8.225737089444e+13       1.117125125353e-25       5.635229172185e-09       1.459802353771e+22       1.420449951063e+04       1.726836070273e-10       1.168424784616e+18       3.253270218819e-09       1.260657263558e+44       1.390952039050e+33       7.350166845411e+33      -4.903676059780e-12      1.326060102269e-103      -3.428800000000e+00       8.703656484313e+43       2.131022912077e+44       2.177729334755e-06       5.119877198439e+00 
       8.168557189121e+13       1.132819616239e-25       5.673427949660e-09       1.439577726295e+22       1.420449951063e+04       1.738923922765e-10       1.160302665955e+18       3.276043110350e-09       1.225968038894e+44       1.362146264772e+33       7.197949341784e+33      -4.903676059780e-12      1.395202168820e-103      -3.428800000000e+00       8.464159910651e+43       2.072384030045e+44       2.255505382425e-06       4.943329708838e+00 
