# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.104347856293e+03       5.032629861487e-02       0.000000000000e+00       3.329542609764e+00       5.163839300535e-08       3.366582736094e-03      -1.595647221537e-05 
    3       1.037382422453e+03       8.081144379530e-02       0.000000000000e+00       4.194035434269e+00       6.423176177948e-08       3.362527722367e-03      -1.941161634804e-05 
    4       9.709855897639e+02       8.911967138747e-02       0.000000000000e+00       4.297707712533e+00       7.468026385932e-08       3.267442764987e-03      -1.941555060637e-05 
    5       9.193044308918e+02       7.741046552453e-02       0.000000000000e+00       3.954946252759e+00       8.370360462930e-08       3.144948611634e-03      -1.696831336843e-05 
    6       8.821684342537e+02       5.577519304997e-02       0.000000000000e+00       3.400963331404e+00       9.157575993400e-08       3.015718915622e-03      -1.296337395550e-05 
    7       8.569437974016e+02       3.452451540837e-02       0.000000000000e+00       2.796325727323e+00       9.858001949766e-08       2.886886086608e-03      -8.293682838794e-06 
    8       8.404072966555e+02       1.952852132217e-02       0.000000000000e+00       2.235165038787e+00       1.048583271352e-07       2.761596448638e-03      -3.752833196177e-06 
    9       8.308834067409e+02       1.166791700648e-02       0.000000000000e+00       1.767825704445e+00       1.104743875893e-07       2.642692425830e-03       3.841994966921e-08 
   10       8.267505186129e+02       8.754243395519e-03       0.000000000000e+00       1.415838862864e+00       1.155038323085e-07       2.531451862299e-03       2.688046501052e-06 
   11       8.262803555103e+02       7.963797630471e-03       0.000000000000e+00       1.181822539560e+00       1.169160843215e-07       2.434513119533e-03       4.031048345285e-06 
   12       8.290381430948e+02       7.422230665553e-03       0.000000000000e+00       1.054097039661e+00       1.207918237894e-07       2.335651236537e-03       4.193550417199e-06 
   13       8.340878898098e+02       6.562088397731e-03       0.000000000000e+00       1.011745792298e+00       1.242671845751e-07       2.242371519990e-03       3.390808311462e-06 
   14       8.408685261420e+02       5.641757339176e-03       0.000000000000e+00       1.030480791985e+00       1.273842874685e-07       2.156129960569e-03       1.970106542870e-06 
   15       8.492624686335e+02       5.070703714578e-03       0.000000000000e+00       1.086163065252e+00       1.301824270069e-07       2.078223737770e-03       3.086336247370e-07 
   16       8.586647835204e+02       4.999444676000e-03       0.000000000000e+00       1.158652124225e+00       1.326945032803e-07       2.006098473584e-03      -1.256993649453e-06 
   17       8.693611633461e+02       5.283910583973e-03       0.000000000000e+00       1.233431823691e+00       1.349478639856e-07       1.934901657264e-03      -2.478150818892e-06 
   18       8.808006172271e+02       5.658505043549e-03       0.000000000000e+00       1.301201124386e+00       1.369136487643e-07       1.867662499776e-03      -3.199780718407e-06 
   19       8.929595414961e+02       6.023931429995e-03       0.000000000000e+00       1.358969746035e+00       1.387709817972e-07       1.805618256544e-03      -3.382903061999e-06 
   20       9.056794688273e+02       6.354502974363e-03       0.000000000000e+00       1.406099004536e+00       1.403731939601e-07       1.743684622168e-03      -3.104868957609e-06 
   21       9.189847952596e+02       6.767930557500e-03       0.000000000000e+00       1.445648675717e+00       1.418130089254e-07       1.684227964691e-03      -2.487962652812e-06 
