# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.104351554087e+03       5.032809744975e-02       1.798834581585e-06       3.329542573754e+00       5.163839300535e-08       3.366582736094e-03      -1.595647221537e-05 
    3       1.037389801694e+03       8.081504289103e-02       3.599092757684e-06       4.194035273988e+00       6.423176177948e-08       3.362527722367e-03      -1.941161634804e-05 
    4       9.709978525780e+02       8.912567300700e-02       6.001604924634e-06       4.297707252744e+00       7.468026385932e-08       3.267442764987e-03      -1.941555060637e-05 
    5       9.193227587258e+02       7.741947371586e-02       9.008141410433e-06       3.954945207455e+00       8.370360462930e-08       3.144948611634e-03      -1.696831336843e-05 
    6       8.821939836354e+02       5.578781399510e-02       1.262080929150e-05       3.400961280994e+00       9.157575993400e-08       3.015718915622e-03      -1.296337395550e-05 
    7       8.569776962747e+02       3.454135771154e-02       1.684198793941e-05       2.796322098733e+00       9.858001949766e-08       2.886886086608e-03      -8.293682838794e-06 
    8       8.404506413587e+02       1.955019622926e-02       2.167425745750e-05       2.235159088823e+00       1.048583271352e-07       2.761596448638e-03      -3.752833196177e-06 
    9       8.309372596819e+02       1.169503854957e-02       2.712032276655e-05       1.767816506596e+00       1.104743875893e-07       2.642692425830e-03       3.841994966921e-08 
   10       8.268159066636e+02       8.787428458563e-03       3.318293625338e-05       1.415825297625e+00       1.155038323085e-07       2.531451862299e-03       2.688046501052e-06 
   11       8.263582691268e+02       8.003665934609e-03       3.986482193361e-05       1.181803288196e+00       1.169160843215e-07       2.434513119533e-03       4.031048345285e-06 
   12       8.291295361432e+02       7.469404674617e-03       4.716860399876e-05       1.054070581226e+00       1.207918237894e-07       2.335651236537e-03       4.193550417199e-06 
   13       8.341936800565e+02       6.617193147060e-03       5.509674242094e-05       1.011710403608e+00       1.242671845751e-07       2.242371519990e-03       3.390808311462e-06 
   14       8.409895963465e+02       5.705420192909e-03       6.365147798505e-05       1.030434550164e+00       1.273842874685e-07       2.156129960569e-03       1.970106542870e-06 
   15       8.493996681665e+02       5.143554058642e-03       7.283478871942e-05       1.086103852383e+00       1.301824270069e-07       2.078223737770e-03       3.086336247370e-07 
   16       8.588189304129e+02       5.082113555791e-03       8.264835921868e-05       1.158577633617e+00       1.326945032803e-07       2.006098473584e-03      -1.256993649453e-06 
   17       8.695330466662e+02       5.377030297189e-03       9.309356381651e-05       1.233339567237e+00       1.349478639856e-07       1.934901657264e-03      -2.478150818892e-06 
   18       8.809909997223e+02       5.762708695163e-03       1.041714572628e-04       1.301088440776e+00       1.369136487643e-07       1.867662499776e-03      -3.199780718407e-06 
   19       8.931691621031e+02       6.139852488874e-03       1.158828198049e-04       1.358833807848e+00       1.387709817972e-07       1.805618256544e-03      -3.382903061999e-06 
   20       9.059090456999e+02       6.482774770702e-03       1.282281082649e-04       1.405936827815e+00       1.403731939601e-07       1.743684622168e-03      -3.104868957609e-06 
   21       9.192350279650e+02       6.909185855156e-03       1.412075915190e-04       1.445457125426e+00       1.418130089254e-07       1.684227964691e-03      -2.487962652812e-06 
   22       9.330023325891e+02       7.585866926957e-03       1.548212926752e-04       1.482322620804e+00       1.430639105067e-07       1.630074458240e-03      -1.727628876541e-06 
   23       9.472377408167e+02       8.557165890858e-03       1.690691522064e-04       1.520225725999e+00       1.442001033302e-07       1.580828941151e-03      -9.793220480785e-07 
   24       9.618538511446e+02       9.814535740675e-03       1.839509697625e-04       1.562433159951e+00       1.451704144340e-07       1.532858195593e-03      -4.000220974472e-07 
   25       9.767948792078e+02       1.131691425372e-02       1.994665965520e-04       1.610251825038e+00       1.460326697434e-07       1.485432103203e-03      -7.687907663646e-08 
   26       9.919216154194e+02       1.301047020349e-02       2.156158643452e-04       1.663751582058e+00       1.467641869943e-07       1.438097343277e-03      -5.206247361489e-08 
