# Matter power spectrum P(k) at redshift z=0
# for k=1.02433e-05 to 1.06392 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.024331098040e-05       5.196798290976e+01 
       2.289341478187e-05       1.134016177666e+02 
       3.558637828347e-05       1.739718738035e+02 
       4.835513699027e-05       2.342334569666e+02 
       6.123315155029e-05       2.945119016390e+02 
       7.425469555454e-05       3.550572022885e+02 
       8.745515222115e-05       4.160867064657e+02 
       1.008713237805e-04       4.778033757974e+02 
       1.145417574080e-04       5.404047348510e+02 
       1.285070915825e-04       6.040886996968e+02 
       1.428104267618e-04       6.690575570025e+02 
       1.574977242242e-04       7.355211217401e+02 
       1.726182367938e-04       8.036996208345e+02 
       1.882249748794e-04       8.738263325486e+02 
       2.043752107422e-04       9.461500256916e+02 
       2.211310230572e-04       1.020937738944e+03 
       2.385598825162e-04       1.098477294418e+03 
       2.567352772576e-04       1.179080207139e+03 
       2.757373740878e-04       1.263084410093e+03 
       2.956537075081e-04       1.350857225216e+03 
       3.165798831805e-04       1.442798281642e+03 
       3.386202753060e-04       1.539342250437e+03 
       3.618886881323e-04       1.640961457799e+03 
       3.865089401776e-04       1.748167878954e+03 
       4.126153156893e-04       1.861514442955e+03 
       4.403528115958e-04       1.981595150235e+03 
       4.698770906137e-04       2.109043650559e+03 
       5.013540339362e-04       2.244529411169e+03 
       5.349587729507e-04       2.388751348682e+03 
       5.708740729982e-04       2.542427844257e+03 
       6.092879490252e-04       2.706282827612e+03 
       6.503904197134e-04       2.881027672608e+03 
       6.943693596287e-04       3.067338651248e+03 
       7.414054919686e-04       3.265830784833e+03 
       7.916666760306e-04       3.477029090913e+03 
       8.453017736525e-04       3.701339264005e+03 
       9.024345075995e-04       3.939019977443e+03 
       9.631578236845e-04       4.190159900777e+03 
       1.027529306089e-03       4.454661797346e+03 
       1.095568147757e-03       4.732236123419e+03 
       1.167254038391e-03       5.022404952567e+03 
       1.242528119362e-03       5.324516207171e+03 
       1.321295907915e-03       5.637763792021e+03 
       1.403431864042e-03       5.961188731343e+03 
       1.488785108661e-03       6.293816305406e+03 
       1.577185728604e-03       6.634581110598e+03 
       1.668451123784e-03       6.982395412756e+03 
       1.762391944491e-03       7.336175770465e+03 
       1.858817299929e-03       7.694865891363e+03 
       1.957539060190e-03       8.057454787681e+03 
       2.058375198415e-03       8.422989233443e+03 
       2.161152214214e-03       8.790581689034e+03 
       2.265706740149e-03       9.159415144020e+03 
       2.371886463777e-03       9.528744780516e+03 
       2.479550505372e-03       9.897896294054e+03 
       2.588569383765e-03       1.026626407214e+04 
       2.698824686433e-03       1.063330700393e+04 
       2.810208540111e-03       1.099854493154e+04 
       2.922622958205e-03       1.136155313473e+04 
       3.035979123043e-03       1.172195791896e+04 
       3.150196645451e-03       1.207943169065e+04 
       3.265202831517e-03       1.243368759263e+04 
       3.380931976516e-03       1.278447719819e+04 
       3.497324698498e-03       1.313158414462e+04 
       3.614327318557e-03       1.347482260188e+04 
       3.731891290872e-03       1.381403114668e+04 
       3.849972682916e-03       1.414907389293e+04 
       3.968531704450e-03       1.447983625838e+04 
       4.087532282786e-03       1.480621612460e+04 
       4.206941681190e-03       1.512813792362e+04 
       4.326730156941e-03       1.544552981068e+04 
       4.446870655561e-03       1.575834029833e+04 
       4.567338537726e-03       1.606653005713e+04 
       4.688111335584e-03       1.637006149550e+04 
       4.809168535411e-03       1.666892098252e+04 
       4.930491383786e-03       1.696308948254e+04 
       5.052062714695e-03       1.725255430118e+04 
       5.173866795276e-03       1.753732577458e+04 
       5.295889188097e-03       1.781740749570e+04 
       5.418116628119e-03       1.809280331111e+04 
       5.540536912693e-03       1.836353078505e+04 
       5.663138803110e-03       1.862960641613e+04 
       5.785911936418e-03       1.889105487576e+04 
