# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.119090452595e+03       5.315020675683e-02       0.000000000000e+00       3.417438837280e+00       5.200327827821e-08       3.412637942294e-03      -1.638943252940e-05 
    3       1.051729504559e+03       8.731636333736e-02       0.000000000000e+00       4.333490252411e+00       6.408350764826e-08       3.425222873029e-03      -2.017846636234e-05 
    4       9.844024953965e+02       9.861581110005e-02       0.000000000000e+00       4.480893626305e+00       7.450170720484e-08       3.343117958982e-03      -2.045705639287e-05 
    5       9.313775728079e+02       8.791258085397e-02       0.000000000000e+00       4.164983408680e+00       8.360774847831e-08       3.228023740384e-03      -1.819439552672e-05 
    6       8.927797737889e+02       6.514151329388e-02       0.000000000000e+00       3.618963384209e+00       9.158818987778e-08       3.102176335941e-03      -1.425346387233e-05 
    7       8.661733264983e+02       4.142326518852e-02       0.000000000000e+00       3.005423257974e+00       9.863705515879e-08       2.975420229101e-03      -9.511072557649e-06 
    8       8.486777938807e+02       2.376271480358e-02       0.000000000000e+00       2.421552999152e+00       1.048735950817e-07       2.851359805116e-03      -4.767922170768e-06 
    9       8.382366660854e+02       1.390636211648e-02       0.000000000000e+00       1.922296578564e+00       1.104042631266e-07       2.731167704126e-03      -6.720727839891e-07 
   10       8.331061768304e+02       9.963408802965e-03       0.000000000000e+00       1.535039770779e+00       1.153494503581e-07       2.616933649230e-03       2.340760415107e-06 
   11       8.321150968100e+02       8.903459777944e-03       0.000000000000e+00       1.267249554171e+00       1.169662946572e-07       2.519556745943e-03       4.052236359961e-06 
   12       8.345498741529e+02       8.424306911893e-03       0.000000000000e+00       1.110715597505e+00       1.208523087366e-07       2.418051747178e-03       4.529164281246e-06 
   13       8.393053046745e+02       7.602010511259e-03       0.000000000000e+00       1.046726556139e+00       1.243377105464e-07       2.327611214567e-03       3.961742589548e-06 
   14       8.457031258286e+02       6.560314079552e-03       0.000000000000e+00       1.051734144021e+00       1.274655217049e-07       2.236229996661e-03       2.646048600105e-06 
   15       8.537924078650e+02       5.770422047187e-03       0.000000000000e+00       1.101766220725e+00       1.302735327949e-07       2.154591723948e-03       9.630322159302e-07 
   16       8.634382618975e+02       5.514400815300e-03       0.000000000000e+00       1.174728602007e+00       1.327949324860e-07       2.081402385428e-03      -7.386801324988e-07 
   17       8.737508336598e+02       5.730968641692e-03       0.000000000000e+00       1.253335824356e+00       1.350576384223e-07       2.013579372913e-03      -2.172133747379e-06 
   18       8.849659382427e+02       6.140357169793e-03       0.000000000000e+00       1.326121841897e+00       1.370330778869e-07       1.945498977510e-03      -3.149728069733e-06 
   19       8.971508143808e+02       6.571068773212e-03       0.000000000000e+00       1.388676227408e+00       1.388996358397e-07       1.879639907582e-03      -3.591287530491e-06 
   20       9.097783226319e+02       6.906512180942e-03       0.000000000000e+00       1.438908693400e+00       1.405107263204e-07       1.817715804882e-03      -3.519299448164e-06 
   21       9.229480361646e+02       7.249256161097e-03       0.000000000000e+00       1.478906482709e+00       1.419590751630e-07       1.760459749688e-03      -3.023956985325e-06 
   22       9.367061586166e+02       7.785744089487e-03       0.000000000000e+00       1.512987164641e+00       1.432181065424e-07       1.705308283766e-03      -2.284400089030e-06 
   23       9.509452460287e+02       8.608087611128e-03       0.000000000000e+00       1.545455988524e+00       1.443621434694e-07       1.651704360141e-03      -1.465177822330e-06 
   24       9.653832090789e+02       9.763080043309e-03       0.000000000000e+00       1.580787720847e+00       1.453401924025e-07       1.598423837813e-03      -7.513799219785e-07 
   25       9.801674244625e+02       1.121235572300e-02       0.000000000000e+00       1.621302694575e+00       1.462101558137e-07       1.547724544047e-03      -2.515441710409e-07 
   26       9.954329959508e+02       1.288514077145e-02       0.000000000000e+00       1.668118231679e+00       1.469492921203e-07       1.501797133753e-03      -3.516391356040e-08 
   27       1.011047827963e+03       1.476115628221e-02       0.000000000000e+00       1.719938128825e+00       1.475862228049e-07       1.459817298465e-03      -9.690154582360e-08 
   28       1.026743832007e+03       1.683269978358e-02       0.000000000000e+00       1.774129102411e+00       1.480825912413e-07       1.419019412697e-03      -3.819608839211e-07 
   29       1.042587249748e+03       1.909528045198e-02       0.000000000000e+00       1.827678772080e+00       1.485159974744e-07       1.379658213703e-03      -8.274713586879e-07 
   30       1.058676117942e+03       2.154258302896e-02       0.000000000000e+00       1.876722513862e+00       1.489081512117e-07       1.342261271143e-03      -1.337079746144e-06 
   31       1.075031925335e+03       2.416554670794e-02       0.000000000000e+00       1.917002259193e+00       1.491742346196e-07       1.306561914464e-03      -1.789460321556e-06 
   32       1.091676223834e+03       2.695684679737e-02       0.000000000000e+00       1.946270932943e+00       1.493617905579e-07       1.272664599053e-03      -2.124396006015e-06 
