# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.119094159235e+03       5.315201490262e-02       1.808145508820e-06       3.417438799990e+00       5.200327827821e-08       3.412637942294e-03      -1.638943252940e-05 
    3       1.051736901733e+03       8.731998120124e-02       3.617861140038e-06       4.333490086478e+00       6.408350764826e-08       3.425222873029e-03      -2.017846636234e-05 
    4       9.844147886194e+02       9.862184431797e-02       6.033204463616e-06       4.480893150473e+00       7.450170720484e-08       3.343117958982e-03      -2.045705639287e-05 
    5       9.313959472031e+02       8.792163702269e-02       9.056122765094e-06       4.164982327383e+00       8.360774847831e-08       3.228023740384e-03      -1.819439552672e-05 
    6       8.928053898913e+02       6.515420234796e-02       1.268892913412e-05       3.618961264320e+00       9.158818987778e-08       3.102176335941e-03      -1.425346387233e-05 
    7       8.662073166162e+02       4.144019970699e-02       1.693422884979e-05       3.005419508733e+00       9.863705515879e-08       2.975420229101e-03      -9.511072557649e-06 
    8       8.487212590847e+02       2.378451023733e-02       2.179483773204e-05       2.421546855629e+00       1.048735950817e-07       2.851359805116e-03      -4.767922170768e-06 
    9       8.382906738720e+02       1.393363692989e-02       2.727369564987e-05       1.922287088857e+00       1.104042631266e-07       2.731167704126e-03      -6.720727839891e-07 
   10       8.331717594875e+02       9.996784525739e-03       3.337377855371e-05       1.535025787003e+00       1.153494503581e-07       2.616933649230e-03       2.340760415107e-06 
   11       8.321932504888e+02       8.943560966215e-03       4.009801244008e-05       1.267229727141e+00       1.169662946572e-07       2.519556745943e-03       4.052236359961e-06 
   12       8.346415586285e+02       8.471761020201e-03       4.744919255974e-05       1.110688374876e+00       1.208523087366e-07       2.418051747178e-03       4.529164281246e-06 
   13       8.394114437563e+02       7.657447679878e-03       5.542991094889e-05       1.046690183666e+00       1.243377105464e-07       2.327611214567e-03       3.961742589548e-06 
   14       8.458246083614e+02       6.624366844147e-03       6.404249500806e-05       1.051686669472e+00       1.274655217049e-07       2.236229996661e-03       2.646048600105e-06 
   15       8.539300892468e+02       5.843724980084e-03       7.328895938762e-05       1.101705499927e+00       1.302735327949e-07       2.154591723948e-03       9.630322159302e-07 
   16       8.635929660246e+02       5.597590109638e-03       8.317097288254e-05       1.174652306450e+00       1.327949324860e-07       2.081402385428e-03      -7.386801324988e-07 
   17       8.739233551987e+02       5.824681651249e-03       9.368984141459e-05       1.253241449763e+00       1.350576384223e-07       2.013579372913e-03      -2.172133747379e-06 
   18       8.851570451699e+02       6.245231912666e-03       1.048464996638e-04       1.326006717491e+00       1.370330778869e-07       1.945498977510e-03      -3.149728069733e-06 
   19       8.973612504084e+02       6.687743448234e-03       1.166415660184e-04       1.388537523583e+00       1.388996358397e-07       1.879639907582e-03      -3.591287530491e-06 
   20       9.100088101408e+02       7.035624619052e-03       1.290752877529e-04       1.438743432004e+00       1.405107263204e-07       1.817715804882e-03      -3.519299448164e-06 
   21       9.231992783523e+02       7.391443377627e-03       1.421477008337e-04       1.478711542285e+00       1.419590751630e-07       1.760459749688e-03      -3.023956985325e-06 
   22       9.369788422148e+02       7.941641763326e-03       1.558585647596e-04       1.512759288702e+00       1.432181065424e-07       1.705308283766e-03      -2.284400089030e-06 
   23       9.512400429385e+02       8.778329707856e-03       1.702075536108e-04       1.545191788555e+00       1.443621434694e-07       1.651704360141e-03      -1.465177822330e-06 
