# Matter power spectrum P(k) at redshift z=0
# for k=1.02772e-05 to 1.06588 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027720249029e-05       5.166450342118e+01 
       2.294426191942e-05       1.126580250707e+02 
       3.565440544992e-05       1.728143037773e+02 
       4.844070198031e-05       2.326808437088e+02 
       6.133674952533e-05       2.925812883047e+02 
       7.437696496980e-05       3.527650552463e+02 
       8.759688279578e-05       4.134502054560e+02 
       1.010334666351e-04       4.748405023260e+02 
       1.147254375302e-04       5.371346131743e+02 
       1.287136228166e-04       6.005317294002e+02 
       1.430413295552e-04       6.652354817871e+02 
       1.577547463960e-04       7.314571004244e+02 
       1.729033776231e-04       7.994181301916e+02 
       1.885405128365e-04       8.693530634569e+02 
       2.047237351992e-04       9.415117864034e+02 
       2.215154703167e-04       1.016162134605e+03 
       2.389835764712e-04       1.093592420769e+03 
       2.572019749357e-04       1.174114144503e+03 
       2.762513162236e-04       1.258064639111e+03 
       2.962196741099e-04       1.345809851762e+03 
       3.172032537805e-04       1.437747092149e+03 
       3.393070931926e-04       1.534307561984e+03 
       3.626457273080e-04       1.635958716655e+03 
       3.873437730520e-04       1.743206141161e+03 
       4.135363785620e-04       1.856594546061e+03 
       4.413694638124e-04       1.976707816967e+03 
       4.709996618997e-04       2.104167377247e+03 
       5.025938529216e-04       2.239628502314e+03 
       5.363281684295e-04       2.383773945530e+03 
       5.723863383118e-04       2.537304321880e+03 
       6.109572594724e-04       2.700924687871e+03 
       6.522316935729e-04       2.875327054767e+03 
       6.963980557349e-04       3.061168677654e+03 
       7.436373412170e-04       3.259046887201e+03 
       7.941173508100e-04       3.469471354021e+03 
       8.479865075708e-04       3.692835643527e+03 
       9.053676868824e-04       3.929390261425e+03 
       9.663525795300e-04       4.179220110411e+03 
       1.030997141998e-03       4.442228581010e+03 
       1.099318635669e-03       4.718131338657e+03 
       1.171294611587e-03       5.006459105904e+03 
       1.246863979196e-03       5.306571446369e+03 
       1.325930047692e-03       5.617673923519e+03 
       1.408365199567e-03       5.938827231440e+03 
       1.494016694073e-03       6.269069701916e+03 
       1.582713029757e-03       6.607352002642e+03 
       1.674270320131e-03       6.952600509141e+03 
       1.768498233423e-03       7.303746258021e+03 
       1.865205183130e-03       7.659745487349e+03 
       1.964202598292e-03       8.019599362231e+03 
       2.065308226630e-03       8.382365587329e+03 
       2.168348516863e-03       8.747166159084e+03 
       2.273160185781e-03       9.113192642517e+03 
       2.379591104925e-03       9.479708015570e+03 
       2.487500648137e-03       9.846044829332e+03 
       2.596759632721e-03       1.021160262425e+04 
       2.707249970053e-03       1.057584863136e+04 
       2.818864121347e-03       1.093830744405e+04 
       2.931504434132e-03       1.129855048958e+04 
       3.045082416764e-03       1.165621660453e+04 
       3.159517992765e-03       1.201097833307e+04 
       3.274738764299e-03       1.236255175834e+04 
       3.390679304238e-03       1.271069098194e+04 
       3.507280488973e-03       1.305518199051e+04 
       3.624488878630e-03       1.339584000420e+04 
       3.742256147591e-03       1.373250686208e+04 
       3.860538565507e-03       1.406504623771e+04 
       3.979296527310e-03       1.439334489469e+04 
       4.098494129603e-03       1.471730307716e+04 
       4.218098790224e-03       1.503684410581e+04 
       4.338080907484e-03       1.535189723394e+04 
       4.458413555512e-03       1.566241112121e+04 
       4.579072212253e-03       1.596834519799e+04 
       4.700034516795e-03       1.626966561409e+04 
       4.821280052966e-03       1.656635542705e+04 
       4.942790156369e-03       1.685839482693e+04 
       5.064547742290e-03       1.714577572094e+04 
       5.186537152159e-03       1.742850352401e+04 
       5.308744016489e-03       1.770657804905e+04 
       5.431155132441e-03       1.798001889995e+04 
       5.553758354351e-03       1.824881513862e+04 
       5.676542495779e-03       1.851300669127e+04 
       5.799497241757e-03       1.877261216483e+04 
       5.922613070111e-03       1.902765441333e+04 
       6.045881180827e-03       1.927815519654e+04 
       6.169293432578e-03       1.952415135404e+04 
       6.292842285607e-03       1.976559557121e+04 
       6.416520750284e-03       2.000272846602e+04 
       6.540322340707e-03       2.023537622238e+04 
       6.664241032810e-03       2.046364549936e+04 
       6.788271226485e-03       2.068753061128e+04 
       6.912407711306e-03       2.090718132469e+04 
       7.036645635468e-03       2.112252094494e+04 
       7.160980477604e-03       2.133361310154e+04 
       7.285408021190e-03       2.154051771018e+04 
       7.409924331269e-03       2.174328433142e+04 
       7.534525733266e-03       2.194184766635e+04 
       7.659208793676e-03       2.213648567986e+04 
       7.783970302444e-03       2.232702664067e+04 
       7.908807256880e-03       2.251356887286e+04 
       8.033716846941e-03       2.269619225608e+04 
       8.158696441772e-03       2.287485014981e+04 
       8.283743577364e-03       2.304957261134e+04 
       8.408855945249e-03       2.322061144653e+04 
       8.534031382106e-03       2.338776788099e+04 
       8.659267860232e-03       2.355124411944e+04 
       8.784563478755e-03       2.371090153697e+04 
       8.909916455568e-03       2.386693811666e+04 
       9.035325119883e-03       2.401938283361e+04 
       9.160787905375e-03       2.416821664660e+04 
       9.286303343849e-03       2.431348573302e+04 
       9.411870059398e-03       2.445517337478e+04 
       9.537486762999e-03       2.459364852910e+04 
       9.663152247521e-03       2.472829300175e+04 
       9.788865383098e-03       2.485977868698e+04 
       9.914625112852e-03       2.498784832962e+04 
       1.004043044892e-02       2.511256039123e+04 
       1.016628046880e-02       2.523407119253e+04 
       1.029217431189e-02       2.535229069692e+04 
