# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.908093101416e-10       7.111567636008e-15       3.450435106597e-13       0.000000000000e+00       5.644580199529e-09       5.514992090857e-10      -2.289827343415e-12 
    3       1.997170355229e-10       1.176642639334e-14       3.814337211881e-13       0.000000000000e+00       3.404776481212e-09       4.531466812130e-10      -1.953536445343e-12 
    4       1.983119926626e-10       1.273586898195e-14       3.960779837162e-13       0.000000000000e+00       2.341373833064e-09       3.758924815287e-10      -1.453135836590e-12 
    5       1.925668510492e-10       1.057195499433e-14       4.035520888178e-13       0.000000000000e+00       1.737452108677e-09       3.163360712121e-10      -9.542303703817e-13 
    6       1.854537118182e-10       7.195328742450e-15       4.012714444403e-13       0.000000000000e+00       1.353073632342e-09       2.698492853172e-10      -5.203662401024e-13 
    7       1.785008346087e-10       4.284614445333e-15       3.867645239263e-13       0.000000000000e+00       1.090573067060e-09       2.330454415761e-10      -1.813568111635e-13 
    8       1.722568085314e-10       2.544454780156e-15       3.603439076462e-13       0.000000000000e+00       9.018290764477e-10       2.034295191089e-10       5.428392064195e-14 
    9       1.669152714704e-10       1.823679107060e-15       3.255562056202e-13       0.000000000000e+00       7.603688793541e-10       1.792331521955e-10       1.926727692487e-13 
   10       1.625192674435e-10       1.613861263633e-15       2.875659068166e-13       0.000000000000e+00       6.508835738874e-10       1.592647492221e-10       2.496547577013e-13 
   11       1.590350335403e-10       1.490004832716e-15       2.516014940520e-13       0.000000000000e+00       5.532194048134e-10       1.431899368846e-10       2.469022803870e-13 
   12       1.562970581630e-10       1.286641522766e-15       2.217156621947e-13       0.000000000000e+00       4.843719614843e-10       1.289317716809e-10       2.051883546660e-13 
   13       1.542159561690e-10       1.040854170913e-15       2.001418589789e-13       0.000000000000e+00       4.278108622893e-10       1.169085155642e-10       1.457877524099e-13 
   14       1.526409450299e-10       8.482983201149e-16       1.873606722004e-13       0.000000000000e+00       3.807123848798e-10       1.066022492958e-10       8.475061042422e-14 
   15       1.515190527353e-10       7.596269045887e-16       1.825710602987e-13       0.000000000000e+00       3.410250072184e-10       9.751219680963e-11       3.298626301332e-14 
   16       1.508164431344e-10       7.604761930585e-16       1.843305594511e-13       0.000000000000e+00       3.072353082701e-10       8.961633447555e-11      -3.037814761467e-15 
   17       1.504811898885e-10       8.070767965203e-16       1.908021515947e-13       0.000000000000e+00       2.782080478988e-10       8.266723157423e-11      -2.184180166256e-14 
   18       1.503651120506e-10       8.667742704690e-16       1.998973635838e-13       0.000000000000e+00       2.529783573983e-10       7.645247122128e-11      -2.563520881113e-14 
