# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.908096256082e-10       7.111750911719e-15       3.450435064129e-13       1.832756831610e-19       5.644580199529e-09       5.514992090857e-10      -2.289827343415e-12 
    3       1.997176657508e-10       1.176679307693e-14       3.814337023018e-13       3.666833249154e-19       3.404776481212e-09       4.531466812130e-10      -1.953536445343e-12 
    4       1.983130414836e-10       1.273648041128e-14       3.960779295989e-13       6.114280340294e-19       2.341373833064e-09       3.758924815287e-10      -1.453135836590e-12 
    5       1.925684213781e-10       1.057287267326e-14       4.035519659588e-13       9.176745416874e-19       1.737452108677e-09       3.163360712121e-10      -9.542303703817e-13 
    6       1.854559054430e-10       7.196614373739e-15       4.012712038558e-13       1.285619460000e-18       1.353073632342e-09       2.698492853172e-10      -5.203662401024e-13 
    7       1.785037519937e-10       4.286329958047e-15       3.867640990123e-13       1.715485596703e-18       1.090573067060e-09       2.330454415761e-10      -1.813568111635e-13 
    8       1.722605486339e-10       2.546662350840e-15       3.603432124829e-13       2.207515622157e-18       9.018290764477e-10       2.034295191089e-10       5.428392064195e-14 
    9       1.669199315741e-10       1.826441173975e-15       3.255551337556e-13       2.761965323025e-18       7.603688793541e-10       1.792331521955e-10       1.926727692487e-13 
   10       1.625249430080e-10       1.617240533584e-15       2.875643305373e-13       3.379096690825e-18       6.508835738874e-10       1.592647492221e-10       2.496547577013e-13 
   11       1.590418180693e-10       1.494064280135e-15       2.515992641318e-13       4.059171097633e-18       5.532194048134e-10       1.431899368846e-10       2.469022803870e-13 
