# Matter power spectrum P(k) at redshift z=0
# for k=1.13724e-05 to 1.66569 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.137243230500e-05       3.649968040226e+01 
       2.425480250112e-05       7.568549523195e+01 
       3.718494549559e-05       1.143005064883e+02 
       5.019766584881e-05       1.528119318261e+02 
       6.332836558025e-05       1.915160008886e+02 
       7.661335990942e-05       2.306497850400e+02 
       9.009020338272e-05       2.704263230136e+02 
       1.037980307135e-04       3.110476084149e+02 
       1.177779166962e-04       3.527118795718e+02 
       1.320732595885e-04       3.956181235839e+02 
       1.467301923582e-04       4.399685295129e+02 
       1.617980261246e-04       4.859706050754e+02 
       1.773297299359e-04       5.338381977383e+02 
       1.933824506368e-04       5.837922965598e+02 
       2.100180758946e-04       6.360609248584e+02 
       2.273038423427e-04       6.908788999108e+02 
       2.453129890787e-04       7.484864216491e+02 
       2.641254542185e-04       8.091272196509e+02 
       2.838286085596e-04       8.730454735685e+02 
       3.045180153309e-04       9.404824687605e+02 
       3.262981981091e-04       1.011670568180e+03 
       3.492833898647e-04       1.086828197545e+03 
       3.735982243888e-04       1.166151248077e+03 
       3.993783168079e-04       1.249805725990e+03 
       4.267706625625e-04       1.337919056968e+03 
       4.559337646959e-04       1.430569942310e+03 
       4.870373789862e-04       1.527782737271e+03 
       5.202617480296e-04       1.629520691883e+03 
       5.557961830612e-04       1.735684387616e+03 
       5.938368520883e-04       1.846115046587e+03 
       6.345836522726e-04       1.960604050297e+03 
       6.782360913507e-04       2.078909087326e+03 
       7.249881834465e-04       2.200774899065e+03 
       7.750224801754e-04       2.325961521733e+03 
       8.285035010490e-04       2.454268802548e+03 
       8.855709787817e-04       2.585561176992e+03 
       9.463334646012e-04       2.719780994109e+03 
       1.010862909082e-03       2.856954208031e+03 
       1.079190812511e-03       2.997175650003e+03 
       1.151306409829e-03       3.140591291412e+03 
       1.227157130997e-03       3.287365612841e+03 
       1.306651299161e-03       3.437648578372e+03 
       1.389662755553e-03       3.591533435684e+03 
       1.476036890048e-03       3.749052446927e+03 
       1.565597448365e-03       3.910175927138e+03 
       1.658153489616e-03       4.074774231223e+03 
       1.753505961419e-03       4.242639422825e+03 
       1.851453507644e-03       4.413496216756e+03 
       1.951797286583e-03       4.587018187618e+03 
       2.054344724023e-03       4.762843390177e+03 
       2.158912238337e-03       4.940591093930e+03 
       2.265327048155e-03       5.119874815913e+03 
       2.373428210852e-03       5.300313627751e+03 
       2.483067050246e-03       5.481540518985e+03 
       2.594107123634e-03       5.663208047647e+03 
       2.706423859747e-03       5.844993002558e+03 
       2.819903976363e-03       6.026596176594e+03 
       2.934444763362e-03       6.207745606089e+03 
       3.049953296098e-03       6.388193469525e+03 
       3.166345626214e-03       6.567722266454e+03 
       3.283545982744e-03       6.746131038833e+03 
       3.401486005187e-03       6.923244456591e+03 
       3.520104021917e-03       7.098907939341e+03 
       3.639344381185e-03       7.272983876712e+03 
       3.759156837696e-03       7.445352288086e+03 
       3.879495994815e-03       7.615908191799e+03 
       4.000320800547e-03       7.784559638380e+03 
       4.121594094273e-03       7.951228601255e+03 
       4.243282200575e-03       8.115845332108e+03 
       4.365354566210e-03       8.278352888380e+03 
       4.487783436247e-03       8.438701093340e+03 
       4.610543565493e-03       8.596849456407e+03 
       4.733611961573e-03       8.752762515278e+03 
       4.856967656248e-03       8.906412222481e+03 
       4.980591501901e-03       9.057777325825e+03 
       5.104465990348e-03       9.206839745066e+03 
       5.228575091478e-03       9.353589122169e+03 
       5.352904109446e-03       9.498017020351e+03 
       5.477439554421e-03       9.640120987211e+03 
       5.602169028094e-03       9.779906883946e+03 
       5.727081121381e-03       9.917352015376e+03 
       5.852165322922e-03       1.005246210062e+04 
       5.977411937144e-03       1.018525955675e+04 
       6.102812010808e-03       1.031577315588e+04 
       6.228357267079e-03       1.044393002177e+04 
       6.354040046281e-03       1.056982434175e+04 
       6.479853252595e-03       1.069343686212e+04 
       6.605790306038e-03       1.081478499951e+04 
       6.731845099156e-03       1.093388955912e+04 
       6.858011957911e-03       1.105075309932e+04 
       6.984285606319e-03       1.116539521076e+04 
       7.110661134434e-03       1.127783706461e+04 
       7.237133969339e-03       1.138808861380e+04 
       7.363699848810e-03       1.149617029449e+04 
       7.490354797396e-03       1.160210539524e+04 
       7.617095104665e-03       1.170590929827e+04 
       7.743917305388e-03       1.180760032200e+04 
       7.870818161475e-03       1.190719733356e+04 
       7.997794645497e-03       1.200472444643e+04 
       8.124843925620e-03       1.210018375917e+04 
       8.251963351836e-03       1.219374484813e+04 
       8.379150443351e-03       1.228512420564e+04 
       8.506402877029e-03       1.237462292493e+04 
       8.633718476793e-03       1.246207817130e+04 
       8.761095203887e-03       1.254745881957e+04 
       8.888531147936e-03       1.263101068122e+04 
       9.016024518711e-03       1.271263771544e+04 
       9.143573638554e-03       1.279238299662e+04 
       9.271176935400e-03       1.287027112516e+04 
       9.398832936330e-03       1.294627741127e+04 
       9.526540261638e-03       1.302050741819e+04 
       9.654297619335e-03       1.309288890103e+04 
       9.782103800075e-03       1.316348015647e+04 
       9.909957672469e-03       1.323228674484e+04 
       1.003785817873e-02       1.329934330679e+04 
       1.016580433067e-02       1.336461122902e+04 
       1.029379520594e-02       1.342822492375e+04 
       1.042182994461e-02       1.349005889777e+04 
       1.054990774593e-02       1.355027090268e+04 
       1.067802786537e-02       1.360890182693e+04 
       1.080618961185e-02       1.366579308042e+04 
       1.093439234519e-02       1.372104997968e+04 
       1.106263547369e-02       1.377475128906e+04 
       1.119091845194e-02       1.382681348465e+04 
       1.131924077875e-02       1.387731935998e+04 
       1.144760199523e-02       1.392626669797e+04 
       1.157600168300e-02       1.397374543508e+04 
       1.170443946255e-02       1.401961429895e+04 
       1.183291499166e-02       1.406406940271e+04 
       1.196142796403e-02       1.410702047980e+04 
       1.208997810785e-02       1.414849587474e+04 
       1.221856518466e-02       1.418849626556e+04 
       1.234718898813e-02       1.422706403071e+04 
       1.247584934298e-02       1.426421618133e+04 
       1.260454610404e-02       1.429998904288e+04 
       1.273327915529e-02       1.433443349954e+04 
       1.286204840900e-02       1.436749729861e+04 
       1.299085380495e-02       1.439914521331e+04 
       1.311969530967e-02       1.442954532471e+04 
       1.324857291581e-02       1.445868155109e+04 
       1.337748664146e-02       1.448628514094e+04 
       1.350643652960e-02       1.451267661242e+04 
       1.363542264757e-02       1.453786021563e+04 
       1.376444508658e-02       1.456184745351e+04 
       1.389350396125e-02       1.458448571610e+04 
       1.402259940923e-02       1.460594061128e+04 
       1.415173159082e-02       1.462617660841e+04 
       1.428090068864e-02       1.464527056627e+04 
       1.441010690731e-02       1.466313037107e+04 
       1.453935047323e-02       1.467992051708e+04 
       1.466863163431e-02       1.469548275756e+04 
       1.479795065976e-02       1.470984417894e+04 
       1.492730783995e-02       1.472315178355e+04 
       1.505670348620e-02       1.473535785890e+04 
       1.518613793073e-02       1.474653485015e+04 
       1.531561152649e-02       1.475649967243e+04 
       1.544512464712e-02       1.476547719536e+04 
       1.557467768690e-02       1.477341298161e+04 
       1.570427106070e-02       1.478036572738e+04 
       1.583390520400e-02       1.478621961267e+04 
       1.596358057287e-02       1.479109916822e+04 
       1.609329764401e-02       1.479489356861e+04 
       1.622305691482e-02       1.479781453649e+04 
       1.635285890347e-02       1.479973634681e+04 
