# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881806e-26       4.634785000235e-09       2.157468236846e+22       1.420669139224e+04       1.420669139224e-10       1.420669139224e+18       2.676054550095e-09       2.753580214648e+44       2.491557270521e+33       1.323497241676e+34      -4.994075994616e-12      6.287788559802e-172      -5.160100000000e+00       1.901088978193e+44       4.654669192998e+44       5.551591315428e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124169e-26       4.667526809499e-09       2.127577894999e+22       1.420669139224e+04       1.430613823198e-10       1.410793584135e+18       2.694786931946e-09       2.677810562215e+44       2.439958628498e+33       1.296088415397e+34      -4.994075994616e-12      6.859723814395e-172      -5.160100000000e+00       1.848777136920e+44       4.526587699289e+44       7.745151327789e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275395e-26       4.700268618762e-09       2.098101664712e+22       1.420669139224e+04       1.440628119961e-10       1.400986677393e+18       2.713650440469e-09       2.604125846403e+44       2.389428563100e+33       1.269247209310e+34      -4.994075994616e-12      7.483682118480e-172      -5.160100000000e+00       1.797904748912e+44       4.402030595466e+44       1.549030265557e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295310e-26       4.733010428026e-09       2.069033808733e+22       1.420669139224e+04       1.450712516801e-10       1.391247941801e+18       2.732645993552e-09       2.532468696478e+44       2.339944944753e+33       1.242961868344e+34      -4.994075994616e-12      8.164395472153e-172      -5.160100000000e+00       1.748432205055e+44       4.280900901681e+44       2.323545398335e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438206e-26       4.765752237290e-09       2.040368669298e+22       1.420669139224e+04       1.460867504418e-10       1.381576903476e+18       2.751774515507e-09       2.462783320360e+44       2.291486102170e+33       1.217220880870e+34      -4.994075994616e-12      8.907026296735e-172      -5.160100000000e+00       1.700320986150e+44       4.163104306655e+44       3.098060531114e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256979e-26       4.800313035958e-09       2.012100667028e+22       1.420669139224e+04       1.471093576949e-10       1.371973091833e+18       2.771036937116e-09       2.395015461189e+44       2.244030812868e+33       1.192012973655e+34      -4.994075994616e-12      9.717206585757e-172      -5.160100000000e+00       1.653533632922e+44       4.048549094253e+44       3.872575663892e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607317e-26       4.833054845221e-09       1.984224299839e+22       1.420669139224e+04       1.481391231988e-10       1.362436039556e+18       2.790434195675e-09       2.329112355080e+44       2.197558293865e+33       1.167327106932e+34      -4.994075994616e-12      1.060108061710e-171      -5.160100000000e+00       1.608033716854e+44       3.937146072073e+44       4.647090796670e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651962e-26       4.867615643889e-09       1.956734141880e+22       1.420669139224e+04       1.491760970612e-10       1.352965282578e+18       2.809967235045e-09       2.265022690039e+44       2.152048192584e+33       1.143152469557e+34      -4.994075994616e-12      1.156535155020e-171      -5.160100000000e+00       1.563785811826e+44       3.828808502000e+44       5.421605929447e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865019e-26       4.900357453153e-09       1.929624842469e+22       1.420669139224e+04       1.502203297406e-10       1.343560360058e+18       2.829637005690e-09       2.202696566012e+44       2.107480577936e+33       1.119478474280e+34      -4.994075994616e-12      1.261733226176e-171      -5.160100000000e+00       1.520755466528e+44       3.723452032673e+44       6.196121062225e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036333e-26       4.934918251820e-09       1.902891125053e+22       1.420669139224e+04       1.512718720488e-10       1.334220814357e+18       2.849444464730e-09       2.142085456034e+44       2.063835931595e+33       1.096294753107e+34      -4.994075994616e-12      1.376500080545e-171      -5.160100000000e+00       1.478909177642e+44       3.620994633806e+44       6.970636195003e-07       1.592850683960e+01 
       9.326212236469e+13       8.690422275921e-26       4.969479050487e-09       1.876527786185e+22       1.420669139224e+04       1.523307751531e-10       1.324946191020e+18       2.869390575983e-09       2.083142168447e+44       2.021095139446e+33       1.073591152758e+34      -4.994075994616e-12      1.501706091613e-171      -5.160100000000e+00       1.438214363750e+44       3.521356532325e+44       7.745151327781e-07       1.433565615564e+01 
       9.261382558559e+13       8.812514018476e-26       5.004039849155e-09       1.850529694507e+22       1.420669139224e+04       1.533970905792e-10       1.315736038749e+18       2.889476310015e-09       2.025820810155e+44       1.979239483215e+33       1.051357730221e+34      -4.994075994616e-12      1.638300801766e-171      -5.160100000000e+00       1.398639339974e+44       3.424460150253e+44       8.519666460558e-07       1.303241468694e+01 
       9.197003533823e+13       8.936321027921e-26       5.040419637226e-09       1.824891789753e+22       1.420669139224e+04       1.544708702132e-10       1.306589909383e+18       2.909702644185e-09       1.970076750890e+44       1.938250632274e+33       1.029584748399e+34      -4.994075994616e-12      1.787320123463e-171      -5.160100000000e+00       1.360153293297e+44       3.330230044309e+44       9.294181593336e-07       1.194638012970e+01 
       9.133072029615e+13       9.061867402042e-26       5.074980435893e-09       1.799609081764e+22       1.420669139224e+04       1.555521663047e-10       1.297507357878e+18       2.930070562694e-09       1.915866588467e+44       1.898110635611e+33       1.008262671844e+34      -4.994075994616e-12      1.949894195433e-171      -5.160100000000e+00       1.322726258581e+44       3.238592847167e+44       1.006869672611e-06       1.102742781203e+01 
       9.069584935070e+13       9.189177577173e-26       5.111360223964e-09       1.774676649515e+22       1.420669139224e+04       1.566410314689e-10       1.288487942282e+18       2.950581056633e-09       1.863148114988e+44       1.858801913967e+33       9.873821625795e+33      -4.994075994616e-12      2.127255953464e-171      -5.160100000000e+00       1.286329095228e+44       3.149477210334e+44       1.084321185889e-06       1.023975439688e+01 
       9.006539160943e+13       9.318276332955e-26       5.145921022631e-09       1.750089640161e+22       1.420669139224e+04       1.577375186891e-10       1.279531223716e+18       2.971235124029e-09       1.811880283983e+44       1.820307252141e+33       9.669340760156e+33      -4.994075994616e-12      2.320750480794e-171      -5.160100000000e+00       1.250933464499e+44       3.062813748598e+44       1.161772699167e-06       9.557104103757e+00 
       8.943931639467e+13       9.449188797156e-26       5.182300810702e-09       1.725843268088e+22       1.420669139224e+04       1.588416813200e-10       1.270636766352e+18       2.992033769897e-09       1.762023178446e+44       1.782609791446e+33       9.469094569398e+33      -4.994075994616e-12      2.531845209005e-171      -5.160100000000e+00       1.216511807445e+44       2.978534986003e+44       1.239224212444e-06       8.959785097272e+00 
       8.881759324197e+13       9.581940450567e-26       5.218680598773e-09       1.701932813984e+22       1.420669139224e+04       1.599535730892e-10       1.261804137390e+18       3.012978006286e-09       1.713537979758e+44       1.745693022330e+33       9.272995355968e+33      -4.994075994616e-12      2.762141046791e-171      -5.160100000000e+00       1.183037323447e+44       2.896575303316e+44       1.316675725722e-06       8.432738915079e+00 
       8.820019189868e+13       9.716557131957e-26       5.255060386844e-09       1.678353623922e+22       1.420669139224e+04       1.610732481008e-10       1.253032907041e+18       3.034068852330e-09       1.666386937466e+44       1.709540777144e+33       9.080957238477e+33      -4.994075994616e-12      3.013384520994e-171      -5.160100000000e+00       1.150483949358e+44       2.816870886932e+44       1.394127239000e-06       7.964253419797e+00 
       8.758708232243e+13       9.853065043103e-26       5.291440174915e-09       1.655101108449e+22       1.420669139224e+04       1.622007608375e-10       1.244322648501e+18       3.055307334296e-09       1.620533339885e+44       1.674137223058e+33       8.892896114089e+33      -4.994075994616e-12      3.287481021983e-171      -5.160100000000e+00       1.118826339200e+44       2.739359679191e+44       1.471578752278e-06       7.545082187176e+00 
