# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.113368059447e+03       5.217874905458e-02       0.000000000000e+00       3.424178190077e+00       5.250571354475e-08       3.391743557437e-03      -1.633050454897e-05 
    3       1.044796494033e+03       8.519651413398e-02       0.000000000000e+00       4.348581829514e+00       6.517325783034e-08       3.376948061708e-03      -2.003476601054e-05 
    4       9.772411212215e+02       9.573680937802e-02       0.000000000000e+00       4.485437481532e+00       7.571876670062e-08       3.275495952102e-03      -2.025938461720e-05 
    5       9.246528158945e+02       8.494990969446e-02       0.000000000000e+00       4.151830700085e+00       8.484511906440e-08       3.148981947308e-03      -1.797360655182e-05 
    6       8.868018442114e+02       6.266428656096e-02       0.000000000000e+00       3.590152889546e+00       9.285098961374e-08       3.017174269972e-03      -1.403986866892e-05 
    7       8.610009705520e+02       3.968431516055e-02       0.000000000000e+00       2.966956271521e+00       9.997139513290e-08       2.886298751449e-03      -9.333742788590e-06 
    8       8.440368648775e+02       2.271539941773e-02       0.000000000000e+00       2.380794787604e+00       1.063217113121e-07       2.759207798339e-03      -4.648355384621e-06 
    9       8.341938680818e+02       1.333163512601e-02       0.000000000000e+00       1.885435577213e+00       1.120007868064e-07       2.638862799823e-03      -6.219887692620e-07 
   10       8.298485175582e+02       9.619132064887e-03       0.000000000000e+00       1.504970657601e+00       1.170974782193e-07       2.526490352043e-03       2.319878303165e-06 
   11       8.292189877765e+02       8.623331156704e-03       0.000000000000e+00       1.244557508297e+00       1.185533193099e-07       2.428023644714e-03       3.965294581558e-06 
   12       8.318419354882e+02       8.143346210831e-03       0.000000000000e+00       1.095033287755e+00       1.224778498853e-07       2.327792787310e-03       4.401182291879e-06 
   13       8.368189286365e+02       7.326595259318e-03       0.000000000000e+00       1.036671124225e+00       1.259963824400e-07       2.233119301769e-03       3.800065249460e-06 
   14       8.435792512277e+02       6.318312800347e-03       0.000000000000e+00       1.045438432781e+00       1.291517326129e-07       2.146427956983e-03       2.484536089731e-06 
   15       8.519480128506e+02       5.574573276975e-03       0.000000000000e+00       1.097086289037e+00       1.319838248230e-07       2.068334271943e-03       8.211645808085e-07 
   16       8.613051978444e+02       5.353865886207e-03       0.000000000000e+00       1.170270048228e+00       1.345260151076e-07       1.996024866124e-03      -8.454457628346e-07 
   17       8.720280365286e+02       5.582948400056e-03       0.000000000000e+00       1.248502813257e+00       1.368059749063e-07       1.924216657279e-03      -2.242530017663e-06 
   18       8.834697628286e+02       5.986980903417e-03       0.000000000000e+00       1.320589009624e+00       1.387945268674e-07       1.856852531014e-03      -3.175184971379e-06 
   19       8.956106511335e+02       6.408411302981e-03       0.000000000000e+00       1.382376417705e+00       1.406732955653e-07       1.795210005042e-03      -3.568212715787e-06 
   20       9.083448695783e+02       6.747391412242e-03       0.000000000000e+00       1.432140344353e+00       1.422935770086e-07       1.733651726036e-03      -3.459045777073e-06 
   21       9.216768757607e+02       7.107874719507e-03       0.000000000000e+00       1.472280327919e+00       1.437494037561e-07       1.674337153771e-03      -2.946033375883e-06 
   22       9.354212846293e+02       7.670688879536e-03       0.000000000000e+00       1.507342480639e+00       1.450138590193e-07       1.620064247468e-03      -2.211157660577e-06 
   23       9.496234273926e+02       8.518091165911e-03       0.000000000000e+00       1.541382892249e+00       1.461621966762e-07       1.570623391576e-03      -1.409307098808e-06 
   24       9.642299976113e+02       9.686139981453e-03       0.000000000000e+00       1.578442424546e+00       1.471425379130e-07       1.522649806772e-03      -7.104915657898e-07 
   25       9.791760713689e+02       1.113657209748e-02       0.000000000000e+00       1.620650538734e+00       1.480134953140e-07       1.475293830234e-03      -2.268232162732e-07 
   26       9.942990956582e+02       1.280268223027e-02       0.000000000000e+00       1.669010374223e+00       1.487520279177e-07       1.427849526583e-03      -3.718889626729e-08 
   27       1.009660634778e+03       1.466682533796e-02       0.000000000000e+00       1.722184458978e+00       1.493873966883e-07       1.382652510233e-03      -1.302923510138e-07 
   28       1.025314014722e+03       1.672358366431e-02       0.000000000000e+00       1.777508498718e+00       1.498810834306e-07       1.342283086362e-03      -4.392336342378e-07 
   29       1.041304372849e+03       1.896893139660e-02       0.000000000000e+00       1.831859768488e+00       1.503116694275e-07       1.306749241340e-03      -8.967737770858e-07 
   30       1.057575244669e+03       2.139651795161e-02       0.000000000000e+00       1.881225094103e+00       1.507008159649e-07       1.273660208747e-03      -1.405021046897e-06 
   31       1.073995864215e+03       2.399757992108e-02       0.000000000000e+00       1.921266345924e+00       1.509621364946e-07       1.239505306525e-03      -1.842252888342e-06 
   32       1.090613667700e+03       2.676641927974e-02       0.000000000000e+00       1.950041260694e+00       1.511438137843e-07       1.204747067039e-03      -2.151161319032e-06 
   33       1.107477558553e+03       2.969668315438e-02       0.000000000000e+00       1.966271064092e+00       1.512766351159e-07       1.171040658041e-03      -2.292575096453e-06 
   34       1.124578901257e+03       3.278676621723e-02       0.000000000000e+00       1.968949502552e+00       1.513219343492e-07       1.139700515496e-03      -2.237787034747e-06 
   35       1.141905695125e+03       3.606394371653e-02       0.000000000000e+00       1.958422583332e+00       1.513140012390e-07       1.110748471031e-03      -2.017481486615e-06 
   36       1.159393686763e+03       3.956932632610e-02       0.000000000000e+00       1.935726807123e+00       1.512600422033e-07       1.083207165334e-03      -1.700984364307e-06 
   37       1.176953798635e+03       4.334317461275e-02       0.000000000000e+00       1.902149041693e+00       1.511179329079e-07       1.055724870376e-03      -1.372566193582e-06 
   38       1.194641346389e+03       4.739442082006e-02       0.000000000000e+00       1.858584639203e+00       1.509289065402e-07       1.028573397881e-03      -1.073072431437e-06 
   39       1.212534491989e+03       5.172117459643e-02       0.000000000000e+00       1.806002502126e+00       1.507314015339e-07       1.002429605003e-03      -8.348672538837e-07 
   40       1.230684599180e+03       5.631862103570e-02       0.000000000000e+00       1.745636414712e+00       1.505112254526e-07       9.778316240312e-04      -6.971371213802e-07 
   41       1.249111992163e+03       6.118115992031e-02       0.000000000000e+00       1.678496291100e+00       1.502179424934e-07       9.551094515427e-04      -6.939406507661e-07 
   42       1.267799755001e+03       6.631015282174e-02       0.000000000000e+00       1.603674474682e+00       1.498758191263e-07       9.342415693929e-04      -8.095357517622e-07 
   43       1.286692183594e+03       7.170835358342e-02       0.000000000000e+00       1.519513351616e+00       1.495121447325e-07       9.148584948695e-04      -1.002704924203e-06 
   44       1.305692049523e+03       7.737773948675e-02       0.000000000000e+00       1.424042266562e+00       1.491190352736e-07       8.962099121878e-04      -1.215648973105e-06 
   45       1.324700375978e+03       8.332006780072e-02       0.000000000000e+00       1.315346441914e+00       1.486666151702e-07       8.774187834004e-04      -1.386496542461e-06 
   46       1.343758102459e+03       8.953884556265e-02       0.000000000000e+00       1.192851477002e+00       1.481809044330e-07       8.585290340581e-04      -1.498807126752e-06 
   47       1.362940884426e+03       9.603787525883e-02       0.000000000000e+00       1.056389499922e+00       1.476922691598e-07       8.398195592206e-04      -1.550405046680e-06 
   48       1.382318586894e+03       1.028206978316e-01       0.000000000000e+00       9.058466638263e-01       1.472092769268e-07       8.215180111829e-04      -1.540872904163e-06 
   49       1.401954313205e+03       1.098905840524e-01       0.000000000000e+00       7.411659092731e-01       1.467120775022e-07       8.037880338491e-04      -1.471822678219e-06 
