# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.113371805741e+03       5.218057301287e-02       1.823957993118e-06       3.424178152767e+00       5.250571354475e-08       3.391743557437e-03      -1.633050454897e-05 
    3       1.044803970095e+03       8.520016359612e-02       3.649459218127e-06       4.348581663482e+00       6.517325783034e-08       3.376948061708e-03      -2.003476601054e-05 
    4       9.772535450101e+02       9.574289520204e-02       6.085809666454e-06       4.485437005373e+00       7.571876670062e-08       3.275495952102e-03      -2.025938461720e-05 
    5       9.246713844592e+02       8.495904466839e-02       9.134924867694e-06       4.151829617930e+00       8.484511906440e-08       3.148981947308e-03      -1.797360655182e-05 
    6       8.868277294001e+02       6.267708577602e-02       1.279908158647e-05       3.590150767705e+00       9.285098961374e-08       3.017174269972e-03      -1.403986866892e-05 
    7       8.610353152973e+02       3.970139631637e-02       1.708084622862e-05       2.966952518272e+00       9.997139513290e-08       2.886298751449e-03      -9.333742788590e-06 
    8       8.440807801326e+02       2.273738305079e-02       2.198299540459e-05       2.380788636477e+00       1.063217113121e-07       2.759207798339e-03      -4.648355384621e-06 
    9       8.342484304549e+02       1.335914475477e-02       2.750843174009e-05       1.885426073974e+00       1.120007868064e-07       2.638862799823e-03      -6.219887692620e-07 
   10       8.299147676738e+02       9.652794247637e-03       3.366009819580e-05       1.504956650983e+00       1.170974782193e-07       2.526490352043e-03       2.319878303165e-06 
   11       8.292979293672e+02       8.663775460800e-03       4.044089419882e-05       1.244537644392e+00       1.185533193099e-07       2.428023644714e-03       3.965294581558e-06 
   12       8.319345351983e+02       8.191205094657e-03       4.785359679533e-05       1.095006007845e+00       1.224778498853e-07       2.327792787310e-03       4.401182291879e-06 
   13       8.369261164959e+02       7.382503870971e-03       5.590078981187e-05       1.036634665707e+00       1.259963824400e-07       2.233119301769e-03       3.800065249460e-06 
   14       8.437019217356e+02       6.382908699454e-03       6.458480367010e-05       1.045390832741e+00       1.291517326129e-07       2.146427956983e-03       2.484536089731e-06 
   15       8.520870265891e+02       5.648496088353e-03       7.390766805069e-05       1.097025389963e+00       1.319838248230e-07       2.068334271943e-03       8.211645808085e-07 
   16       8.614613835307e+02       5.437756895975e-03       8.387107906516e-05       1.170193505295e+00       1.345260151076e-07       1.996024866124e-03      -8.454457628346e-07 
   17       8.722021934005e+02       5.677450106383e-03       9.447638199121e-05       1.248408102604e+00       1.368059749063e-07       1.924216657279e-03      -2.242530017663e-06 
   18       8.836626633005e+02       6.092736529814e-03       1.057245623999e-04       1.320473437366e+00       1.387945268674e-07       1.856852531014e-03      -3.175184971379e-06 
   19       8.958230433261e+02       6.526064320511e-03       1.176162985006e-04       1.382237127431e+00       1.406732955653e-07       1.795210005042e-03      -3.568212715787e-06 
   20       9.085774803702e+02       6.877584997702e-03       1.301519074886e-04       1.431974327221e+00       1.422935770086e-07       1.733651726036e-03      -3.459045777073e-06 
   21       9.219304130132e+02       7.251251306997e-03       1.433314994007e-04       1.472084427867e+00       1.437494037561e-07       1.674337153771e-03      -2.946033375883e-06 
   22       9.356964399987e+02       7.827889640377e-03       1.571549134651e-04       1.507113402622e+00       1.450138590193e-07       1.620064247468e-03      -2.211157660577e-06 
   23       9.499208780073e+02       8.689755625100e-03       1.716219025202e-04       1.541117205351e+00       1.461621966762e-07       1.570623391576e-03      -1.409307098808e-06 
   24       9.645504083441e+02       9.872905560655e-03       1.867320689974e-04       1.578136568165e+00       1.471425379130e-07       1.522649806772e-03      -7.104915657898e-07 
   25       9.795200956111e+02       1.133907384438e-02       2.024850815469e-04       1.620300823954e+00       1.480134953140e-07       1.475293830234e-03      -2.268232162732e-07 
   26       9.946673768283e+02       1.302155245519e-02       2.188805968365e-04       1.668612988336e+00       1.487520279177e-07       1.427849526583e-03      -3.718889626729e-08 
   27       1.010053806420e+03       1.490269342879e-02       2.359184500709e-04       1.721735466987e+00       1.493873966883e-07       1.382652510233e-03      -1.302923510138e-07 
   28       1.025732701068e+03       1.697707584107e-02       2.535986047273e-04       1.777003847820e+00       1.498810834306e-07       1.342283086362e-03      -4.392336342378e-07 
   29       1.041749187287e+03       1.924067073215e-02       2.719213759541e-04       1.831295292985e+00       1.503116694275e-07       1.306749241340e-03      -8.967737770858e-07 
   30       1.058046789690e+03       2.168712420158e-02       2.908873016750e-04       1.880596521254e+00       1.507008159649e-07       1.273660208747e-03      -1.405021046897e-06 
   31       1.074494731266e+03       2.430766935621e-02       3.104971417814e-04       1.920569304999e+00       1.509621364946e-07       1.239505306525e-03      -1.842252888342e-06 
   32       1.091140434626e+03       2.709660479959e-02       3.307520351839e-04       1.949271301619e+00       1.511438137843e-07       1.204747067039e-03      -2.151161319032e-06 
   33       1.108032788352e+03       3.004757424613e-02       3.516534510730e-04       1.965423670945e+00       1.512766351159e-07       1.171040658041e-03      -2.292575096453e-06 
   34       1.125163141045e+03       3.315896886987e-02       3.732031494629e-04       1.968020110962e+00       1.513219343492e-07       1.139700515496e-03      -2.237787034747e-06 
   35       1.142519474145e+03       3.645806038236e-02       3.954030794866e-04       1.957406618004e+00       1.513140012390e-07       1.110748471031e-03      -2.017481486615e-06 
   36       1.160037514760e+03       3.998595587725e-02       4.182554924518e-04       1.934619707961e+00       1.512600422033e-07       1.083207165334e-03      -1.700984364307e-06 
   37       1.177628164642e+03       4.378291218929e-02       4.417628494217e-04       1.900946295532e+00       1.511179329079e-07       1.055724870376e-03      -1.372566193582e-06 
   38       1.195346718581e+03       4.785785729627e-02       4.659273203593e-04       1.857281845159e+00       1.509289065402e-07       1.028573397881e-03      -1.073072431437e-06 
   39       1.213271316591e+03       5.220889631838e-02       4.907511509965e-04       1.804595417256e+00       1.507314015339e-07       1.002429605003e-03      -8.348672538837e-07 
   40       1.231453298914e+03       5.683120966858e-02       5.162368151259e-04       1.744120993163e+00       1.505112254526e-07       9.778316240312e-04      -6.971371213802e-07 
   41       1.249912965556e+03       6.171919204309e-02       5.423867812063e-04       1.676868734792e+00       1.502179424934e-07       9.551094515427e-04      -6.939406507661e-07 
   42       1.268633378902e+03       6.687419865145e-02       5.692026868009e-04       1.601931318386e+00       1.498758191263e-07       9.342415693929e-04      -8.095357517622e-07 
   43       1.287558813304e+03       7.229897629617e-02       5.966859191971e-04       1.517651528138e+00       1.495121447325e-07       9.148584948695e-04      -1.002704924203e-06 
   44       1.306592017977e+03       7.799549476090e-02       6.248378369276e-04       1.422059165884e+00       1.491190352736e-07       8.962099121878e-04      -1.215648973105e-06 
   45       1.325633994085e+03       8.396550301561e-02       6.536595434101e-04       1.313239971489e+00       1.486666151702e-07       8.774187834004e-04      -1.386496542461e-06 
   46       1.344725663502e+03       9.021249786993e-02       6.831511342467e-04       1.190620119730e+00       1.481809044330e-07       8.585290340581e-04      -1.498807126752e-06 
   47       1.363942665511e+03       9.674027042338e-02       7.133122197846e-04       1.054032378225e+00       1.476922691598e-07       8.398195592206e-04      -1.550405046680e-06 
   48       1.383354849288e+03       1.035523493449e-01       7.441421134783e-04       9.033636076233e-01       1.472092769268e-07       8.215180111829e-04      -1.540872904163e-06 
   49       1.403025302684e+03       1.106519922144e-01       7.756398160210e-04       7.385575265001e-01       1.467120775022e-07       8.037880338491e-04      -1.471822678219e-06 
   50       1.422999675040e+03       1.180417752845e-01       8.078039802262e-04       5.596753176477e-01       1.461653293618e-07       7.867349685680e-04      -1.348915370040e-06 
   51       1.443272982134e+03       1.257222515742e-01       8.406328312508e-04       3.670904264006e-01       1.455841476092e-07       7.704585307833e-04      -1.188206083919e-06 
   52       1.463812112011e+03       1.336929135638e-01       8.741241972869e-04       1.613514174073e-01       1.449902354078e-07       7.549978190949e-04      -1.012832274146e-06 
   53       1.484563349342e+03       1.419525360373e-01       9.082755105429e-04      -5.686588870489e-02       1.443911174773e-07       7.403014719845e-04      -8.520541974998e-07 
   54       1.505450947460e+03       1.504991485267e-01       9.430837904688e-04      -2.867529284851e-01       1.437762476772e-07       7.262142117108e-04      -7.418554550615e-07 
   55       1.526402522397e+03       1.593306773165e-01       9.785459687354e-04      -5.276000591445e-01       1.431260570781e-07       7.125402568168e-04      -7.156863453985e-07 
   56       1.547435893692e+03       1.684471213507e-01       1.014659997141e-03      -7.795715118874e-01       1.424551503739e-07       6.992952044163e-04      -7.711199497164e-07 
   57       1.568591315509e+03       1.778488686011e-01       1.051423985552e-03      -1.043113342985e+00       1.417824958406e-07       6.865221277148e-04      -8.920186075922e-07 
   58       1.589906170118e+03       1.875360724283e-01       1.088835880875e-03      -1.318736821539e+00       1.411177339969e-07       6.742156352884e-04      -1.056878568710e-06 
   59       1.611414584941e+03       1.975086501124e-01       1.126893463602e-03      -1.607022182262e+00       1.404587827883e-07       6.623150462616e-04      -1.238305991236e-06 
