# Matter power spectrum P(k) at redshift z=0
# for k=1.02056e-05 to 1.05891 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.020564672050e-05       5.329553863373e+01 
       2.281230812004e-05       1.162477923318e+02 
       3.546138341142e-05       1.782854706395e+02 
       4.818546865769e-05       2.399840514651e+02 
       6.101767606517e-05       3.016784493245e+02 
       7.399191684079e-05       3.636241092791e+02 
       8.714319272310e-05       4.260422217485e+02 
       1.005078999135e-04       4.891387144752e+02 
       1.141241491639e-04       5.531134134640e+02 
       1.280321058080e-04       6.181662108132e+02 
       1.422743535364e-04       6.845012206418e+02 
       1.568962856797e-04       7.523301136045e+02 
       1.719465276348e-04       8.218748030910e+02 
       1.874773938000e-04       8.933705775736e+02 
       2.035453818917e-04       9.670682334058e+02 
       2.202117067024e-04       1.043237170442e+03 
       2.375428741014e-04       1.122167825331e+03 
       2.556112942014e-04       1.204174963557e+03 
       2.744959299158e-04       1.289600101637e+03 
       2.942829733491e-04       1.378815012720e+03 
       3.150665373104e-04       1.472224486918e+03 
       3.369493423794e-04       1.570269410912e+03 
       3.600433710779e-04       1.673429441902e+03 
       3.844704495273e-04       1.782225217587e+03 
       4.103627034369e-04       1.897219856087e+03 
       4.378628195597e-04       2.019019212656e+03 
       4.671240266707e-04       2.148270556289e+03 
       4.983096932155e-04       2.285658990839e+03 
       5.315924247547e-04       2.431900992046e+03 
       5.671525372312e-04       2.587734333969e+03 
       6.051757873299e-04       2.753904366850e+03 
       6.458502651699e-04       2.931145214639e+03 
       6.893624034887e-04       3.120157199002e+03 
       7.358921354181e-04       3.321579640706e+03 
       7.856073390625e-04       3.535962186102e+03 
       8.386578326908e-04       3.763733945976e+03 
       8.951693111362e-04       4.005175237171e+03 
       9.552377150481e-04       4.260393617696e+03 
       1.018924569633e-03       4.529306995490e+03 
       1.086253793721e-03       4.811636511967e+03 
       1.157210354676e-03       5.106909810532e+03 
       1.231740944163e-03       5.414475601095e+03 
       1.309756610725e-03       5.733525561008e+03 
       1.391137056896e-03       6.063082069711e+03 
       1.475736137678e-03       6.402158031311e+03 
       1.563388013038e-03       6.749671389136e+03 
       1.653913414485e-03       7.104508375924e+03 
       1.747125567629e-03       7.465563407142e+03 
       1.842835438499e-03       7.831753074118e+03 
       1.940856109525e-03       8.202039332994e+03 
       2.041006215956e-03       8.575442557746e+03 
       2.143112470396e-03       8.951048519312e+03 
       2.247011367477e-03       9.328015413657e+03 
       2.352550194877e-03       9.705574170541e+03 
       2.459587487592e-03       1.008302756081e+04 
       2.567993056894e-03       1.045975013614e+04 
       2.677647710582e-03       1.083518123203e+04 
       2.788442762143e-03       1.120882428188e+04 
       2.900279406800e-03       1.158023569868e+04 
       3.013068024267e-03       1.194903176839e+04 
       3.126727452368e-03       1.231487143477e+04 
       3.241184262849e-03       1.267745427679e+04 
       3.356372060585e-03       1.303652652032e+04 
       3.472230819678e-03       1.339186035271e+04 
       3.588706264252e-03       1.374326381388e+04 
       3.705749297649e-03       1.409056631717e+04 
       3.823315480874e-03       1.443363027470e+04 
       3.941364559256e-03       1.477233421073e+04 
       4.059860035055e-03       1.510657175635e+04 
       4.178768783056e-03       1.543626348722e+04 
       4.298060705812e-03       1.576133499454e+04 
       4.417708425110e-03       1.608173077369e+04 
       4.537687006235e-03       1.639741049475e+04 
       4.657973711801e-03       1.670833527010e+04 
       4.778547782086e-03       1.701448614153e+04 
       4.899390239043e-03       1.731584374295e+04 
       5.020483711451e-03       1.761239966481e+04 
       5.141812278837e-03       1.790416037644e+04 
       5.263361332124e-03       1.819111745240e+04 
       5.385117449093e-03       1.847329068205e+04 
       5.507068283034e-03       1.875069138280e+04 
       5.629202463073e-03       1.902333490145e+04 
       5.751509504881e-03       1.929125185224e+04 
       5.873979730599e-03       1.955445448234e+04 
       5.996604196948e-03       1.981297879482e+04 
       6.119374630619e-03       2.006685827323e+04 
       6.242283370136e-03       2.031610070838e+04 
       6.365323313490e-03       2.056075818128e+04 
       6.488487870905e-03       2.080088424332e+04 
       6.611770922194e-03       2.103645169972e+04 
       6.735166778203e-03       2.126749194362e+04 
       6.858670145925e-03       2.149421095128e+04 
       6.982276096874e-03       2.171645963445e+04 
       7.105980038408e-03       2.193434080023e+04 
       7.229777687676e-03       2.214789459162e+04 
       7.353665047932e-03       2.235715299369e+04 
       7.477638386966e-03       2.256218129151e+04 
       7.601694217464e-03       2.276294324417e+04 
       7.725829279072e-03       2.295964094474e+04 
       7.850040522030e-03       2.315220353816e+04 
       7.974325092198e-03       2.334067019012e+04 
       8.098680317364e-03       2.352508445792e+04 
       8.223103694691e-03       2.370565516739e+04 
       8.347592879211e-03       2.388203176669e+04 
       8.472145673260e-03       2.405469066830e+04 
       8.596760016779e-03       2.422344112331e+04 
       8.721433978386e-03       2.438837288575e+04 
       8.846165747164e-03       2.454941573364e+04 
       8.970953625098e-03       2.470675791738e+04 
       9.095796020094e-03       2.486042670929e+04 
       9.220691439551e-03       2.501037642483e+04 
       9.345638484411e-03       2.515675966860e+04 
       9.470635843674e-03       2.529951145633e+04 
       9.595682289313e-03       2.543875441594e+04 
       9.720776671580e-03       2.557445062852e+04 
       9.845917914651e-03       2.570668538131e+04 
       9.971105012597e-03       2.583550701821e+04 
       1.009633702564e-02       2.596092386127e+04 
       1.022161307670e-02       2.608301755113e+04 
       1.034693234815e-02       2.620181994413e+04 
       1.047229407886e-02       2.631724730817e+04 
       1.059769756139e-02       2.642957450252e+04 
       1.072314213944e-02       2.653863201518e+04 
       1.084862720542e-02       2.664452262869e+04 
       1.097415219825e-02       2.674726975202e+04 
       1.109971660127e-02       2.684693363447e+04 
       1.122531994030e-02       2.694356926549e+04 
       1.135096178186e-02       2.703714332397e+04 
       1.147664173149e-02       2.712777508006e+04 
       1.160235943222e-02       2.721531834110e+04 
       1.172811456306e-02       2.730009232472e+04 
       1.185390683773e-02       2.738197679830e+04 
       1.197973600335e-02       2.746094242258e+04 
       1.210560183929e-02       2.753712223465e+04 
       1.223150415609e-02       2.761054883212e+04 
       1.235744279448e-02       2.768115418003e+04 
       1.248341762439e-02       2.774905820991e+04 
       1.260942854411e-02       2.781431701820e+04 
       1.273547547950e-02       2.787689430453e+04 
       1.286155838322e-02       2.793685305310e+04 
       1.298767723405e-02       2.799422659154e+04 
       1.311383203627e-02       2.804906915145e+04 
       1.324002281903e-02       2.810132884827e+04 
       1.336624963585e-02       2.815111200829e+04 
       1.349251256412e-02       2.819840365445e+04 
       1.361881170463e-02       2.824327311801e+04 
       1.374514718114e-02       2.828573661156e+04 
       1.387151914005e-02       2.832581116713e+04 
       1.399792775002e-02       2.836348846970e+04 
       1.412437320168e-02       2.839891533369e+04 
       1.425085570736e-02       2.843211045228e+04 
       1.437737550081e-02       2.846298592475e+04 
       1.450393283703e-02       2.849162789040e+04 
