# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.114668432856e-10       6.459766698127e-15       2.743364174857e-13       0.000000000000e+00       4.213044046823e-09       5.275443380832e-10      -2.094180030794e-12 
    3       2.411593327343e-10       1.044374540160e-14       2.530295249516e-13       0.000000000000e+00       2.446772982997e-09       4.578998260020e-10      -1.720069778680e-12 
    4       2.539696908889e-10       1.067854005738e-14       2.785786040034e-13       0.000000000000e+00       1.651830877270e-09       3.921028058666e-10      -1.183277166599e-12 
    5       2.558357993725e-10       8.227488669156e-15       3.464486434205e-13       0.000000000000e+00       1.214175225605e-09       3.373990087455e-10      -6.643579026988e-13 
    6       2.515679236214e-10       5.270472333389e-15       4.190888663566e-13       0.000000000000e+00       9.412838448931e-10       2.927043026999e-10      -2.352399743184e-13 
    7       2.443856927124e-10       3.235717828776e-15       4.674095509469e-13       0.000000000000e+00       7.568415242756e-10       2.561442092785e-10       7.431100620331e-14 
    8       2.363073357995e-10       2.335604147205e-15       4.788116641597e-13       0.000000000000e+00       6.248516997432e-10       2.260491266552e-10       2.619484849548e-13 
    9       2.283476060614e-10       2.070801313847e-15       4.556385058266e-13       0.000000000000e+00       5.263677953340e-10       2.010749063841e-10       3.433815240044e-13 
   10       2.209896950974e-10       1.904205882085e-15       4.091797294370e-13       0.000000000000e+00       4.504774973003e-10       1.801741896484e-10       3.446222890407e-13 
   11       2.144668197090e-10       1.607912098494e-15       3.533582037417e-13       0.000000000000e+00       3.852354132310e-10       1.631737914978e-10       2.967169825227e-13 
   12       2.087469395465e-10       1.234271399156e-15       3.006361385714e-13       0.000000000000e+00       3.375702808893e-10       1.481594000064e-10       2.240486469444e-13 
   13       2.038163708582e-10       9.221805465055e-16       2.597381195169e-13       0.000000000000e+00       2.984464808188e-10       1.349579596968e-10       1.494881454653e-13 
   14       1.996013367860e-10       7.498399414318e-16       2.346372695107e-13       0.000000000000e+00       2.658726711269e-10       1.235578045493e-10       8.838503891668e-14 
   15       1.959717890622e-10       7.082445584953e-16       2.252475220211e-13       0.000000000000e+00       2.384260879953e-10       1.135981216182e-10       4.773751419252e-14 
   16       1.928986252180e-10       7.502650393450e-16       2.287428695851e-13       0.000000000000e+00       2.150563110981e-10       1.048187307981e-10       2.810134255579e-14 
   17       1.903500496361e-10       8.405941287399e-16       2.406207055344e-13       0.000000000000e+00       1.949737000437e-10       9.701812864029e-11       2.544177271746e-14 
   18       1.882425437856e-10       9.697172494651e-16       2.556366521121e-13       0.000000000000e+00       1.775102092437e-10       9.001901423190e-11       3.303379065801e-14 
