# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.114670663005e-10       6.459915143658e-15       2.743364134096e-13       1.484455054327e-19       4.213044046823e-09       5.275443380832e-10      -2.094180030794e-12 
    3       2.411597785194e-10       1.044404237379e-14       2.530295068422e-13       2.969719374078e-19       2.446772982997e-09       4.578998260020e-10      -1.720069778680e-12 
    4       2.539704333211e-10       1.067903518970e-14       2.785785521814e-13       4.951310872673e-19       1.651830877270e-09       3.921028058666e-10      -1.183277166599e-12 
    5       2.558369120063e-10       8.228231698753e-15       3.464485259680e-13       7.430254099329e-19       1.214175225605e-09       3.373990087455e-10      -6.643579026988e-13 
    6       2.515694796102e-10       5.271513123045e-15       4.190886368202e-13       1.040778424398e-18       9.412838448931e-10       2.927043026999e-10      -2.352399743184e-13 
    7       2.443877647330e-10       3.237106386271e-15       4.674091464973e-13       1.388531892080e-18       7.568415242756e-10       2.561442092785e-10       7.431100620331e-14 
    8       2.363099959770e-10       2.337390641469e-15       4.788110042596e-13       1.786442632736e-18       6.248516997432e-10       2.260491266552e-10       2.619484849548e-13 
    9       2.283509258959e-10       2.073036087387e-15       4.556374914332e-13       2.234679076303e-18       5.263677953340e-10       2.010749063841e-10       3.433815240044e-13 
   10       2.209937453920e-10       1.906939459172e-15       4.091782427485e-13       2.733417656228e-18       4.504774973003e-10       1.801741896484e-10       3.446222890407e-13 
   11       2.144716704982e-10       1.611195188632e-15       3.533561084715e-13       3.282839153455e-18       3.852354132310e-10       1.631737914978e-10       2.967169825227e-13 
   12       2.087526600247e-10       1.238154895386e-15       3.006332807150e-13       3.883125100093e-18       3.375702808893e-10       1.481594000064e-10       2.240486469444e-13 
   13       2.038230293084e-10       9.267155182037e-16       2.597343285606e-13       4.534454347977e-18       2.984464808188e-10       1.349579596968e-10       1.494881454653e-13 
   14       1.996090005070e-10       7.550776213140e-16       2.346323600101e-13       5.236999899985e-18       2.658726711269e-10       1.235578045493e-10       8.838503891668e-14 
   15       1.959805242945e-10       7.142363236890e-16       2.252412954714e-13       5.990926091379e-18       2.384260879953e-10       1.135981216182e-10       4.773751419252e-14 
   16       1.929084970680e-10       7.570623864897e-16       2.287351164925e-13       6.796386194982e-18       2.150563110981e-10       1.048187307981e-10       2.810134255579e-14 
   17       1.903611219978e-10       8.482486432379e-16       2.406112075956e-13       7.653520508223e-18       1.949737000437e-10       9.701812864029e-11       2.544177271746e-14 
   18       1.882548792597e-10       9.782805691923e-16       2.556251844566e-13       8.562454747843e-18       1.775102092437e-10       9.001901423190e-11       3.303379065801e-14 
   19       1.866178293654e-10       1.145676720914e-15       2.703498937059e-13       9.523300276581e-18       1.623915954924e-10       8.378014224221e-11       4.493547247770e-14 
   20       1.853759269255e-10       1.346437693060e-15       2.816419956293e-13       1.053615142341e-17       1.490470968073e-10       7.815055703029e-11       5.463070214691e-14 
   21       1.845196217130e-10       1.571194655925e-15       2.886421808109e-13       1.160108902737e-17       1.372734384662e-10       7.309280826067e-11       5.922669872242e-14 
   22       1.839782088509e-10       1.809562908280e-15       2.915454210361e-13       1.271817746006e-17       1.267936981675e-10       6.852372504811e-11       5.735328148073e-14 
   23       1.837181981452e-10       2.066623131061e-15       2.915451248242e-13       1.388746983055e-17       1.174685386442e-10       6.438507520992e-11       4.989735519831e-14 
   24       1.836738018042e-10       2.353469993774e-15       2.903666260039e-13       1.510900496825e-17       1.090878845931e-10       6.058115834353e-11       3.897528890722e-14 
   25       1.838676797382e-10       2.678591450612e-15       2.892672498030e-13       1.638281464156e-17       1.015582359531e-10       5.709732644553e-11       2.698624634444e-14 
   26       1.843079792350e-10       3.048833321469e-15       2.892825839334e-13       1.770891978801e-17       9.474853287819e-11       5.390934642828e-11       1.657044681507e-14 
   27       1.849577741811e-10       3.463651482340e-15       2.904634486536e-13       1.908733750810e-17       8.857984324169e-11       5.098293560746e-11       9.177532119717e-15 
   28       1.857478384237e-10       3.920031069042e-15       2.923890825444e-13       2.051807871717e-17       8.294820784607e-11       4.826342591113e-11       5.668951457559e-15 
   29       1.866873261190e-10       4.418122481687e-15       2.943065018979e-13       2.200115928853e-17       7.782710236955e-11       4.574625688444e-11       5.540090370232e-15 
   30       1.877860659173e-10       4.958784462973e-15       2.951432892662e-13       2.353659195735e-17       7.316422248252e-11       4.342105497859e-11       7.562038441501e-15 
   31       1.890307600274e-10       5.542471592853e-15       2.937372375098e-13       2.512438696941e-17       6.886769899008e-11       4.125888786210e-11       1.026095174801e-14 
   32       1.904194673207e-10       6.168943851371e-15       2.896556847823e-13       2.676456607116e-17       6.491699889214e-11       3.925294496511e-11       1.271198621518e-14 
   33       1.919345690297e-10       6.837386155021e-15       2.826738453455e-13       2.845715455726e-17       6.128559880110e-11       3.738918548826e-11       1.400960556835e-14 
   34       1.935445225258e-10       7.547249817197e-15       2.726670784245e-13       3.020218034298e-17       5.792441072450e-11       3.564261847830e-11       1.334324848530e-14 
   35       1.952512740112e-10       8.301047290618e-15       2.599707309285e-13       3.199968130926e-17       5.481738679039e-11       3.400791984966e-11       1.102068626659e-14 
   36       1.970561539984e-10       9.102571476895e-15       2.451595621074e-13       3.384970174057e-17       5.194080628485e-11       3.247724924718e-11       7.816154298693e-15 
   37       1.989515911937e-10       9.955591232628e-15       2.288108097169e-13       3.575229049401e-17       4.925864258474e-11       3.103664138886e-11       4.568706367274e-15 
   38       2.009409483356e-10       1.086175868179e-14       2.109805401322e-13       3.770749873930e-17       4.676471591799e-11       2.968511599888e-11       1.676533815376e-15 
   39       2.030231120449e-10       1.182202300617e-14       1.915575676545e-13       3.971538269770e-17       4.445177957471e-11       2.842052123262e-11      -5.525739826426e-16 
   40       2.051857985641e-10       1.283717712796e-14       1.704003620071e-13       4.177600514465e-17       4.229867455600e-11       2.723360349017e-11      -1.762482114465e-15 
   41       2.074122034817e-10       1.390758733832e-14       1.473378281068e-13       4.388943177153e-17       4.027786755324e-11       2.611164343029e-11      -1.688040643927e-15 
   42       2.097061541307e-10       1.503230235290e-14       1.221781645490e-13       4.605571715843e-17       3.838394636241e-11       2.505231698819e-11      -6.337743712577e-16 
   43       2.120733248805e-10       1.620963600224e-14       9.469853809333e-14       4.827491541672e-17       3.661234902791e-11       2.405327573547e-11       8.532819430604e-16 
   44       2.145136727101e-10       1.743737359792e-14       6.463965719405e-14       5.054708453173e-17       3.495080186828e-11       2.310792782549e-11       2.104956158528e-15 
   45       2.170238352722e-10       1.871347165936e-14       3.177532155937e-14       5.287227992486e-17       3.338381952349e-11       2.220801037934e-11       2.499453250000e-15 
   46       2.196064774165e-10       2.003847381145e-14      -3.848630569390e-15       5.525053189674e-17       3.190926302168e-11       2.135303084758e-11       2.040531491592e-15 
   47       2.222628023786e-10       2.141376859293e-14      -4.208580677525e-14       5.768186212497e-17       3.052568262007e-11       2.054306561551e-11       9.392686347763e-16 
   48       2.249894748701e-10       2.284093694170e-14      -8.275318630380e-14       6.016628992715e-17       2.922731684513e-11       1.977592004185e-11      -5.427886920848e-16 
   49       2.277782403293e-10       2.432176559393e-14      -1.256293156951e-13       6.270383226935e-17       2.800377032141e-11       1.904695381781e-11      -2.090741393339e-15 
   50       2.306194427799e-10       2.585773767549e-14      -1.705139994478e-13       6.529449931470e-17       2.684320338625e-11       1.835069786842e-11      -3.407078747032e-15 
   51       2.335145874581e-10       2.744831037935e-14      -2.174306591572e-13       6.793827962507e-17       2.574366904834e-11       1.768662763192e-11      -4.453227926743e-15 
   52       2.364665300210e-10       2.909219294440e-14      -2.664757835170e-13       7.063515095718e-17       2.470429642565e-11       1.705465499423e-11      -5.268585904177e-15 
   53       2.394756833695e-10       3.078781766506e-14      -3.177632977114e-13       7.338508417480e-17       2.372189472849e-11       1.645338552166e-11      -5.903192827049e-15 
   54       2.425398203641e-10       3.253332868770e-14      -3.714256529309e-13       7.618804304726e-17       2.279079634874e-11       1.588002812786e-11      -6.418313107805e-15 
