# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.634336758485e-10       6.600388189615e-15       3.974641181305e-13       0.000000000000e+00       6.354603252974e-09       4.664179561439e-10      -2.242644118986e-12 
    3       1.646226303163e-10       1.113413274148e-14       4.320823407831e-13       0.000000000000e+00       3.798143719857e-09       3.763362963399e-10      -1.929192339710e-12 
    4       1.628963523206e-10       1.255704277007e-14       4.196631368970e-13       0.000000000000e+00       2.602983883073e-09       3.120330723504e-10      -1.470554030422e-12 
    5       1.599652543672e-10       1.097464503300e-14       4.004757593918e-13       0.000000000000e+00       1.927406561419e-09       2.636221210766e-10      -1.008569544538e-12 
    6       1.565204495410e-10       7.898512023575e-15       3.836229093202e-13       0.000000000000e+00       1.498413871228e-09       2.259463277561e-10      -5.971614906980e-13 
    7       1.531156074177e-10       4.922391027222e-15       3.677689475036e-13       0.000000000000e+00       1.205327113247e-09       1.960026659251e-10      -2.633294630493e-13 
    8       1.500231973376e-10       2.926091506790e-15       3.490232567165e-13       0.000000000000e+00       9.942400017359e-10       1.717963070251e-10      -1.739393214627e-14 
    9       1.473554359324e-10       1.984265163452e-15       3.253683682849e-13       0.000000000000e+00       8.360541300758e-10       1.519376521977e-10       1.421886263417e-13 
   10       1.452128700605e-10       1.701802090814e-15       2.974290391545e-13       0.000000000000e+00       7.139128999261e-10       1.354621069901e-10       2.255194483538e-13 
   11       1.435193267079e-10       1.624099960766e-15       2.677647523062e-13       0.000000000000e+00       6.043656849180e-10       1.220925503367e-10       2.481008526089e-13 
   12       1.423034238904e-10       1.486243141786e-15       2.395908031976e-13       0.000000000000e+00       5.282162473765e-10       1.102061542163e-10       2.278667297589e-13 
   13       1.415161706692e-10       1.247832469279e-15       2.156962939008e-13       0.000000000000e+00       4.657645337308e-10       1.001230828575e-10       1.822725319946e-13 
   14       1.410783354335e-10       9.934622303925e-16       1.978335028913e-13       0.000000000000e+00       4.138480675972e-10       9.153475003292e-11       1.266543955769e-13 
   15       1.409053171446e-10       8.139750142402e-16       1.868121945565e-13       0.000000000000e+00       3.701752753477e-10       8.402507030212e-11       7.276101625654e-14 
   16       1.410331654884e-10       7.423269043468e-16       1.825524099290e-13       0.000000000000e+00       3.330501297580e-10       7.738685714125e-11       2.868913311745e-14 
   17       1.413207528040e-10       7.556747675175e-16       1.841483083327e-13       0.000000000000e+00       3.012039616011e-10       7.151733023557e-11      -1.317950425937e-15 
   18       1.418024591371e-10       8.093678313448e-16       1.902376503481e-13       0.000000000000e+00       2.735618122074e-10       6.627653348608e-11      -1.670507595740e-14 
   19       1.425052496911e-10       8.851672103930e-16       1.994612394738e-13       0.000000000000e+00       2.496817046000e-10       6.163059111461e-11      -1.930735559300e-14 
   20       1.433481160260e-10       9.739184574311e-16       2.100130527122e-13       0.000000000000e+00       2.286443792905e-10       5.746582464886e-11      -1.296008265881e-14 
   21       1.443283454585e-10       1.086409463581e-15       2.207980475401e-13       0.000000000000e+00       2.101196899052e-10       5.372336445016e-11      -1.417653704584e-15 
   22       1.454237041543e-10       1.238788260178e-15       2.308354750936e-13       0.000000000000e+00       1.936641029570e-10       5.030667290475e-11       1.097942119880e-14 
   23       1.466328197659e-10       1.430078506139e-15       2.395759050572e-13       0.000000000000e+00       1.790519591196e-10       4.720155124677e-11       2.145997703509e-14 
   24       1.479343030771e-10       1.652251130579e-15       2.466747329122e-13       0.000000000000e+00       1.659464404014e-10       4.438140240061e-11       2.777106510151e-14 
   25       1.493450814078e-10       1.899216777826e-15       2.523287059202e-13       0.000000000000e+00       1.541949404838e-10       4.181578788268e-11       2.924470441764e-14 
   26       1.508688070661e-10       2.166218696074e-15       2.569469553318e-13       0.000000000000e+00       1.435864923169e-10       3.945194782784e-11       2.607406173790e-14 
   27       1.524874949435e-10       2.457531552795e-15       2.607651722462e-13       0.000000000000e+00       1.339947186570e-10       3.728152062514e-11       1.961188784233e-14 
   28       1.541648421035e-10       2.779858338755e-15       2.639737702246e-13       0.000000000000e+00       1.252549602719e-10       3.529380404184e-11       1.175542376249e-14 
   29       1.559093428144e-10       3.134475166521e-15       2.666588919366e-13       0.000000000000e+00       1.173233092644e-10       3.347920345851e-11       3.751195025671e-15 
   30       1.577282708425e-10       3.520577476139e-15       2.688779520322e-13       0.000000000000e+00       1.101154328621e-10       3.180895659745e-11      -3.136975054023e-15 
   31       1.596141120139e-10       3.937157114859e-15       2.706394387284e-13       0.000000000000e+00       1.034853114606e-10       3.024054010862e-11      -7.653094514557e-15 
   32       1.615671658842e-10       4.384783895070e-15       2.717226632397e-13       0.000000000000e+00       9.739932174739e-11       2.876968549615e-11      -9.637966940910e-15 
   33       1.635777816524e-10       4.864467757803e-15       2.717808054714e-13       0.000000000000e+00       9.181499643135e-11       2.739508479635e-11      -9.359313566119e-15 
   34       1.656273630806e-10       5.377374623474e-15       2.704381615443e-13       0.000000000000e+00       8.665487029517e-11       2.610812126940e-11      -7.267761706531e-15 
   35       1.677190348584e-10       5.925442895297e-15       2.674903343643e-13       0.000000000000e+00       8.189299894329e-11       2.490828530522e-11      -4.076916724370e-15 
   36       1.698554967258e-10       6.511002261933e-15       2.627696694959e-13       0.000000000000e+00       7.749165917231e-11       2.379158761931e-11      -7.378366662153e-16 
   37       1.720340863127e-10       7.136207379105e-15       2.561278230513e-13       0.000000000000e+00       7.339413307380e-11       2.274891022144e-11       1.781522868003e-15 
   38       1.742612332973e-10       7.801596808607e-15       2.475608318310e-13       0.000000000000e+00       6.959017534469e-11       2.177704268183e-11       3.236184474271e-15 
   39       1.765413625871e-10       8.507045503181e-15       2.371268286323e-13       0.000000000000e+00       6.606803774523e-11       2.087023332194e-11       3.601707840352e-15 
   40       1.788721159358e-10       9.252125397638e-15       2.249150337966e-13       0.000000000000e+00       6.279454654589e-11       2.001655881913e-11       2.878957956903e-15 
   41       1.812466980148e-10       1.003647361476e-14       2.110195684999e-13       0.000000000000e+00       5.972673656967e-11       1.920212632438e-11       1.151125374588e-15 
   42       1.836635428594e-10       1.086108836765e-14       1.954460028688e-13       0.000000000000e+00       5.685580738143e-11       1.842659329269e-11      -1.228362962050e-15 
   43       1.861185970953e-10       1.172742192110e-14       1.781776343740e-13       0.000000000000e+00       5.417432615710e-11       1.769181187044e-11      -3.758750299874e-15 
   44       1.886020423431e-10       1.263703612103e-14       1.592009756804e-13       0.000000000000e+00       5.166303115509e-11       1.699733650212e-11      -5.835482784988e-15 
   45       1.911030383987e-10       1.359129596511e-14       1.384970508234e-13       0.000000000000e+00       4.929776303495e-11       1.634120163465e-11      -6.904681915410e-15 
   46       1.936268243468e-10       1.459032455595e-14       1.160122037411e-13       0.000000000000e+00       4.707495199589e-11       1.572300924544e-11      -6.995797712282e-15 
   47       1.961818777937e-10       1.563374764115e-14       9.167854606449e-14       0.000000000000e+00       4.499214624919e-11       1.514141992715e-11      -6.337972512741e-15 
   48       1.987749207279e-10       1.672096917075e-14       6.542139634522e-14       0.000000000000e+00       4.304032244678e-11       1.459311058736e-11      -5.216529353548e-15 
   49       2.014107205421e-10       1.785116025407e-14       3.715876960854e-14       0.000000000000e+00       4.120339619418e-11       1.407262841296e-11      -3.976203160202e-15 
   50       2.040919797240e-10       1.902349180386e-14       6.820489589108e-15       0.000000000000e+00       3.946309559381e-11       1.357407841072e-11      -2.951412361493e-15 
   51       2.068194312564e-10       2.023793253461e-14      -2.558717440715e-14       0.000000000000e+00       3.781627701887e-11       1.309706484505e-11      -2.227264291116e-15 
   52       2.095914251669e-10       2.149464848324e-14      -6.002948175929e-14       0.000000000000e+00       3.626146340212e-11       1.264211010477e-11      -1.819262712388e-15 
   53       2.124036519391e-10       2.279377866799e-14      -9.646090659847e-14       0.000000000000e+00       3.479366051980e-11       1.220890374889e-11      -1.740400093783e-15 
   54       2.152489477074e-10       2.413543551303e-14      -1.348247248351e-13       0.000000000000e+00       3.340411988250e-11       1.179624275686e-11      -2.000955406289e-15 
   55       2.181199994521e-10       2.551965723699e-14      -1.750663801216e-13       0.000000000000e+00       3.208302583155e-11       1.140251147010e-11      -2.594984650405e-15 
   56       2.210186938328e-10       2.694625019534e-14      -2.171784161047e-13       0.000000000000e+00       3.082888172471e-11       1.102739791689e-11      -3.456325636443e-15 
