# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.634340220313e-10       6.600575975079e-15       3.974641137476e-13       1.877854247765e-19       6.354603252974e-09       4.664179561439e-10      -2.242644118986e-12 
    3       1.646233212765e-10       1.113450845096e-14       4.320823212960e-13       3.757090956609e-19       3.798143719857e-09       3.763362963399e-10      -1.929192339710e-12 
    4       1.628975008359e-10       1.255766925672e-14       4.196630810758e-13       6.264847887926e-19       2.602983883073e-09       3.120330723504e-10      -1.470554030422e-12 
    5       1.599669714447e-10       1.097558532450e-14       4.004756327135e-13       9.402851534345e-19       1.927406561419e-09       2.636221210766e-10      -1.008569544538e-12 
    6       1.565228440614e-10       7.899829357102e-15       3.836226613708e-13       1.317316308864e-18       1.498413871228e-09       2.259463277561e-10      -5.971614906980e-13 
    7       1.531187858309e-10       4.924148878937e-15       3.677685098131e-13       1.757811914633e-18       1.205327113247e-09       1.960026659251e-10      -2.633294630493e-13 
    8       1.500272634175e-10       2.928353614994e-15       3.490225410746e-13       2.262026559582e-18       9.942400017359e-10       1.717963070251e-10      -1.739393214627e-14 
    9       1.473604905939e-10       1.987095544692e-15       3.253672655632e-13       2.830228711718e-18       8.360541300758e-10       1.519376521977e-10       1.421886263417e-13 
   10       1.452190112415e-10       1.705265048413e-15       2.974274186407e-13       3.462693485639e-18       7.139128999261e-10       1.354621069901e-10       2.255194483538e-13 
   11       1.435266493141e-10       1.628260085388e-15       2.677624615339e-13       4.159695488854e-18       6.043656849180e-10       1.220925503367e-10       2.481008526089e-13 
   12       1.423120198011e-10       1.491165303866e-15       2.395876682397e-13       4.921502002846e-18       5.282162473765e-10       1.102061542163e-10       2.278667297589e-13 
   13       1.415261287991e-10       1.253581803318e-15       2.156921200731e-13       5.748366739378e-18       4.657645337308e-10       1.001230828575e-10       1.822725319946e-13 
   14       1.410897418429e-10       1.000104111327e-15       1.978280758013e-13       6.640524387956e-18       4.138480675972e-10       9.153475003292e-11       1.266543955769e-13 
