# Matter power spectrum P(k) at redshift z=0
# for k=1.10271e-05 to 1.54087 h/Mpc,
# number of wavenumbers equal to 616
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102706161003e-05       4.195079145668e+01 
       2.390862604198e-05       8.835412299565e+01 
       3.683703460985e-05       1.340131069388e+02 
       4.984708012548e-05       1.794662947524e+02 
       6.297414448969e-05       2.250424906131e+02 
       7.625451421387e-05       2.709989806868e+02 
       8.972570621182e-05       3.175634942033e+02 
       1.034268081881e-04       3.649493450097e+02 
       1.173988379833e-04       4.133646892379e+02 
       1.316851262685e-04       4.630178408317e+02 
       1.463317269878e-04       5.141199460800e+02 
       1.613878598801e-04       5.668881352155e+02 
       1.769063892304e-04       6.215460494355e+02 
       1.929443426175e-04       6.783263931433e+02 
       2.095634727502e-04       7.374698735157e+02 
       2.268308643876e-04       7.992263621832e+02 
       2.448195866371e-04       8.638542282421e+02 
       2.636093884109e-04       9.316186416725e+02 
       2.832874312117e-04       1.002789516017e+03 
       3.039490483806e-04       1.077638824400e+03 
       3.256985131017e-04       1.156436025391e+03 
       3.486497884017e-04       1.239443243306e+03 
       3.729272207476e-04       1.326907651413e+03 
       3.986661243769e-04       1.419055654745e+03 
       4.260131862345e-04       1.516083896580e+03 
       4.551266019049e-04       1.618149742009e+03 
       4.861758326094e-04       1.725364948233e+03 
       5.193408548131e-04       1.837788350949e+03 
       5.548107614309e-04       1.955423129356e+03 
       5.927815729943e-04       2.078215333894e+03 
       6.334531358694e-04       2.206062987403e+03 
       6.770250306400e-04       2.338825770082e+03 
       7.236914933785e-04       2.476343445868e+03 
       7.736354671886e-04       2.618456832715e+03 
       8.270220439637e-04       2.765029687219e+03 
       8.839917080248e-04       2.915969994448e+03 
       9.446539238684e-04       3.071239291698e+03 
       1.009081682736e-03       3.230855799425e+03 
       1.077307603975e-03       3.394882752651e+03 
       1.149322061069e-03       3.563408075870e+03 
       1.225073580144e-03       3.736514982813e+03 
       1.304471481011e-03       3.914254005780e+03 
       1.387390456432e-03       4.096601170015e+03 
       1.473676572938e-03       4.283462386587e+03 
       1.563154065608e-03       4.474681306099e+03 
       1.655632299111e-03       4.670001196754e+03 
       1.750912358837e-03       4.869092263666e+03 
       1.848792882852e-03       5.071565814086e+03 
       1.949074908202e-03       5.276992913841e+03 
       2.051565652497e-03       5.484919714113e+03 
       2.156081265388e-03       5.694884945395e+03 
       2.262448659027e-03       5.906431436579e+03 
       2.370506565117e-03       6.119117030945e+03 
       2.480105976980e-03       6.332520712981e+03 
       2.591110127139e-03       6.546248440100e+03 
       2.703394132577e-03       6.759935401513e+03 
       2.816844417043e-03       6.973248493590e+03 
       2.931357996791e-03       7.185882840312e+03 
       3.046841695123e-03       7.397565957450e+03 
       3.163211333334e-03       7.608051600214e+03 
       3.280390931206e-03       7.817122434192e+03 
       3.398311939022e-03       8.024583540336e+03 
       3.516912514635e-03       8.230264827173e+03 
       3.636136853011e-03       8.434014588992e+03 
       3.755934571299e-03       8.635701305354e+03 
       3.876260149565e-03       8.835209599677e+03 
       3.997072425361e-03       9.032439201901e+03 
       4.118334139145e-03       9.227305054857e+03 
       4.240011526899e-03       9.419730273426e+03 
       4.362073955989e-03       9.609653009891e+03 
       4.484493600307e-03       9.797020440915e+03 
       4.607245150800e-03       9.981787352072e+03 
       4.730305557741e-03       1.016391641099e+04 
       4.853653801338e-03       1.034337790779e+04 
       4.977270687575e-03       1.052014895661e+04 
       5.101138666464e-03       1.069421299697e+04 
       5.225241670181e-03       1.086555563747e+04 
       5.349564968817e-03       1.103417465417e+04 
       5.474095041727e-03       1.120006382484e+04 
       5.598819462700e-03       1.136322101494e+04 
       5.723726797344e-03       1.152364637089e+04 
       5.848806511320e-03       1.168136145910e+04 
       5.974048888157e-03       1.183636968286e+04 
       6.099444955589e-03       1.198867102148e+04 
       6.224986419428e-03       1.213824752198e+04 
       6.350665604161e-03       1.228515768732e+04 
       6.476475399485e-03       1.242938902457e+04 
       6.602409212161e-03       1.257095737303e+04 
       6.728460922581e-03       1.271002297363e+04 
       6.854624845556e-03       1.284622513886e+04 
       6.980895694849e-03       1.297994886695e+04 
       7.107268551087e-03       1.311117787765e+04 
       7.233738832661e-03       1.323972090055e+04 
       7.360302269332e-03       1.336580097828e+04 
       7.486954878248e-03       1.348936165290e+04 
       7.613692942132e-03       1.361044710640e+04 
       7.740512989416e-03       1.372906596657e+04 
       7.867411776140e-03       1.384523187230e+04 
       7.994386269421e-03       1.395898256632e+04 
       8.121433632364e-03       1.407032338250e+04 
       8.248551210250e-03       1.417930679592e+04 
       8.375736517900e-03       1.428594262493e+04 
       8.502987228090e-03       1.439023582753e+04 
       8.630301160925e-03       1.449223051320e+04 
       8.757676274088e-03       1.459194811338e+04 
       8.885110653867e-03       1.468941760991e+04 
       9.012602506910e-03       1.478463296007e+04 
       9.140150152634e-03       1.487764174328e+04 
       9.267752016225e-03       1.496847815430e+04 
       9.395406622184e-03       1.505714713649e+04 
       9.523112588376e-03       1.514367643803e+04 
       9.650868620527e-03       1.522808945488e+04 
       9.778673507137e-03       1.531041411258e+04 
       9.906526114782e-03       1.539065105233e+04 
       1.003442538376e-02       1.546885427314e+04 
       1.016237032405e-02       1.554501944075e+04 
       1.029036001160e-02       1.561917763668e+04 
       1.041839358483e-02       1.569136688948e+04 
       1.054647024145e-02       1.576161207378e+04 
       1.067458923547e-02       1.582988767909e+04 
       1.080274987440e-02       1.589628870252e+04 
       1.093095151672e-02       1.596075949255e+04 
       1.105919356947e-02       1.602338927979e+04 
       1.118747548602e-02       1.608414690716e+04 
       1.131579676401e-02       1.614305784078e+04 
       1.144415694345e-02       1.620018769703e+04 
       1.157255560490e-02       1.625552330107e+04 
       1.170099236781e-02       1.630910008057e+04 
       1.182946688900e-02       1.636088994180e+04 
       1.195797886121e-02       1.641100090295e+04 
       1.208652801172e-02       1.645939777392e+04 
       1.221511410120e-02       1.650607492962e+04 
       1.234373692246e-02       1.655109124029e+04 
       1.247239629941e-02       1.659444565275e+04 
       1.260109208609e-02       1.663622524764e+04 
       1.272982416569e-02       1.667634567026e+04 
       1.285859244974e-02       1.671489237902e+04 
       1.298739687729e-02       1.675187640889e+04 
       1.311623741418e-02       1.678730961363e+04 
       1.324511405234e-02       1.682119129993e+04 
       1.337402680920e-02       1.685358385604e+04 
       1.350297572708e-02       1.688445311711e+04 
       1.363196087266e-02       1.691386051060e+04 
       1.376098233653e-02       1.694181308548e+04 
       1.389004023269e-02       1.696830186543e+04 
       1.401913469816e-02       1.699338114051e+04 
       1.414826589265e-02       1.701704229740e+04 
       1.427743399817e-02       1.703930087065e+04 
       1.440663921878e-02       1.706019769119e+04 
       1.453588178027e-02       1.707974015988e+04 
       1.466516192999e-02       1.709794436089e+04 
       1.479447993659e-02       1.711482323208e+04 
       1.492383608985e-02       1.713039855119e+04 
       1.505323070055e-02       1.714468277779e+04 
       1.518266410034e-02       1.715769713120e+04 
       1.531213664161e-02       1.716942740556e+04 
       1.544164869747e-02       1.717995233346e+04 
       1.557120066162e-02       1.718925616077e+04 
       1.570079294840e-02       1.719734763018e+04 
       1.583042599271e-02       1.720426281927e+04 
       1.596010025009e-02       1.720997669502e+04 
       1.608981619667e-02       1.721456585526e+04 
       1.621957432932e-02       1.721798126159e+04 
       1.634937516562e-02       1.722026493156e+04 
       1.647921924404e-02       1.722140969259e+04 
       1.660910712399e-02       1.722150194429e+04 
       1.673903938596e-02       1.722050048685e+04 
       1.686901663169e-02       1.721843064186e+04 
       1.699903948431e-02       1.721528526074e+04 
       1.712910858851e-02       1.721112851059e+04 
       1.725922461077e-02       1.720594074728e+04 
       1.738938823954e-02       1.719973904846e+04 
       1.751960018551e-02       1.719251097758e+04 
       1.764986118180e-02       1.718432494809e+04 
       1.778017198430e-02       1.717519814193e+04 
       1.791053337187e-02       1.716505911212e+04 
       1.804094614672e-02       1.715404052026e+04 
       1.817141113466e-02       1.714204021753e+04 
       1.830192918545e-02       1.712919544571e+04 
       1.843250117316e-02       1.711540529377e+04 
       1.856312799653e-02       1.710072716202e+04 
       1.869381057934e-02       1.708520103956e+04 
       1.882454987083e-02       1.706882451633e+04 
       1.895534684609e-02       1.705158728353e+04 
       1.908620250650e-02       1.703351861428e+04 
       1.921711788021e-02       1.701461303812e+04 
       1.934809402255e-02       1.699498207337e+04 
       1.947913201658e-02       1.697447227119e+04 
       1.961023297356e-02       1.695318895712e+04 
       1.974139803346e-02       1.693117059230e+04 
       1.987262836554e-02       1.690839809072e+04 
       2.000392516888e-02       1.688484917985e+04 
       2.013528967299e-02       1.686059165456e+04 
       2.026672313838e-02       1.683563361748e+04 
       2.039822685721e-02       1.680995841741e+04 
       2.052980215389e-02       1.678359354490e+04 
       2.066145038581e-02       1.675650542345e+04 
       2.079317294397e-02       1.672883538977e+04 
       2.092497125370e-02       1.670043339313e+04 
       2.105684677543e-02       1.667139061660e+04 
       2.118880100537e-02       1.664172139852e+04 
       2.132083547638e-02       1.661143116443e+04 
       2.145295175868e-02       1.658056556089e+04 
       2.158515146076e-02       1.654905671854e+04 
       2.171743623019e-02       1.651697812816e+04 
       2.184980775451e-02       1.648430100135e+04 
       2.198226776216e-02       1.645106206909e+04 
       2.211481802337e-02       1.641734040651e+04 
       2.224746035120e-02       1.638294006994e+04 
       2.238019660248e-02       1.634809346439e+04 
       2.251302867886e-02       1.631271102870e+04 
       2.264595852787e-02       1.627681472759e+04 
       2.277898814402e-02       1.624041353299e+04 
       2.291211956994e-02       1.620352751068e+04 
       2.304535489749e-02       1.616612204575e+04 
       2.317869626905e-02       1.612823961036e+04 
       2.331214587868e-02       1.608995330697e+04 
       2.344570597343e-02       1.605118488881e+04 
       2.357937885467e-02       1.601194358691e+04 
       2.371316687944e-02       1.597226390266e+04 
       2.384707246183e-02       1.593227507758e+04 
       2.398109807447e-02       1.589180950081e+04 
       2.411524624999e-02       1.585091592032e+04 
       2.424951958258e-02       1.580966102971e+04 
       2.438392072959e-02       1.576797372643e+04 
       2.451845241313e-02       1.572594811772e+04 
       2.465311742184e-02       1.568351045067e+04 
