# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881785e-26       4.634785000235e-09       2.157468236852e+22       1.368490231270e+04       1.368490231270e-10       1.368490231270e+18       2.676054550088e-09       2.753580214648e+44       1.836540182522e+33       1.644385517842e+34      -3.910526221960e-12       1.112816866551e-64      -2.344900000000e+00       1.901088978193e+44       4.654669193023e+44       4.368788776588e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124148e-26       4.667526809499e-09       2.127577895005e+22       1.368490231270e+04       1.378069662889e-10       1.358977389543e+18       2.694786931938e-09       2.677810562215e+44       1.798506547671e+33       1.610331289714e+34      -3.910526221960e-12       1.144581453189e-64      -2.344900000000e+00       1.848777136920e+44       4.526587699314e+44       6.094996600306e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275373e-26       4.700268618762e-09       2.098101664718e+22       1.368490231270e+04       1.387716150529e-10       1.349530674819e+18       2.713650440462e-09       2.604125846403e+44       1.761260566362e+33       1.576982304026e+34      -3.910526221960e-12       1.177252737949e-64      -2.344900000000e+00       1.797904748912e+44       4.402030595491e+44       1.218999320061e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295288e-26       4.733010428026e-09       2.069033808739e+22       1.368490231270e+04       1.397430163583e-10       1.340149627427e+18       2.732645993545e-09       2.532468696478e+44       1.724785926767e+33       1.544323955633e+34      -3.910526221960e-12       1.210856601902e-64      -2.344900000000e+00       1.748432205055e+44       4.280900901705e+44       1.828498980091e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438184e-26       4.765752237290e-09       2.040368669304e+22       1.368490231270e+04       1.407212174728e-10       1.330833790891e+18       2.751774515500e-09       2.462783320360e+44       1.689066654866e+33       1.512341941856e+34      -3.910526221960e-12       1.245419664876e-64      -2.344900000000e+00       1.700320986150e+44       4.163104306678e+44       2.437998640121e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256956e-26       4.800313035958e-09       2.012100667033e+22       1.368490231270e+04       1.417062659951e-10       1.321582711908e+18       2.771036937108e-09       2.395015461189e+44       1.654087107453e+33       1.481022256213e+34      -3.910526221960e-12       1.280969306541e-64      -2.344900000000e+00       1.653533632922e+44       4.048549094276e+44       3.047498300151e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607294e-26       4.833054845221e-09       1.984224299845e+22       1.368490231270e+04       1.426982098571e-10       1.312395940326e+18       2.790434195668e-09       2.329112355080e+44       1.619831965281e+33       1.450351182291e+34      -3.910526221960e-12       1.317533688103e-64      -2.344900000000e+00       1.608033716854e+44       3.937146072096e+44       3.656997960180e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651939e-26       4.867615643889e-09       1.956734141886e+22       1.368490231270e+04       1.436970973261e-10       1.303273029122e+18       2.809967235037e-09       2.265022690039e+44       1.586286226356e+33       1.420315287733e+34      -3.910526221960e-12       1.355141774609e-64      -2.344900000000e+00       1.563785811826e+44       3.828808502022e+44       4.266497620210e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289864996e-26       4.900357453153e-09       1.929624842474e+22       1.368490231270e+04       1.447029770073e-10       1.294213534381e+18       2.829637005683e-09       2.202696566012e+44       1.553435199367e+33       1.390901418359e+34      -3.910526221960e-12       1.393823357895e-64      -2.344900000000e+00       1.520755466528e+44       3.723452032694e+44       4.875997280240e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036309e-26       4.934918251820e-09       1.902891125059e+22       1.368490231270e+04       1.457158978464e-10       1.285217015274e+18       2.849444464722e-09       2.142085456034e+44       1.521264497250e+33       1.362096692406e+34      -3.910526221960e-12       1.433609080182e-64      -2.344900000000e+00       1.478909177642e+44       3.620994633827e+44       5.485496940269e-07       1.592850683960e+01 
