# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       9.233088653025e+02       2.824908790518e-02       0.000000000000e+00       2.961591678835e+00       6.135326472125e-08       2.174576671739e-03      -1.220800627466e-05 
    3       8.825347734124e+02       5.256749804410e-02       0.000000000000e+00       3.812540904049e+00       7.654702606795e-08       2.020056308160e-03      -1.574438567826e-05 
    4       8.457948040194e+02       6.875145057049e-02       0.000000000000e+00       4.017565414569e+00       8.912309633101e-08       1.905802425395e-03      -1.713512691886e-05 
    5       8.185919435320e+02       7.244437649896e-02       0.000000000000e+00       3.850584749085e+00       1.000362070462e-07       1.811085185543e-03      -1.681011711376e-05 
    6       7.997062993355e+02       6.485599217845e-02       0.000000000000e+00       3.492214911147e+00       1.096521692334e-07       1.724899493932e-03      -1.511078452232e-05 
    7       7.873551875738e+02       5.067137165788e-02       0.000000000000e+00       3.060148347543e+00       1.182303604263e-07       1.644112013292e-03      -1.243811970378e-05 
    8       7.805113566078e+02       3.519825127957e-02       0.000000000000e+00       2.622838097496e+00       1.259142663809e-07       1.569010207694e-03      -9.209430035126e-06 
    9       7.774521790006e+02       2.236868111453e-02       0.000000000000e+00       2.220608655490e+00       1.328317347699e-07       1.498926514545e-03      -5.830562614517e-06 
   10       7.776103937406e+02       1.392820373376e-02       0.000000000000e+00       1.876165004732e+00       1.390844678945e-07       1.431801950081e-03      -2.660051693500e-06 
   11       7.805848798116e+02       9.670867974952e-03       0.000000000000e+00       1.600166653300e+00       1.388942474418e-07       1.368351258552e-03       3.716769814448e-09 
   12       7.852479372359e+02       8.261588195922e-03       0.000000000000e+00       1.396316953494e+00       1.435671758016e-07       1.299594293890e-03       1.998774140865e-06 
   13       7.917451341560e+02       8.143116313265e-03       0.000000000000e+00       1.262773949416e+00       1.477764427359e-07       1.244155807210e-03       3.263140638902e-06 
   14       7.995162076170e+02       8.171176486716e-03       0.000000000000e+00       1.193010987681e+00       1.515754646329e-07       1.189642252961e-03       3.771650296022e-06 
   15       8.080995150953e+02       7.846316993293e-03       0.000000000000e+00       1.177545108192e+00       1.550061430879e-07       1.137080694732e-03       3.609373455110e-06 
   16       8.176286260912e+02       7.210505995083e-03       0.000000000000e+00       1.204220392506e+00       1.581065881457e-07       1.090722732059e-03       2.917942112035e-06 
   17       8.277154413044e+02       6.575970682872e-03       0.000000000000e+00       1.260459599313e+00       1.609093891464e-07       1.050611337981e-03       1.866491734284e-06 
   18       8.382754514430e+02       6.268540663187e-03       0.000000000000e+00       1.334888238029e+00       1.633783700653e-07       1.014036413625e-03       6.437961833960e-07 
   19       8.494078814448e+02       6.396468473237e-03       0.000000000000e+00       1.418731964683e+00       1.657303490342e-07       9.802213693625e-04      -5.951062511309e-07 
   20       8.608396636314e+02       6.956452593645e-03       0.000000000000e+00       1.502122297260e+00       1.677857858398e-07       9.466347531268e-04      -1.686837480173e-06 
   21       8.726107730221e+02       7.812654587480e-03       0.000000000000e+00       1.580747753263e+00       1.696535506959e-07       9.149009454310e-04      -2.528040486581e-06 
   22       8.846429768408e+02       8.766228921374e-03       0.000000000000e+00       1.651994919258e+00       1.713036264109e-07       8.867314419233e-04      -3.056683718177e-06 
   23       8.969297099664e+02       9.747227541332e-03       0.000000000000e+00       1.714712558067e+00       1.728237203220e-07       8.606686611073e-04      -3.253697806322e-06 
   24       9.093523432871e+02       1.074023897052e-02       0.000000000000e+00       1.768619459309e+00       1.741520331765e-07       8.333485381659e-04      -3.145976701743e-06 
   25       9.219780594762e+02       1.181966024540e-02       0.000000000000e+00       1.815018942363e+00       1.753563194794e-07       8.069281201442e-04      -2.782924593182e-06 
   26       9.348132146124e+02       1.309376421465e-02       0.000000000000e+00       1.856038615973e+00       1.764089978042e-07       7.846967392874e-04      -2.250986194663e-06 
   27       9.478015336806e+02       1.462619257300e-02       0.000000000000e+00       1.893530080383e+00       1.773439704780e-07       7.649564730582e-04      -1.644667543331e-06 
   28       9.608082971477e+02       1.645909860206e-02       0.000000000000e+00       1.929301420772e+00       1.781160310642e-07       7.438287548359e-04      -1.073314210405e-06 
   29       9.738903192741e+02       1.858287564321e-02       0.000000000000e+00       1.964225353758e+00       1.788168417133e-07       7.216271375662e-04      -5.947686794779e-07 
   30       9.870861852315e+02       2.096124369582e-02       0.000000000000e+00       1.998897030246e+00       1.794713896008e-07       7.001134751746e-04      -2.525546183703e-07 
   31       1.000363675789e+03       2.355333886662e-02       0.000000000000e+00       2.033634245336e+00       1.799782233813e-07       6.808827745412e-04      -8.531738364787e-08 
   32       1.013757759478e+03       2.635637342515e-02       0.000000000000e+00       2.067528988698e+00       1.803934914381e-07       6.641632978615e-04      -9.692946552449e-08 
   33       1.027265751331e+03       2.937841442795e-02       0.000000000000e+00       2.098981032545e+00       1.807529857080e-07       6.492261636426e-04      -2.671552983903e-07 
   34       1.040840453202e+03       3.262650580824e-02       0.000000000000e+00       2.126037377784e+00       1.810111691423e-07       6.349052159582e-04      -5.588319441907e-07 
   35       1.054524847548e+03       3.610377106239e-02       0.000000000000e+00       2.146865531787e+00       1.812079419575e-07       6.210170636224e-04      -9.306318662273e-07 
   36       1.068352712242e+03       3.981115336169e-02       0.000000000000e+00       2.159393155708e+00       1.813514227296e-07       6.074870124256e-04      -1.325672361491e-06 
   37       1.082319778168e+03       4.374841957705e-02       0.000000000000e+00       2.161507004478e+00       1.813919164625e-07       5.941033981635e-04      -1.678062857141e-06 
   38       1.096426894004e+03       4.791534670442e-02       0.000000000000e+00       2.152257660113e+00       1.813775798454e-07       5.810841394008e-04      -1.958348365839e-06 
   39       1.110642249918e+03       5.231078300428e-02       0.000000000000e+00       2.131039350375e+00       1.813533359718e-07       5.687106577681e-04      -2.147173294700e-06 
   40       1.124883616981e+03       5.693223469777e-02       0.000000000000e+00       2.097270503329e+00       1.813023915170e-07       5.571563020501e-04      -2.224092923821e-06 
   41       1.139059303356e+03       6.177939180512e-02       0.000000000000e+00       2.050556313604e+00       1.811654461305e-07       5.464750012262e-04      -2.174465058567e-06 
   42       1.153218702079e+03       6.686626193334e-02       0.000000000000e+00       1.991234010729e+00       1.809708401659e-07       5.366291569179e-04      -2.013970126934e-06 
   43       1.167442598759e+03       7.221286332170e-02       0.000000000000e+00       1.920009349504e+00       1.807504276077e-07       5.274294166729e-04      -1.776042062381e-06 
   44       1.181799937151e+03       7.784213786808e-02       0.000000000000e+00       1.837825176255e+00       1.804947286535e-07       5.184920374505e-04      -1.507626382199e-06 
   45       1.196341012835e+03       8.377518997662e-02       0.000000000000e+00       1.745624512086e+00       1.801684316603e-07       5.093758921559e-04      -1.260087933219e-06 
   46       1.211078634565e+03       9.001489681292e-02       0.000000000000e+00       1.643523497713e+00       1.798020082592e-07       5.001434708003e-04      -1.052801507002e-06 
   47       1.225998438597e+03       9.655769333198e-02       0.000000000000e+00       1.531414177339e+00       1.794310656251e-07       4.909957960677e-04      -8.963314644531e-07 
   48       1.241061563133e+03       1.033979737699e-01       0.000000000000e+00       1.409192576101e+00       1.790655812741e-07       4.821209660089e-04      -8.018358158243e-07 
   49       1.256202653945e+03       1.105279809745e-01       0.000000000000e+00       1.276757790263e+00       1.786821039175e-07       4.736888346222e-04      -7.810391123067e-07 
   50       1.271354807368e+03       1.179399859152e-01       0.000000000000e+00       1.133945383347e+00       1.782389613907e-07       4.658294348929e-04      -8.416906090252e-07 
   51       1.286537008013e+03       1.256337804071e-01       0.000000000000e+00       9.803083720255e-01       1.777538822415e-07       4.585714893639e-04      -9.718090643440e-07 
   52       1.301786977627e+03       1.336110269037e-01       0.000000000000e+00       8.152752186675e-01       1.772523419667e-07       4.518693606302e-04      -1.149061185187e-06 
   53       1.317135602593e+03       1.418731432469e-01       0.000000000000e+00       6.382064231653e-01       1.767431023655e-07       4.456082029352e-04      -1.344056134706e-06 
   54       1.332606207195e+03       1.504212997718e-01       0.000000000000e+00       4.483905216423e-01       1.762136124827e-07       4.395945862205e-04      -1.519615214141e-06 
   55       1.348215804512e+03       1.592561232192e-01       0.000000000000e+00       2.451894792247e-01       1.756406877198e-07       4.336168349437e-04      -1.639225450031e-06 
   56       1.363980877890e+03       1.683767289766e-01       0.000000000000e+00       2.852633103152e-02       1.750415075931e-07       4.276760898936e-04      -1.697945613004e-06 
   57       1.379911762779e+03       1.777814433526e-01       0.000000000000e+00      -2.014883269004e-01       1.744384123277e-07       4.218230913209e-04      -1.701545572695e-06 
   58       1.396010159385e+03       1.874680616962e-01       0.000000000000e+00      -4.446933384274e-01       1.738427300493e-07       4.160928186874e-04      -1.658526295521e-06 
   59       1.412268482988e+03       1.974338340780e-01       0.000000000000e+00      -7.008751680425e-01       1.732519408871e-07       4.105018283413e-04      -1.580402009728e-06 
   60       1.428669214257e+03       2.076754509707e-01       0.000000000000e+00      -9.697660816186e-01       1.726465817143e-07       4.050454716959e-04      -1.481992788340e-06 
   61       1.445193975051e+03       2.181891393066e-01       0.000000000000e+00      -1.251080678649e+00       1.720005820839e-07       3.997106847471e-04      -1.378792189023e-06 
   62       1.461854606146e+03       2.289710082384e-01       0.000000000000e+00      -1.544639186891e+00       1.713260264134e-07       3.945262635414e-04      -1.277310278482e-06 
   63       1.478667944109e+03       2.400167559315e-01       0.000000000000e+00      -1.850268740175e+00       1.706421226355e-07       3.895242260137e-04      -1.182038223830e-06 
   64       1.495646377009e+03       2.513215554337e-01       0.000000000000e+00      -2.167766878518e+00       1.699617573667e-07       3.847238852043e-04      -1.098152219152e-06 
