# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       9.233131274403e+02       2.825195438279e-02       2.866477526555e-06       2.961591629903e+00       6.135326472125e-08       2.174576671739e-03      -1.220800627466e-05 
    3       8.825432745722e+02       5.257323296732e-02       5.734922442022e-06       3.812540686505e+00       7.654702606795e-08       2.020056308160e-03      -1.574438567826e-05 
    4       8.458089219094e+02       6.876101308484e-02       9.562510581927e-06       4.017564791474e+00       8.912309633101e-08       1.905802425395e-03      -1.713512691886e-05 
    5       8.186130268489e+02       7.245872819689e-02       1.435168541943e-05       3.850583335237e+00       1.000362070462e-07       1.811085185543e-03      -1.681011711376e-05 
    6       7.997356620154e+02       6.487609756371e-02       2.010535251664e-05       3.492212144186e+00       1.096521692334e-07       1.724899493932e-03      -1.511078452232e-05 
    7       7.873941039647e+02       5.069819851910e-02       2.682678897864e-05       3.060143463928e+00       1.182303604263e-07       1.644112013292e-03      -1.243811970378e-05 
    8       7.805610576732e+02       3.523277096215e-02       3.451954298262e-05       2.622830113838e+00       1.259142663809e-07       1.569010207694e-03      -9.209430035126e-06 
    9       7.775138496252e+02       2.241186868316e-02       4.318732728866e-05       2.220596355512e+00       1.328317347699e-07       1.498926514545e-03      -5.830562614517e-06 
   10       7.776851711714e+02       1.398103802171e-02       5.283391085749e-05       1.876146931859e+00       1.390844678945e-07       1.431801950081e-03      -2.660051693500e-06 
   11       7.806738532276e+02       9.734331520066e-03       6.346301275325e-05       1.600141108659e+00       1.388942474418e-07       1.368351258552e-03       3.716769814448e-09 
   12       7.853521484018e+02       8.336667066629e-03       7.507820239388e-05       1.396281998870e+00       1.435671758016e-07       1.299594293890e-03       1.998774140865e-06 
   13       7.918655790765e+02       8.230799831815e-03       8.768280993296e-05       1.262727414524e+00       1.477764427359e-07       1.244155807210e-03       3.263140638902e-06 
   14       7.996538390786e+02       8.272456859685e-03       1.012798501259e-04       1.192950480946e+00       1.515754646329e-07       1.189642252961e-03       3.771650296022e-06 
   15       8.082552459509e+02       7.962188862248e-03       1.158719624676e-04       1.177468030104e+00       1.550061430879e-07       1.137080694732e-03       3.609373455110e-06 
   16       8.178033331222e+02       7.341965922422e-03       1.314613697128e-04       1.204123950555e+00       1.581065881457e-07       1.090722732059e-03       2.917942112035e-06 
   17       8.279099694800e+02       6.724016589391e-03       1.480498561276e-04       1.260340823478e+00       1.609093891464e-07       1.050611337981e-03       1.866491734284e-06 
   18       8.384906184719e+02       6.434171227071e-03       1.656387563977e-04       1.334743996365e+00       1.633783700653e-07       1.014036413625e-03       6.437961833960e-07 
   19       8.496444819158e+02       6.580682553988e-03       1.842290221648e-04       1.418558974985e+00       1.657303490342e-07       9.802213693625e-04      -5.951062511309e-07 
   20       8.610984739250e+02       7.160248575186e-03       2.038211542592e-04       1.501917142254e+00       1.677857858398e-07       9.466347531268e-04      -1.686837480173e-06 
   21       8.728925546073e+02       8.037029855318e-03       2.244153981000e-04       1.580506885847e+00       1.696535506959e-07       9.149009454310e-04      -2.528040486581e-06 
   22       8.849484804579e+02       9.012179248145e-03       2.460116632735e-04       1.651714671993e+00       1.713036264109e-07       8.867314419233e-04      -3.056683718177e-06 
   23       8.972596777416e+02       1.001574664811e-02       2.686097580744e-04       1.714389142389e+00       1.728237203220e-07       8.606686611073e-04      -3.253697806322e-06 
   24       9.097075117413e+02       1.103231799485e-02       2.922093086303e-04       1.768248969038e+00       1.741520331765e-07       8.333485381659e-04      -3.145976701743e-06 
   25       9.223591599509e+02       1.213628742957e-02       3.168100349081e-04       1.814597347465e+00       1.753563194794e-07       8.069281201442e-04      -2.782924593182e-06 
   26       9.352209747966e+02       1.343592448205e-02       3.424116516652e-04       1.855561760769e+00       1.764089978042e-07       7.846967392874e-04      -2.250986194663e-06 
   27       9.482366767772e+02       1.499486730220e-02       3.690141116978e-04       1.892993675190e+00       1.773439704780e-07       7.649564730582e-04      -1.644667543331e-06 
   28       9.612715417345e+02       1.685526532248e-02       3.966175425583e-04       1.928701037664e+00       1.781160310642e-07       7.438287548359e-04      -1.073314210405e-06 
   29       9.743823759739e+02       1.900750798784e-02       4.252225333846e-04       1.963556421843e+00       1.788168417133e-07       7.216271375662e-04      -5.947686794779e-07 
   30       9.876077554629e+02       2.141531116473e-02       4.548299698970e-04       1.998154831483e+00       1.794713896008e-07       7.001134751746e-04      -2.525546183703e-07 
   31       1.000915450420e+03       2.403780657450e-02       4.854410346168e-04       2.032813914913e+00       1.799782233813e-07       6.808827745412e-04      -8.531738364787e-08 
   32       1.014340414317e+03       2.687220206283e-02       5.170574121083e-04       2.066625531369e+00       1.803934914381e-07       6.641632978615e-04      -9.692946552449e-08 
   33       1.027879944127e+03       2.992656010880e-02       5.496812244580e-04       2.097989328592e+00       1.807529857080e-07       6.492261636426e-04      -2.671552983903e-07 
   34       1.041486821041e+03       3.320791985114e-02       5.833149821372e-04       2.124952194852e+00       1.810111691423e-07       6.349052159582e-04      -5.588319441907e-07 
   35       1.055204003818e+03       3.671939970285e-02       6.179614612042e-04       2.145681571837e+00       1.812079419575e-07       6.210170636224e-04      -9.306318662273e-07 
   36       1.069065243367e+03       4.046193752802e-02       6.536238440257e-04       2.158105080199e+00       1.813514227296e-07       6.074870124256e-04      -1.325672361491e-06 
   37       1.083066241186e+03       4.443529454376e-02       6.903056026254e-04       2.160109469079e+00       1.813919164625e-07       5.941033981635e-04      -1.678062857141e-06 
   38       1.097207817706e+03       4.863924122406e-02       7.280098681009e-04       2.150745410848e+00       1.813775798454e-07       5.810841394008e-04      -1.958348365839e-06 
   39       1.111458133191e+03       5.307261879163e-02       7.667398943536e-04       2.129407281781e+00       1.813533359718e-07       5.687106577681e-04      -2.147173294700e-06 
   40       1.125734925919e+03       5.773292605002e-02       8.064992512098e-04       2.095513703216e+00       1.813023915170e-07       5.571563020501e-04      -2.224092923821e-06 
