# Matter power spectrum P(k) at redshift z=0
# for k=1.06542e-05 to 1.1282 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065424852894e-05       4.945079765897e+01 
       2.356877559436e-05       1.064100909624e+02 
       3.652943087230e-05       1.623802741560e+02 
       4.957126996381e-05       2.179087445263e+02 
       6.272993549953e-05       2.733002400663e+02 
       7.604197660806e-05       3.287796420821e+02 
       8.954517870662e-05       3.845348845538e+02 
       1.032789080193e-04       4.407395550593e+02 
       1.172844752619e-04       4.975608028474e+02 
       1.316055229652e-04       5.551647525549e+02 
       1.462884409144e-04       6.137228958228e+02 
       1.613828141178e-04       6.734141521153e+02 
       1.769419075277e-04       7.344287262328e+02 
       1.930231913528e-04       7.969712525456e+02 
       2.096889101113e-04       8.612646530234e+02 
       2.270066974524e-04       9.275526619692e+02 
       2.450502370415e-04       9.961044983416e+02 
       2.638999672297e-04       1.067218381486e+03 
       2.836438235388e-04       1.141226252846e+03 
       3.043780078385e-04       1.218498050813e+03 
       3.262077660839e-04       1.299446310115e+03 
       3.492481472134e-04       1.384530772002e+03 
       3.736247038815e-04       1.474262376520e+03 
       3.994740808841e-04       1.569206756085e+03 
       4.269444194668e-04       1.669985546040e+03 
       4.561954857806e-04       1.777277314882e+03 
       4.873984110329e-04       1.891814003640e+03 
       5.207349120907e-04       2.014374487062e+03 
       5.563958487744e-04       2.145773468265e+03 
       5.945789739906e-04       2.286846285196e+03 
       6.354857528538e-04       2.438425583650e+03 
       6.793171751543e-04       2.601315376132e+03 
       7.262685682651e-04       2.776259005424e+03 
       7.765235360584e-04       2.963903990025e+03 
       8.302472957958e-04       3.164767236626e+03 
       8.875798394810e-04       3.379202239690e+03 
       9.486294772322e-04       3.607373002193e+03 
       1.013467389890e-03       3.849236107436e+03 
       1.082123792967e-03       4.104535160777e+03 
       1.154586178979e-03       4.372806933211e+03 
       1.230799873716e-03       4.653399539905e+03 
       1.310670856958e-03       4.945501129567e+03 
       1.394070520690e-03       5.248174063593e+03 
       1.480841827406e-03       5.560393756760e+03 
       1.570806226037e-03       5.881086640847e+03 
       1.663770690764e-03       6.209159151867e+03 
       1.759534347147e-03       6.543499599726e+03 
       1.857894302521e-03       6.883099355770e+03 
       1.958650463482e-03       7.226968153864e+03 
       2.061609271336e-03       7.574179786131e+03 
       2.166586398980e-03       7.923878199331e+03 
       2.273408525201e-03       8.275281848320e+03 
       2.381914338707e-03       8.627680802537e+03 
       2.491954933072e-03       8.980437166584e+03 
       2.603393744321e-03       9.332978806761e+03 
       2.716106163478e-03       9.684796864858e+03 
       2.829978932968e-03       1.003544047347e+04 
       2.944909412413e-03       1.038451019981e+04 
       3.060804778275e-03       1.073165583354e+04 
       3.177581203972e-03       1.107656888649e+04 
       3.295163052787e-03       1.141898010407e+04 
       3.413482104795e-03       1.175865452512e+04 
       3.532476830741e-03       1.209538871715e+04 
       3.652091719784e-03       1.242900441197e+04 
       3.772276663804e-03       1.275934911396e+04 
       3.892986398078e-03       1.308629129341e+04 
       4.014179996297e-03       1.340971902734e+04 
       4.135820416753e-03       1.372953497240e+04 
       4.257874095926e-03       1.404565785731e+04 
       4.380310585432e-03       1.435801966494e+04 
       4.503102228289e-03       1.466656509473e+04 
       4.626223870581e-03       1.497124710423e+04 
       4.749652604832e-03       1.527202676429e+04 
       4.873367541675e-03       1.556887214663e+04 
       4.997349606686e-03       1.586176586951e+04 
       5.121581359574e-03       1.615069010901e+04 
       5.246046833181e-03       1.643564949511e+04 
       5.370731390027e-03       1.671661863367e+04 
       5.495621594398e-03       1.699361895052e+04 
       5.620705098173e-03       1.726678892956e+04 
       5.745970538833e-03       1.753569710116e+04 
       5.871407448238e-03       1.780074492800e+04 
       5.997006170956e-03       1.806183498161e+04 
       6.122757791045e-03       1.831903021612e+04 
       6.248654066361e-03       1.857231598136e+04 
       6.374687369507e-03       1.882170424886e+04 
       6.500850634731e-03       1.906717469968e+04 
       6.627137310075e-03       1.930883716324e+04 
       6.753541314230e-03       1.954667900649e+04 
       6.880056997570e-03       1.978072534226e+04 
       7.006679106929e-03       2.001100688533e+04 
       7.133402753706e-03       2.023755173244e+04 
       7.260223384967e-03       2.046037270511e+04 
       7.387136757221e-03       2.067952335524e+04 
       7.514138912589e-03       2.089500521815e+04 
       7.641226157141e-03       2.110694493029e+04 
       7.768395041157e-03       2.131521496443e+04 
       7.895642341144e-03       2.151987122148e+04 
       8.022965043419e-03       2.172103473597e+04 
       8.150360329109e-03       2.191872019814e+04 
       8.277825560437e-03       2.211294848527e+04 
       8.405358268167e-03       2.230368833082e+04 
       8.532956140092e-03       2.249105641580e+04 
       8.660617010481e-03       2.267503015898e+04 
       8.788338850385e-03       2.285567495794e+04 
       8.916119758733e-03       2.303300185609e+04 
       9.043957954131e-03       2.320710851501e+04 
       9.171851767323e-03       2.337790135516e+04 
       9.299799634238e-03       2.354546239988e+04 
       9.427800089579e-03       2.370991991650e+04 
       9.555851760905e-03       2.387119444539e+04 
       9.683953363167e-03       2.402928924282e+04 
       9.812103693656e-03       2.418435345165e+04 
       9.940301627333e-03       2.433630398673e+04 
