# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881784e-26       4.634785000235e-09       2.157468236852e+22       1.344548769226e+04       1.344548769226e-10       1.344548769226e+18       2.676054550087e-09       2.753580214648e+44       1.807945076082e+33       1.655734548413e+34      -4.031180788264e-12       2.506833430502e-18      -1.245670000000e+00       1.901088978193e+44       4.654669193024e+44       4.552962790511e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124147e-26       4.667526809499e-09       2.127577895005e+22       1.344548769226e+04       1.353960610611e-10       1.335202352757e+18       2.694786931938e-09       2.677810562215e+44       1.770503628566e+33       1.621445288737e+34      -4.031180788264e-12       2.519754490284e-18      -1.245670000000e+00       1.848777136920e+44       4.526587699315e+44       6.351941956588e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275373e-26       4.700268618762e-09       2.098101664718e+22       1.344548769226e+04       1.363438334885e-10       1.325920906412e+18       2.713650440461e-09       2.604125846403e+44       1.733837570751e+33       1.587866138860e+34      -4.031180788264e-12       2.532742149538e-18      -1.245670000000e+00       1.797904748912e+44       4.402030595492e+44       1.270388391317e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295287e-26       4.733010428026e-09       2.069033808739e+22       1.344548769226e+04       1.372982403229e-10       1.316703978562e+18       2.732645993545e-09       2.532468696478e+44       1.697930844786e+33       1.554982392840e+34      -4.031180788264e-12       2.545796751541e-18      -1.245670000000e+00       1.748432205055e+44       4.280900901706e+44       1.905582586975e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438184e-26       4.765752237290e-09       2.040368669304e+22       1.344548769226e+04       1.382593280052e-10       1.307551120717e+18       2.751774515499e-09       2.462783320360e+44       1.662767725368e+33       1.522779649283e+34      -4.031180788264e-12       2.558918641339e-18      -1.245670000000e+00       1.700320986150e+44       4.163104306679e+44       2.540776782633e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256956e-26       4.800313035958e-09       2.012100667033e+22       1.344548769226e+04       1.392271433012e-10       1.298461887504e+18       2.771036937108e-09       2.395015461189e+44       1.628332812856e+33       1.491243805041e+34      -4.031180788264e-12       2.572108165756e-18      -1.245670000000e+00       1.653533632922e+44       4.048549094277e+44       3.175970978291e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607294e-26       4.833054845221e-09       1.984224299845e+22       1.344548769226e+04       1.402017333043e-10       1.289435836648e+18       2.790434195668e-09       2.329112355080e+44       1.594611026527e+33       1.460361049033e+34      -4.031180788264e-12       2.585365673402e-18      -1.245670000000e+00       1.608033716854e+44       3.937146072096e+44       3.811165173949e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651938e-26       4.867615643889e-09       1.956734141886e+22       1.344548769226e+04       1.411831454374e-10       1.280472528945e+18       2.809967235037e-09       2.265022690039e+44       1.561587597968e+33       1.430117856198e+34      -4.031180788264e-12       2.598691514687e-18      -1.245670000000e+00       1.563785811826e+44       3.828808502023e+44       4.446359369607e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289864995e-26       4.900357453153e-09       1.929624842475e+22       1.344548769226e+04       1.421714274555e-10       1.271571528247e+18       2.829637005682e-09       2.202696566012e+44       1.529248064613e+33       1.400500981569e+34      -4.031180788264e-12       2.612086041824e-18      -1.245670000000e+00       1.520755466528e+44       3.723452032695e+44       5.081553565265e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036309e-26       4.934918251820e-09       1.902891125059e+22       1.344548769226e+04       1.431666274477e-10       1.262732401437e+18       2.849444464722e-09       2.142085456034e+44       1.497578263408e+33       1.371497454475e+34      -4.031180788264e-12       2.625549608845e-18      -1.245670000000e+00       1.478909177642e+44       3.620994633828e+44       5.716747760923e-07       1.592850683960e+01 
