# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       9.766703863860e+02       2.856686403099e-02       0.000000000000e+00       2.772708996784e+00       5.759547071971e-08       2.603408082951e-03      -1.204452629601e-05 
    3       9.355432137821e+02       5.339913025116e-02       0.000000000000e+00       3.603453908588e+00       7.096488292597e-08       2.597948584714e-03      -1.562908735478e-05 
    4       8.934938931563e+02       6.955221905269e-02       0.000000000000e+00       3.849906662121e+00       8.258132771312e-08       2.545273826667e-03      -1.701253610983e-05 
    5       8.602767473089e+02       7.274201526608e-02       0.000000000000e+00       3.731058128441e+00       9.283462274432e-08       2.472551820777e-03      -1.663469756685e-05 
    6       8.357430355507e+02       6.451493222329e-02       0.000000000000e+00       3.411100072033e+00       1.018816865434e-07       2.390363381245e-03      -1.485708012847e-05 
    7       8.188772484876e+02       4.986723229272e-02       0.000000000000e+00       3.006313813587e+00       1.099326209395e-07       2.306133425636e-03      -1.209954637916e-05 
    8       8.081543132879e+02       3.426340013020e-02       0.000000000000e+00       2.587804779181e+00       1.171277746306e-07       2.223625503255e-03      -8.800055771672e-06 
    9       8.020192606197e+02       2.161182288672e-02       0.000000000000e+00       2.198618873406e+00       1.235762078169e-07       2.142618681942e-03      -5.380468994919e-06 
   10       7.997874874252e+02       1.351217862522e-02       0.000000000000e+00       1.863504785758e+00       1.293844550799e-07       2.062600885258e-03      -2.207999148152e-06 
   11       8.004205630579e+02       9.586542651260e-03       0.000000000000e+00       1.595262184025e+00       1.298245364526e-07       1.989965718559e-03       4.221178757524e-07 
   12       8.035751714894e+02       8.383584205116e-03       0.000000000000e+00       1.398560979131e+00       1.342881419130e-07       1.908901893969e-03       2.340726644030e-06 
   13       8.086814046932e+02       8.319953634338e-03       0.000000000000e+00       1.271851464029e+00       1.383187610711e-07       1.840725072059e-03       3.503067335531e-06 
   14       8.151332755352e+02       8.298949926117e-03       0.000000000000e+00       1.208941244294e+00       1.419663694649e-07       1.777186388245e-03       3.906862269245e-06 
   15       8.229664194754e+02       7.899252080605e-03       0.000000000000e+00       1.199220832351e+00       1.452698610859e-07       1.710491499995e-03       3.631211192578e-06 
   16       8.312556758227e+02       7.227992162887e-03       0.000000000000e+00       1.230658362081e+00       1.482635600878e-07       1.650936700131e-03       2.841490610164e-06 
   17       8.407635420324e+02       6.623405331290e-03       0.000000000000e+00       1.291136222444e+00       1.509776420618e-07       1.598568886516e-03       1.716286460455e-06 
   18       8.508632411849e+02       6.398313100832e-03       0.000000000000e+00       1.367775122479e+00       1.533787649332e-07       1.549660949934e-03       4.496839060818e-07 
   19       8.614240098140e+02       6.630787296513e-03       0.000000000000e+00       1.452302223566e+00       1.556673946024e-07       1.503964385654e-03      -7.996364292540e-07 
   20       8.722811009249e+02       7.280523822434e-03       0.000000000000e+00       1.536213465275e+00       1.576774090487e-07       1.458570835687e-03      -1.870110126319e-06 
   21       8.835500875015e+02       8.200093535724e-03       0.000000000000e+00       1.614840666400e+00       1.595103523860e-07       1.415175776389e-03      -2.662866266985e-06 
   22       8.952080282464e+02       9.191842159936e-03       0.000000000000e+00       1.684801157747e+00       1.611375312839e-07       1.375335825787e-03      -3.124609981287e-06 
   23       9.072440641886e+02       1.020553129641e-02       0.000000000000e+00       1.745614151748e+00       1.626405928767e-07       1.339091665480e-03      -3.243813964050e-06 
   24       9.195013337903e+02       1.125262733070e-02       0.000000000000e+00       1.798103125560e+00       1.639618971241e-07       1.304236843290e-03      -3.058045439294e-06 
   25       9.319968338571e+02       1.241777588599e-02       0.000000000000e+00       1.843617988348e+00       1.651648167920e-07       1.269681893721e-03      -2.635200169040e-06 
