# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       9.766744148072e+02       2.856968121634e-02       2.817185248463e-06       2.772708949279e+00       5.759547071971e-08       2.603408082951e-03      -1.204452629601e-05 
    3       9.355512501966e+02       5.340476648168e-02       5.636229560783e-06       3.603453697370e+00       7.096488292597e-08       2.597948584714e-03      -1.562908735478e-05 
    4       8.935072423413e+02       6.956161684384e-02       9.397786519271e-06       3.849906057080e+00       8.258132771312e-08       2.545273826667e-03      -1.701253610983e-05 
    5       8.602966883337e+02       7.275611944976e-02       1.410416830388e-05       3.731056755369e+00       9.283462274432e-08       2.472551820777e-03      -1.663469756685e-05 
    6       8.357708166216e+02       6.453469039085e-02       1.975812717887e-05       3.411097384443e+00       1.018816865434e-07       2.390363381245e-03      -1.485708012847e-05 
    7       8.189140825745e+02       4.989359515371e-02       2.636277145236e-05       3.006309069185e+00       1.099326209395e-07       2.306133425636e-03      -1.209954637916e-05 
    8       8.082013746259e+02       3.429732177646e-02       3.392147214488e-05       2.587797021511e+00       1.171277746306e-07       2.223625503255e-03      -8.800055771672e-06 
    9       8.020776821486e+02       2.165426095436e-02       4.243776395821e-05       2.198606918901e+00       1.235762078169e-07       2.142618681942e-03      -5.380468994919e-06 
   10       7.998583591971e+02       1.356409435020e-02       5.191524433920e-05       1.863487216235e+00       1.293844550799e-07       2.062600885258e-03      -2.207999148152e-06 
   11       8.005049316127e+02       9.648900817775e-03       6.235747448539e-05       1.595237344434e+00       1.298245364526e-07       1.989965718559e-03       4.221178757524e-07 
   12       8.036740401610e+02       8.457352989313e-03       7.376788603757e-05       1.398526980128e+00       1.342881419130e-07       1.908901893969e-03       2.340726644030e-06 
   13       8.087957347831e+02       8.406104348952e-03       8.614969695255e-05       1.271806188800e+00       1.383187610711e-07       1.840725072059e-03       3.503067335531e-06 
   14       8.152639882601e+02       8.398456674664e-03       9.950583965895e-05       1.208882358865e+00       1.419663694649e-07       1.777186388245e-03       3.906862269245e-06 
   15       8.231143985720e+02       8.013091332235e-03       1.138389040846e-04       1.199145798526e+00       1.452698610859e-07       1.710491499995e-03       3.631211192578e-06 
   16       8.314217706734e+02       7.357142261119e-03       1.291510975269e-04       1.230564452069e+00       1.482635600878e-07       1.650936700131e-03       2.841490610164e-06 
   17       8.409485711634e+02       6.768845951358e-03       1.454442226436e-04       1.291020534217e+00       1.509776420618e-07       1.598568886516e-03       1.716286460455e-06 
   18       8.510679960484e+02       6.561024664673e-03       1.627196653017e-04       1.367634595429e+00       1.533787649332e-07       1.549660949934e-03       4.496839060818e-07 
   19       8.616492582770e+02       6.811750401620e-03       1.809784536208e-04       1.452133650701e+00       1.556673946024e-07       1.503964385654e-03      -7.996364292540e-07 
   20       8.725275914282e+02       7.480718592821e-03       2.002211942395e-04       1.536013508891e+00       1.576774090487e-07       1.458570835687e-03      -1.870110126319e-06 
   21       8.838185519267e+02       8.420499085459e-03       2.204482499639e-04       1.614605864642e+00       1.595103523860e-07       1.415175776389e-03      -2.662866266985e-06 
   22       8.954991855486e+02       9.433435969233e-03       2.416596644305e-04       1.684527935322e+00       1.611375312839e-07       1.375335825787e-03      -3.124609981287e-06 
   23       9.075586223432e+02       1.046928874259e-02       2.638553767700e-04       1.745298821157e+00       1.626405928767e-07       1.339091665480e-03      -3.243813964050e-06 
   24       9.198399925124e+02       1.153952113001e-02       2.870351458131e-04       1.797741892540e+00       1.639618971241e-07       1.304236843290e-03      -3.058045439294e-06 
   25       9.323602851835e+02       1.272877573692e-02       3.111988043586e-04       1.843206948255e+00       1.651648167920e-07       1.269681893721e-03      -2.635200169040e-06 
   26       9.450734053873e+02       1.414780187920e-02       3.363461662185e-04       1.883531284970e+00       1.662237180987e-07       1.234098881359e-03      -2.080774054195e-06 
   27       9.579353599901e+02       1.584990632248e-02       3.624772512784e-04       1.920537320291e+00       1.671703140181e-07       1.199271993446e-03      -1.479505808505e-06 
   28       9.708402132266e+02       1.786265361117e-02       3.895922262232e-04       1.956047039269e+00       1.679623355730e-07       1.167473372960e-03      -9.196694727404e-07 
