# Matter power spectrum P(k) at redshift z=0
# for k=1.08568e-05 to 1.1771 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.085678330975e-05       4.563991445318e+01 
       2.379213079251e-05       9.733794084442e+01 
       3.677432856495e-05       1.481837378761e+02 
       4.983860554757e-05       1.986867907138e+02 
       6.302078691067e-05       2.491402013935e+02 
       7.635761621147e-05       2.997646898515e+02 
       8.988708803111e-05       3.507496176547e+02 
       1.036487955658e-04       4.022699694715e+02 
       1.176842976599e-04       4.544952162775e+02 
       1.320375098039e-04       5.075947329979e+02 
       1.467551236200e-04       5.617416514391e+02 
       1.618870592945e-04       6.171159552776e+02 
       1.774869552186e-04       6.739072024299e+02 
       1.936126986991e-04       7.323171112523e+02 
       2.103270008951e-04       7.925621092627e+02 
       2.276980179831e-04       8.548759576535e+02 
       2.458000187714e-04       9.195124533927e+02 
       2.647140963475e-04       9.867482725303e+02 
       2.845289175559e-04       1.056885884418e+03 
       3.053414988217e-04       1.130256566410e+03 
       3.272579896590e-04       1.207223360681e+03 
       3.503944357143e-04       1.288183914047e+03 
       3.748774810038e-04       1.373572956258e+03 
       4.008449538716e-04       1.463864213973e+03 
       4.284462631905e-04       1.559571334372e+03 
       4.578425110797e-04       1.661247479159e+03 
       4.892062074650e-04       1.769482968584e+03 
       5.227204529924e-04       1.884900484240e+03 
       5.585774446254e-04       2.008147120697e+03 
       5.969761590542e-04       2.139882913338e+03 
       6.381190906594e-04       2.280765169362e+03 
       6.822079714128e-04       2.431428963860e+03 
       7.294384859778e-04       2.592463692464e+03 
       7.799941172055e-04       2.764387155157e+03 
       8.340394065922e-04       2.947618380895e+03 
       8.917130702119e-04       3.142451624570e+03 
       9.531215404623e-04       3.349034004553e+03 
       1.018333569072e-03       3.567349295947e+03 
       1.087376494127e-03       3.797209913861e+03 
       1.160234629679e-03       4.038258773140e+03 
       1.236849996716e-03       4.289980308379e+03 
       1.317125324143e-03       4.551720582433e+03 
       1.400928970741e-03       4.822713048538e+03 
       1.488101212946e-03       5.102108882344e+03 
       1.578461245858e-03       5.389007282875e+03 
       1.671814260912e-03       5.682484358195e+03 
       1.767958069791e-03       5.981586418218e+03 
       1.866688901057e-03       6.285443417656e+03 
       1.967806163426e-03       6.593194645237e+03 
       2.071116116895e-03       6.904028582939e+03 
       2.176434503571e-03       7.217190404123e+03 
       2.283588259937e-03       7.531985991825e+03 
       2.392416466329e-03       7.847782476873e+03 
       2.502770696269e-03       8.164007450713e+03 
       2.614514917529e-03       8.480146337946e+03 
       2.727525076567e-03       8.795739124038e+03 
       2.841688474084e-03       9.110376669819e+03 
       2.956903016007e-03       9.423695754721e+03 
       3.073076403103e-03       9.735376580892e+03 
       3.190125304774e-03       1.004513702130e+04 
       3.307974548406e-03       1.035273037533e+04 
       3.426556344757e-03       1.065793974340e+04 
       3.545809561722e-03       1.096057798097e+04 
       3.665679052925e-03       1.126048019919e+04 
       3.786115043510e-03       1.155750486026e+04 
       3.907072572661e-03       1.185152965888e+04 
       4.028510990679e-03       1.214245056729e+04 
       4.150393507277e-03       1.243017674984e+04 
       4.272686787274e-03       1.271463112051e+04 
       4.395360589567e-03       1.299574970288e+04 
       4.518387445315e-03       1.327348062433e+04 
       4.641742371399e-03       1.354777822039e+04 
       4.765402615450e-03       1.381860497518e+04 
       4.889347429030e-03       1.408593270551e+04 
       5.013557865857e-03       1.434973472480e+04 
       5.138016602243e-03       1.461000326830e+04 
       5.262707777226e-03       1.486673754028e+04 
       5.387616850147e-03       1.511990512024e+04 
       5.512730473643e-03       1.536952440556e+04 
       5.638036380315e-03       1.561559034438e+04 
       5.763523281469e-03       1.585810458854e+04 
       5.889180776565e-03       1.609708047798e+04 
       6.014999272136e-03       1.633253020571e+04 
       6.140969909120e-03       1.656446269423e+04 
       6.267084497631e-03       1.679290567450e+04 
       6.393335458356e-03       1.701790902624e+04 
       6.519715769829e-03       1.723940431915e+04 
       6.646218920937e-03       1.745739650119e+04 
       6.772838868081e-03       1.767205325360e+04 
       6.899569996497e-03       1.788331607208e+04 
       7.026407085286e-03       1.809114865502e+04 
       7.153345275744e-03       1.829557696812e+04 
       7.280380042679e-03       1.849665382050e+04 
       7.407507168361e-03       1.869451216925e+04 
       7.534722718874e-03       1.888910046454e+04 
       7.662023022592e-03       1.908043909021e+04 
       7.789404650590e-03       1.926855316096e+04 
       7.916864398777e-03       1.945346938891e+04 
       8.044399271597e-03       1.963521435914e+04 
       8.172006467133e-03       1.981382754608e+04 
       8.299683363486e-03       1.998933530081e+04 
       8.427427506303e-03       2.016174594358e+04 
       8.555236597349e-03       2.033111402670e+04 
       8.683108484018e-03       2.049743604927e+04 
       8.811041149711e-03       2.066077543919e+04 
       8.939032704984e-03       2.082113674305e+04 
       9.067081379410e-03       2.097854571797e+04 
       9.195185514082e-03       2.113303959922e+04 
       9.323343554711e-03       2.128467112863e+04 
       9.451554045253e-03       2.143343878281e+04 
       9.579815622034e-03       2.157937900612e+04 
       9.708127008317e-03       2.172247052063e+04 
       9.836487009285e-03       2.186285512382e+04 
       9.964894507400e-03       2.200046807385e+04 
       1.009334845811e-02       2.213535603540e+04 
       1.022184788584e-02       2.226756183732e+04 
       1.035039188037e-02       2.239707267708e+04 
       1.047897959334e-02       2.252396919103e+04 
       1.060761023512e-02       2.264825281623e+04 
       1.073628307186e-02       2.276993982033e+04 
       1.086499742275e-02       2.288906889079e+04 
       1.099375265750e-02       2.300565333451e+04 
       1.112254819393e-02       2.311975062810e+04 
       1.125138349584e-02       2.323135930875e+04 
       1.138025807093e-02       2.334052463336e+04 
       1.150917146891e-02       2.344725515296e+04 
       1.163812327974e-02       2.355156446549e+04 
       1.176711313200e-02       2.365350766779e+04 
       1.189614069134e-02       2.375308530703e+04 
       1.202520565907e-02       2.385034464786e+04 
       1.215430777087e-02       2.394531012366e+04 
       1.228344679551e-02       2.403795739977e+04 
       1.241262253374e-02       2.412839161625e+04 
       1.254183481724e-02       2.421657276362e+04 
       1.267108350762e-02       2.430254560778e+04 
       1.280036849549e-02       2.438632178774e+04 
       1.292968969968e-02       2.446794136005e+04 
       1.305904706635e-02       2.454742964851e+04 
       1.318844056838e-02       2.462479486994e+04 
       1.331787020461e-02       2.470008327982e+04 
       1.344733599928e-02       2.477328866149e+04 
       1.357683800143e-02       2.484443035815e+04 
       1.370637628438e-02       2.491356528880e+04 
       1.383595094527e-02       2.498069533796e+04 
       1.396556210461e-02       2.504582143525e+04 
       1.409520990586e-02       2.510901789823e+04 
       1.422489451512e-02       2.517024905303e+04 
       1.435461612077e-02       2.522958452128e+04 
       1.448437493316e-02       2.528701806458e+04 
       1.461417118439e-02       2.534257853242e+04 
       1.474400512808e-02       2.539627053901e+04 
       1.487387703912e-02       2.544814732411e+04 
       1.500378721355e-02       2.549818959797e+04 
       1.513373596841e-02       2.554647716786e+04 
       1.526372364157e-02       2.559298199364e+04 
       1.539375059171e-02       2.563770311287e+04 
       1.552381719818e-02       2.568072181593e+04 
       1.565392386100e-02       2.572205668794e+04 
       1.578407100081e-02       2.576165839380e+04 
       1.591425905888e-02       2.579957189018e+04 
       1.604448849712e-02       2.583587380730e+04 
       1.617475979810e-02       2.587054787413e+04 
       1.630507346514e-02       2.590357293359e+04 
       1.643543002237e-02       2.593499674240e+04 
       1.656583001482e-02       2.596487005282e+04 
       1.669627400853e-02       2.599316841672e+04 
       1.682676259071e-02       2.601992881161e+04 
       1.695729636987e-02       2.604516619304e+04 
       1.708787597596e-02       2.606893632355e+04 
       1.721850206061e-02       2.609118095433e+04 
       1.734917529730e-02       2.611198696173e+04 
       1.747989638157e-02       2.613132388485e+04 
       1.761066603129e-02       2.614925807481e+04 
       1.774148498688e-02       2.616577714681e+04 
       1.787235401157e-02       2.618090842997e+04 
       1.800327389175e-02       2.619462986717e+04 
       1.813424543719e-02       2.620701783176e+04 
       1.826526948141e-02       2.621807526334e+04 
       1.839634688202e-02       2.622778760445e+04 
       1.852747852104e-02       2.623617340335e+04 
       1.865866530527e-02       2.624331055564e+04 
       1.878990816673e-02       2.624910214154e+04 
       1.892120806299e-02       2.625369975839e+04 
       1.905256597763e-02       2.625700126825e+04 
       1.918398292070e-02       2.625910325415e+04 
       1.931545992912e-02       2.626001324914e+04 
       1.944699806719e-02       2.625970945679e+04 
       1.957859842709e-02       2.625824883908e+04 
       1.971026212934e-02       2.625559608473e+04 
       1.984199032339e-02       2.625179242304e+04 
       1.997378418814e-02       2.624684766708e+04 
       2.010564493250e-02       2.624083283483e+04 
       2.023757379597e-02       2.623370217364e+04 
       2.036957204930e-02       2.622549602322e+04 
       2.050164099503e-02       2.621619316491e+04 
       2.063378196823e-02       2.620584241400e+04 
       2.076599633710e-02       2.619445867660e+04 
       2.089828550371e-02       2.618203019879e+04 
       2.103065090469e-02       2.616859083613e+04 
       2.116309401196e-02       2.615419165100e+04 
       2.129561633352e-02       2.613880160378e+04 
       2.142821941421e-02       2.612241711733e+04 
       2.156090483655e-02       2.610507177997e+04 
