# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881801e-26       4.634785000235e-09       2.157468236847e+22       1.395518035945e+04       1.395518035945e-10       1.395518035945e+18       2.676054550093e-09       2.753580214648e+44       2.355813963682e+33       1.400158830538e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.901088978193e+44       4.654669193004e+44       5.362083859395e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124164e-26       4.667526809499e-09       2.127577895001e+22       1.395518035945e+04       1.405286662196e-10       1.385817314742e+18       2.694786931944e-09       2.677810562215e+44       2.307026483329e+33       1.371162389185e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.848777136920e+44       4.526587699295e+44       7.480765165098e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275389e-26       4.700268618762e-09       2.098101664713e+22       1.395518035945e+04       1.415123668832e-10       1.376184026556e+18       2.713650440467e-09       2.604125846403e+44       2.259249362145e+33       1.342766446571e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.797904748912e+44       4.402030595472e+44       1.496153033019e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295304e-26       4.733010428026e-09       2.069033808735e+22       1.395518035945e+04       1.425029534514e-10       1.366617702637e+18       2.732645993551e-09       2.532468696478e+44       2.212461676204e+33       1.314958566729e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.748432205055e+44       4.280900901687e+44       2.244229549528e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438201e-26       4.765752237290e-09       2.040368669300e+22       1.395518035945e+04       1.435004741255e-10       1.357117877495e+18       2.751774515505e-09       2.462783320360e+44       2.166642934902e+33       1.287726571237e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.700320986150e+44       4.163104306660e+44       2.992306066037e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256973e-26       4.800313035958e-09       2.012100667029e+22       1.395518035945e+04       1.445049774444e-10       1.347684088873e+18       2.771036937114e-09       2.395015461189e+44       2.121773071980e+33       1.261058533878e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.653533632922e+44       4.048549094259e+44       3.740382582546e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607311e-26       4.833054845221e-09       1.984224299841e+22       1.395518035945e+04       1.455165122865e-10       1.338315877729e+18       2.790434195673e-09       2.329112355080e+44       2.077832436744e+33       1.234942775421e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.608033716854e+44       3.937146072079e+44       4.488459099054e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651956e-26       4.867615643889e-09       1.956734141882e+22       1.395518035945e+04       1.465351278725e-10       1.329012788211e+18       2.809967235043e-09       2.265022690039e+44       2.034801785450e+33       1.209367858504e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.563785811826e+44       3.828808502006e+44       5.236535615563e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865014e-26       4.900357453153e-09       1.929624842470e+22       1.395518035945e+04       1.475608737676e-10       1.319774367638e+18       2.829637005688e-09       2.202696566012e+44       1.992662272882e+33       1.184322582626e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.520755466528e+44       3.723452032678e+44       5.984612132072e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036327e-26       4.934918251820e-09       1.902891125054e+22       1.395518035945e+04       1.485937998840e-10       1.310600166472e+18       2.849444464728e-09       2.142085456034e+44       1.951395444097e+33       1.159795979243e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.478909177642e+44       3.620994633811e+44       6.732688648580e-07       1.592850683960e+01 
       9.326212236469e+13       8.690422275915e-26       4.969479050487e-09       1.876527786187e+22       1.395518035945e+04       1.496339564832e-10       1.301489738304e+18       2.869390575981e-09       2.083142168447e+44       1.910983226342e+33       1.135777306961e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.438214363750e+44       3.521356532330e+44       7.480765165089e-07       1.433565615564e+01 
       9.261382558559e+13       8.812514018470e-26       5.004039849155e-09       1.850529694509e+22       1.395518035945e+04       1.506813941786e-10       1.292442639825e+18       2.889476310013e-09       2.025820810155e+44       1.871407921141e+33       1.112256046835e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.398639339974e+44       3.424460150258e+44       8.228841681597e-07       1.303241468694e+01 
       9.197003533823e+13       8.936321027915e-26       5.040419637226e-09       1.824891789755e+22       1.395518035945e+04       1.517361639378e-10       1.283458430810e+18       2.909702644183e-09       1.970076750890e+44       1.832652196541e+33       1.089221897760e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.360153293297e+44       3.330230044314e+44       8.976918198105e-07       1.194638012970e+01 
       9.133072029615e+13       9.061867402036e-26       5.074980435893e-09       1.799609081765e+22       1.395518035945e+04       1.527983170854e-10       1.274536674091e+18       2.930070562692e-09       1.915866588467e+44       1.794699079525e+33       1.066664771961e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.322726258581e+44       3.238592847172e+44       9.724994714614e-07       1.102742781203e+01 
       9.069584935070e+13       9.189177577167e-26       5.111360223964e-09       1.774676649516e+22       1.395518035945e+04       1.538679053050e-10       1.265676935542e+18       2.950581056631e-09       1.863148114988e+44       1.757531948575e+33       1.044574790576e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.286329095228e+44       3.149477210339e+44       1.047307123112e-06       1.023975439688e+01 
       9.006539160943e+13       9.318276332948e-26       5.145921022631e-09       1.750089640162e+22       1.395518035945e+04       1.549449806421e-10       1.256878784054e+18       2.971235124027e-09       1.811880283983e+44       1.721134526396e+33       1.022942279326e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.250933464499e+44       3.062813748602e+44       1.122114774763e-06       9.557104103757e+00 
       8.943931639467e+13       9.449188797150e-26       5.182300810702e-09       1.725843268089e+22       1.395518035945e+04       1.560295955066e-10       1.248141791513e+18       2.992033769895e-09       1.762023178446e+44       1.685490872786e+33       1.001757764282e+34      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.216511807445e+44       2.978534986008e+44       1.196922426414e-06       8.959785097272e+00 
       8.881759324197e+13       9.581940450560e-26       5.218680598773e-09       1.701932813985e+22       1.395518035945e+04       1.571218026752e-10       1.239465532784e+18       3.012978006284e-09       1.713537979758e+44       1.650585377654e+33       9.810119677133e+33      -4.288861709585e-12       3.569062213774e-08      -1.000000000000e+00       1.183037323447e+44       2.896575303320e+44       1.271730078065e-06       8.432738915079e+00 
