# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.075383746698e+03       4.269646906010e-02       0.000000000000e+00       3.128182833810e+00       5.158904703974e-08       3.157781250378e-03      -1.474338400481e-05 
    3       1.016631178833e+03       6.896046665488e-02       0.000000000000e+00       3.860226805936e+00       6.434816231105e-08       3.186888885506e-03      -1.790751411527e-05 
    4       9.589352063659e+02       7.647492668269e-02       0.000000000000e+00       3.922063017471e+00       7.483998008544e-08       3.130288564199e-03      -1.790428250633e-05 
    5       9.138477129788e+02       6.678176639871e-02       0.000000000000e+00       3.612782885611e+00       8.391584642370e-08       3.041693147870e-03      -1.564131618211e-05 
    6       8.812381455065e+02       4.840473054150e-02       0.000000000000e+00       3.131262262636e+00       9.180266612235e-08       2.938488050837e-03      -1.193447683954e-05 
    7       8.586746422897e+02       3.020241329368e-02       0.000000000000e+00       2.609189761541e+00       9.876775831039e-08       2.829319298553e-03      -7.604562637229e-06 
    8       8.440660741327e+02       1.728406160797e-02       0.000000000000e+00       2.123140418443e+00       1.050311335492e-07       2.721060245002e-03      -3.383390618709e-06 
    9       8.358066565544e+02       1.047612598463e-02       0.000000000000e+00       1.715138362323e+00       1.106940237407e-07       2.617673916540e-03       1.539861222365e-07 
   10       8.320891352984e+02       7.937389824235e-03       0.000000000000e+00       1.404927338040e+00       1.157868416479e-07       2.519033374874e-03       2.641096077876e-06 
   11       8.320534117499e+02       7.245069546227e-03       0.000000000000e+00       1.195638534800e+00       1.168406477627e-07       2.430409091735e-03       3.922684183641e-06 
   12       8.349585442323e+02       6.771953514948e-03       0.000000000000e+00       1.078256871935e+00       1.207275969671e-07       2.337542867002e-03       4.099700930060e-06 
   13       8.398371168004e+02       6.015529098688e-03       0.000000000000e+00       1.036466900758e+00       1.242189859008e-07       2.255497054851e-03       3.382420920225e-06 
   14       8.467325781581e+02       5.199447057082e-03       0.000000000000e+00       1.050153765548e+00       1.273569822235e-07       2.174535681780e-03       2.072819604488e-06 
   15       8.546889259681e+02       4.692271966467e-03       0.000000000000e+00       1.099605206375e+00       1.301791912164e-07       2.100544472695e-03       5.287026004060e-07 
   16       8.640243114728e+02       4.643028391857e-03       0.000000000000e+00       1.167750901050e+00       1.327182823377e-07       2.031309008624e-03      -9.382195859045e-07 
   17       8.742655361196e+02       4.941275351236e-03       0.000000000000e+00       1.240775838572e+00       1.350018388450e-07       1.967393214000e-03      -2.088467742274e-06 
   18       8.851610719669e+02       5.362254874448e-03       0.000000000000e+00       1.310209368135e+00       1.370005895458e-07       1.906271942287e-03      -2.783835034591e-06 
   19       8.968607269694e+02       5.814150109509e-03       0.000000000000e+00       1.373060733632e+00       1.388939959236e-07       1.848122910527e-03      -2.985354695839e-06 
   20       9.091532876088e+02       6.263199152100e-03       0.000000000000e+00       1.427956382329e+00       1.405340217117e-07       1.790290976249e-03      -2.755387403813e-06 
   21       9.219928928434e+02       6.804728666423e-03       0.000000000000e+00       1.476585667632e+00       1.420129197658e-07       1.734715755532e-03      -2.204155149052e-06 
   22       9.351639056531e+02       7.578097150589e-03       0.000000000000e+00       1.522166232516e+00       1.433045480600e-07       1.682628188212e-03      -1.513231064166e-06 
   23       9.487293428343e+02       8.622355105144e-03       0.000000000000e+00       1.567631276973e+00       1.444830693695e-07       1.633511257197e-03      -8.290548175449e-07 
   24       9.626710755574e+02       9.932618410234e-03       0.000000000000e+00       1.615805858554e+00       1.454973135537e-07       1.584606801410e-03      -2.999875734484e-07 
   25       9.769448019549e+02       1.147409564213e-02       0.000000000000e+00       1.667744499362e+00       1.464048511137e-07       1.537325296376e-03      -1.763232478982e-09 
   26       9.914022912227e+02       1.320093620211e-02       0.000000000000e+00       1.723437737681e+00       1.471827348252e-07       1.493472074659e-03       3.261045615284e-08 
   27       1.006106191090e+03       1.511196632269e-02       0.000000000000e+00       1.781103814568e+00       1.478593837334e-07       1.453258852233e-03      -1.668036284229e-07 
   28       1.021104365965e+03       1.721689275581e-02       0.000000000000e+00       1.837983787429e+00       1.483963987890e-07       1.415460514686e-03      -5.256541032397e-07 
   29       1.036434200457e+03       1.951348230612e-02       0.000000000000e+00       1.891490444179e+00       1.488711848560e-07       1.380127597554e-03      -9.749139575983e-07 
   30       1.052027589147e+03       2.199278512628e-02       0.000000000000e+00       1.938565207319e+00       1.493053869170e-07       1.346724663857e-03      -1.421126052738e-06 
   31       1.067739887777e+03       2.464513715539e-02       0.000000000000e+00       1.975962300985e+00       1.496143189850e-07       1.313818118221e-03      -1.754316196264e-06 
   32       1.083611034547e+03       2.747405625611e-02       0.000000000000e+00       2.002256416369e+00       1.498453867851e-07       1.281604253697e-03      -1.937883532419e-06 
   33       1.099683089768e+03       3.048754218902e-02       0.000000000000e+00       2.016572888206e+00       1.500285646517e-07       1.250351525636e-03      -1.963879590936e-06 
   34       1.115947225045e+03       3.369652193191e-02       0.000000000000e+00       2.018335547985e+00       1.501253003985e-07       1.219890469152e-03      -1.837999335334e-06 
   35       1.132426912328e+03       3.712159472605e-02       0.000000000000e+00       2.008172150291e+00       1.501692623609e-07       1.190512224511e-03      -1.596764498988e-06 
   36       1.149110988590e+03       4.078904236827e-02       0.000000000000e+00       1.987367676148e+00       1.501675621696e-07       1.162313982946e-03      -1.303235764980e-06 
   37       1.165955475667e+03       4.472412331982e-02       0.000000000000e+00       1.957315863468e+00       1.500787230161e-07       1.135084776042e-03      -1.031705261326e-06 
   38       1.182988775492e+03       4.893319303639e-02       0.000000000000e+00       1.918348653721e+00       1.499433855354e-07       1.109056556425e-03      -8.145681495678e-07 
   39       1.200232404309e+03       5.341566113194e-02       0.000000000000e+00       1.870540471196e+00       1.497994191696e-07       1.084367754510e-03      -6.734159947146e-07 
   40       1.217667341780e+03       5.816857026929e-02       0.000000000000e+00       1.814024151029e+00       1.496328074200e-07       1.060792884271e-03      -6.323717372373e-07 
   41       1.235251328457e+03       6.318842410263e-02       0.000000000000e+00       1.748803279710e+00       1.493938014880e-07       1.037898088054e-03      -7.088276686045e-07 
   42       1.252987851132e+03       6.847777713033e-02       0.000000000000e+00       1.674111231948e+00       1.491063121816e-07       1.015785703343e-03      -8.798896692740e-07 
   43       1.270872388330e+03       7.404051674631e-02       0.000000000000e+00       1.588846638485e+00       1.487972218521e-07       9.945845290573e-04      -1.099979261207e-06 
   44       1.288870000047e+03       7.988003298053e-02       0.000000000000e+00       1.491733964239e+00       1.484587109329e-07       9.742157743457e-04      -1.306967648929e-06 
   45       1.306938864916e+03       8.599941764795e-02       0.000000000000e+00       1.381549008943e+00       1.480612647733e-07       9.544815777098e-04      -1.436857280159e-06 
   46       1.325115903389e+03       9.240219256249e-02       0.000000000000e+00       1.257902034996e+00       1.476305366533e-07       9.354747015297e-04      -1.480830359610e-06 
   47       1.343451973480e+03       9.909175588620e-02       0.000000000000e+00       1.120669827236e+00       1.471964706727e-07       9.172836935411e-04      -1.449968480401e-06 
   48       1.361986487817e+03       1.060711644064e-01       0.000000000000e+00       9.697818162644e-01       1.467674956945e-07       8.998593993464e-04      -1.361351103188e-06 
   49       1.380746121497e+03       1.133431211023e-01       0.000000000000e+00       8.052225739326e-01       1.463239878229e-07       8.829915517591e-04      -1.238799564880e-06 
   50       1.399744163359e+03       1.209097015126e-01       0.000000000000e+00       6.270647731916e-01       1.458310332176e-07       8.664054435534e-04      -1.108921706118e-06 
   51       1.418981360005e+03       1.287714741218e-01       0.000000000000e+00       4.355728252357e-01       1.453035470860e-07       8.501587574435e-04      -9.854305869073e-07 
   52       1.438443067327e+03       1.369281197210e-01       0.000000000000e+00       2.311316870997e-01       1.447629526865e-07       8.343614669273e-04      -8.798634716465e-07 
   53       1.458097395168e+03       1.453786475997e-01       0.000000000000e+00       1.422269188147e-02       1.442166722658e-07       8.190580042762e-04      -8.059554116901e-07 
   54       1.477893945462e+03       1.541213708206e-01       0.000000000000e+00      -2.145725221494e-01       1.436542800252e-07       8.042163422810e-04      -7.798273299998e-07 
   55       1.497782978169e+03       1.631543702916e-01       0.000000000000e+00      -4.547499855246e-01       1.430564383372e-07       7.897662431976e-04      -8.152713265593e-07 
   56       1.517781375482e+03       1.724770786249e-01       0.000000000000e+00      -7.064780949735e-01       1.424375679325e-07       7.757582385621e-04      -9.070622407395e-07 
   57       1.537920854284e+03       1.820890464346e-01       0.000000000000e+00      -9.701437694849e-01       1.418163963631e-07       7.622430398890e-04      -1.041847756157e-06 
   58       1.558228518224e+03       1.919894824549e-01       0.000000000000e+00      -1.246186580208e+00       1.412024293476e-07       7.492200548881e-04      -1.202165688579e-06 
   59       1.578726391736e+03       2.021772478591e-01       0.000000000000e+00      -1.535101908478e+00       1.405935812673e-07       7.366300994945e-04      -1.366049700357e-06 
   60       1.599430954058e+03       2.126508505785e-01       0.000000000000e+00      -1.837444103837e+00       1.399735892022e-07       7.243477999810e-04      -1.506620901983e-06 
   61       1.620354470872e+03       2.234081892684e-01       0.000000000000e+00      -2.153702034965e+00       1.393206601723e-07       7.122318555421e-04      -1.598626071561e-06 
   62       1.641510392676e+03       2.344457309033e-01       0.000000000000e+00      -2.483885955678e+00       1.386449101188e-07       7.003144050347e-04      -1.641644197908e-06 
   63       1.662908346756e+03       2.457591376630e-01       0.000000000000e+00      -2.827853088518e+00       1.379624159944e-07       6.886608987283e-04      -1.643888274640e-06 
   64       1.684552045655e+03       2.573434876405e-01       0.000000000000e+00      -3.185426175761e+00       1.372839762865e-07       6.773143006789e-04      -1.616121158785e-06 
   65       1.706438878229e+03       2.691932612180e-01       0.000000000000e+00      -3.556392588564e+00       1.366138028959e-07       6.662918386906e-04      -1.571882301815e-06 
   66       1.728559500705e+03       2.813023274415e-01       0.000000000000e+00      -3.940503436117e+00       1.359481029784e-07       6.555816244330e-04      -1.527721915709e-06 
   67       1.750897427736e+03       2.936639303967e-01       0.000000000000e+00      -4.337472674787e+00       1.352735472443e-07       6.451391437159e-04      -1.503442574031e-06 
   68       1.773436062860e+03       3.062709318394e-01       0.000000000000e+00      -4.747004821671e+00       1.345738857571e-07       6.349117043054e-04      -1.517441195852e-06 
   69       1.796182358198e+03       3.191166266327e-01       0.000000000000e+00      -5.168886607395e+00       1.338569186670e-07       6.249289144004e-04      -1.570499786737e-06 
   70       1.819147236218e+03       3.321940688221e-01       0.000000000000e+00      -5.602912379550e+00       1.331353029202e-07       6.152329802043e-04      -1.657545594654e-06 
   71       1.842338359757e+03       3.454958230551e-01       0.000000000000e+00      -6.048856985036e+00       1.324185340767e-07       6.058511966637e-04      -1.772024590650e-06 
   72       1.865759913346e+03       3.590139575112e-01       0.000000000000e+00      -6.506475610782e+00       1.317122145752e-07       5.967940694703e-04      -1.905781748862e-06 
   73       1.889412384527e+03       3.727400368300e-01       0.000000000000e+00      -6.975503624464e+00       1.310172660772e-07       5.880533701413e-04      -2.048937768545e-06 
   74       1.913292345186e+03       3.866651150411e-01       0.000000000000e+00      -7.455656415221e+00       1.303290842793e-07       5.796001241786e-04      -2.189762238137e-06 
   75       1.937392232868e+03       4.007797284931e-01       0.000000000000e+00      -7.946629234379e+00       1.296366345795e-07       5.713825323081e-04      -2.314543241340e-06 
   76       1.961704483375e+03       4.150737951138e-01       0.000000000000e+00      -8.448119026022e+00       1.289273392785e-07       5.633450440557e-04      -2.410611981792e-06 
   77       1.986235281965e+03       4.295363066133e-01       0.000000000000e+00      -8.959894866750e+00       1.282061035435e-07       5.554965476333e-04      -2.476684981752e-06 
   78       2.010992934109e+03       4.441555670460e-01       0.000000000000e+00      -9.481740141247e+00       1.274813685915e-07       5.478568309829e-04      -2.515092830857e-06 
   79       2.035983609322e+03       4.589192726532e-01       0.000000000000e+00      -1.001343197887e+01       1.267594490281e-07       5.404359767754e-04      -2.528917696927e-06 
   80       2.061211211710e+03       4.738145028723e-01       0.000000000000e+00      -1.055474154531e+01       1.260441057048e-07       5.332333226824e-04      -2.522049613925e-06 
   81       2.086677250523e+03       4.888277113444e-01       0.000000000000e+00      -1.110543433418e+01       1.253360894928e-07       5.262363888537e-04      -2.499244291995e-06 
   82       2.112380710704e+03       5.039447169234e-01       0.000000000000e+00      -1.166527045871e+01       1.246326552201e-07       5.194197726025e-04      -2.466182449556e-06 
   83       2.138317923437e+03       5.191506946840e-01       0.000000000000e+00      -1.223400494334e+01       1.239270450215e-07       5.127440102964e-04      -2.429530667478e-06 
   84       2.164484885228e+03       5.344309299683e-01       0.000000000000e+00      -1.281136207692e+01       1.232117386376e-07       5.061694242725e-04      -2.395566564693e-06 
   85       2.190884940442e+03       5.497732438486e-01       0.000000000000e+00      -1.339695294818e+01       1.224907323944e-07       4.997042888355e-04      -2.365518031262e-06 
   86       2.217522140947e+03       5.651659551389e-01       0.000000000000e+00      -1.399034471052e+01       1.217702702168e-07       4.933664385278e-04      -2.339184394531e-06 
   87       2.244398823828e+03       5.805971568833e-01       0.000000000000e+00      -1.459108516283e+01       1.210551472573e-07       4.871687975170e-04      -2.316266725017e-06 
   88       2.271515523083e+03       5.960547201885e-01       0.000000000000e+00      -1.519870260516e+01       1.203484490863e-07       4.811188705798e-04      -2.296360405452e-06 
   89       2.298870881325e+03       6.115262980563e-01       0.000000000000e+00      -1.581270569442e+01       1.196512748268e-07       4.752182192141e-04      -2.278947506746e-06 
   90       2.326461561488e+03       6.269993292168e-01       0.000000000000e+00      -1.643258330009e+01       1.189624438554e-07       4.694619228806e-04      -2.263388970873e-06 
   91       2.354282158522e+03       6.424610419599e-01       0.000000000000e+00      -1.705780435992e+01       1.182781856938e-07       4.638380253727e-04      -2.248916600662e-06 
   92       2.382325111100e+03       6.578984579689e-01       0.000000000000e+00      -1.768781773560e+01       1.175918127142e-07       4.583269663160e-04      -2.234624856522e-06 
   93       2.410583105665e+03       6.732982898454e-01       0.000000000000e+00      -1.832207509640e+01       1.168964778989e-07       4.529091970754e-04      -2.219681792005e-06 
