# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.075387453115e+03       4.269841843927e-02       1.949378936099e-06       3.128182797029e+00       5.158904703974e-08       3.157781250378e-03      -1.474338400481e-05 
    3       1.016638574511e+03       6.896436677272e-02       3.900115500622e-06       3.860226642224e+00       6.434816231105e-08       3.186888885506e-03      -1.790751411527e-05 
    4       9.589474948112e+02       7.648142986034e-02       6.503166184556e-06       3.922062547827e+00       7.483998008544e-08       3.130288564199e-03      -1.790428250633e-05 
    5       9.138660760442e+02       6.679152666015e-02       9.760222359025e-06       3.612781817864e+00       8.391584642370e-08       3.041693147870e-03      -1.564131618211e-05 
    6       8.812637389893e+02       4.841840394735e-02       1.367329983918e-05       3.131260168118e+00       9.180266612235e-08       2.938488050837e-03      -1.193447683954e-05 
    7       8.587085921592e+02       3.022065821765e-02       1.824467893631e-05       2.609186054724e+00       9.876775831039e-08       2.829319298553e-03      -7.604562637229e-06 
    8       8.441094734575e+02       1.730753894840e-02       2.347683787334e-05       2.123134339902e+00       1.050311335492e-07       2.721060245002e-03      -3.383390618709e-06 
    9       8.358605631832e+02       1.050549930531e-02       2.937238211835e-05       1.715128965212e+00       1.106940237407e-07       2.617673916540e-03       1.539861222365e-07 
   10       8.321545703211e+02       7.973325420881e-03       3.593397233380e-05       1.404913478156e+00       1.157868416479e-07       2.519033374874e-03       2.641096077876e-06 
   11       8.321313587388e+02       7.288236437021e-03       4.316425367365e-05       1.195618864177e+00       1.168406477627e-07       2.430409091735e-03       3.922684183641e-06 
   12       8.350499492407e+02       6.823023355722e-03       5.106578908459e-05       1.078229835772e+00       1.207275969671e-07       2.337542867002e-03       4.099700930060e-06 
   13       8.399428890684e+02       6.075176025534e-03       5.964099908569e-05       1.036430737394e+00       1.242189859008e-07       2.255497054851e-03       3.382420920225e-06 
   14       8.468535914557e+02       5.268347461108e-03       6.889211021885e-05       1.050106509094e+00       1.273569822235e-07       2.174535681780e-03       2.072819604488e-06 
   15       8.548260204863e+02       4.771104207263e-03       7.882111399347e-05       1.099544691544e+00       1.301791912164e-07       2.100544472695e-03       5.287026004060e-07 
   16       8.641782961571e+02       4.732472457824e-03       8.942973770650e-05       1.167674769689e+00       1.327182823377e-07       2.031309008624e-03      -9.382195859045e-07 
   17       8.744371913293e+02       5.042012476214e-03       1.007194280229e-04       1.240681547383e+00       1.350018388450e-07       1.967393214000e-03      -2.088467742274e-06 
   18       8.853511523928e+02       5.474967116924e-03       1.126913414791e-04       1.310094197328e+00       1.370005895458e-07       1.906271942287e-03      -2.783835034591e-06 
   19       8.970699643603e+02       5.939519929861e-03       1.253463850598e-04       1.372921794548e+00       1.388939959236e-07       1.848122910527e-03      -2.985354695839e-06 
   20       9.093823940480e+02       6.401908933039e-03       1.386851702920e-04       1.427790627630e+00       1.405340217117e-07       1.790290976249e-03      -2.755387403813e-06 
   21       9.222425630560e+02       6.957460296844e-03       1.527081370319e-04       1.476389897451e+00       1.420129197658e-07       1.734715755532e-03      -2.204155149052e-06 
   22       9.354348199358e+02       7.745531546619e-03       1.674154993431e-04       1.521937103560e+00       1.433045480600e-07       1.682628188212e-03      -1.513231064166e-06 
   23       9.490221686949e+02       8.805171829629e-03       1.828073947518e-04       1.567365307332e+00       1.444830693695e-07       1.633511257197e-03      -8.290548175449e-07 
   24       9.629864699833e+02       1.013149522776e-02       1.988838297579e-04       1.615499435521e+00       1.454973135537e-07       1.584606801410e-03      -2.999875734484e-07 
   25       9.772834120161e+02       1.168970821273e-02       2.156448559349e-04       1.667393883197e+00       1.464048511137e-07       1.537325296376e-03      -1.763232478982e-09 
   26       9.917647554515e+02       1.343395769499e-02       2.330905036652e-04       1.723039068471e+00       1.471827348252e-07       1.493472074659e-03       3.261045615284e-08 
   27       1.006493139312e+03       1.536306716342e-02       2.512209371163e-04       1.780653116605e+00       1.478593837334e-07       1.453258852233e-03      -1.668036284229e-07 
   28       1.021516419621e+03       1.748674031939e-02       2.700364111008e-04       1.837476976526e+00       1.483963987890e-07       1.415460514686e-03      -5.256541032397e-07 
   29       1.036871970706e+03       1.980274081624e-02       2.895374543667e-04       1.890923335476e+00       1.488711848560e-07       1.380127597554e-03      -9.749139575983e-07 
   30       1.052491676498e+03       2.230211539445e-02       3.097247605726e-04       1.937933524313e+00       1.493053869170e-07       1.346724663857e-03      -1.421126052738e-06 
   31       1.068230881632e+03       2.497519631696e-02       3.305991864612e-04       1.975261687614e+00       1.496143189850e-07       1.313818118221e-03      -1.754316196264e-06 
   32       1.084129510328e+03       2.782549773278e-02       3.521618834604e-04       2.001482457577e+00       1.498453867851e-07       1.281604253697e-03      -1.937883532419e-06 
   33       1.100229607304e+03       3.086101551485e-02       3.744142530062e-04       2.015721126391e+00       1.500285646517e-07       1.250351525636e-03      -1.963879590936e-06 
   34       1.116522327210e+03       3.409267253943e-02       3.973579130265e-04       2.017401503125e+00       1.501253003985e-07       1.219890469152e-03      -1.837999335334e-06 
   35       1.133031122935e+03       3.754106378159e-02       4.209946190355e-04       2.007151357814e+00       1.501692623609e-07       1.190512224511e-03      -1.596764498988e-06 
   36       1.149744810470e+03       4.123246658467e-02       4.453263512070e-04       1.986255715169e+00       1.501675621696e-07       1.162313982946e-03      -1.303235764980e-06 
   37       1.166619389235e+03       4.519213468396e-02       4.703552390031e-04       1.956108390107e+00       1.500787230161e-07       1.135084776042e-03      -1.031705261326e-06 
   38       1.183683238960e+03       4.942641826841e-02       4.960831612782e-04       1.917041463610e+00       1.499433855354e-07       1.109056556425e-03      -8.145681495678e-07 
   39       1.200957852534e+03       5.393472132669e-02       5.225120375459e-04       1.869129545331e+00       1.497994191696e-07       1.084367754510e-03      -6.734159947146e-07 
   40       1.218424184498e+03       5.871408060854e-02       5.496439483298e-04       1.812505696302e+00       1.496328074200e-07       1.060792884271e-03      -6.323717372373e-07 
   41       1.236039949595e+03       6.376099338071e-02       5.774809482305e-04       1.747173779438e+00       1.493938014880e-07       1.037898088054e-03      -7.088276686045e-07 
   42       1.253808612130e+03       6.907800664885e-02       6.060244071365e-04       1.672367525586e+00       1.491063121816e-07       1.015785703343e-03      -8.798896692740e-07 
   43       1.271725628521e+03       7.466899963291e-02       6.352754719219e-04       1.586985984963e+00       1.487972218521e-07       9.945845290573e-04      -1.099979261207e-06 
   44       1.289756035879e+03       8.053735366217e-02       6.652352420036e-04       1.489754100556e+00       1.484587109329e-07       9.742157743457e-04      -1.306967648929e-06 
   45       1.307857990511e+03       8.668615107628e-02       6.959045921102e-04       1.379448209124e+00       1.480612647733e-07       9.544815777098e-04      -1.436857280159e-06 
   46       1.326068395731e+03       9.311890263954e-02       7.272835852998e-04       1.255679164318e+00       1.476305366533e-07       9.354747015297e-04      -1.480830359610e-06 
   47       1.344438094262e+03       9.983899442708e-02       7.593718787580e-04       1.118324404072e+00       1.471964706727e-07       9.172836935411e-04      -1.449968480401e-06 
   48       1.363006484041e+03       1.068494702888e-01       7.921688694268e-04       9.673140783105e-01       1.467674956945e-07       8.998593993464e-04      -1.361351103188e-06 
   49       1.381800226097e+03       1.141530193885e-01       8.256736806400e-04       8.026335468411e-01       1.463239878229e-07       8.829915517591e-04      -1.238799564880e-06 
   50       1.400832596327e+03       1.217517024682e-01       8.598851452392e-04       6.243563227742e-01       1.458310332176e-07       8.664054435534e-04      -1.108921706118e-06 
   51       1.420104331108e+03       1.296460719543e-01       8.948017805247e-04       4.327476495499e-01       1.453035470860e-07       8.501587574435e-04      -9.854305869073e-07 
   52       1.439600777704e+03       1.378357914750e-01       9.304217834041e-04       2.281933564900e-01       1.447629526865e-07       8.343614669273e-04      -8.798634716465e-07 
   53       1.459290038547e+03       1.463198520917e-01       9.667430201086e-04       1.117570790873e-02       1.442166722658e-07       8.190580042762e-04      -8.059554116901e-07 
   54       1.479121709411e+03       1.550965475428e-01       1.003763012663e-03      -2.177226662612e-01       1.436542800252e-07       8.042163422810e-04      -7.798273299998e-07 
   55       1.499046043936e+03       1.641639387005e-01       1.041479217594e-03      -4.579967770089e-01       1.430564383372e-07       7.897662431976e-04      -8.152713265593e-07 
   56       1.519079913025e+03       1.735214387698e-01       1.079889974139e-03      -7.098140842961e-01       1.424375679325e-07       7.757582385621e-04      -9.070622407395e-07 
   57       1.539255020997e+03       1.831685785242e-01       1.118993767893e-03      -9.735605672947e-01       1.418163963631e-07       7.622430398890e-04      -1.041847756157e-06 
   58       1.559598459019e+03       1.931045460239e-01       1.158788957110e-03      -1.249674822425e+00       1.412024293476e-07       7.492200548881e-04      -1.202165688579e-06 
   59       1.580132239117e+03       2.033281809192e-01       1.199273770560e-03      -1.538651221190e+00       1.405935812673e-07       7.366300994945e-04      -1.366049700357e-06 
   60       1.600872828183e+03       2.138379687550e-01       1.240446305385e-03      -1.841043068011e+00       1.399735892022e-07       7.243477999810e-04      -1.506620901983e-06 
   61       1.621832477262e+03       2.246317859693e-01       1.282304937628e-03      -2.157338177203e+00       1.393206601723e-07       7.122318555421e-04      -1.598626071561e-06 
   62       1.643024612272e+03       2.357060808897e-01       1.324849666359e-03      -2.487545824415e+00       1.386449101188e-07       7.003144050347e-04      -1.641644197908e-06 
   63       1.664458831887e+03       2.470564979585e-01       1.368081068823e-03      -2.831522263700e+00       1.379624159944e-07       6.886608987283e-04      -1.643888274640e-06 
   64       1.686138818112e+03       2.586780974801e-01       1.411999925120e-03      -3.189089254617e+00       1.372839762865e-07       6.773143006789e-04      -1.616121158785e-06 
   65       1.708061927257e+03       2.705653420143e-01       1.456607229153e-03      -3.560033172012e+00       1.366138028959e-07       6.662918386906e-04      -1.571882301815e-06 
   66       1.730218780908e+03       2.827120827703e-01       1.501904199580e-03      -3.944104115814e+00       1.359481029784e-07       6.555816244330e-04      -1.527721915709e-06 
   67       1.752592856903e+03       2.951115460008e-01       1.547892290762e-03      -4.341015020823e+00       1.352735472443e-07       6.451391437159e-04      -1.503442574031e-06 
   68       1.775167520532e+03       3.077565765414e-01       1.594573153460e-03      -4.750469355492e+00       1.345738857571e-07       6.349117043054e-04      -1.517441195852e-06 
   69       1.797949686846e+03       3.206404561478e-01       1.641948483200e-03      -5.172252725507e+00       1.338569186670e-07       6.249289144004e-04      -1.570499786737e-06 
   70       1.820950240188e+03       3.337562272949e-01       1.690020160713e-03      -5.606158317575e+00       1.331353029202e-07       6.152329802043e-04      -1.657545594654e-06 
   71       1.844176803376e+03       3.470964437978e-01       1.738790308960e-03      -6.051959796546e+00       1.324185340767e-07       6.058511966637e-04      -1.772024590650e-06 
   72       1.867633518956e+03       3.606531637833e-01       1.788261302796e-03      -6.509411146382e+00       1.317122145752e-07       5.967940694703e-04      -1.905781748862e-06 
   73       1.891320830470e+03       3.744179426596e-01       1.838435778637e-03      -6.978246511120e+00       1.310172660772e-07       5.880533701413e-04      -2.048937768545e-06 
   74       1.915235263709e+03       3.883818260870e-01       1.889316644123e-03      -7.458180035842e+00       1.303290842793e-07       5.796001241786e-04      -2.189762238137e-06 
   75       1.939369207978e+03       4.025353429486e-01       1.940907087782e-03      -7.948905707641e+00       1.296366345795e-07       5.713825323081e-04      -2.314543241340e-06 
   76       1.963715052617e+03       4.168684044007e-01       1.993210094143e-03      -8.450119172224e+00       1.289273392785e-07       5.633450440557e-04      -2.410611981792e-06 
   77       1.988278950935e+03       4.313699953119e-01       2.046226865631e-03      -8.961588128245e+00       1.282061035435e-07       5.554965476333e-04      -2.476684981752e-06 
   78       2.013069180451e+03       4.460284135240e-01       2.099958129119e-03      -9.483094540426e+00       1.274813685915e-07       5.478568309829e-04      -2.515092830857e-06 
   79       2.038091882961e+03       4.608313499693e-01       2.154404604480e-03      -1.001441408960e+01       1.267594490281e-07       5.404359767754e-04      -2.528917696927e-06 
   80       2.063350935105e+03       4.757658797150e-01       2.209567004111e-03      -1.055531646429e+01       1.260441057048e-07       5.332333226824e-04      -2.522049613925e-06 
   81       2.088847818933e+03       4.908184530081e-01       2.265446032456e-03      -1.110556565233e+01       1.253360894928e-07       5.262363888537e-04      -2.499244291995e-06 
